LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA14920,1235,5,6,3,3,1253,694,8,4,3,0,706,249,32,15,0,0,300,32,5,5,0,0,37,46,8,3,0,0,65,195,0,0,0,0,198,78,0,0,4,0,81,3,0,0,0,0,3,605,47,22,4,4,691,115,0,0,3,0,120,67,5,0,0,6,76,2719,66,34,13,11,2848
LGA14950,581,0,0,0,9,591,345,0,0,3,6,351,45,0,5,0,0,57,0,0,0,0,0,3,3,0,5,0,0,10,84,0,0,0,4,91,12,0,0,0,0,17,3,0,0,0,0,4,151,7,17,0,0,180,52,0,0,0,0,48,29,0,0,0,3,30,1158,8,17,5,17,1202
LGA15050,8384,567,53,116,9,9133,12325,366,41,8,7,12750,4739,1254,417,28,5,6447,769,233,86,0,3,1094,245,150,66,0,3,465,1017,155,41,7,9,1229,386,32,4,40,0,462,30,13,0,0,0,45,7180,1838,621,80,17,9734,349,305,9,5,4,672,266,58,20,9,5,356,28499,3138,752,214,52,32648
LGA15240,16557,1465,658,381,35,19088,8900,351,189,27,13,9485,3474,892,1114,61,22,5571,303,142,152,0,0,602,181,153,154,0,0,489,1439,200,175,27,7,1848,184,43,31,53,4,322,30,26,16,0,0,75,5614,1459,1643,151,35,8908,875,110,191,15,15,1199,678,88,80,84,35,971,32628,3480,2758,662,130,39654
LGA15270,3590,114,6,36,8,3749,3045,51,3,12,0,3108,1182,320,40,10,4,1556,160,31,24,0,0,210,35,25,3,0,0,69,380,35,0,0,3,415,62,11,0,13,4,86,14,3,0,0,0,20,1827,420,67,22,12,2351,194,7,0,4,6,211,155,13,3,43,5,216,8811,609,84,110,25,9638
LGA15300,1200,66,0,18,18,1298,923,52,0,6,0,987,432,184,39,5,0,658,163,30,11,0,0,207,81,23,7,0,0,113,219,19,0,4,0,252,102,18,4,6,9,139,11,5,0,0,0,20,1010,284,69,13,13,1388,197,24,0,9,5,232,106,16,3,6,0,129,3433,443,77,47,43,4042
LGA15350,2129,673,1587,22,7,4422,1432,431,1099,12,0,2980,295,194,2604,39,4,3140,4,5,41,0,0,51,0,9,37,0,3,43,87,42,408,12,4,550,9,0,12,0,0,21,0,0,5,0,0,8,403,249,3103,57,13,3822,42,17,144,0,0,207,20,13,69,0,9,112,4028,1389,6001,96,29,11544
LGA15520,2062,134,12,38,18,2266,1329,27,4,0,0,1360,325,131,15,3,0,470,18,0,0,0,0,23,23,20,0,0,0,41,226,25,3,3,0,259,93,9,0,11,0,119,7,0,0,0,0,12,685,185,23,11,3,911,159,46,3,0,4,219,99,17,0,0,6,123,4337,406,34,62,34,4875
LGA15560,513,0,0,8,0,517,312,0,0,3,4,318,41,5,11,0,0,57,16,3,0,0,0,17,3,5,3,0,0,12,115,0,19,0,0,134,54,0,4,0,4,64,3,0,0,0,0,5,233,20,39,7,4,296,109,0,0,0,3,114,43,0,0,0,0,48,1210,19,44,10,7,1291
LGA15650,1619,56,10,14,10,1717,1944,37,9,4,0,1987,956,316,40,0,0,1309,161,72,0,0,0,237,46,29,0,0,0,78,314,16,0,3,0,337,59,13,4,7,7,87,4,0,0,0,0,7,1533,454,38,10,13,2051,116,30,0,0,3,161,71,13,0,4,0,90,5292,595,58,33,31,6001
LGA15700,3614,135,97,107,34,3989,1938,56,28,7,0,2031,620,165,199,12,9,1002,97,21,5,0,0,122,144,61,13,0,0,215,376,24,28,10,5,446,57,7,3,14,5,90,10,3,7,0,0,26,1302,288,259,35,12,1902,111,17,6,13,3,159,146,23,10,8,0,191,7117,524,393,166,60,8265
LGA15750,1551,17,3,17,5,1596,1320,11,0,0,4,1337,351,201,20,0,0,572,128,44,0,0,0,174,46,31,3,0,0,84,304,37,0,0,0,340,135,12,0,6,4,158,11,12,0,0,0,15,970,331,30,6,3,1332,191,9,0,9,5,207,83,17,0,5,0,105,4114,384,31,33,14,4574
LGA15800,868,5,0,0,4,874,607,0,0,12,0,621,174,19,43,0,0,240,44,6,0,0,0,52,11,0,0,0,0,9,158,3,0,0,0,167,43,0,3,0,3,52,0,0,4,0,0,6,429,36,50,9,4,523,69,0,0,0,0,69,38,3,3,0,0,47,2014,44,53,14,8,2141
LGA15850,911,15,0,3,3,938,631,0,0,0,0,640,171,31,20,0,0,229,52,7,4,0,0,62,11,17,10,0,0,36,140,4,3,5,0,150,38,0,4,0,0,49,0,3,0,0,0,3,412,67,44,9,3,533,70,0,0,0,0,75,41,0,4,0,0,44,2072,85,42,10,12,2221
LGA15900,15720,2232,1318,36,18,19333,17570,1941,1276,19,17,20818,7670,3774,4263,136,51,15901,587,1126,1230,5,5,2947,186,299,209,6,0,696,2595,702,738,29,21,4084,278,94,80,11,3,466,59,19,30,0,0,101,11375,6024,6547,180,80,24204,512,364,126,5,6,1002,436,163,146,8,15,759,45617,10724,9410,244,131,66129
LGA15950,1788,1535,4936,4,5,8275,1193,1176,4219,0,12,6597,420,1042,12609,49,35,14147,0,24,300,0,12,328,5,13,195,0,0,212,124,243,1603,5,4,1979,5,11,83,3,6,106,0,3,39,0,0,43,548,1329,14820,65,55,16824,37,56,376,0,4,476,23,24,180,7,8,240,3593,4121,24535,75,78,32395
LGA15990,22679,2942,7100,83,35,32841,23438,2091,7357,56,26,32976,4627,1248,12434,155,50,18512,176,339,394,0,0,911,113,256,292,0,0,659,1888,389,2326,40,29,4675,149,111,160,17,10,452,53,28,75,0,0,154,6996,2367,15682,223,96,25365,500,758,990,11,4,2262,424,136,352,9,15,938,54040,8299,31478,388,177,94377
LGA16100,836,6,0,3,0,854,659,0,0,0,0,658,181,53,17,0,4,251,21,5,0,0,0,21,0,7,0,0,0,14,92,3,0,0,0,97,22,0,0,4,0,33,4,0,0,0,0,4,316,69,17,4,4,419,58,0,0,0,0,62,39,0,0,0,0,43,1914,82,26,9,12,2038
LGA16150,4634,269,58,15,5,4983,5285,114,41,6,7,5454,2545,689,264,17,5,3528,476,181,75,0,0,738,71,78,28,0,0,176,558,85,30,0,3,675,77,11,9,11,10,114,20,7,3,0,0,28,3749,1054,416,28,21,5269,109,74,29,0,9,218,183,38,18,0,7,253,13966,1556,557,54,51,16183
LGA16200,1887,35,40,16,13,1987,1623,16,9,0,9,1662,474,57,129,4,0,670,149,18,32,0,0,190,38,22,11,0,0,70,423,15,21,0,3,465,55,8,6,7,9,82,6,5,3,0,0,16,1142,121,197,12,19,1490,111,12,28,5,0,156,81,3,12,0,6,104,4842,191,292,38,41,5401
LGA16260,13857,2106,3548,18,11,19552,13435,4235,9931,26,43,27669,5124,3514,24290,108,108,33136,913,1057,1223,0,11,3202,87,185,535,0,4,808,1326,506,2084,24,23,3970,277,266,357,3,12,912,42,30,111,0,0,183,7776,5549,28599,132,154,42206,408,189,928,11,9,1550,392,173,557,5,14,1137,35872,12253,43561,189,232,92109
LGA16350,16283,1228,513,114,21,18157,25082,2648,1174,5,19,28931,11243,3217,3642,30,39,18169,1056,863,478,0,3,2394,145,288,346,0,0,785,2040,327,272,13,16,2672,286,30,35,14,7,369,62,20,25,0,4,115,14829,4746,4804,52,67,24497,591,175,114,4,3,882,684,135,110,0,0,933,57474,8934,6712,179,104,73398
LGA16380,12379,1462,783,144,26,14800,8268,592,295,12,9,9177,3176,1307,1420,51,10,5969,181,130,145,0,4,462,222,232,186,0,0,644,1139,246,207,23,11,1629,139,52,34,46,15,283,24,22,15,0,0,59,4882,1994,2009,123,38,9045,383,372,175,7,4,946,477,223,84,85,14,887,26385,4645,3343,374,102,34848
LGA16400,9945,1339,321,237,51,11897,8104,594,103,20,11,8821,2890,1133,393,20,6,4450,392,116,49,0,0,563,148,125,38,3,0,310,865,208,68,20,9,1170,426,53,10,126,10,621,26,17,3,4,0,48,4742,1651,568,172,28,7164,290,246,34,8,5,584,280,78,19,15,4,395,23362,3911,1038,452,96,28868
LGA16490,5554,578,285,21,7,6443,8384,1134,506,13,6,10045,1245,931,1355,9,6,3547,406,129,49,0,0,583,33,96,33,0,0,168,652,254,288,6,3,1213,448,50,64,4,7,572,10,11,5,0,0,28,2792,1468,1802,26,17,6100,182,41,31,3,9,264,169,41,39,0,4,252,17078,3262,2661,61,41,23100
LGA16550,6761,2729,4297,61,3,13848,4661,2999,4499,42,14,12215,1397,1691,14134,268,24,17504,96,496,2178,0,4,2778,36,55,363,4,3,460,418,320,1901,48,13,2699,87,117,140,6,0,354,18,5,61,0,0,81,2047,2681,18782,323,41,23875,176,102,579,12,3,880,143,88,369,0,12,614,13790,8601,28527,443,74,51433
LGA16610,3182,209,62,101,21,3570,2512,75,20,16,0,2633,761,316,159,5,0,1243,154,22,12,0,0,191,38,41,16,0,0,91,435,70,35,6,8,553,76,10,4,51,3,144,9,8,3,0,0,24,1474,473,224,68,9,2253,122,43,0,7,0,170,159,19,16,8,0,208,7455,819,326,197,32,8825
LGA16700,8742,1693,2308,6,8,12762,7382,2070,5033,12,3,14497,2263,1989,11815,67,28,16157,189,428,341,0,0,954,111,203,281,0,13,608,775,302,1135,14,21,2245,87,62,140,6,11,313,27,15,50,0,0,94,3446,3001,13765,93,72,20370,252,117,515,0,4,885,190,77,241,10,6,522,20016,6956,21854,124,93,49040
LGA16900,7936,964,193,237,8,9337,8975,940,178,3,7,10105,2703,1175,504,19,11,4405,1064,371,157,4,0,1598,64,68,41,0,0,179,739,210,100,7,0,1055,43,17,8,26,0,92,13,6,7,0,0,29,4623,1845,827,59,12,7363,179,122,68,8,5,370,252,63,36,12,0,360,21963,3931,1300,312,39,27543
LGA16950,17220,944,182,612,96,19052,11097,320,83,30,13,11551,4565,1060,332,18,7,5983,529,215,45,0,0,791,432,260,69,0,3,772,1809,169,69,28,3,2076,475,36,13,98,25,644,37,20,4,4,4,65,7855,1759,530,145,40,10335,533,351,40,23,32,985,526,87,20,39,74,744,37225,3469,865,852,252,42667
LGA17000,2504,89,44,28,4,2669,3307,104,20,0,7,3442,851,310,118,0,3,1283,235,32,24,0,0,294,33,14,9,0,0,58,236,34,3,9,0,284,103,0,0,47,0,159,6,0,0,0,0,11,1471,398,157,61,6,2092,119,12,8,3,4,133,81,9,8,5,0,105,7479,615,231,94,16,8443
LGA17040,3049,65,84,22,18,3232,2357,56,75,7,7,2501,587,155,228,10,4,987,45,13,3,0,0,62,46,9,6,0,0,57,462,44,70,9,6,590,121,23,47,8,17,222,13,3,0,0,0,18,1277,239,361,22,27,1920,205,17,8,6,8,242,107,5,18,4,4,140,6995,385,551,60,61,8043
LGA17080,2367,62,6,7,16,2458,1577,18,0,7,4,1605,458,186,31,10,0,684,160,9,13,0,0,182,17,12,0,0,0,30,322,32,8,3,3,366,70,11,0,6,3,92,7,7,0,0,0,15,1033,259,50,15,8,1371,126,12,0,0,4,146,83,6,0,0,5,97,5188,359,58,35,33,5671
LGA17100,2490,154,737,8,0,3384,1856,228,2460,15,5,4562,579,251,4856,54,26,5772,66,93,279,0,0,434,13,24,68,0,4,103,170,44,467,9,4,691,47,6,169,3,14,238,6,0,26,0,0,36,872,423,5873,66,45,7278,83,26,164,6,3,287,88,10,135,0,9,235,5388,832,9366,93,67,15746
LGA17150,21987,4072,4194,64,26,30338,23018,3856,5386,21,20,32302,3385,2035,8164,95,27,13715,212,639,670,0,0,1518,91,158,223,0,0,471,1052,336,976,40,11,2421,114,141,54,39,8,356,22,10,36,4,0,70,4870,3317,10122,184,53,18548,384,173,737,5,5,1299,420,143,213,8,14,805,50676,11559,20656,285,115,83292
LGA17200,771,3914,8996,37,21,13747,644,4655,13276,55,28,18661,426,5742,41162,298,203,47827,57,1542,4021,6,13,5641,8,138,1233,13,22,1414,104,1387,5015,86,60,6659,19,95,774,16,22,932,0,33,170,0,0,212,609,8941,52377,420,327,62678,30,227,1020,10,15,1297,23,196,1084,20,42,1362,2081,17935,76760,541,425,97743
LGA17310,7551,274,24,56,33,7934,7225,124,15,8,10,7382,3371,1191,231,10,14,4823,429,146,61,0,0,633,111,98,30,0,3,241,1174,135,18,7,6,1337,152,22,8,29,10,223,45,25,9,3,0,81,5283,1615,357,51,28,7336,406,88,9,4,26,533,345,49,14,8,18,432,20808,2157,419,127,115,23617
LGA17350,1093,24,0,16,0,1140,579,10,0,3,3,592,201,44,8,15,0,260,41,3,3,0,0,42,3,25,0,0,0,23,145,19,0,0,0,165,27,5,0,0,0,35,4,0,0,0,0,6,426,92,10,15,0,541,59,11,0,0,0,66,43,3,0,0,4,51,2203,140,13,32,7,2393
LGA17400,1494,9,12,22,9,1541,585,4,0,0,0,595,209,11,29,3,0,250,34,3,7,0,0,40,35,0,5,0,0,41,152,0,0,0,4,152,25,0,0,0,0,28,5,0,0,0,0,4,454,17,44,4,4,523,106,0,3,3,5,116,87,0,13,0,0,97,2724,24,66,37,17,2875
LGA17420,16176,1176,1157,5,22,18524,24155,1981,1404,0,42,27584,6058,1543,2553,8,27,10188,45,81,23,0,0,157,18,15,76,0,6,108,1050,183,238,0,6,1478,171,38,22,0,0,234,18,5,10,0,0,32,7362,1865,2919,9,42,12204,458,226,277,0,0,970,389,63,75,0,3,532,48537,5313,5836,13,111,59810
LGA17550,10857,2647,1547,510,36,15602,9137,1516,675,27,13,11364,2161,1369,1480,16,9,5033,232,371,210,0,0,812,69,127,58,0,0,242,1362,564,410,30,16,2384,220,171,89,88,12,580,24,23,9,0,0,59,4075,2614,2249,140,42,9117,394,197,253,26,12,875,379,133,108,14,5,647,24836,7107,4828,716,107,37602
LGA17620,1909,55,5,46,3,2016,1721,22,0,7,0,1758,466,198,12,0,0,675,81,25,17,0,0,125,16,23,0,0,0,45,311,20,0,5,0,338,113,23,0,7,3,149,0,3,0,0,0,10,985,291,33,11,3,1329,291,8,0,0,8,304,89,8,0,0,0,97,4988,385,44,65,20,5499
LGA17640,1566,25,0,11,7,1620,1000,7,4,0,7,1018,141,7,4,0,0,150,13,0,0,0,0,12,4,4,3,0,0,11,189,4,0,0,0,192,41,0,0,0,0,41,0,0,0,0,0,0,383,19,12,0,0,410,131,5,0,4,0,139,51,3,0,0,3,55,3138,60,13,19,17,3249
LGA17650,949,10,0,11,0,971,780,3,0,4,0,786,166,39,10,3,0,219,9,0,3,0,0,20,9,0,0,0,0,8,111,0,0,4,0,120,32,0,0,3,0,35,0,0,0,0,0,0,334,40,16,8,0,403,88,0,0,0,0,93,30,0,0,0,0,28,2179,54,19,30,4,2285
LGA17750,6776,244,261,22,10,7307,8214,97,126,8,9,8449,3349,476,1421,30,7,5293,719,37,134,0,0,889,76,47,71,0,0,190,1043,76,118,8,3,1252,378,13,24,13,4,439,29,5,9,0,0,43,5595,663,1777,51,25,8103,332,141,65,3,8,545,279,27,53,5,4,366,21184,1180,2276,93,42,24776
LGA17850,554,0,4,0,0,567,257,0,6,0,0,257,58,5,16,9,0,86,9,0,10,0,0,16,8,0,0,0,0,14,84,0,0,0,0,87,32,0,0,0,0,32,0,0,0,0,0,0,192,5,29,9,0,235,95,0,0,0,0,95,23,0,0,0,0,26,1122,3,39,10,6,1183
LGA17900,490,6,0,147,54,688,224,0,0,15,3,245,46,10,4,0,0,65,59,11,0,4,4,81,88,14,0,0,0,103,99,3,3,13,9,131,104,14,11,6,0,133,5,0,0,0,0,4,395,54,23,27,16,515,107,0,4,38,11,165,29,0,0,13,5,45,1252,56,22,236,87,1660
LGA17950,394,11,0,0,7,416,209,0,0,0,0,210,52,14,8,0,0,73,23,4,0,0,0,26,12,8,0,0,0,22,51,0,0,0,0,54,29,3,0,0,5,33,0,0,0,0,0,0,168,38,9,0,5,216,72,0,0,0,0,72,24,0,0,0,0,25,864,44,14,3,15,936
LGA18020,1617,6,8,14,14,1663,770,0,0,0,9,781,179,10,22,0,0,212,55,5,7,0,3,64,8,5,6,0,0,24,280,6,9,0,3,296,91,3,6,0,0,101,7,0,0,0,0,5,617,34,48,4,10,711,133,0,7,0,7,146,95,0,3,6,0,105,3235,38,69,24,33,3400
LGA18050,2094,1708,2752,92,4,6649,1651,1984,2850,49,5,6542,367,889,9300,216,21,10789,0,12,335,0,0,341,3,19,98,0,4,122,158,227,1528,52,9,1977,8,11,127,7,8,163,4,4,49,8,0,64,542,1154,11433,285,39,13456,58,64,302,8,0,435,54,60,247,5,5,374,4405,4969,17590,443,54,27455
LGA18100,747,12,5,0,3,769,357,3,0,0,0,369,75,9,20,0,0,105,14,0,6,0,0,21,21,0,7,0,0,26,84,6,5,0,0,95,16,4,0,3,0,23,6,0,0,0,0,6,209,13,40,3,0,274,57,0,3,0,0,62,31,0,3,0,0,33,1405,34,52,8,3,1500
LGA18200,961,21,10,16,5,1004,838,10,4,6,0,847,146,51,8,0,0,207,29,5,0,0,0,36,42,0,0,0,0,44,131,6,0,0,0,141,53,10,0,7,4,69,4,0,0,0,0,9,406,71,13,6,4,500,82,0,0,0,0,90,62,3,11,12,3,101,2348,105,33,49,14,2546
LGA18250,5850,677,2232,0,4,8759,4500,735,2155,3,6,7397,1290,519,6823,36,17,8678,17,0,250,0,0,266,13,14,203,0,0,232,383,112,735,21,4,1250,30,12,93,4,0,144,3,0,32,0,0,40,1731,654,8134,61,28,10610,165,65,369,3,0,600,88,21,119,0,3,229,12337,2145,13007,71,32,27599
LGA18350,8340,466,83,80,16,8994,6379,114,51,19,8,6569,1914,333,199,20,3,2479,159,39,27,0,0,223,165,68,40,0,0,272,679,51,23,8,3,764,97,14,7,15,3,131,11,10,0,0,0,23,3024,517,293,39,14,3891,290,152,20,3,0,469,210,29,13,6,3,256,18252,1288,464,146,35,20184
LGA18400,5081,184,29,29,10,5332,8383,81,24,6,8,8499,1715,141,70,31,14,1974,60,15,13,0,0,87,73,19,3,0,0,95,480,14,17,3,10,520,80,5,0,29,4,123,11,0,0,0,0,14,2423,197,107,64,19,2808,316,140,11,5,0,469,194,12,6,3,3,218,16388,615,168,106,47,17325
LGA18450,22389,2158,2814,225,19,27598,21255,2061,2371,77,19,25777,5904,2766,6388,154,46,15261,2144,1606,1370,3,3,5120,127,208,198,3,7,545,1978,502,936,47,27,3488,231,50,104,39,8,435,60,23,43,0,0,131,10442,5163,9042,239,94,24976,517,287,482,16,5,1303,593,156,223,10,14,998,55191,9827,14928,565,152,80658
LGA18500,2601,1734,3358,38,9,7740,1645,1356,2221,34,4,5264,356,1097,4939,86,14,6486,0,7,47,0,0,60,0,8,31,0,0,35,123,264,949,23,3,1369,20,19,45,4,12,97,0,0,18,0,0,22,501,1394,6027,119,29,8071,71,67,405,3,10,557,64,45,150,3,3,264,4894,4602,12170,192,50,21907
LGA18710,1972,58,8,8,7,2053,2673,30,8,4,5,2726,343,62,19,0,0,425,58,0,4,0,0,61,34,4,23,0,0,65,291,18,6,0,6,321,36,0,4,0,0,43,4,0,0,0,0,9,767,83,58,0,11,925,122,21,7,0,5,157,50,4,9,0,12,72,5594,201,86,11,38,5932
LGA19399,141,10,0,0,14,171,54,3,0,0,4,61,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,27,3,8,0,0,41,17,4,0,0,4,30,0,0,0,0,0,0,60,10,11,0,8,84,27,0,0,0,0,31,3,0,0,0,0,5,280,23,11,7,28,353
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
