LGA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,19,29,16,16,89,0,3,7,7,19,29,16,16,89,243,263,257,283,374,294,161,49,1915,23,37,37,28,45,30,24,11,233,269,299,296,319,433,348,200,72,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,0,10,4,0,5,6,0,0,0,0,11,253,263,285,305,333,299,186,89,2008,23,19,39,19,24,31,25,20,203,273,278,331,324,357,332,213,115,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,5,20,29,16,16,100,4,8,12,5,20,29,16,16,99,494,527,539,591,702,591,342,140,3922,46,52,77,50,75,61,48,29,436,542,582,627,642,791,681,411,176,4458
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,18,18,33,31,30,17,149,3,10,15,17,33,31,30,17,148,368,353,326,426,476,394,190,51,2577,27,21,19,45,46,33,27,0,217,403,371,363,486,558,467,242,69,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,7,0,0,23,0,6,4,0,5,7,0,0,22,345,400,388,489,517,380,210,84,2811,24,18,24,25,36,28,24,10,196,371,418,415,519,557,412,240,94,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,17,18,39,38,30,20,171,3,8,19,19,39,38,30,20,172,719,747,716,914,994,773,401,136,5392,56,40,44,71,77,57,50,10,416,776,794,777,1009,1106,877,477,165,5977
LGA10900,8,11,21,23,5,0,0,0,79,0,16,11,17,17,0,0,0,67,3,67,121,203,302,540,354,184,1766,15,98,154,249,324,540,354,184,1906,4147,3262,4253,4850,4754,4317,1887,407,27887,147,133,168,170,154,159,116,69,1114,4311,3492,4582,5261,5232,5014,2362,657,30905,3,3,4,0,3,0,0,0,17,0,4,4,9,6,0,0,0,13,4,4,23,38,65,48,34,24,244,3,10,35,50,70,48,34,24,273,3660,3491,4828,5473,5754,5281,2685,888,32057,113,130,149,174,148,170,178,199,1257,3782,3629,5006,5695,5971,5497,2897,1108,33588,9,16,27,23,9,0,0,0,88,5,16,12,26,21,0,0,0,80,7,71,143,241,365,587,390,204,2008,24,105,186,290,394,587,390,204,2181,7806,6756,9079,10327,10511,9605,4570,1295,59944,257,264,319,338,300,327,291,262,2368,8087,7126,9583,10957,11205,10517,5258,1763,64491
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,4,0,28,0,0,0,6,5,6,4,0,29,146,137,106,147,149,102,78,23,881,20,10,9,14,16,14,11,0,99,165,149,116,165,172,120,94,31,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,117,165,96,158,132,96,102,29,892,6,10,9,16,17,6,12,8,82,129,175,105,176,148,103,109,39,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,6,4,6,32,0,4,0,6,7,6,4,6,37,266,299,202,305,281,195,174,58,1778,25,16,20,32,36,15,23,8,181,292,320,224,336,321,225,208,71,1988
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,0,21,0,0,3,3,4,6,6,0,24,105,108,108,119,134,82,44,10,704,25,22,26,34,27,22,13,0,170,133,137,130,152,164,112,52,14,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,106,147,104,121,127,86,46,21,743,30,31,36,31,26,14,15,4,174,134,179,138,144,152,101,53,22,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,11,6,0,26,0,0,4,7,9,11,6,0,28,205,260,214,236,261,165,83,30,1448,57,54,55,63,53,35,20,4,340,260,311,273,303,315,211,106,34,1820
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,70,69,51,60,92,56,21,5,428,13,20,12,12,16,12,4,0,90,85,89,64,71,112,74,26,8,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,97,60,78,79,56,24,13,458,20,21,5,22,19,9,3,4,92,77,121,65,96,94,62,26,14,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,8,128,163,111,134,176,112,44,13,888,34,41,15,30,30,20,3,3,180,161,205,127,169,209,132,51,17,1080
LGA11250,4,0,0,3,0,0,0,0,9,0,0,0,4,0,0,0,0,5,3,14,22,46,68,105,97,48,397,3,12,23,47,68,105,97,48,414,871,926,794,874,1102,927,403,119,6023,118,103,106,90,71,63,46,33,638,993,1050,921,1015,1244,1101,542,205,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,11,3,0,47,0,0,4,8,17,11,3,0,44,796,1028,871,906,1234,1041,644,299,6823,79,96,92,74,75,62,89,79,651,875,1128,962,993,1320,1112,735,388,7516,4,0,0,3,0,0,0,0,8,0,0,0,4,0,0,0,0,6,3,16,26,53,80,113,100,57,441,3,14,27,61,80,113,100,57,459,1667,1957,1657,1788,2342,1966,1041,421,12845,199,204,196,166,150,134,128,117,1286,1874,2182,1883,2010,2570,2214,1272,590,14592
LGA11300,10,8,4,4,4,0,0,0,31,0,7,3,0,0,0,0,0,16,6,11,16,20,28,50,41,22,198,16,30,28,26,35,50,41,22,241,3246,4140,2355,1965,1863,1305,739,355,15957,217,335,150,103,86,52,73,83,1103,3477,4507,2530,2087,1987,1407,853,461,17309,5,5,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,0,4,22,6,8,3,4,5,5,0,4,32,3164,4013,2338,2305,2024,1541,992,557,16934,182,274,134,108,94,74,114,158,1143,3356,4297,2477,2416,2121,1618,1107,718,18109,10,8,4,7,4,0,0,0,33,0,7,3,0,0,0,0,0,16,5,16,22,23,33,51,39,26,224,20,35,29,28,38,51,39,26,269,6411,8159,4691,4269,3881,2843,1730,912,32895,403,611,283,206,184,130,189,241,2248,6830,8805,5002,4503,4109,3028,1960,1177,35414
LGA11350,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,20,0,9,33,34,73,138,92,49,429,0,22,31,36,72,138,92,49,443,1333,1941,2116,2117,2160,1967,635,129,12392,178,286,285,247,238,214,72,30,1549,1510,2240,2432,2403,2472,2318,802,212,14389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,25,7,5,7,76,0,5,7,12,25,7,5,7,80,1473,2325,2426,2514,2455,1994,748,301,14227,194,292,279,266,248,167,77,61,1608,1675,2629,2719,2796,2726,2171,833,370,15912,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,20,3,15,39,49,100,146,99,54,505,3,23,39,51,96,146,99,54,518,2804,4268,4536,4633,4614,3956,1378,431,26623,376,583,569,519,484,384,152,95,3156,3183,4871,5150,5197,5197,4488,1634,584,30299
LGA11400,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,11,0,8,29,39,41,66,43,25,252,0,6,36,48,41,66,43,25,264,706,481,649,785,860,751,387,83,4705,82,34,57,69,75,64,51,22,452,787,528,747,899,974,882,480,132,5424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,5,18,0,4,5,4,5,4,0,5,26,649,566,734,861,950,740,436,164,5105,68,45,58,73,58,52,47,34,421,714,610,796,938,1011,795,485,204,5551,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,10,0,7,30,45,40,71,45,25,271,4,13,37,47,45,71,45,25,288,1355,1048,1386,1645,1815,1493,818,254,9812,148,77,112,137,132,114,98,55,876,1499,1139,1539,1832,1987,1677,960,331,10970
