SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED10011,34349,36980,71327,2022,1936,3954,4650,4403,9045,2257,2115,4374,1713,1601,3319,3162,3389,6555,4251,4686,8936,4829,5330,10154,5150,5793,10944,4081,4600,8679,1717,2108,3827,513,1027,1545,32600,35263,67862,1745,1720,3463,827,858,1685,15,15,29,14,19,34,860,888,1752,26836,28642,55478,5711,6441,12149,30715,32918,63636,2036,2373,4404,30900,33257,64156,527,545,1074,4369,4138,8505,1774,1655,3430,640,673,1317,1019,1858,2876,14688,16963,31652,1831,1847,3679,6944,7287,14226,1623,1765,3389,730,765,1492,69,57,128,31677,34112,65783,2273,2615,4888
SED10012,40143,41646,81784,2469,2324,4799,5459,5102,10563,3101,2961,6059,3374,3164,6538,5418,5763,11177,4618,5380,9992,5632,5867,11501,5043,5493,10540,3011,2980,5994,1447,1771,3219,571,837,1407,38844,40482,79330,1295,1162,2458,299,281,574,21,26,44,3,3,5,322,306,626,17021,15735,32755,20963,23806,44764,9682,8655,18336,28740,31290,60032,33562,34324,67887,451,461,919,4888,4599,9490,2454,2490,4949,1376,1472,2849,1155,1756,2914,16231,16482,32713,1927,1717,3639,5432,5051,10482,1929,2043,3972,2850,3802,6649,1846,2982,4828,38348,39744,78087,1580,1755,3341
SED10013,43292,44913,88202,3637,3516,7147,6921,6697,13621,3020,3002,6021,2799,2755,5555,6225,6766,12993,6496,6802,13296,5541,5690,11231,4106,4415,8518,2887,3023,5909,1240,1467,2704,416,791,1199,41799,43638,85437,1493,1270,2765,1014,1030,2044,7,18,22,10,13,18,1029,1058,2092,33144,34384,67530,7779,8104,15886,34539,35609,70145,6626,7163,13791,38691,40123,78816,848,855,1706,6430,6230,12665,2224,2319,4540,789,894,1680,741,1524,2266,14248,16761,31007,2406,2144,4548,10038,9312,19353,2381,2436,4813,1344,1399,2741,181,257,434,40873,42371,83243,1927,2184,4110
SED10014,38514,40331,78849,2916,2692,5599,5806,5504,11307,2858,2700,5553,2957,3056,6013,5526,5971,11495,4896,5284,10183,4518,4954,9468,4313,4782,9092,3197,3458,6662,1242,1420,2659,285,518,799,37060,38958,76022,1452,1373,2828,1665,1910,3577,47,38,86,32,33,63,1739,1985,3728,25977,26842,52816,9895,10580,20482,27502,28488,55991,8669,9341,18008,32743,34079,66818,640,584,1222,5197,4932,10133,1921,1881,3797,819,898,1717,852,1510,2369,12806,14167,26972,2195,2199,4391,8344,8612,16956,2467,2634,5099,1388,1508,2896,219,347,571,36048,37775,73826,2613,2596,5214
SED10015,43543,44467,88009,2765,2598,5361,5224,4808,10032,2606,2481,5087,3054,2942,5997,7153,7153,14304,6222,6330,12550,5866,6219,12091,4482,4887,9366,3214,3500,6720,2165,2490,4656,789,1067,1857,42281,43262,85543,1259,1204,2467,276,343,616,16,26,41,8,10,14,300,375,668,20519,20033,40548,20325,21681,42004,14826,14323,29153,26308,27688,54000,33031,33860,66896,599,553,1152,4774,4401,9179,2109,2083,4198,1530,1410,2938,1850,2388,4236,21536,22162,43698,1675,1416,3089,4958,4956,9916,1471,1517,2992,2496,3114,5607,852,1250,2107,40941,41818,82759,2392,2466,4850
SED10016,39351,40477,79826,2483,2351,4834,6598,6254,12855,3113,2992,6107,2617,2309,4928,3935,4135,8068,5675,6459,12129,5734,6049,11783,4458,4660,9120,3082,3280,6357,1292,1375,2668,363,614,974,38126,39387,77517,1222,1086,2313,206,205,411,8,9,11,3,3,3,210,217,428,25025,25397,50421,13054,13761,26810,27135,27109,54241,11069,12177,23248,34199,34833,69029,683,709,1390,6301,5957,12259,2723,2628,5345,1268,1142,2411,995,1473,2472,19950,20730,40680,1718,1613,3325,5238,5916,11152,1374,1417,2790,645,754,1398,149,187,340,37822,38969,76793,1013,1124,2133
SED10017,37958,38684,76641,2769,2714,5485,5402,5230,10633,2425,2332,4755,2355,2261,4620,4952,5208,10161,5004,4902,9901,4779,4806,9584,4664,4805,9470,3615,3665,7282,1517,1812,3329,479,944,1424,35987,36910,72896,1970,1771,3741,2589,2338,4934,70,52,117,55,54,111,2717,2445,5160,32668,33112,65786,2572,2734,5307,33752,35132,68891,1000,1127,2124,33762,35114,68875,635,657,1293,4870,4749,9616,1549,1545,3094,378,503,874,564,1217,1779,7908,9810,17718,2388,2196,4582,10877,10381,21262,3304,3628,6924,1763,1812,3573,89,66,151,34203,35600,69804,3406,2900,6310
SED10018,34980,37059,72039,2341,2167,4509,4827,4523,9347,2304,2057,4362,2066,2010,4073,4089,4327,8417,4477,4851,9330,4692,4934,9629,4162,4525,8684,3268,3846,7119,1999,2544,4546,752,1281,2032,32962,35400,68364,2021,1660,3678,1169,1192,2364,16,14,32,12,25,44,1205,1229,2433,29790,31440,61232,3631,3966,7595,31651,33368,65022,1907,2194,4101,32313,34218,66535,610,574,1188,4560,4271,8831,1723,1605,3323,758,830,1584,851,1467,2318,12443,13794,26240,1975,1757,3728,7970,8651,16623,2368,2869,5230,1228,1281,2504,89,95,190,32877,34986,67859,1273,1479,2752
SED10019,36474,37036,73511,1985,1854,3839,4611,4234,8849,2316,2153,4467,1642,1525,3165,3039,3101,6139,3658,3969,7623,4712,4936,9647,5755,5896,11650,5189,5024,10215,2719,2947,5664,849,1407,2258,34314,35087,69404,2165,1951,4110,2318,2340,4658,50,55,105,45,48,94,2417,2440,4858,30834,31046,61878,2363,2754,5119,32870,33542,66411,649,830,1475,32744,33493,66232,483,487,975,4099,3786,7888,1425,1457,2881,235,340,572,492,1215,1707,8149,9533,17684,2049,2223,4269,10317,10641,20964,3408,3153,6562,2379,2046,4424,111,78,192,32875,33682,66549,4424,4131,8559
SED10020,35319,37629,72944,2058,1998,4055,4709,4584,9301,2224,2109,4331,1888,1806,3688,3701,3953,7649,3895,4326,8219,4461,5167,9633,5220,5473,10689,4187,4328,8512,2188,2601,4793,786,1284,2070,33076,35666,68742,2241,1964,4202,1687,1813,3500,33,33,67,30,43,78,1753,1894,3643,27846,29310,57154,4764,5382,10145,30227,32028,62254,2561,2898,5461,30688,32746,63436,543,506,1050,4295,4168,8464,1485,1484,2968,400,564,968,739,1617,2350,10723,12364,23088,2234,2259,4494,8464,9121,17580,2572,2604,5177,1610,1463,3073,159,188,349,32084,34346,66425,3983,4175,8156
SED10021,39738,43426,83171,2602,2580,5176,4085,4020,8104,1658,1601,3263,2487,2803,5288,8447,9701,18145,6985,7412,14396,5209,5427,10641,3603,3856,7456,2552,2900,5451,1427,1809,3235,688,1317,2009,38017,41678,79688,1724,1752,3480,224,263,491,10,15,28,12,7,12,242,286,532,21602,23318,44922,14261,16084,30342,28118,30258,58380,7852,9340,17191,28864,32000,60863,632,641,1273,3727,3684,7412,1362,1362,2721,1293,1386,2682,1902,2716,4623,23829,26842,50671,1328,1205,2537,2802,3179,5981,715,785,1495,534,689,1226,106,132,237,34728,38382,73108,5273,5323,10590
SED10022,35946,35837,71781,2087,1996,4080,4894,4586,9481,2112,2046,4158,1796,1628,3425,3405,3327,6733,3949,3854,7802,4600,4701,9296,5187,4952,10131,4608,4493,9102,2492,2803,5295,819,1448,2270,33613,33724,67335,2333,2112,4448,2014,1805,3825,43,27,68,32,25,53,2087,1861,3947,30483,30323,60801,2001,2058,4053,31278,32035,63310,930,912,1837,31571,32156,63726,511,507,1016,4319,4101,8419,1313,1366,2677,226,376,598,381,1014,1392,7353,9623,16978,1928,2111,4044,9902,9191,19090,3175,2931,6106,2366,1848,4215,119,96,215,31283,31910,63196,4285,3364,7651
SED10023,36170,37556,73728,2260,2086,4340,4801,4469,9271,2195,2179,4378,2198,2063,4259,4508,4811,9319,4840,5146,9989,5003,5203,10203,4669,4839,9508,3215,3462,6675,1754,2140,3889,729,1163,1893,34494,36060,70549,1680,1502,3178,347,330,672,23,10,34,7,13,22,376,353,732,28979,29664,58644,5329,5978,11300,31405,32155,63557,3081,3658,6737,32516,33544,66057,640,546,1186,4542,4223,8769,1794,1831,3625,857,845,1704,796,1357,2153,16345,17567,33913,1833,1581,3410,7024,7385,14410,1408,1775,3182,655,734,1383,84,75,161,33824,35231,69050,1556,1629,3183
SED10024,37985,40315,78300,2139,1982,4119,6432,5781,12210,3046,2778,5827,2143,2022,4168,2817,3060,5878,4734,5563,10296,5818,6368,12183,4213,4573,8784,3474,4014,7491,2262,2623,4884,916,1551,2461,36631,39074,75709,1353,1240,2589,65,62,131,3,3,8,0,5,5,73,71,139,22886,23478,46356,13784,15354,29142,27499,27989,55483,9240,10917,20158,32524,33902,66428,678,658,1338,6184,5560,11745,2724,2550,5273,1290,1228,2516,969,1481,2450,22162,23412,45575,1418,1592,3009,2903,3970,6874,1005,1157,2157,514,607,1121,100,141,242,36063,38193,74260,1167,1596,2768
SED10025,38388,41854,80243,2588,2432,5023,4205,4071,8269,1867,1765,3633,2545,2755,5301,6829,7306,14138,5922,6345,12268,4850,5622,10475,4067,4680,8754,3096,3506,6602,1702,2140,3845,706,1233,1946,36945,40447,77391,1440,1409,2851,174,175,353,8,12,18,0,3,5,183,195,376,21539,22800,44339,14563,16490,31051,21749,22812,44562,14517,16726,31245,29763,32177,61940,565,517,1077,3937,3786,7724,1564,1554,3114,1406,1565,2973,1533,2034,3568,21692,23570,45262,1314,1230,2545,3899,4717,8615,1050,1297,2346,1232,1642,2875,296,423,722,35689,38826,74519,2361,2782,5142
SED10026,37828,38738,76563,2782,2718,5491,5499,5015,10508,2351,2249,4602,2262,2149,4412,4769,4949,9717,4338,4572,8907,4861,5054,9911,4680,4929,9608,3758,3763,7516,1919,2307,4221,616,1039,1650,35336,36574,71911,2488,2162,4652,4980,4848,9822,52,57,115,69,87,158,5100,4996,10096,31640,32349,63992,2597,2697,5291,32670,33936,66612,1424,1552,2975,32756,34114,66869,606,617,1226,4883,4463,9340,1464,1505,2974,315,464,781,680,1402,2086,9528,12179,21704,2040,2229,4269,9538,8904,18444,2685,2583,5270,1849,1522,3378,104,93,200,33002,34433,67432,5259,4496,9756
SED10027,37879,39467,77348,2595,2545,5136,5367,4884,10252,2517,2411,4926,2580,2577,5157,4878,5163,10038,5048,5402,10454,4870,5158,10030,4465,4649,9114,3069,3170,6242,1697,2172,3870,793,1335,2125,36702,38401,75106,1182,1058,2238,390,430,822,8,11,17,6,6,11,405,444,846,24044,24652,48698,11919,12852,24765,20527,20931,41459,15628,16836,32460,32919,34266,67183,619,597,1215,4947,4548,9501,2020,2006,4022,1064,1140,2197,927,1480,2406,15688,16950,32639,1721,1545,3269,6791,6870,13663,1815,2107,3918,1541,1818,3362,403,578,983,35908,37360,73272,1656,1866,3528
SED10028,38763,41172,79934,1967,1949,3912,5356,5066,10420,3077,2783,5869,2911,2797,5705,4268,4277,8549,4798,5493,10291,5518,6096,11619,4927,5160,10091,3137,3339,6479,1836,2414,4259,954,1793,2749,37629,40191,77812,1135,979,2119,80,75,152,3,0,4,3,0,5,87,79,167,19840,20888,40725,17819,19113,36930,20345,21138,41481,17178,18568,35748,31242,33111,64347,530,534,1063,5123,4858,9981,2819,2589,5408,1833,1716,3554,1338,1852,3192,23801,24448,48248,1382,1450,2836,3177,4229,7407,1068,1325,2399,490,693,1185,158,239,395,37125,39220,76349,1081,1638,2714
SED10029,42914,44074,86985,3008,2851,5861,5967,5669,11644,3118,2905,6025,3418,3190,6609,6015,6415,12431,5299,5766,11061,5739,5802,11538,4941,5083,10025,3058,3206,6269,1723,2098,3819,637,1086,1726,41658,42914,84575,1259,1155,2412,271,303,577,8,8,20,4,3,10,286,315,607,17137,16693,33830,23250,24818,48074,10457,9821,20282,30377,32199,62579,33200,34365,67565,530,481,1007,5272,5010,10278,2373,2394,4766,1348,1392,2739,1491,2282,3771,16441,16696,33133,2027,1815,3837,5701,5381,11085,2161,2235,4400,3192,4042,7235,1871,2770,4633,40773,41857,82632,1981,2038,4015
SED10030,35870,37976,73851,2183,2004,4183,4143,4026,8167,2056,1971,4026,2078,1969,4047,4162,4239,8405,4507,4628,9133,4898,5168,10069,4703,5123,9822,4068,4493,8561,2179,2783,4967,906,1572,2479,34054,36302,70357,1815,1677,3496,1227,1205,2426,22,24,50,12,6,20,1260,1239,2499,27097,28283,55376,6213,6900,13112,30618,32144,62756,2931,3475,6406,31205,32986,64190,526,515,1038,3791,3717,7504,1454,1423,2875,589,642,1231,863,1570,2429,12463,13795,26260,2106,1948,4052,8377,9020,17406,2484,2731,5210,1289,1432,2721,114,104,214,33098,35116,68215,2525,2703,5225
SED10031,37743,38022,75766,2262,2039,4304,5016,4701,9712,2366,2237,4602,1914,1651,3565,3702,3803,7504,4388,4537,8925,5325,5496,10824,5315,5407,10720,4607,4677,9281,2206,2359,4566,645,1111,1755,35496,36055,71550,2254,1968,4219,1109,1028,2139,32,28,59,21,15,37,1165,1074,2235,30743,30891,61637,4079,4213,8293,33068,33915,66985,1564,1635,3197,33176,34097,67276,584,535,1117,4563,4297,8861,1647,1589,3236,388,462,845,669,1423,2091,11829,13755,25592,2015,2116,4135,8802,8488,17291,2521,2363,4881,1631,1296,2925,145,92,238,33457,34455,67912,4039,3174,7220
SED10032,46368,44687,91053,3836,3628,7460,6069,5581,11658,2651,2447,5097,3713,3181,6901,9305,8804,18111,7012,6260,13270,5057,5086,10138,4124,4234,8358,2691,2816,5503,1400,1773,3174,516,868,1391,45046,43494,88544,1316,1191,2506,347,323,673,6,6,16,11,3,14,368,341,704,19551,19462,39013,23842,22356,46199,14375,13909,28285,29268,28175,57446,33018,33207,66231,713,633,1344,5467,4992,10458,1969,1998,3968,1495,1403,2901,1854,2457,4303,20833,20502,41338,1769,1595,3362,5819,5447,11260,1739,1630,3368,2368,2305,4670,1137,1261,2397,43784,42047,85833,2471,2451,4921
SED10033,36652,37280,73931,2370,2248,4621,5231,4912,10143,2710,2585,5291,2492,2423,4921,4354,4473,8826,4494,4759,9247,5419,5619,11035,4503,4577,9082,3233,3348,6583,1425,1631,3061,421,703,1128,35181,35968,71154,1469,1309,2782,1213,1199,2414,26,17,46,9,10,17,1252,1226,2476,29694,29903,59590,4595,4971,9571,32105,32542,64646,2414,2583,5000,32873,33357,66227,662,589,1254,4837,4558,9396,1870,1918,3785,634,800,1438,634,1262,1895,10809,13367,24178,2139,2016,4153,9920,8923,18843,2492,2278,4764,1386,1166,2550,124,100,221,33917,34616,68530,2532,2392,4928
