SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED10011,129,266,210,129,172,50,24,972,14,9,15,5,8,0,0,47,0,4,7,7,7,3,0,21,199,440,394,267,418,108,62,1893,5,14,6,5,10,3,0,48,15,33,19,13,14,0,0,97,22,49,27,19,23,3,4,144,220,488,419,284,440,115,65,2037,244,273,137,82,106,23,16,871,3,0,3,0,4,0,0,11,468,759,562,367,554,135,78,2923
SED10012,133,292,201,146,216,121,51,1161,22,6,0,5,10,7,6,53,12,19,11,9,15,3,0,60,286,532,383,285,406,243,126,2263,24,48,51,23,26,34,11,210,42,95,69,31,44,34,8,324,59,144,119,60,69,69,19,539,346,675,505,345,478,310,148,2800,678,688,376,275,363,207,120,2715,13,25,21,13,4,5,0,81,1040,1385,898,625,846,521,269,5587
SED10013,134,291,214,121,157,47,24,985,25,15,15,8,9,3,3,76,3,13,5,3,9,0,0,29,287,601,465,331,433,173,74,2366,13,13,7,14,17,7,5,72,28,37,20,11,9,0,0,107,34,50,26,27,24,7,5,178,328,650,490,352,465,179,77,2541,332,323,163,82,114,37,22,1075,7,3,7,4,0,0,0,27,663,977,657,443,580,218,103,3645
SED10014,154,310,192,147,179,41,32,1049,22,26,11,8,10,3,0,82,14,9,7,5,4,0,0,49,342,627,431,320,427,133,87,2362,30,75,43,27,38,10,4,229,61,97,52,43,29,3,3,293,97,178,98,68,65,10,9,528,440,798,531,392,497,142,93,2893,908,822,410,252,268,79,39,2774,23,29,10,10,10,0,0,82,1368,1646,951,650,774,222,132,5751
SED10015,88,182,162,116,164,92,40,835,10,11,10,0,7,5,0,43,4,3,9,11,15,5,3,40,184,385,343,242,387,218,110,1869,3,16,16,15,26,10,4,97,9,48,22,19,26,10,7,145,19,59,44,35,48,22,12,243,202,446,383,275,436,242,119,2114,275,325,161,111,157,86,59,1174,0,9,9,0,0,0,3,28,487,778,556,392,595,331,185,3312
SED10016,56,136,121,95,107,55,36,605,7,6,4,3,0,0,3,22,0,5,7,4,3,0,0,23,129,345,307,238,331,180,103,1630,0,7,3,7,15,4,0,37,9,15,10,12,7,7,5,56,9,21,15,14,21,9,3,95,137,365,319,258,351,185,105,1725,91,94,68,58,67,38,18,446,3,3,0,3,0,0,0,10,229,464,391,313,420,230,128,2176
SED10017,191,351,237,154,158,36,12,1143,33,16,6,9,12,0,0,82,3,6,8,12,6,0,0,42,326,554,402,292,343,82,31,2020,32,59,48,21,35,0,3,196,66,83,33,29,20,3,3,240,96,145,86,45,51,3,4,436,424,706,490,337,391,88,35,2463,735,630,287,195,166,26,6,2050,11,14,10,7,6,0,0,40,1162,1348,787,539,565,114,43,4553
SED10018,133,283,197,129,148,49,20,961,25,13,9,7,10,0,0,70,4,9,4,0,3,0,0,21,210,488,398,285,384,160,74,2004,18,33,15,10,11,8,0,99,21,41,17,15,23,6,4,126,37,75,35,25,36,6,3,220,246,563,435,314,414,175,84,2225,308,307,185,118,136,15,26,1092,3,4,0,0,4,0,0,20,555,883,621,432,556,185,105,3336
SED10019,105,263,186,145,182,27,6,910,12,22,18,6,15,4,0,74,7,8,4,0,3,0,0,23,193,452,344,266,377,63,15,1702,22,66,39,17,27,7,0,182,38,73,21,10,12,3,0,170,58,144,62,31,47,9,3,351,250,596,409,296,418,63,15,2056,656,620,321,193,178,26,8,2005,6,19,4,6,11,0,0,43,914,1234,733,488,609,93,29,4102
SED10020,171,380,261,167,207,35,9,1233,13,18,13,5,9,0,0,55,3,11,9,3,14,0,3,42,263,599,472,339,460,82,24,2242,13,59,25,29,16,11,0,147,24,58,16,13,24,3,0,145,41,118,32,40,42,15,3,297,302,721,511,380,497,96,28,2536,423,441,235,160,149,44,22,1473,0,3,8,6,3,0,0,24,733,1164,751,539,655,141,52,4036
SED10021,69,161,80,71,78,54,25,542,20,3,0,0,3,3,3,35,0,3,4,3,0,0,0,14,176,409,244,185,249,146,92,1508,5,7,3,0,11,5,0,29,15,18,9,4,4,0,4,51,14,22,9,3,14,9,4,74,194,434,256,195,259,154,91,1585,81,97,59,35,58,29,24,377,0,0,0,0,0,0,0,6,272,529,321,228,319,183,119,1965
SED10022,127,276,190,140,167,16,5,923,17,18,4,3,8,0,0,46,4,4,3,6,6,0,0,24,202,468,355,250,338,45,8,1660,13,56,47,18,23,4,0,163,22,40,25,12,4,0,0,108,38,95,67,32,25,4,0,266,241,560,424,287,361,48,8,1923,502,459,223,115,148,27,7,1482,17,18,9,5,5,0,0,46,753,1038,655,404,515,74,14,3457
SED10023,88,199,144,95,115,50,22,708,14,3,3,0,3,5,0,31,8,6,4,3,3,0,0,24,162,347,298,207,326,149,69,1562,3,8,4,0,10,3,0,27,3,18,3,9,3,3,0,48,9,24,14,9,18,4,0,76,170,376,308,220,340,149,69,1636,103,96,70,32,38,12,17,380,0,0,0,0,0,0,0,3,274,469,383,251,388,167,89,2016
SED10024,54,125,100,80,109,73,36,581,4,3,3,0,5,5,0,22,0,0,3,3,4,3,0,19,105,274,246,190,324,216,103,1456,0,7,3,4,4,4,3,20,4,4,7,5,3,3,0,28,4,15,10,5,5,4,3,46,107,291,251,196,332,224,107,1507,51,106,86,61,97,51,39,486,3,0,0,0,0,0,0,4,158,392,339,255,431,279,146,2001
SED10025,68,174,91,52,93,63,39,579,6,7,3,3,0,3,0,19,0,5,8,3,0,3,0,20,141,383,255,180,283,196,106,1543,5,6,7,7,7,3,3,30,9,10,8,8,3,7,3,49,8,18,12,12,11,11,5,79,150,396,265,191,294,212,110,1621,112,133,71,47,70,38,34,502,3,3,0,0,0,0,0,5,270,533,337,237,360,247,144,2135
SED10026,223,347,179,116,136,25,9,1043,27,12,13,5,4,3,0,61,5,19,15,10,11,0,0,64,390,657,379,264,392,60,15,2166,28,46,30,21,18,4,4,158,57,71,28,26,13,3,0,200,85,122,62,50,35,8,4,357,478,782,441,318,425,69,24,2523,690,547,258,141,137,13,3,1799,15,15,11,3,3,0,0,42,1173,1339,702,463,567,83,30,4361
SED10027,92,198,144,111,149,62,27,786,10,0,3,3,14,6,3,35,0,8,8,5,15,6,5,49,204,376,317,242,380,194,82,1797,6,39,17,13,17,4,9,106,19,43,18,13,12,7,3,110,26,76,36,27,27,10,9,213,229,457,351,275,409,205,96,2009,332,288,191,112,158,73,52,1204,5,4,0,0,0,0,0,14,568,745,542,384,566,279,147,3233
SED10028,39,100,80,75,90,68,37,494,13,3,0,3,7,3,0,27,0,3,3,0,5,4,4,17,101,251,219,191,301,235,122,1423,0,5,4,3,11,4,3,35,3,15,5,4,3,0,3,36,3,23,15,9,16,3,10,72,105,273,235,195,315,241,131,1497,86,116,72,74,92,75,59,576,0,3,3,0,4,0,3,10,199,393,310,275,412,307,186,2084
SED10029,105,208,173,119,175,113,36,923,16,15,5,7,6,3,0,53,9,17,12,9,11,9,9,76,258,465,361,260,409,239,120,2116,18,37,18,21,29,8,3,125,43,73,55,43,47,18,15,305,59,111,78,57,79,26,21,431,321,575,436,320,486,271,146,2543,643,719,417,287,328,244,127,2762,24,19,7,4,6,3,0,59,989,1311,859,611,813,510,275,5368
SED10030,117,316,202,134,174,33,21,997,14,11,9,4,13,4,4,51,3,6,3,7,5,3,0,28,215,508,351,267,384,116,75,1915,15,45,23,17,22,6,0,124,31,53,20,12,17,9,0,129,46,99,42,27,31,16,3,261,259,601,390,290,422,131,72,2170,405,346,208,116,141,30,20,1271,6,5,7,4,3,0,0,17,669,948,605,416,562,158,95,3461
SED10031,127,269,160,132,149,24,9,869,19,10,16,17,4,4,0,69,10,7,11,0,10,5,0,47,231,472,369,285,380,65,28,1838,10,20,23,10,22,0,0,89,22,55,21,8,11,0,0,125,34,75,48,21,31,3,0,211,266,543,419,306,415,72,31,2052,343,310,156,107,134,16,6,1061,17,6,5,4,0,0,0,34,625,860,578,417,548,82,37,3152
SED10032,97,176,118,97,128,69,23,699,11,8,6,3,10,4,0,33,16,13,6,6,12,7,3,59,205,374,254,188,299,163,82,1564,14,29,5,10,9,9,0,74,23,65,29,19,26,12,3,182,34,92,39,32,31,20,3,255,235,463,296,220,331,187,91,1824,541,460,240,154,208,117,96,1805,4,21,10,5,3,0,0,43,785,937,541,377,541,307,182,3670
SED10033,126,238,143,101,127,34,13,784,10,10,12,5,9,0,0,46,4,5,3,0,3,0,0,22,228,425,330,254,365,132,69,1799,13,20,12,17,16,0,0,89,16,25,19,6,13,3,3,87,32,51,32,30,25,4,3,175,259,478,362,287,393,136,75,1975,329,259,140,108,104,28,12,990,7,11,6,8,10,0,0,33,595,749,506,403,502,167,87,2996
SED10034,104,222,134,130,117,55,30,792,12,11,3,4,14,4,0,57,5,3,0,3,4,0,0,13,198,408,315,284,355,210,96,1870,4,11,10,9,9,4,0,46,16,17,6,3,11,3,0,58,22,25,17,18,15,8,0,96,216,427,335,302,377,215,102,1968,144,142,76,51,52,32,17,521,4,8,0,5,0,0,0,10,357,572,410,359,430,250,115,2496
SED10035,72,130,97,65,76,51,22,515,11,8,5,3,12,3,0,39,3,3,3,3,0,0,0,21,180,299,234,162,248,160,88,1378,3,15,5,5,8,6,3,49,19,23,14,5,12,3,4,78,21,38,24,10,20,12,11,128,203,334,258,177,266,174,95,1509,163,157,91,79,106,73,46,712,3,3,0,0,0,3,0,14,371,491,351,259,369,251,148,2233
SED10036,106,196,124,85,136,48,31,727,15,11,11,6,4,3,3,54,5,8,4,4,3,4,0,30,228,402,308,242,409,178,99,1864,5,20,15,10,8,3,4,68,17,39,29,15,19,3,5,124,19,61,40,19,30,9,10,194,249,469,346,262,439,183,106,2059,450,424,189,144,175,63,39,1493,9,14,3,3,4,0,4,35,710,906,544,411,614,254,148,3582
SED10037,51,164,121,100,131,62,42,666,5,16,3,5,10,0,3,43,0,3,6,9,8,3,3,28,99,342,288,261,347,184,116,1634,3,9,0,0,14,3,3,38,3,16,3,8,4,7,6,49,6,26,6,10,15,14,8,88,110,370,290,265,361,197,123,1720,71,93,64,43,67,51,26,413,0,3,0,0,0,0,0,5,181,465,352,312,427,256,147,2140
SED10038,124,259,172,137,159,67,28,939,13,12,10,5,14,4,4,57,8,6,6,3,8,0,0,27,200,431,342,268,390,172,88,1885,13,22,23,18,15,7,3,99,18,48,19,14,14,3,6,109,27,66,43,31,27,10,5,214,229,500,377,302,415,178,99,2101,286,270,151,116,117,43,19,1007,3,10,4,0,0,0,0,18,521,776,534,416,535,217,116,3129
SED10039,136,245,212,124,153,44,14,929,14,20,11,5,9,0,0,64,3,11,3,3,7,4,0,26,230,436,343,255,361,119,41,1788,13,21,17,11,20,13,3,101,20,45,18,3,11,3,0,97,28,61,35,22,34,14,3,200,259,494,377,276,397,130,47,1983,285,256,152,79,101,17,10,911,4,4,4,0,0,0,0,11,549,762,532,360,499,152,59,2909
SED10040,105,175,129,91,174,116,50,842,16,3,0,3,4,3,0,30,3,9,4,8,7,8,11,45,212,369,283,219,378,267,140,1862,3,14,7,4,15,15,5,60,12,36,18,14,21,17,5,124,23,48,24,18,35,31,10,188,233,413,314,233,414,297,150,2052,273,296,152,117,162,99,64,1169,3,8,5,5,4,0,3,28,501,722,473,362,577,399,215,3245
SED10041,48,102,92,78,111,81,31,546,7,7,0,0,8,3,3,26,3,0,0,3,3,0,0,12,122,273,251,211,371,216,112,1564,4,8,3,8,7,4,8,36,11,9,5,10,18,7,3,64,15,13,10,12,22,11,9,96,137,286,260,230,393,226,123,1658,77,142,85,55,104,67,34,560,3,0,0,0,0,0,0,3,216,431,346,283,500,296,156,2230
SED10042,167,291,183,119,175,36,17,992,19,13,12,7,7,10,0,73,8,11,8,4,12,0,3,39,250,473,354,255,388,114,54,1886,11,47,32,13,17,3,3,137,31,53,33,10,24,0,3,160,51,104,62,31,44,5,6,293,303,579,418,283,427,124,58,2181,428,395,218,130,129,26,11,1346,4,10,4,3,4,0,0,31,739,982,640,420,566,147,67,3558
SED10043,110,209,123,93,126,68,43,768,15,7,4,3,4,0,3,39,16,15,13,8,12,7,4,64,215,368,271,202,284,181,100,1616,12,26,18,11,11,8,5,91,21,64,35,28,46,26,12,232,34,93,49,39,57,38,20,320,246,457,318,232,341,212,119,1935,514,576,357,206,286,171,86,2192,19,17,16,3,3,7,0,63,779,1051,692,441,629,392,205,4184
SED10044,59,133,93,62,102,47,27,530,12,3,4,4,0,6,0,26,0,3,4,0,0,0,0,13,151,333,240,175,293,194,130,1519,3,9,7,5,9,5,0,40,8,11,10,7,9,3,3,51,7,20,21,13,15,12,3,96,158,354,263,196,311,205,132,1614,81,91,55,36,49,40,29,375,0,3,3,0,0,0,0,5,240,444,321,227,358,240,158,1993
SED10045,131,342,244,163,235,45,17,1173,25,25,3,5,7,0,0,59,6,8,21,7,15,0,3,55,223,575,445,312,481,90,38,2162,13,46,42,29,28,5,3,170,26,54,35,27,30,8,0,172,43,106,74,52,57,13,0,338,264,676,514,359,544,108,40,2501,491,555,278,181,179,51,18,1752,6,13,10,9,3,0,0,42,759,1247,803,544,730,159,57,4291
SED10046,115,218,169,124,159,65,36,884,15,6,0,3,4,3,0,37,16,14,13,12,24,10,3,89,258,482,346,267,444,215,110,2124,14,48,26,14,23,14,12,159,30,86,55,26,35,15,0,248,49,131,80,40,62,28,12,406,308,616,429,307,503,239,118,2528,805,773,438,285,369,140,94,2901,19,15,17,10,9,4,3,73,1131,1404,885,600,880,386,218,5504
SED10047,222,368,224,144,153,44,19,1179,34,12,8,7,10,3,3,78,13,20,14,4,8,3,0,72,450,727,517,334,443,155,62,2689,36,71,45,32,31,7,0,217,78,107,42,35,38,8,3,304,113,172,86,64,70,14,4,521,562,902,600,393,507,167,72,3208,1190,987,466,294,283,64,26,3309,22,35,12,13,4,3,0,93,1779,1915,1078,699,803,237,95,6603
SED10048,165,264,180,107,147,55,19,941,7,13,10,5,3,3,6,51,9,13,11,11,0,0,0,44,327,535,414,273,391,174,89,2202,20,49,25,21,36,9,5,165,29,77,45,25,29,11,4,219,51,128,67,51,63,13,9,380,383,665,479,322,449,191,97,2585,604,537,286,188,210,67,38,1931,18,24,7,5,4,0,4,60,1007,1224,774,511,673,258,142,4581
SED10049,217,333,231,117,165,30,22,1120,25,18,9,5,12,0,0,78,8,9,9,7,5,0,3,42,372,598,447,277,435,109,66,2313,30,46,42,29,34,11,0,187,52,97,32,13,23,11,0,234,81,147,76,42,52,16,0,421,449,742,525,328,490,125,71,2728,606,506,286,139,158,26,18,1734,9,17,6,3,3,0,0,35,1057,1264,813,468,649,154,95,4499
SED10050,65,161,117,62,110,48,21,593,16,6,0,3,8,0,0,37,0,7,3,0,0,0,3,11,139,367,301,192,340,146,75,1567,0,8,3,0,8,0,7,33,11,18,3,4,7,3,0,47,11,28,11,3,10,4,5,76,150,393,312,198,351,150,84,1641,80,102,75,37,56,34,17,397,3,6,3,4,0,0,0,14,236,497,384,237,410,184,98,2051
SED10051,97,148,118,80,141,38,22,642,13,16,3,4,4,3,0,44,4,7,0,0,3,0,3,21,212,402,289,218,325,161,94,1705,12,17,16,9,11,3,6,71,8,25,16,7,5,0,6,70,16,39,29,15,16,8,9,136,233,446,318,231,348,169,102,1841,204,191,114,97,111,60,41,806,6,3,6,3,0,0,0,27,446,641,438,330,451,222,147,2673
SED10052,103,221,155,114,121,49,25,792,8,6,6,0,3,3,0,24,5,5,6,0,0,0,3,18,193,386,312,226,322,135,88,1662,3,4,6,5,5,5,4,29,10,24,9,4,8,4,0,57,19,26,11,6,13,10,4,87,210,417,323,228,335,141,90,1753,144,148,78,62,88,25,22,574,0,7,0,0,0,0,0,5,352,565,408,290,423,170,114,2333
SED10053,116,215,132,90,91,16,13,662,23,12,5,4,7,0,0,52,6,9,4,6,8,0,0,24,253,462,322,233,339,106,38,1749,11,24,15,5,4,0,0,60,21,31,11,4,3,3,0,77,32,59,26,10,13,3,3,139,281,517,342,242,346,109,44,1886,268,209,104,80,60,8,5,738,7,11,3,0,6,0,0,23,561,739,448,324,408,114,54,2648
SED10054,148,257,171,113,165,63,27,957,30,19,11,4,10,3,7,74,3,9,15,6,15,6,3,64,328,598,396,282,465,195,100,2368,33,64,35,34,40,12,4,227,58,77,43,30,21,4,7,243,88,145,79,66,62,11,10,467,420,741,475,349,521,208,112,2836,924,840,417,288,290,92,53,2902,30,27,15,11,6,3,0,90,1375,1612,903,646,818,305,163,5826
SED10055,148,269,161,97,119,44,13,852,26,8,8,3,0,3,3,55,10,10,4,4,8,0,5,49,319,528,392,305,390,168,85,2192,15,27,14,10,17,3,3,85,12,23,19,11,21,3,0,91,26,50,30,25,36,8,7,182,341,582,424,330,427,177,87,2370,294,259,157,92,95,47,26,973,11,3,0,0,0,0,0,15,651,842,577,420,529,223,112,3353
SED10056,183,264,187,114,153,21,4,922,17,10,13,5,3,3,0,53,12,7,11,3,6,0,0,38,292,468,375,244,348,59,10,1793,21,32,10,9,12,3,0,84,30,37,20,14,15,3,0,121,46,72,31,27,28,3,0,204,344,537,401,270,377,63,10,2002,464,384,184,100,104,18,3,1255,8,19,18,9,3,0,0,61,820,946,601,375,479,82,13,3319
