SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10011,23,394,3162,11127,7431,1762,391,396,24696,18,173,231,283,27,3,0,24,754,0,54,243,239,13,6,3,18,576,18,223,477,516,37,7,3,40,1322,11,159,180,43,5,0,0,22,421,0,41,62,14,0,0,0,3,128,0,0,9,0,0,0,0,0,9,0,6,3,0,0,0,0,0,10,13,206,248,55,5,0,0,32,569,0,17,11,13,9,0,0,5,55,3,13,26,24,15,10,6,16,107,57,852,3926,11736,7494,1783,400,488,26747
SED10012,35,159,929,7536,5899,1597,446,423,17030,13,73,97,349,42,9,4,17,605,5,156,655,1370,241,13,4,81,2521,23,225,753,1714,282,19,7,98,3127,5,126,449,173,6,5,3,26,803,9,135,1329,160,5,0,3,60,1696,3,33,177,9,0,0,0,9,225,0,3,22,7,0,0,0,4,42,14,294,1980,356,17,9,3,97,2769,0,5,20,15,15,3,0,3,64,0,12,17,18,4,0,4,11,75,76,698,3705,9648,6213,1635,459,636,23064
SED10013,24,162,687,6524,14053,2666,534,363,25015,14,140,294,257,91,9,3,55,846,0,34,136,284,113,18,0,14,594,14,168,423,535,205,24,7,71,1442,0,23,95,11,0,0,0,16,154,0,0,27,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,31,131,16,0,0,0,18,200,4,29,21,15,7,0,0,10,83,0,10,12,22,41,7,0,57,147,46,398,1272,7109,14306,2700,540,522,26886
SED10014,35,125,686,10273,6687,1498,400,421,20122,15,46,508,799,65,5,0,55,1485,9,204,460,893,196,7,3,71,1846,19,253,971,1690,259,13,3,126,3334,29,108,436,152,5,0,0,31,754,0,12,223,46,0,0,0,4,284,3,77,526,146,0,0,0,16,766,0,0,8,0,0,0,0,4,9,30,195,1188,342,5,0,0,56,1822,0,0,20,16,10,0,5,3,54,3,10,17,3,6,0,0,8,40,85,584,2883,12333,6967,1510,406,610,25380
SED10015,24,116,2126,7549,3649,1148,283,346,15240,12,67,562,356,67,16,3,35,1115,3,123,678,890,532,33,12,59,2325,11,185,1239,1245,604,48,17,91,3441,30,502,3806,407,60,15,0,168,4996,36,265,2559,296,13,3,4,71,3239,3,253,1183,269,27,0,3,43,1780,0,4,7,4,5,0,0,0,16,67,1023,7549,979,107,17,10,284,10037,0,24,101,64,20,4,0,9,220,0,14,33,29,9,0,4,14,105,114,1367,11047,9859,4386,1214,306,750,29040
SED10016,9,64,294,2579,11963,3655,775,270,19592,0,26,261,168,22,3,0,15,494,0,10,173,884,846,174,22,33,2147,0,37,434,1056,872,179,21,44,2647,0,15,146,150,10,0,3,6,331,0,29,342,133,4,0,0,14,522,0,86,372,156,3,0,0,18,624,0,0,0,3,0,0,0,0,10,0,134,859,435,14,0,3,34,1488,0,4,0,5,0,0,0,0,13,0,9,10,4,19,12,3,9,63,12,249,1598,4080,12864,3841,798,366,23802
SED10017,36,346,2963,11586,7349,1081,232,524,24118,7,192,760,443,17,3,0,99,1525,0,80,103,56,9,0,0,8,255,7,276,860,501,26,3,0,104,1778,3,131,129,33,7,0,0,18,318,0,12,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,142,135,40,7,0,0,18,341,3,18,25,20,4,0,0,4,70,3,12,26,44,21,3,5,14,128,50,786,4008,12181,7407,1094,240,668,26431
SED10018,19,156,2503,11213,6422,1322,210,352,22210,7,243,1219,562,11,4,0,61,2102,0,73,498,673,49,4,4,28,1334,12,317,1717,1234,64,5,4,87,3438,13,242,331,97,11,0,0,28,730,0,29,48,18,0,0,0,0,103,0,34,94,58,0,0,0,0,187,0,15,9,7,0,0,0,0,29,13,315,477,179,18,5,0,30,1041,0,32,69,12,8,0,3,7,138,0,9,10,13,5,0,5,10,48,42,827,4771,12656,6519,1339,217,492,26868
SED10019,90,531,3325,11786,6362,1059,251,610,24015,16,151,471,332,17,5,3,49,1042,0,49,199,236,22,7,3,9,529,14,199,678,564,39,16,8,59,1575,8,208,863,289,39,3,0,75,1488,0,12,46,21,0,0,0,3,77,0,0,5,0,0,0,0,3,10,0,5,0,0,0,0,0,0,3,8,220,917,305,43,3,0,84,1586,102,293,234,96,19,5,9,57,813,3,21,37,61,22,11,3,21,179,220,1268,5189,12814,6485,1087,270,831,28171
SED10020,43,306,1866,9302,6549,1341,290,403,20092,8,117,1096,594,52,9,0,83,1958,6,87,472,633,95,8,3,39,1354,13,201,1563,1236,150,17,4,126,3315,22,291,1237,405,32,7,3,99,2095,3,43,215,45,0,0,0,15,320,3,50,139,87,10,3,0,6,301,0,4,0,0,0,0,0,3,9,29,389,1599,535,38,8,3,122,2729,59,208,230,65,17,4,0,48,631,6,36,72,80,30,12,0,49,280,156,1143,5328,11212,6783,1377,295,752,27042
SED10021,6,51,372,1814,2008,740,194,78,5261,5,44,731,1342,381,68,6,66,2641,0,70,546,1367,897,161,23,67,3123,10,112,1273,2712,1275,227,30,133,5772,84,928,2229,647,97,20,17,104,4124,84,1927,6986,1399,55,23,9,276,10754,170,1127,2664,800,24,3,3,125,4917,3,25,17,11,9,3,0,3,71,339,4006,11901,2855,174,49,25,509,19868,15,165,237,118,19,5,0,18,566,0,20,16,29,22,3,3,15,111,367,4357,13805,7520,3505,1026,249,748,31577
SED10022,49,417,3233,11466,7088,1334,304,751,24642,3,89,425,188,35,7,3,42,790,4,0,16,21,0,0,0,0,36,6,85,439,200,35,7,3,42,826,20,182,503,91,6,0,6,59,870,0,11,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,197,514,91,6,0,6,59,892,23,56,39,42,23,3,3,15,200,0,13,54,75,36,16,8,22,224,103,761,4275,11878,7191,1363,328,885,26786
SED10023,11,95,830,5666,6052,2039,353,236,15277,6,91,193,427,25,3,0,27,773,4,105,452,1748,282,27,10,66,2698,6,199,647,2178,309,28,10,90,3471,13,869,816,227,30,0,4,61,2015,3,421,2625,533,14,0,0,80,3691,13,174,1245,416,8,0,0,42,1905,0,0,0,0,0,0,0,0,3,33,1465,4681,1174,51,3,5,188,7605,0,11,49,16,6,3,0,6,88,3,6,16,15,15,0,0,7,63,58,1778,6218,9054,6432,2073,373,532,26511
SED10024,12,62,463,5107,9209,4067,792,224,19948,0,81,223,98,13,3,0,56,481,0,73,230,593,149,18,10,31,1093,7,151,453,698,161,19,11,80,1573,10,113,380,261,16,3,4,31,826,13,86,288,149,0,0,0,16,549,3,238,1340,651,19,0,0,26,2271,0,0,0,0,0,0,0,0,3,25,438,2009,1066,33,10,4,69,3647,0,3,6,3,0,5,3,0,26,0,17,10,8,15,0,0,3,58,42,673,2950,6877,9419,4103,808,382,25247
SED10025,8,55,1443,5197,3455,1118,210,194,11680,8,60,502,344,71,16,3,20,1026,4,64,435,996,196,15,3,36,1743,12,128,930,1346,269,31,3,55,2770,69,454,1887,656,56,5,7,81,3209,3,169,1887,724,27,0,0,54,2869,18,1593,4788,1962,60,4,0,131,8559,0,4,4,3,0,0,0,0,18,92,2214,8570,3344,143,10,10,260,14649,3,46,124,71,8,3,4,11,272,4,22,52,30,17,9,3,21,147,112,2467,11123,9987,3891,1177,230,536,29520
SED10026,41,311,2160,10125,8505,1470,285,553,23445,8,131,808,290,42,4,0,49,1336,0,6,33,18,5,0,0,3,75,8,140,848,311,49,4,0,58,1411,20,311,892,142,19,3,0,77,1467,0,10,10,0,0,0,0,0,22,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,327,907,143,19,3,0,75,1496,24,63,80,118,105,24,5,53,466,0,11,39,48,25,10,7,15,154,92,844,4027,10753,8707,1503,303,750,26979
SED10027,25,148,1731,8165,5195,1473,350,358,17452,3,121,238,748,96,3,0,30,1241,3,192,404,1894,1862,186,16,96,4653,9,309,643,2641,1958,189,16,125,5898,23,372,216,34,7,3,0,40,702,0,24,122,21,0,0,0,9,168,0,16,85,19,0,0,0,7,126,0,9,14,3,5,0,0,8,45,27,418,439,75,8,4,0,59,1038,0,9,62,22,18,3,0,3,115,0,13,17,21,24,8,0,6,90,62,898,2897,10929,7211,1678,369,559,24595
SED10028,10,74,610,4883,9193,2769,580,214,18334,15,146,292,365,32,3,3,21,872,0,45,201,1498,462,71,8,50,2335,14,184,497,1865,490,77,11,78,3208,15,277,428,55,12,0,3,57,844,11,156,1020,330,11,0,0,42,1573,6,134,1187,306,3,0,0,23,1657,4,3,8,4,0,0,0,3,21,25,574,2643,701,28,3,3,123,4098,3,3,7,5,3,0,0,3,17,0,6,8,12,14,4,0,7,57,53,853,3761,7463,9727,2851,591,421,25718
SED10029,35,174,1602,7965,4276,1141,382,521,16093,10,95,293,384,57,4,6,40,885,14,112,423,1872,532,61,11,91,3115,21,205,710,2257,587,68,16,134,3998,31,564,831,294,41,4,6,79,1845,3,176,875,121,0,0,0,57,1238,15,179,1452,140,3,0,0,55,1845,0,7,16,0,0,0,0,0,22,45,926,3170,557,39,4,10,192,4944,3,17,52,93,29,6,3,16,221,0,17,55,19,21,7,0,37,149,108,1346,5588,10901,4954,1223,407,887,25404
SED10030,47,375,2890,8676,5289,1243,250,418,19200,10,101,1113,1702,43,12,3,114,3101,18,169,571,1135,72,3,0,65,2029,26,275,1679,2834,112,13,4,180,5125,68,505,1214,460,31,3,3,139,2418,4,44,474,166,5,0,0,22,716,0,61,560,262,8,0,0,18,906,5,7,5,0,0,0,0,0,21,76,616,2251,881,44,3,7,181,4054,20,169,173,59,9,4,0,19,454,7,40,52,24,18,0,0,42,185,180,1473,7048,12484,5466,1266,269,839,29021
SED10031,82,460,2742,10769,8451,1791,486,514,25284,12,177,624,382,42,9,5,60,1303,0,3,85,60,14,3,3,12,174,14,180,702,440,52,9,8,73,1477,0,119,272,37,8,6,3,15,458,0,26,37,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,3,147,306,43,8,6,3,17,536,22,75,89,35,24,6,3,33,279,5,12,42,65,43,8,6,21,205,123,869,3876,11351,8579,1820,510,656,27789
SED10032,36,166,1767,6756,3688,1077,286,409,14186,21,213,634,492,78,7,4,50,1502,11,112,464,1482,743,110,16,71,3013,27,328,1094,1974,819,121,20,126,4512,39,275,1453,205,13,5,0,82,2079,19,230,3732,454,15,0,3,147,4595,10,198,1910,390,10,3,3,81,2598,0,7,15,0,0,0,0,3,30,62,709,7106,1059,36,6,11,323,9309,0,10,39,24,8,3,0,6,95,3,19,36,38,21,4,0,40,156,126,1230,10049,9844,4575,1218,317,896,28254
SED10033,39,286,1443,8350,7433,2237,771,369,20919,13,199,552,768,53,3,3,67,1652,0,48,88,328,54,6,4,16,542,13,247,637,1096,107,13,6,75,2193,0,65,260,54,13,3,0,18,410,0,0,66,8,0,0,0,4,77,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,66,323,69,16,3,0,19,500,18,62,55,25,19,5,3,21,204,3,20,37,48,36,14,0,29,186,76,683,2487,9581,7609,2270,787,511,24002
SED10034,12,127,873,7596,7636,1935,313,224,18726,3,23,271,254,27,3,0,9,583,0,17,430,1325,118,7,4,36,1931,0,35,695,1573,144,6,4,46,2507,9,191,458,224,17,0,0,36,928,3,119,2223,210,3,0,0,57,2620,0,40,724,103,0,0,0,18,892,0,5,5,0,0,0,0,0,12,7,361,3409,541,13,3,0,110,4448,17,55,35,19,11,0,0,9,151,0,8,13,25,15,0,0,15,81,46,584,5032,9755,7815,1951,318,406,25916
SED10035,14,72,1045,3259,1631,540,205,154,6923,11,168,1090,812,193,33,12,45,2366,11,121,670,1341,464,55,16,66,2743,17,294,1758,2151,656,86,26,113,5108,82,518,1436,425,52,18,14,84,2631,92,1253,3248,725,41,4,3,167,5526,270,5448,10569,1936,75,30,11,451,18782,0,21,16,12,5,0,3,3,62,446,7242,15269,3088,167,52,29,707,26997,3,47,63,46,24,10,7,11,213,4,51,65,27,17,3,0,68,243,493,7703,18210,8568,2498,685,267,1059,39483
SED10036,24,98,602,7641,9396,1958,338,440,20505,3,66,251,176,16,7,0,26,547,3,148,760,1617,280,20,3,84,2914,11,208,1013,1786,293,20,5,115,3461,0,77,94,16,3,0,0,14,210,0,9,167,63,0,0,0,10,255,0,6,36,0,3,0,0,0,43,0,10,16,11,0,0,0,0,39,0,101,312,92,9,0,3,30,544,0,3,4,23,14,0,0,4,51,0,17,7,13,12,3,0,6,63,39,424,1945,9554,9722,1987,353,600,24620
SED10037,22,215,1269,7364,8160,2319,570,285,20205,0,98,111,154,46,3,0,12,418,4,47,219,814,157,13,0,18,1272,4,146,332,966,196,16,0,33,1695,9,134,276,189,10,3,0,15,627,77,274,2184,274,3,0,3,56,2867,14,91,451,84,0,0,0,7,646,0,13,3,6,4,0,0,3,24,103,505,2914,544,17,3,7,76,4167,3,16,37,28,7,3,0,7,108,3,23,26,23,12,3,0,26,119,137,905,4579,8923,8394,2343,585,430,26292
SED10038,16,113,1750,9372,6588,1659,359,351,20207,15,183,907,651,63,12,0,57,1889,10,208,949,1484,131,11,3,86,2865,22,390,1858,2138,193,15,0,136,4754,17,381,1266,431,56,7,3,76,2227,0,31,354,97,3,3,0,13,503,0,5,134,17,0,0,0,0,160,0,3,0,3,0,0,0,0,5,21,428,1749,550,60,9,3,90,2900,11,27,61,37,12,0,0,7,151,0,11,19,42,13,0,3,20,112,70,961,5434,12142,6871,1685,370,602,28130
SED10039,19,198,1293,9180,7827,1635,356,352,20860,3,79,849,529,34,3,3,54,1563,0,60,263,539,68,6,0,18,954,10,137,1114,1072,98,10,0,69,2523,8,131,390,155,25,3,7,26,744,0,7,46,27,0,0,0,7,84,6,65,90,22,0,0,0,10,192,0,3,0,5,0,0,0,0,6,16,201,530,212,23,3,7,37,1023,18,86,268,47,16,5,0,26,464,0,23,66,61,32,10,21,26,229,61,639,3265,10571,8003,1666,384,513,25098
SED10040,17,122,1548,5889,3441,1363,401,291,13066,20,66,764,793,45,5,3,44,1742,0,89,290,832,325,64,9,30,1645,23,158,1056,1629,367,70,10,75,3393,5,231,890,203,13,5,3,45,1399,10,189,2646,577,20,0,4,96,3540,30,890,5195,1746,85,11,9,194,8167,0,32,37,19,5,0,0,3,97,46,1338,8765,2552,124,18,16,338,13201,7,51,97,39,7,0,0,9,209,0,13,33,17,7,9,0,39,119,96,1686,11501,10120,3951,1468,424,750,29993
