region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED116,73,4593,537,5203,363,10332,763,11458,110,5794,337,6241,92,4966,299,5357,179,8873,557,9609,298,8782,578,9658,605,9614,653,10872,812,6408,424,7644,774,3162,272,4208,669,1493,188,2350,309,205,74,588,4284,64222,4682,73188,35,4388,471,4894,179,9861,697,10737,68,5411,266,5745,53,5023,285,5361,172,9692,577,10441,315,10090,590,10995,688,9882,554,11124,853,6653,404,7910,890,3325,307,4522,1269,1517,226,3012,704,228,102,1034,5226,66070,4479,75775,108,8981,1008,10097,542,20193,1460,22195,178,11205,603,11986,145,9989,584,10718,351,18565,1134,20050,613,18872,1168,20653,1293,19496,1207,21996,1665,13061,828,15554,1664,6487,579,8730,1938,3010,414,5362,1013,433,176,1622,9510,130292,9161,148963
CED117,63,3580,259,3902,331,7929,441,8701,147,4139,251,4537,83,2937,300,3320,157,5103,547,5807,213,6872,483,7568,453,8092,562,9107,661,8145,421,9227,674,6614,352,7640,727,3484,276,4487,483,684,106,1273,3992,57579,3998,65569,33,3476,252,3761,158,7648,421,8227,73,3937,191,4201,47,2788,161,2996,138,5491,285,5914,212,7633,337,8182,404,8884,418,9706,550,8803,382,9735,625,6836,318,7779,1014,3750,313,5077,1074,805,192,2071,4328,60051,3270,67649,96,7056,511,7663,489,15577,862,16928,220,8076,442,8738,130,5725,461,6316,295,10594,832,11721,425,14505,820,15750,857,16976,980,18813,1211,16948,803,18962,1299,13450,670,15419,1741,7234,589,9564,1557,1489,298,3344,8320,117630,7268,133218
CED118,34,4532,398,4964,152,6052,445,6649,43,2827,198,3068,43,4582,464,5089,102,12875,1156,14133,186,12095,961,13242,249,8952,704,9905,364,6135,486,6985,502,3369,296,4167,768,1854,239,2861,437,353,70,860,2880,63626,5417,71923,18,4485,352,4855,84,5762,382,6228,31,2697,167,2895,27,5047,370,5444,104,13970,1000,15074,178,12780,843,13801,282,9225,555,10062,390,6508,444,7342,620,3629,272,4521,1258,1876,192,3326,1166,471,133,1770,4158,66450,4710,75318,52,9017,750,9819,236,11814,827,12877,74,5524,365,5963,70,9629,834,10533,206,26845,2156,29207,364,24875,1804,27043,531,18177,1259,19967,754,12643,930,14327,1122,6998,568,8688,2026,3730,431,6187,1603,824,203,2630,7038,130076,10127,147241
CED119,68,6346,353,6767,356,10648,443,11447,92,4625,236,4953,78,4663,343,5084,133,11760,815,12708,180,11734,661,12575,236,9097,497,9830,388,6670,318,7376,424,3468,193,4085,469,1431,119,2019,211,201,42,454,2635,70643,4020,77298,42,6140,341,6523,163,10119,413,10695,77,4436,189,4702,42,4523,181,4746,128,12720,508,13356,191,11746,386,12323,325,9069,365,9759,428,6959,259,7646,458,3439,155,4052,771,1640,161,2572,563,354,150,1067,3188,71145,3108,77441,110,12486,694,13290,519,20767,856,22142,169,9061,425,9655,120,9186,524,9830,261,24480,1323,26064,371,23480,1047,24898,561,18166,862,19589,816,13629,577,15022,882,6907,348,8137,1240,3071,280,4591,774,555,192,1521,5823,141788,7128,154739
CED120,65,4869,298,5232,346,9278,347,9971,119,5014,180,5313,80,4770,216,5066,129,8241,530,8900,149,9319,423,9891,209,9391,426,10026,383,7626,331,8340,388,4056,197,4641,407,1664,117,2188,279,338,37,654,2554,64566,3102,70222,42,4615,303,4960,166,9048,367,9581,55,4710,169,4934,45,4351,174,4570,107,8604,481,9192,151,10099,410,10660,268,9943,368,10579,399,7695,327,8421,424,4020,171,4615,754,1860,170,2784,618,467,93,1178,3029,65412,3033,71474,107,9484,601,10192,512,18326,714,19552,174,9724,349,10247,125,9121,390,9636,236,16845,1011,18092,300,19418,833,20551,477,19334,794,20605,782,15321,658,16761,812,8076,368,9256,1161,3524,287,4972,897,805,130,1832,5583,129978,6135,141696
CED121,70,4244,330,4644,373,9265,547,10185,136,4476,226,4838,94,3189,262,3545,128,5736,496,6360,238,8166,633,9037,335,9227,570,10132,552,8593,485,9630,590,5824,356,6770,545,2575,194,3314,358,442,59,859,3419,61737,4158,69314,46,4047,303,4396,165,8942,526,9633,84,4218,196,4498,50,3108,147,3305,119,6283,313,6715,236,9051,399,9686,332,9326,362,10020,506,8673,342,9521,530,5650,314,6494,785,2795,272,3852,923,685,95,1703,3776,62778,3269,69823,116,8291,633,9040,538,18207,1073,19818,220,8694,422,9336,144,6297,409,6850,247,12019,809,13075,474,17217,1032,18723,667,18553,932,20152,1058,17266,827,19151,1120,11474,670,13264,1330,5370,466,7166,1281,1127,154,2562,7195,124515,7427,139137
CED122,74,4930,305,5309,414,9190,451,10055,137,4468,271,4876,91,4007,319,4417,173,8099,709,8981,242,8537,713,9492,387,8473,583,9443,647,7240,476,8363,521,4251,270,5042,506,1851,179,2536,348,315,61,724,3540,61361,4337,69238,38,4634,317,4989,184,9042,477,9703,88,4388,225,4701,65,3924,175,4164,133,8162,345,8640,213,8918,407,9538,367,8534,382,9283,512,7267,358,8137,439,4350,228,5017,816,2383,237,3436,916,509,117,1542,3771,62111,3268,69150,112,9564,622,10298,598,18232,928,19758,225,8856,496,9577,156,7931,494,8581,306,16261,1054,17621,455,17455,1120,19030,754,17007,965,18726,1159,14507,834,16500,960,8601,498,10059,1322,4234,416,5972,1264,824,178,2266,7311,123472,7605,138388
CED123,49,4445,363,4857,172,7087,525,7784,74,4013,378,4465,53,6901,834,7788,77,12709,1576,14362,174,10523,1214,11911,226,8598,893,9717,323,6524,662,7509,439,4206,417,5062,564,2355,285,3204,408,517,112,1037,2559,67878,7259,77696,29,4219,361,4609,87,6687,467,7241,44,3936,267,4247,48,6849,583,7480,109,13341,1078,14528,140,11270,853,12263,273,8871,610,9754,412,7012,489,7913,492,4780,380,5652,1007,2778,348,4133,1010,780,177,1967,3651,70523,5613,79787,78,8664,724,9466,259,13774,992,15025,118,7949,645,8712,101,13750,1417,15268,186,26050,2654,28890,314,21793,2067,24174,499,17469,1503,19471,735,13536,1151,15422,931,8986,797,10714,1571,5133,633,7337,1418,1297,289,3004,6210,138401,12872,157483
CED124,95,5411,382,5888,494,9712,527,10733,166,4860,248,5274,115,4811,499,5425,186,9927,647,10760,231,9665,565,10461,305,8640,513,9458,483,7409,429,8321,484,3802,269,4555,369,1434,153,1956,220,242,63,525,3148,65913,4295,73356,59,5201,345,5605,197,9516,464,10177,87,4903,242,5232,68,5020,309,5397,151,10679,628,11458,209,10102,538,10849,354,9177,465,9996,533,7703,362,8598,493,3876,216,4585,707,1643,189,2539,695,386,110,1191,3553,68206,3868,75627,154,10612,727,11493,691,19228,991,20910,253,9763,490,10506,183,9831,808,10822,337,20606,1275,22218,440,19767,1103,21310,659,17817,978,19454,1016,15112,791,16919,977,7678,485,9140,1076,3077,342,4495,915,628,173,1716,6701,134119,8163,148983
CED125,73,3322,225,3620,385,7375,357,8117,174,3724,190,4088,95,2287,176,2558,184,4258,246,4688,298,6224,290,6812,466,7661,423,8550,771,8095,427,9293,691,6841,335,7867,684,3755,278,4717,525,778,135,1438,4346,54320,3082,61748,34,3161,220,3415,194,7259,375,7828,86,3571,156,3813,71,2306,104,2481,144,4838,182,5164,238,7180,293,7711,394,8755,323,9472,614,8675,369,9658,622,7311,316,8249,968,4133,320,5421,1219,1007,230,2456,4584,58196,2888,65668,107,6483,445,7035,579,14634,732,15945,260,7295,346,7901,166,4593,280,5039,328,9096,428,9852,536,13404,583,14523,860,16416,746,18022,1385,16770,796,18951,1313,14152,651,16116,1652,7888,598,10138,1744,1785,365,3894,8930,112516,5970,127416
