region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED111,26,182,315,55,70,305,953,14,560,63,35,46,12,730,246,445,418,223,172,31,1535,1084,336,723,121,125,28,2417,985,113,530,41,57,14,1740,1688,141,602,36,73,15,2555,2068,48,600,10,52,8,2786,1193,11,257,3,29,5,1498,223,4,36,0,5,0,268,35,4,11,0,0,0,50,44,7,29,0,14,0,94,103,138,112,44,50,33,480,7709,1989,3696,568,693,451,15106
CED112,28,416,189,42,32,155,862,17,1299,27,44,11,5,1403,168,771,168,63,43,4,1217,705,496,371,50,57,15,1694,644,194,271,24,46,6,1185,1383,250,455,29,55,7,2179,2319,216,599,16,49,16,3215,2055,25,458,11,19,9,2577,820,8,165,0,13,8,1014,292,5,62,3,4,0,366,138,17,65,5,3,8,236,121,254,112,40,27,23,577,8690,3951,2942,327,359,256,16525
CED113,22,153,171,44,26,156,572,0,570,19,35,18,3,645,112,379,152,55,107,15,820,489,267,322,58,119,12,1267,543,74,342,11,50,8,1028,1700,118,532,31,46,15,2442,3054,72,700,15,58,22,3921,1766,6,300,3,21,8,2104,332,4,61,0,4,6,407,82,0,21,0,5,0,108,74,8,25,3,9,0,119,119,107,97,23,31,28,405,8293,1758,2742,278,494,273,13838
CED114,20,123,344,29,139,321,976,34,382,65,55,37,6,579,284,393,402,127,91,15,1312,987,239,652,59,108,26,2071,864,92,429,19,95,7,1506,1470,122,545,21,149,6,2313,1463,97,455,5,150,7,2177,957,36,315,3,56,4,1371,312,4,104,0,16,0,436,116,0,41,0,9,0,166,109,4,39,0,10,3,165,108,83,151,26,76,17,461,6724,1575,3542,344,936,412,13533
CED115,33,162,485,100,511,413,1704,108,319,146,83,62,13,731,1334,463,877,141,188,29,3032,1869,212,872,101,157,23,3234,809,81,389,7,55,12,1353,1236,40,334,7,63,8,1688,838,11,195,0,27,9,1080,304,3,64,3,10,3,387,47,0,21,0,6,0,74,17,0,9,0,3,0,29,32,3,43,0,7,0,85,121,80,172,33,128,28,562,6748,1374,3607,475,1217,538,13959
CED116,33,506,186,30,18,131,904,7,1034,10,17,3,9,1080,59,1021,99,113,22,14,1328,167,719,181,63,38,9,1177,316,254,187,28,51,7,843,1011,233,325,36,82,14,1701,1601,341,491,29,103,20,2585,1926,105,434,6,122,23,2616,444,13,77,3,16,6,559,82,5,9,0,9,3,108,53,15,22,3,6,3,102,121,288,152,19,44,35,659,5820,4534,2173,347,514,274,13662
CED117,24,152,221,41,67,193,698,12,365,35,44,35,5,496,212,462,267,104,74,10,1129,682,367,482,73,120,15,1739,725,142,399,28,161,4,1459,1565,153,496,26,107,9,2356,1766,36,433,16,56,7,2314,1034,14,205,3,18,11,1285,217,0,51,0,5,4,277,49,0,17,0,0,0,66,57,9,22,0,4,0,92,86,89,93,33,44,13,358,6429,1789,2721,368,691,271,12269
CED118,44,186,213,44,26,154,667,17,513,24,50,4,8,616,70,271,120,139,12,4,616,247,216,215,117,20,10,825,372,58,235,44,29,4,742,1107,62,342,44,37,5,1597,3184,77,600,45,46,9,3961,5168,30,799,19,45,29,6090,2813,18,483,7,21,15,3357,1753,11,282,5,10,3,2064,1509,14,297,7,16,7,1850,240,118,136,42,30,31,597,16524,1574,3746,563,296,279,22982
CED119,15,252,144,25,18,96,550,0,595,6,48,0,0,649,10,427,78,54,17,7,593,86,338,125,57,31,4,641,129,116,142,16,54,5,462,399,157,223,35,60,5,879,1984,122,551,24,55,15,2751,3150,28,540,7,63,11,3799,1098,0,169,0,9,4,1280,526,3,58,7,9,0,603,135,8,40,11,4,0,198,111,145,101,24,29,29,439,7643,2191,2177,308,349,176,12844
CED120,15,226,116,13,21,82,473,3,534,0,19,4,3,563,15,365,39,41,27,0,487,59,289,64,38,103,3,556,142,95,103,14,217,4,575,536,100,144,13,142,8,943,1049,125,261,14,48,7,1504,1934,56,343,8,22,9,2372,1106,9,157,0,23,7,1302,324,5,36,0,4,0,369,215,11,37,0,7,4,274,72,128,71,18,48,24,361,5470,1943,1371,178,666,151,9779
CED121,23,138,464,87,273,414,1399,58,312,113,41,37,3,564,547,340,455,78,124,23,1567,1115,260,647,45,113,13,2193,620,78,364,15,40,3,1120,985,34,335,15,50,10,1429,917,23,261,3,27,4,1235,415,5,164,0,28,3,615,138,3,58,0,4,0,203,51,0,23,3,0,0,77,48,3,45,4,13,0,113,70,73,162,22,98,21,446,4987,1269,3091,313,807,494,10961
CED122,30,166,287,11,249,322,1065,29,460,33,59,25,11,617,320,551,280,48,107,14,1320,897,394,409,35,150,9,1894,679,151,318,20,121,14,1303,1577,145,406,25,94,6,2253,2022,43,363,12,60,11,2511,1603,4,193,3,19,3,1825,229,3,32,0,7,0,271,28,0,3,3,0,0,34,41,5,37,0,5,3,91,146,132,128,21,109,35,571,7601,2054,2489,237,946,428,13755
CED123,39,596,294,36,19,202,1186,9,1637,10,42,15,5,1718,61,793,68,121,32,7,1082,150,485,122,65,40,3,865,129,116,127,14,87,6,479,399,161,222,24,89,3,898,1602,139,412,15,64,6,2238,4174,112,844,6,52,14,5202,4022,72,704,15,24,16,4853,2407,24,394,3,22,10,2860,2353,23,509,13,25,9,2932,243,317,212,43,40,51,906,15588,4475,3918,397,509,332,25219
CED124,17,267,162,20,33,132,631,4,659,15,20,3,4,705,42,484,96,63,15,10,710,272,374,212,55,48,12,973,506,162,289,40,76,3,1076,1213,264,489,35,39,5,2045,3522,147,747,24,43,20,4503,2190,25,358,8,29,15,2625,396,3,61,4,4,0,468,100,0,23,0,4,0,127,71,8,24,0,0,0,103,151,162,117,23,25,24,502,8484,2555,2593,292,319,225,14468
CED125,21,128,278,33,64,257,781,32,465,54,49,25,8,633,356,349,331,114,118,9,1277,1230,280,533,79,143,17,2282,802,105,437,20,59,4,1427,1811,56,509,24,51,13,2464,1887,23,445,23,23,7,2408,1008,6,192,0,18,0,1224,159,3,23,3,7,0,195,28,4,9,0,0,0,41,50,4,33,0,6,0,93,83,103,114,34,57,25,416,7467,1526,2958,379,571,340,13241
CED126,16,205,111,38,33,102,505,3,628,4,18,4,6,663,25,670,58,37,28,3,821,129,412,152,42,15,4,754,249,193,161,10,15,3,631,730,317,293,29,25,3,1397,1935,154,467,16,43,7,2622,1838,47,376,6,25,14,2306,694,4,101,0,10,3,812,140,4,25,0,4,3,176,51,11,29,0,4,3,98,99,180,88,25,35,17,444,5909,2825,1865,221,241,168,11229
CED127,10,61,184,34,25,185,499,3,235,4,28,9,0,279,12,106,44,102,32,15,311,23,58,66,17,25,4,193,36,25,95,35,26,8,225,119,24,150,3,28,4,328,520,23,323,3,33,9,911,1747,11,579,10,41,8,2396,1401,11,434,4,27,4,1881,948,14,297,3,14,3,1279,1730,5,470,5,19,6,2235,122,53,124,31,24,25,379,6671,626,2770,275,303,271,10916
CED128,14,59,195,27,59,190,544,0,116,22,29,10,0,177,63,271,166,110,28,6,644,259,236,270,55,95,8,923,367,96,282,24,130,5,904,1024,107,391,25,74,11,1632,2221,88,499,26,43,15,2892,1511,15,255,5,37,5,1828,361,0,57,0,9,0,427,110,5,18,0,0,0,133,77,3,22,3,4,3,112,76,69,107,35,52,17,356,6083,1065,2284,339,541,260,10572
CED129,26,145,141,12,12,99,435,3,397,3,14,0,3,420,29,428,67,32,18,3,577,112,253,126,32,45,5,573,153,85,144,25,31,3,441,565,134,224,44,36,4,1007,1628,159,464,24,85,20,2380,2827,58,515,4,99,21,3524,624,7,103,0,18,5,757,124,6,18,0,0,3,151,56,5,22,0,4,0,87,109,123,113,14,38,19,416,6256,1800,1940,201,386,185,10768
CED130,7,22,137,18,16,87,287,4,42,0,29,0,0,75,4,35,35,53,8,0,135,31,34,39,18,21,0,143,31,10,46,3,53,0,143,56,13,72,4,36,0,181,197,10,161,5,38,0,411,1325,12,294,3,19,4,1657,1601,4,200,3,8,8,1824,749,0,100,5,0,0,854,578,0,63,4,6,6,657,77,14,72,48,21,15,247,4660,196,1219,193,226,120,6614
CED131,19,174,485,74,409,530,1691,67,378,131,58,41,12,687,883,541,708,152,173,26,2483,1842,440,840,101,163,24,3410,1076,187,463,31,69,8,1834,1712,80,449,24,59,8,2332,1377,6,320,10,32,7,1752,568,7,107,4,20,3,709,62,4,16,3,3,0,88,13,0,0,0,4,0,17,33,7,49,4,4,3,100,118,113,162,43,165,36,637,7770,1937,3730,504,1142,657,15740
CED132,19,470,183,37,38,172,919,12,1218,32,20,27,15,1324,210,614,295,87,58,8,1272,780,373,483,46,95,11,1788,549,135,390,23,83,4,1184,1547,130,660,28,115,12,2492,3026,80,977,23,105,11,4222,2295,13,552,6,38,11,2915,701,3,159,0,13,7,883,247,3,75,3,9,3,340,218,20,100,0,8,0,346,125,178,154,27,38,32,554,9729,3237,4060,300,627,286,18239
CED133,45,193,315,27,39,178,797,11,535,15,45,9,3,618,31,224,58,49,18,3,383,55,115,101,33,18,3,325,61,25,117,12,21,3,239,195,42,182,5,28,3,455,1064,41,352,8,23,3,1491,4040,21,784,15,24,17,4901,4420,10,684,9,20,10,5153,2507,3,443,3,19,11,2986,3844,14,700,0,42,12,4612,294,62,170,30,45,31,632,16567,1285,3921,236,306,277,22592
CED134,17,183,301,75,117,272,965,16,570,70,60,26,3,745,308,415,449,183,165,19,1539,1040,305,716,90,175,18,2344,778,85,541,17,98,13,1532,1784,88,687,28,89,21,2697,2168,34,701,8,71,14,2996,966,13,254,10,22,6,1271,125,0,42,4,5,3,179,17,4,6,0,0,0,27,39,9,25,3,15,3,94,100,120,141,47,58,19,485,7358,1826,3933,525,841,391,14874
CED135,42,333,743,180,1026,846,3170,72,508,195,135,114,19,1043,1032,979,1015,441,412,57,3936,1573,464,857,124,273,35,3326,760,120,383,20,100,8,1391,1162,64,380,6,64,5,1681,800,30,182,4,27,6,1049,379,3,85,10,15,4,496,48,0,22,0,3,0,73,8,3,6,0,0,0,17,38,6,52,0,12,6,114,105,128,217,48,245,44,787,6019,2638,4137,968,2291,1030,17083
CED136,41,554,191,41,51,140,1018,14,1306,14,65,34,7,1440,34,865,91,179,35,10,1214,164,521,187,114,51,5,1042,203,153,171,37,80,10,654,804,201,313,54,88,17,1477,4404,247,754,47,132,38,5622,7028,97,825,23,98,35,8106,1860,12,259,6,33,9,2179,397,8,60,3,3,0,471,207,19,51,0,9,6,292,262,282,190,48,41,51,874,15418,4265,3106,617,655,328,24389
CED137,12,178,222,33,83,195,723,15,468,30,40,29,8,590,220,383,258,108,99,17,1085,974,242,445,73,149,6,1889,712,107,357,14,233,7,1430,1564,156,467,12,109,9,2317,2308,43,423,8,50,3,2835,1118,4,192,0,15,3,1332,180,3,35,0,0,0,218,32,0,14,0,3,0,49,62,3,24,0,7,0,96,116,94,113,32,59,15,429,7313,1681,2580,320,836,263,12993
CED138,59,192,268,50,35,162,766,6,451,17,27,29,4,534,55,302,73,59,26,6,521,118,175,132,37,45,3,510,142,64,124,22,74,3,429,504,52,207,14,52,7,836,1681,63,443,17,68,18,2290,4344,59,735,18,101,26,5283,4109,18,567,5,54,20,4773,2068,8,302,7,26,4,2415,1514,14,250,4,13,18,1813,270,94,202,23,49,48,686,14870,1492,3320,283,572,319,20856
CED139,17,84,275,25,41,337,779,12,331,50,19,16,8,436,92,269,319,70,143,6,899,257,151,540,44,135,14,1141,294,29,496,19,56,8,902,819,66,622,15,61,8,1591,2053,38,1045,20,104,21,3281,2445,33,931,19,62,13,3503,758,4,272,3,12,9,1058,236,0,108,3,0,5,352,159,9,86,0,14,5,273,106,72,170,32,49,24,453,7248,1086,4914,269,693,458,14668
CED140,49,249,527,104,394,451,1774,67,501,140,49,48,16,821,751,592,688,85,159,36,2311,1677,466,843,49,243,26,3304,908,114,470,11,222,9,1734,1477,50,425,12,117,10,2091,1291,18,316,4,58,7,1694,599,4,119,0,21,5,748,108,0,17,0,7,0,132,12,7,7,0,4,0,30,48,7,31,0,5,3,94,103,118,195,21,146,36,619,7090,2126,3778,335,1424,599,15352
CED141,14,166,168,31,26,166,571,7,562,20,32,12,10,643,125,366,165,100,91,6,853,545,205,296,58,67,16,1187,481,66,296,28,55,9,935,1556,97,466,20,31,13,2183,3022,92,614,3,43,17,3791,1960,13,398,0,23,3,2397,549,3,88,0,3,3,646,163,0,31,0,0,0,194,110,6,26,3,7,0,152,112,114,96,27,29,32,410,8644,1690,2664,302,387,275,13962
CED142,10,225,167,23,15,117,557,7,667,20,36,5,3,738,117,560,156,58,106,9,1006,455,379,291,50,72,10,1257,424,174,335,23,26,3,985,1391,244,513,9,47,12,2216,2129,77,554,10,43,7,2820,1214,7,210,0,15,4,1450,270,7,55,0,5,0,337,55,3,13,0,4,0,75,48,15,16,0,3,3,85,96,120,93,17,33,21,380,6216,2478,2423,226,374,189,11906
CED143,82,1061,353,65,49,169,1779,12,2465,18,55,19,24,2593,89,1014,137,168,24,11,1443,230,563,200,99,26,15,1133,303,153,161,38,40,4,699,691,202,282,92,32,6,1305,1710,191,591,131,66,4,2693,4248,145,889,53,62,19,5416,6041,39,1019,19,49,25,7192,5229,30,874,8,53,28,6222,7021,70,1387,24,87,39,8628,463,450,305,45,63,80,1406,26119,6383,6216,797,570,424,40509
CED144,19,330,190,21,38,163,761,18,783,32,21,10,8,872,192,784,171,71,110,10,1338,624,588,355,65,60,21,1713,428,207,320,23,39,7,1024,1012,389,437,35,38,16,1927,1691,153,554,14,66,15,2493,1114,16,256,10,16,0,1412,235,7,54,0,0,0,296,73,3,11,0,3,0,90,68,15,18,3,16,0,120,72,186,110,21,48,24,461,5546,3461,2508,284,444,264,12507
CED145,32,74,234,84,30,185,639,5,213,11,29,0,4,262,28,101,54,70,9,7,269,58,60,73,70,15,0,276,57,25,110,14,16,0,222,212,22,147,6,17,5,409,1055,27,372,9,19,11,1493,3507,11,802,9,37,25,4391,3292,5,724,4,26,10,4061,1986,10,458,0,11,5,2470,3655,10,916,10,19,11,4621,238,61,154,28,22,24,527,14125,619,4055,333,221,287,19640
CED146,52,259,239,32,25,155,762,8,716,10,37,14,3,788,64,520,105,77,18,4,788,194,332,150,95,35,9,815,303,99,141,18,29,9,599,1425,107,279,39,54,3,1907,4297,128,592,37,113,32,5199,3027,76,599,23,144,27,3896,1388,8,282,10,47,14,1749,444,9,97,3,13,0,566,278,11,50,0,18,4,361,218,193,176,29,52,32,700,11698,2458,2720,400,562,292,18130
CED147,51,140,331,39,34,285,880,9,433,8,22,4,5,481,85,181,89,38,3,3,399,133,89,132,21,18,0,393,206,24,173,15,18,5,441,842,38,256,15,27,8,1186,2085,31,574,16,35,17,2758,4096,24,948,11,36,27,5142,4294,18,980,3,40,13,5348,3280,4,768,3,25,11,4091,5948,12,1674,8,47,33,7722,359,65,237,37,39,68,805,21388,1059,6170,228,326,475,29646
CED148,15,326,156,23,14,103,637,4,725,5,24,9,8,775,20,849,69,44,19,4,1005,97,753,119,43,34,12,1058,182,239,159,23,48,4,655,863,332,283,32,43,10,1563,2195,267,485,21,59,12,3039,1996,31,392,3,46,3,2471,632,11,96,3,16,4,762,98,7,19,3,4,0,131,53,8,14,0,4,4,83,105,233,96,13,18,27,492,6260,3781,1893,232,314,191,12671
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
