SA4_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
111,978,6053,1600,1800,229,13216,2258,1051,8691,4145,6123,739,23018,59,32,321,201,478,45,1138,153,50,547,613,3317,130,4818,142,42,546,416,1549,493,3188,8523,3599,30450,17764,45177,3795,109311
112,873,3766,1135,1280,181,8303,1061,621,4306,2640,3960,473,13055,48,29,301,193,371,44,986,36,27,279,416,1887,78,2734,89,49,464,369,1144,391,2509,3473,2378,16104,10633,28224,3018,63823
113,455,2411,709,984,143,5382,422,286,2291,1451,2240,235,6928,11,10,77,49,167,6,325,23,11,121,181,1499,72,1903,32,16,137,151,765,276,1378,1841,1253,9452,6242,21374,2373,42530
114,508,1666,615,716,111,4250,520,302,1945,1353,2190,277,6587,43,21,142,79,219,32,535,41,20,137,227,1291,62,1774,65,21,184,177,722,241,1419,2331,1420,7995,6490,18472,1856,38560
115,765,4242,1102,920,200,9173,1749,535,4524,1936,1738,363,10841,77,15,274,181,300,38,889,228,57,594,525,1958,102,3462,384,67,970,541,1048,392,3410,11598,2954,29318,14039,22740,3057,83706
116,520,3392,953,1125,203,8045,1660,484,6226,2937,3722,589,15617,62,16,241,190,355,58,922,197,59,688,610,2313,151,4010,375,55,1106,747,1718,800,4804,11712,2453,31915,17390,31692,4771,99929
117,858,4991,872,629,166,12609,3045,757,6421,1642,1299,361,13522,599,154,1747,580,513,89,3683,449,109,1283,669,1472,134,4108,788,108,2266,769,806,694,5432,26999,5483,62093,18673,18632,4115,135989
118,798,4465,942,620,236,10953,3135,690,6606,1637,1099,447,13613,330,88,1269,422,440,98,2648,287,70,915,588,1193,121,3172,695,111,1890,611,638,497,4432,20585,4289,50252,13891,15201,3682,107904
119,990,6379,1773,1545,394,14662,2924,830,9196,4207,4165,892,22216,211,43,693,430,623,94,2095,436,95,1241,1193,3616,268,6851,849,86,2279,1310,2271,1360,8151,22251,4414,58433,29671,42079,8008,164841
120,1063,4963,993,760,216,11877,3238,758,7094,1986,1612,455,15145,350,88,977,368,342,66,2192,398,96,1027,577,1322,117,3542,698,104,1702,690,801,565,4562,22577,5032,49869,16243,17858,3879,115462
121,1379,6722,1440,905,284,15571,4694,1232,10258,2758,1959,676,21579,422,120,1114,363,364,75,2449,600,140,1444,712,1564,132,4600,1214,179,2698,871,833,573,6368,36132,7698,76812,21149,19486,4853,166130
122,859,4447,1235,883,229,9556,1597,676,4712,2219,1896,462,11562,166,52,704,315,417,65,1724,205,61,741,636,1990,110,3745,432,96,1363,782,1183,450,4304,11911,3774,36700,17216,23928,3576,97102
123,604,3456,1164,1418,193,8384,919,436,3566,2515,3260,457,11161,50,12,170,178,391,43,845,78,32,310,415,2399,124,3348,134,35,474,476,1660,533,3312,5545,1912,17093,13850,33921,3702,76030
124,933,4750,1580,1678,236,11734,1262,720,4489,2913,4047,496,13930,100,48,332,268,612,59,1415,139,42,385,575,2988,104,4227,163,37,492,517,1979,543,3735,7164,2912,21332,16485,41515,3921,93333
125,711,4570,1195,1127,239,10707,2954,784,8257,3318,3227,721,19262,138,28,525,269,384,73,1415,456,91,1037,841,2168,176,4767,907,103,2042,1097,1707,1031,6879,22442,3795,49566,21500,28851,6039,132191
126,532,3068,665,519,137,7199,1881,522,4289,1319,1029,313,9349,120,29,331,160,168,33,834,302,66,606,379,851,68,2277,567,63,1081,374,446,317,2840,14997,2716,29441,9326,10413,2254,69149
127,397,3545,1076,1215,248,8186,1173,424,4672,2908,3317,579,13072,30,15,267,215,363,49,935,100,30,504,806,2951,185,4581,225,43,960,859,2147,973,5204,6382,1700,26402,18251,34916,5283,92945
128,810,4358,1283,972,214,9276,1268,551,4013,2116,2027,402,10375,78,26,374,253,465,59,1263,134,52,450,554,2171,91,3454,179,36,653,540,1185,368,2963,7077,2782,23909,15519,27835,2999,80126
197,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
199,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
