SA4_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
111,6217,9220,17950,17678,18115,12373,2015,183,19,83775,3845,2566,4327,4294,4691,9812,15841,10173,4926,60472,309,497,925,777,923,1037,1048,1163,1460,8148,10367,12279,23199,22753,23735,23227,18906,11526,6408,152388,1854,7960,23433,21998,23171,14720,1696,114,12,94967,6889,7664,9662,10825,10315,8602,2664,326,32,56979,362,602,1742,1041,914,1035,245,30,0,5979,217,378,558,472,455,275,100,54,9,2520,9318,16603,35405,34334,34861,24635,4705,525,59,160447,836,1318,1457,1215,1201,836,42,5,3,6908,1789,1063,823,603,547,555,96,13,4,5486,2625,2379,2276,1816,1743,1389,143,18,9,12396,11946,18980,37682,36145,36604,26027,4848,542,66,172839,8820,4927,6638,6462,7885,16961,29332,18277,7851,107162,663,1002,2020,1723,2077,2162,2093,1951,2010,15693,21430,24899,46339,44331,46563,45143,36273,20775,9928,295691
112,3487,3699,7848,10568,12672,10470,2027,228,47,51037,2806,1075,2796,3061,3343,7252,11499,7686,4043,43562,436,415,896,1078,1296,1507,1176,1049,890,8751,6731,5186,11534,14706,17307,19231,14705,8968,4981,103343,1062,3328,8638,11412,13830,10369,1772,252,37,50688,4204,3085,5517,7500,8374,8429,2751,344,48,40251,207,203,701,587,596,822,252,30,4,3401,207,190,340,389,398,326,133,71,34,2085,5682,6801,15188,19888,23191,19943,4905,695,122,96427,381,628,727,758,871,713,34,12,0,4115,780,372,431,462,466,552,93,11,0,3165,1154,997,1159,1216,1341,1265,129,17,3,7281,6838,7803,16352,21109,24535,21211,5033,715,128,103710,6013,1909,4042,4522,5867,12949,21917,14002,6532,77746,930,875,1813,2135,2591,3086,2413,1839,1383,17063,13774,10593,22204,27770,32981,37248,29358,16550,8042,198521
113,2472,3467,6805,6769,7560,5783,1339,214,40,34450,2083,1050,2061,1673,1714,3318,5617,4073,2022,23602,313,306,611,617,654,767,641,597,465,4981,4862,4821,9477,9060,9933,9871,7601,4883,2528,63034,1503,4185,9385,9046,10450,7774,1593,251,29,44216,2563,2040,3449,3831,3868,3593,1476,306,39,21173,146,195,631,387,402,521,217,33,7,2540,149,178,296,215,243,241,112,60,17,1516,4362,6604,13766,13483,14967,12129,3397,650,97,69453,278,415,537,433,387,287,17,3,0,2364,400,256,232,191,151,182,38,5,3,1461,681,672,766,622,539,469,55,12,3,3827,5047,7277,14534,14103,15506,12594,3452,663,98,73276,4447,1802,3131,2802,2933,5645,10268,7330,3181,41545,658,686,1312,1268,1446,1578,1325,1070,675,10028,10148,9761,18982,18179,19887,19828,15046,9060,3951,124846
114,2128,2212,4552,5642,7127,5787,1368,147,22,28998,1836,618,1642,1665,2077,4998,9162,5456,2215,29666,217,215,410,453,592,721,787,670,503,4583,4177,3046,6606,7765,9798,11510,11320,6275,2743,63242,849,2531,5845,6828,8414,6077,1083,119,19,31760,2504,1623,2870,3689,4379,4586,1930,280,30,21887,141,130,422,305,415,496,170,17,10,2103,117,126,185,159,227,199,75,46,14,1149,3612,4410,9330,10976,13436,11351,3252,458,65,56899,249,322,355,347,361,316,19,7,0,1975,319,160,192,183,225,265,65,8,0,1415,564,485,543,539,585,575,84,12,0,3392,4173,4898,9871,11515,14020,11930,3333,473,68,60287,3684,1136,2483,2658,3500,8658,17159,10405,3713,53399,460,471,918,969,1225,1380,1565,1189,803,8988,8322,6505,13270,15139,18747,21971,22062,12069,4588,122671
115,3960,5620,9258,13269,13887,8802,2158,176,10,57143,3801,968,2041,3204,2888,4977,7638,4211,2030,31766,234,197,425,514,577,480,450,333,503,3714,7991,6791,11728,16993,17354,14264,10240,4715,2541,92620,1354,5686,13663,18682,20263,12519,2401,142,9,74727,4911,4803,3916,6782,6861,5553,2641,352,27,35844,265,242,722,585,451,514,215,29,3,3021,124,183,362,384,337,210,100,28,5,1724,6653,10917,18661,26431,27918,18797,5352,549,43,115320,152,334,477,528,575,410,55,4,0,2542,991,490,272,358,321,253,87,12,0,2781,1144,824,753,891,898,665,143,12,4,5320,7792,11742,19412,27323,28810,19461,5497,561,42,120642,8358,2022,2728,3851,3803,7498,13733,7811,3254,53064,474,408,814,1017,1227,974,875,588,700,7082,16623,14165,22958,32188,33842,27940,20102,8963,4003,180785
116,4915,7964,18838,18326,15012,9087,1369,64,8,75574,5891,2637,7061,6340,5369,7448,9134,4856,2107,50831,486,508,1331,1173,963,874,745,458,200,6739,11288,11113,27228,25834,21335,17406,11251,5377,2314,133145,1758,8020,27132,28373,22698,13320,1870,58,14,103247,5283,6146,8432,8751,6656,4828,1406,111,8,41615,270,325,1353,866,634,574,129,13,0,4175,273,493,981,814,641,341,82,22,6,3648,7577,14989,37896,38808,30623,19065,3480,198,30,152682,592,1101,1731,1351,1118,777,56,3,3,6738,1554,952,868,766,540,516,63,4,0,5265,2142,2053,2601,2115,1661,1291,122,13,3,12002,9723,17036,40496,40923,32281,20360,3605,210,37,164680,12668,4849,9621,8618,8053,11866,16757,8735,3198,84353,1023,1088,2606,2365,2009,1711,1351,788,344,13282,23419,22967,52724,51901,42341,33933,21714,9736,3575,262316
117,2389,11027,34572,18509,11727,6983,1667,168,34,87079,3864,6693,5664,3129,2826,4391,6015,4028,1669,38286,631,2066,4842,2250,1434,1243,837,588,410,14301,6881,19788,45084,23881,15986,12624,8520,4790,2111,139665,526,8447,50500,29981,18962,9808,1863,145,17,120248,2492,8888,15318,8200,5296,4149,1789,267,35,46416,172,456,1796,1232,542,404,141,24,6,4777,160,460,1196,532,353,213,79,16,8,3013,3351,18249,68812,39942,25148,14579,3875,443,65,174465,109,635,1704,1061,945,593,45,3,5,5098,823,1900,1351,529,407,361,92,15,0,5487,930,2535,3059,1595,1350,950,135,19,3,10583,4280,20783,71868,41534,26496,15530,4010,468,68,185043,7544,12092,9684,4947,5187,7829,11319,7406,2728,68742,1248,4312,10521,5347,3639,2797,1836,1174,630,31507,13077,37189,92073,51826,35329,26163,17164,9046,3426,285297
118,2216,6727,22007,16253,12564,7910,2659,328,54,70720,4059,3457,3008,3158,2928,4099,7010,5421,3286,36427,358,922,2670,1712,1254,1022,963,779,706,10388,6636,11105,27691,21123,16745,13031,10629,6530,4037,117535,391,5090,31376,23832,17975,10003,2573,281,44,91581,2623,5641,7654,7246,6192,5119,3087,609,99,38264,158,277,1200,1106,461,417,212,35,8,3874,121,301,642,428,304,207,108,35,9,2151,3299,11311,40864,32608,24931,15744,5986,973,163,135879,81,378,834,671,625,388,26,6,0,3005,727,1078,645,384,328,304,112,15,0,3588,811,1457,1475,1052,957,689,139,15,0,6600,4111,12765,42342,33659,25888,16432,6127,991,163,142479,8473,7363,5603,4526,4441,6644,12112,9385,5146,63687,792,1872,5218,3451,2563,2006,1841,1346,1033,20121,13370,21998,53164,41635,32892,25087,20072,11718,6342,226282
119,6060,13600,31849,26463,24947,15472,2721,243,36,121392,9972,5535,12787,10721,9982,14422,17757,13457,7291,101932,696,1125,2736,2019,1869,1612,1286,1184,978,13513,16732,20261,47374,39201,36805,31514,21767,14883,8313,236840,1627,11154,44213,38026,34582,20828,3250,186,24,153900,7142,12446,17856,15138,13546,10228,3376,436,37,80217,398,562,2098,1486,929,959,318,43,10,6791,338,939,1869,1228,1193,690,174,44,16,6504,9503,25109,66034,55882,50255,32699,7119,712,94,247411,550,1561,2965,1909,1872,1280,82,11,0,10238,2009,1930,1883,1254,1181,1076,131,12,7,9483,2556,3494,4854,3162,3054,2362,213,21,7,19722,12059,28606,70888,59043,53305,35062,7335,735,99,267126,20706,10748,18206,14397,14751,22816,32781,24397,11774,170586,1512,2222,5635,4154,3722,3197,2518,2111,1542,26617,34280,41586,94731,77600,71779,61067,42634,27238,13419,464334
120,2649,7426,21915,17642,15521,9573,2234,199,28,77187,3840,3216,4708,3931,3649,5562,8233,6225,3539,42903,283,748,2035,1442,1134,960,698,468,332,8095,6775,11388,28660,23012,20302,16098,11165,6892,3896,128189,545,5757,31169,25619,21600,12356,2302,174,21,99543,3345,6912,9624,8188,7105,5675,2543,343,37,43771,186,323,1331,1083,518,510,199,19,7,4173,96,363,810,509,415,295,88,32,12,2624,4174,13355,42936,35407,29638,18831,5127,568,79,150117,127,554,1440,871,853,539,53,3,0,4439,755,1092,943,481,476,423,113,18,0,4299,880,1640,2388,1352,1330,961,167,21,0,8740,5053,14997,45324,36759,30965,19797,5291,589,79,158859,8020,6297,7386,5268,5378,8843,14387,11011,5557,72147,649,1546,4156,2904,2283,1843,1338,840,516,16064,13724,22842,56865,44928,38627,30476,21016,12447,6153,247072
121,4573,8636,24067,25206,23111,14483,4438,510,63,105090,6511,2047,4059,6255,5773,7876,12851,9286,5568,60224,371,569,1772,1461,1231,1037,907,704,813,8862,11465,11258,29900,32918,30116,23393,18195,10499,6440,174176,754,6949,35627,37210,33118,19064,4059,372,45,137197,5976,7988,8080,11138,11000,9196,5590,1030,125,60125,344,396,1649,1434,748,699,387,74,8,5740,137,310,649,576,479,317,134,50,9,2668,7212,15642,46005,50359,45346,29267,10176,1526,188,205722,128,431,1097,1267,1211,762,109,8,5,5010,1218,807,632,735,600,537,191,26,3,4744,1341,1237,1728,2003,1809,1295,299,35,3,9752,8558,16879,47736,52355,47154,30561,10475,1561,198,215480,14227,4177,5596,7547,7619,11874,21869,16342,8777,98024,822,1097,3491,2953,2433,2017,1709,1184,1171,16868,23610,22159,56816,62855,57205,44459,34053,19085,10139,330375
122,3536,5008,12685,15673,15657,9567,2676,281,38,65116,3151,751,1836,3090,2712,4325,8393,6227,3682,34169,248,314,855,908,791,691,704,616,765,5888,6932,6074,15379,19671,19163,14581,11773,7121,4489,105173,947,4899,17889,21811,21540,11777,2205,194,22,81286,4751,4474,5347,8530,8517,6910,3532,547,54,42657,227,251,1033,925,572,543,239,31,4,3831,125,194,391,421,391,250,93,27,20,1908,6049,9818,24664,31693,31017,19477,6067,805,97,129685,104,237,407,458,585,356,44,7,0,2204,750,316,264,363,333,284,112,11,3,2441,856,552,669,823,914,636,158,17,5,4642,6908,10369,25332,32513,31934,20112,6225,821,102,134320,6985,1554,2538,3838,3815,6912,14929,11178,5796,57546,524,633,1699,1845,1646,1400,1283,1078,1041,11157,14412,12554,29575,38197,37397,28419,22440,13078,6945,203023
