SA4_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
111,98,228,191,170,265,113,40,1104,34,71,63,47,63,22,10,312,0,9,6,5,5,3,3,34,4,8,0,3,0,0,3,23,140,312,263,228,343,134,57,1472,13,30,16,13,29,9,3,106,6,17,4,3,7,0,0,40,15,43,15,19,35,9,8,151,157,357,283,247,378,145,59,1620,75,114,107,83,73,27,20,500,3,9,3,3,3,0,0,22,231,480,391,334,455,172,76,2147,225,655,593,474,785,317,171,3216,685,1297,848,543,725,214,88,4403,86,67,48,39,42,13,4,291,21,26,26,11,21,5,4,112,1008,2048,1515,1066,1568,550,266,8023,59,159,99,68,62,15,5,474,144,234,116,55,74,20,8,645,205,388,214,126,134,32,17,1124,1220,2435,1727,1193,1710,589,278,9144,1759,1522,782,524,523,96,72,5283,28,31,15,14,7,4,0,113,3009,3995,2525,1727,2240,684,354,14540,323,883,783,639,1052,425,210,4317
112,62,145,124,127,181,37,18,692,28,83,87,49,69,22,6,340,3,3,0,0,6,0,0,17,3,6,8,4,11,6,0,37,95,239,216,183,263,69,25,1089,8,33,21,17,20,8,3,99,0,15,7,4,10,0,0,48,7,48,25,23,31,4,0,145,103,285,244,207,291,70,28,1233,70,109,88,62,77,25,6,435,5,4,3,5,7,0,0,22,174,403,338,272,371,99,34,1686,131,400,391,347,523,120,44,1951,411,985,718,469,668,159,30,3440,50,54,29,17,30,10,4,183,11,20,18,10,17,4,0,91,597,1459,1152,849,1235,300,79,5667,30,81,65,41,68,17,0,308,71,146,88,58,59,14,7,447,101,230,152,101,125,33,6,751,698,1686,1301,955,1364,333,86,6422,1190,1202,613,353,400,97,32,3886,16,28,18,6,8,3,0,78,1907,2918,1933,1315,1768,429,115,10379,189,545,512,476,699,162,57,2649
113,54,84,89,90,122,20,5,454,12,22,20,21,24,4,0,102,0,3,3,3,4,0,0,18,0,3,3,4,0,0,0,11,71,116,115,112,146,27,4,589,3,5,9,10,4,0,0,34,0,7,3,0,3,0,0,9,3,15,15,13,3,0,0,47,69,126,128,127,153,26,7,635,40,70,41,24,27,3,5,199,12,5,10,0,0,0,0,24,119,205,177,145,177,29,11,864,122,356,275,174,334,50,22,1339,307,550,341,227,272,33,3,1724,34,37,16,7,6,0,0,100,13,16,7,11,13,0,0,74,477,964,636,417,626,89,23,3239,38,79,43,32,27,8,0,225,58,81,30,23,18,3,0,227,96,164,77,53,43,6,0,447,575,1122,721,478,671,94,27,3682,1024,755,397,228,222,34,8,2663,25,22,17,7,3,0,0,79,1623,1898,1130,712,898,129,37,6429,176,442,361,269,454,74,28,1791
114,28,69,65,70,86,11,8,345,19,46,39,20,42,10,0,172,0,4,3,0,8,3,0,16,0,0,3,0,0,0,0,9,50,121,112,93,134,20,11,539,0,10,11,7,8,0,0,40,0,4,0,8,0,0,0,14,0,10,11,16,8,0,0,55,56,135,120,107,143,27,11,594,39,49,44,35,38,14,4,217,3,9,11,0,0,0,0,19,91,190,171,140,183,38,14,829,78,221,219,190,315,76,18,1108,263,508,378,261,297,63,21,1794,38,24,10,13,12,0,0,99,3,16,11,6,19,0,0,51,382,767,618,469,641,135,39,3053,21,33,31,24,24,11,3,146,57,90,32,28,18,5,0,236,72,124,69,50,50,14,6,376,459,889,686,520,690,145,43,3426,738,662,381,226,236,32,12,2287,7,8,5,11,9,0,0,37,1199,1563,1079,755,929,175,56,5756,104,288,283,259,399,87,25,1449
115,40,116,96,83,146,67,36,581,5,32,25,11,29,13,7,118,0,3,4,0,7,3,0,18,0,3,3,3,3,0,0,13,46,157,124,94,180,84,47,735,0,11,7,8,11,3,0,41,0,0,0,0,0,0,0,4,0,13,6,8,11,3,0,40,49,166,134,99,191,84,47,778,13,24,10,19,19,16,11,120,0,0,0,0,0,0,0,3,65,191,147,119,214,99,60,894,138,355,348,284,439,256,128,1947,164,355,280,213,277,130,81,1498,15,9,5,8,11,0,3,53,4,8,6,5,8,0,3,40,324,732,645,514,730,389,213,3546,11,18,14,13,23,8,0,88,24,44,26,17,25,6,8,144,32,63,41,30,48,13,7,234,355,796,682,548,779,406,226,3785,299,274,186,136,188,102,58,1241,12,16,5,3,7,0,0,38,660,1081,877,681,972,507,282,5064,176,468,441,366,588,323,170,2534
116,141,188,156,109,241,97,56,982,22,31,40,26,45,17,11,187,0,0,0,4,0,3,0,15,9,16,8,3,8,4,0,43,173,232,199,145,290,120,63,1229,21,17,10,14,17,10,5,90,4,10,4,5,3,4,0,32,27,26,14,18,23,8,5,127,199,259,222,164,314,127,64,1354,85,122,96,66,61,28,18,482,12,12,11,7,3,3,0,46,293,396,324,239,378,160,88,1882,352,848,618,502,785,386,190,3682,501,879,584,360,524,194,77,3124,80,67,26,16,33,16,9,250,20,28,33,18,27,7,3,134,956,1824,1264,898,1363,605,282,7192,68,160,88,79,89,27,9,525,137,245,131,92,102,21,16,739,204,406,216,165,186,52,29,1264,1159,2230,1479,1059,1557,655,312,8455,2355,2049,1090,703,711,225,135,7267,57,50,25,21,15,6,3,177,3575,4333,2596,1784,2275,891,443,15899,489,1038,775,616,1029,482,245,4665
117,67,90,64,54,85,49,35,441,16,29,28,14,27,15,3,129,3,0,3,0,3,0,0,13,3,3,0,3,0,0,0,20,88,128,92,71,118,61,44,603,0,5,7,5,3,4,0,36,3,0,4,0,0,0,0,17,3,12,11,5,6,9,0,48,90,139,110,82,121,69,48,653,19,24,24,28,36,20,16,168,0,0,0,0,0,0,0,9,114,162,126,106,158,93,59,829,202,401,311,213,322,189,131,1771,210,337,224,171,186,93,65,1284,27,24,15,7,12,7,5,101,6,9,6,6,14,9,0,39,449,764,553,395,529,298,197,3191,13,36,18,14,19,7,0,114,42,57,43,20,24,12,9,199,55,92,62,31,49,16,13,316,506,856,614,428,583,315,212,3506,442,432,235,183,259,160,106,1810,11,7,5,8,0,0,0,33,959,1293,853,613,836,481,318,5354,273,493,372,263,408,236,161,2211
118,58,124,91,72,106,62,44,554,14,30,19,24,31,19,14,153,0,4,0,0,3,0,0,10,0,4,0,0,0,0,0,10,68,162,119,90,143,79,57,733,4,8,0,0,6,5,0,25,0,0,0,0,0,0,0,5,3,12,3,3,6,5,0,33,76,173,118,99,149,82,61,764,17,27,32,16,18,14,13,125,0,0,3,0,0,0,0,3,90,196,153,114,167,96,75,887,203,545,386,228,358,255,156,2133,212,413,264,183,267,126,78,1547,36,20,9,10,7,3,10,90,6,8,9,4,6,3,3,46,458,994,664,426,638,391,252,3817,6,29,13,13,19,15,9,108,36,50,23,12,13,14,8,157,40,78,41,32,37,25,10,271,494,1074,702,455,677,413,261,4085,308,336,222,169,220,149,96,1497,9,9,4,3,3,9,0,37,810,1420,934,628,905,567,362,5617,260,671,480,299,462,311,202,2687
119,129,196,192,173,273,173,99,1235,44,79,66,49,85,44,36,400,5,6,0,4,8,3,7,29,14,12,6,9,14,6,4,61,190,286,264,234,387,230,142,1728,10,21,21,12,16,9,4,101,3,19,6,10,5,3,0,45,17,44,25,18,23,16,6,148,203,328,293,249,401,247,146,1874,66,134,100,81,104,70,54,601,7,3,4,0,5,0,3,26,275,474,395,330,508,315,201,2502,464,928,751,590,968,609,314,4619,615,1165,815,590,856,477,211,4740,93,24,27,19,36,19,11,231,25,42,40,34,49,34,18,244,1196,2165,1639,1228,1917,1140,556,9839,41,111,84,58,88,52,28,454,92,265,160,121,143,95,34,906,130,380,238,172,226,145,60,1360,1326,2543,1882,1402,2146,1282,619,11200,2231,2193,1254,800,1120,590,346,8537,40,59,42,19,9,11,4,187,3602,4794,3170,2226,3272,1890,967,19918,592,1128,948,761,1248,777,410,5856
120,51,122,70,68,140,98,52,600,21,22,16,17,38,17,9,141,0,5,0,0,0,3,0,9,0,0,3,3,0,3,0,10,73,150,94,92,177,115,62,764,4,4,0,3,4,5,6,27,0,10,0,4,0,0,0,17,4,9,3,7,12,6,3,49,78,157,97,102,188,121,68,805,23,35,30,21,36,27,23,189,0,3,0,0,0,0,0,5,101,198,127,126,230,148,88,1008,219,508,437,337,512,356,199,2560,238,522,293,214,313,182,112,1882,39,18,14,15,12,9,5,105,9,7,19,10,13,7,3,73,504,1054,760,573,850,558,319,4618,10,35,23,18,26,12,7,136,20,42,40,18,43,24,15,213,32,76,58,41,72,41,27,346,542,1130,820,608,924,599,347,4970,443,437,271,178,270,167,118,1875,6,10,0,5,4,4,4,25,983,1569,1086,786,1201,771,469,6867,266,629,505,409,647,458,248,3161
121,64,195,152,130,222,136,89,993,15,38,34,39,43,24,14,198,4,4,0,0,3,7,0,15,3,0,3,4,0,0,0,11,86,236,189,178,262,164,103,1218,0,7,8,7,13,3,3,44,3,0,4,0,3,4,3,16,5,7,15,7,13,4,6,58,94,243,202,178,276,172,114,1277,20,36,29,23,39,22,22,201,0,0,0,0,0,0,0,3,113,282,234,208,320,187,131,1480,299,721,597,493,802,513,299,3719,249,543,440,314,469,295,166,2479,43,29,9,11,18,15,5,132,8,16,15,10,22,10,8,85,598,1306,1061,829,1317,829,479,6419,12,27,13,14,27,19,11,131,24,56,28,31,38,27,10,214,39,78,42,53,66,48,20,342,631,1387,1104,883,1383,870,505,6763,310,520,356,263,387,307,161,2303,5,8,8,4,0,0,0,22,946,1912,1467,1149,1769,1178,666,9081,366,911,754,630,1018,644,393,4708
122,49,142,135,110,152,74,39,708,15,33,27,20,27,14,14,142,0,0,0,0,0,0,0,0,8,3,7,0,0,4,0,13,74,181,166,129,177,95,45,860,3,4,4,3,5,0,4,28,0,5,0,0,0,0,0,11,4,8,4,3,8,3,4,34,78,187,168,129,184,97,55,898,15,24,22,18,25,10,11,124,8,0,0,3,0,0,0,9,93,212,195,150,211,102,61,1027,154,419,369,304,554,240,149,2178,230,558,367,234,375,156,86,2003,26,11,11,11,10,8,3,80,7,13,11,8,12,4,3,54,414,1005,757,553,944,402,239,4320,3,29,10,6,19,8,9,78,22,42,16,7,11,10,0,109,21,66,30,15,29,9,7,187,437,1076,785,569,980,414,242,4509,233,303,176,113,153,68,44,1093,3,9,3,8,4,3,0,30,676,1388,968,686,1133,492,289,5631,202,566,506,407,703,313,186,2884
123,110,175,142,119,193,79,41,861,20,39,31,24,48,13,10,173,0,0,3,7,3,3,3,17,3,9,4,4,0,0,0,22,131,225,180,147,241,100,52,1072,14,19,15,7,14,3,3,66,0,8,3,7,0,0,0,23,13,22,20,13,14,3,4,92,144,244,202,163,261,100,50,1165,62,99,60,39,54,21,16,360,13,9,0,3,0,0,0,24,217,357,259,205,316,131,72,1548,325,649,542,410,582,251,124,2890,463,884,583,358,473,130,72,2962,62,53,29,22,26,4,8,210,20,34,20,13,16,4,0,108,874,1624,1176,805,1085,394,205,6169,60,136,71,55,82,17,5,426,130,213,123,78,68,9,10,628,186,353,196,137,150,21,16,1060,1064,1974,1373,940,1240,417,222,7228,1773,1597,814,497,554,154,75,5467,49,46,20,16,11,0,0,145,2887,3621,2206,1455,1806,571,302,12838,436,822,688,526,770,338,163,3747
124,115,207,165,156,226,74,50,983,20,64,41,40,55,16,3,237,4,3,9,4,3,4,0,21,10,6,4,7,5,0,0,31,150,280,208,203,293,91,53,1276,10,11,8,5,10,3,3,64,0,3,3,3,0,0,0,14,10,15,18,13,14,5,6,73,157,298,226,212,305,99,54,1352,54,92,74,52,49,22,13,358,6,4,5,9,3,0,0,27,219,393,305,270,358,115,69,1738,350,751,665,521,838,313,163,3604,630,1137,714,453,545,173,68,3712,81,39,33,18,22,0,9,210,27,41,27,10,28,5,7,146,1081,1969,1444,1012,1431,493,242,7673,51,117,54,45,70,12,5,352,125,196,89,54,54,6,3,531,181,309,139,101,124,20,14,883,1265,2277,1583,1111,1559,512,253,8557,1861,1521,691,442,453,113,47,5130,23,18,15,12,12,3,0,76,3146,3812,2285,1564,2021,631,301,13764,469,954,832,676,1058,387,206,4586
125,117,154,119,111,189,106,74,869,52,66,56,35,58,30,23,309,3,0,0,4,9,3,0,20,7,3,7,3,5,6,4,33,172,219,178,150,265,143,98,1233,20,17,10,18,10,7,4,84,4,11,10,9,4,9,3,41,26,32,19,24,14,15,4,125,198,253,197,171,279,154,105,1360,86,102,92,64,91,53,46,528,3,7,7,3,4,0,0,24,280,363,296,243,372,210,151,1909,331,704,582,433,655,446,262,3408,388,705,521,357,521,266,157,2921,56,36,12,13,20,13,12,163,34,42,18,23,34,25,14,179,815,1478,1138,819,1233,745,438,6664,37,91,58,43,68,30,19,342,95,206,116,75,86,32,19,626,135,294,170,117,149,64,38,970,948,1774,1308,935,1382,811,478,7638,1763,1656,891,582,797,430,285,6411,25,41,18,17,11,7,0,127,2736,3477,2221,1534,2191,1250,763,14170,443,856,696,541,852,547,333,4270
126,34,81,70,56,80,60,38,422,3,21,12,15,23,20,13,102,0,3,0,0,0,0,0,6,3,0,0,0,0,0,0,3,40,103,80,66,103,81,54,537,3,7,3,5,3,3,3,17,0,0,0,3,0,0,0,7,3,7,0,6,3,3,3,21,40,110,85,74,108,82,59,552,22,18,7,17,14,12,17,103,0,0,0,0,3,0,0,3,64,126,90,90,127,96,73,667,138,303,190,157,301,238,146,1468,134,278,190,149,187,106,67,1111,19,8,4,3,3,4,0,48,3,4,3,5,4,6,3,34,293,596,389,308,491,353,216,2654,6,4,7,3,16,10,6,55,13,25,19,6,15,12,7,104,21,35,31,17,28,18,14,155,310,627,420,323,524,370,232,2809,217,273,147,118,144,120,80,1092,0,0,0,0,3,0,3,8,530,902,566,439,672,499,312,3915,169,384,263,213,379,298,182,1888
127,129,173,135,135,218,108,61,960,32,75,54,52,64,44,16,335,4,5,0,0,3,0,0,19,11,13,3,3,14,7,6,45,171,259,196,194,300,159,85,1356,14,16,10,13,12,7,7,74,5,18,7,7,14,9,4,68,16,38,18,19,28,11,11,147,187,296,216,209,324,172,90,1501,91,130,104,100,125,84,41,683,17,14,11,7,3,0,0,49,297,442,335,318,458,254,134,2236,411,804,662,485,771,453,250,3841,502,967,730,495,695,326,149,3875,70,40,20,20,25,18,8,204,26,46,35,30,44,23,8,210,1017,1858,1445,1027,1545,825,416,8133,54,142,102,68,84,52,28,531,108,290,206,108,146,73,31,966,167,430,308,179,228,126,58,1500,1180,2287,1756,1206,1769,947,471,9630,2697,2691,1410,968,1193,611,371,9947,47,51,36,22,19,8,3,196,3927,5032,3210,2199,2981,1568,850,19769,544,974,796,616,988,565,313,4799
128,51,112,129,98,169,71,39,680,0,29,27,18,31,11,14,137,0,0,0,0,3,3,0,8,5,0,0,0,3,0,0,8,61,152,158,120,207,90,50,831,3,5,3,3,12,3,0,29,0,3,3,0,3,0,0,10,4,9,8,3,14,3,0,35,59,154,163,125,223,94,50,874,6,20,28,13,27,4,11,102,0,4,0,0,0,0,0,6,68,174,189,138,253,100,61,980,144,336,330,259,440,240,135,1883,285,601,401,306,315,131,65,2104,29,16,8,3,18,12,4,95,7,16,11,3,9,0,3,44,466,960,750,576,779,383,203,4131,7,12,9,7,16,7,4,66,30,61,24,16,24,10,0,155,35,73,34,24,34,17,3,220,510,1035,784,600,821,398,210,4345,372,343,203,128,158,69,53,1324,3,9,4,3,0,0,0,19,876,1384,986,736,977,469,262,5686,193,454,458,363,613,307,170,2567
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
