UCL_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
UCL112002,0,0,0,0,6,3,0,0,0,12,0,5,8,13,18,4,8,0,0,53,0,5,4,17,6,4,6,0,0,48,0,0,0,0,0,0,0,0,0,5,0,0,6,12,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,7,13,11,6,3,0,0,38,0,0,3,17,8,3,0,3,0,39,0,0,0,5,0,0,0,3,0,11,0,0,0,4,4,0,0,0,0,8,5,8,7,50,29,23,27,20,10,175,39,114,146,253,99,104,93,64,27,936,1095,2456,2619,4826,2098,1965,1662,953,322,18001,0,0,0,10,0,0,0,0,0,9,977,2150,2147,3729,1816,1765,1450,900,516,15440,0,5,0,20,0,0,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,5,0,3,5,3,0,0,0,0,21
UCL112003,0,0,6,5,7,3,0,0,0,18,0,0,0,16,10,10,12,3,0,57,0,0,0,5,4,3,0,0,0,17,0,0,0,6,0,0,0,0,0,13,0,5,7,11,11,0,3,0,0,32,0,0,0,0,3,0,4,0,0,7,0,8,9,23,18,19,21,4,0,98,0,7,11,23,10,0,4,0,0,51,0,0,0,0,11,5,9,5,0,29,0,0,0,0,0,0,4,0,0,11,0,6,3,49,64,60,75,50,11,326,27,50,74,141,91,90,91,45,14,629,667,1703,1546,3001,2001,2121,2147,959,247,14397,0,0,0,0,0,0,0,0,0,0,638,1550,1215,2508,1649,1716,1572,723,277,11834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,4,0,0,13,0,0,4,3,3,0,3,0,0,17,0,3,0,15,11,10,8,3,0,58
UCL112004,0,12,6,0,4,0,3,3,0,22,0,7,5,18,17,16,10,6,0,78,0,0,0,3,0,4,0,0,0,13,0,0,4,5,4,0,0,0,0,12,0,4,0,12,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,5,7,17,10,15,12,13,0,73,0,0,0,3,4,0,0,0,0,4,0,0,0,5,0,7,6,4,0,22,0,0,0,0,3,0,0,0,0,9,0,12,4,33,31,33,59,46,15,238,26,66,35,82,65,50,65,78,67,542,537,1351,1065,2101,1355,1381,1601,1286,466,11158,0,0,0,0,0,0,0,0,0,0,521,1187,919,1495,1181,1219,1445,1071,384,9414,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,9,6,0,44
UCL112005,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,5,5,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,16,7,0,0,0,0,21,0,0,0,4,0,0,0,0,0,4,0,0,0,11,3,4,0,0,0,23,0,0,0,14,0,0,0,0,0,19,0,0,0,0,4,0,7,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,6,35,11,17,13,3,5,99,33,64,59,161,73,68,80,43,28,599,719,1465,1449,3372,1495,1375,1232,635,221,11953,0,0,0,0,0,0,0,0,0,0,652,1297,1226,2427,1137,1159,1014,582,344,9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
UCL112006,0,0,0,0,0,0,0,0,0,4,0,4,3,13,11,3,0,0,0,38,0,12,5,44,13,13,4,0,0,94,0,0,0,9,0,0,0,0,0,9,0,3,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,0,0,0,0,17,0,0,0,11,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,3,4,17,12,9,3,0,0,43,0,11,8,45,15,21,15,8,9,129,118,245,220,468,191,161,114,86,41,1639,1495,2694,2257,5429,1991,1931,1527,942,330,18604,0,0,0,0,0,0,0,0,0,0,1346,2325,1964,4099,1770,1867,1492,1032,472,16364,0,3,0,51,4,3,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,13,3,17,17,38,18,44,42,31,12,235,193,367,294,609,361,404,544,355,87,3211,0,0,0,0,0,0,0,0,0,0,157,383,261,579,345,375,458,260,94,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112008,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,4,9,5,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,6,3,0,18,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,24,24,10,95,20,40,39,88,67,93,132,109,42,630,339,889,781,1475,981,1367,1956,1367,513,9669,0,0,0,0,0,0,0,0,0,0,323,807,710,1302,925,1331,1685,1189,661,8927,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,9,7,4,6,0,0,21
UCL112009,0,0,0,0,0,0,3,0,0,6,0,3,0,9,4,0,0,0,0,22,0,0,0,4,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,21,0,0,0,9,7,0,0,0,0,15,0,0,0,0,0,0,3,4,0,12,0,0,0,6,0,0,0,0,0,4,5,3,23,71,21,23,15,11,4,176,39,100,94,183,85,80,74,51,32,738,760,1491,1435,3136,1402,1463,1207,743,257,11890,0,0,0,0,0,0,0,0,0,0,634,1316,1098,2377,1208,1245,1131,743,376,10121,0,3,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,7,0,0,0,4,5,0,0,4,0,7
UCL112010,0,0,0,0,0,0,0,0,0,0,6,8,7,14,7,7,3,0,0,55,0,0,4,9,7,3,0,0,0,23,0,0,0,45,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,12,13,12,0,0,0,36,0,0,3,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,4,8,0,3,0,0,0,19,0,5,15,94,37,36,24,14,6,223,38,81,66,196,86,75,55,55,32,698,709,1333,1256,3036,1252,1186,812,505,218,10310,0,7,0,7,4,0,0,0,0,15,616,1075,901,1668,840,804,644,380,214,7142,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,0,0,0,10,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7
UCL112011,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,10,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,4,15,5,6,8,0,0,45,28,62,47,120,50,62,52,41,9,466,749,1383,1276,2692,1167,1090,946,422,107,9831,0,0,0,0,0,0,0,0,0,0,717,1302,1112,2582,1045,1020,814,360,179,9131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,7
UCL112012,0,0,0,0,7,0,0,0,0,5,0,5,0,16,8,6,4,0,0,37,0,0,0,8,0,0,4,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,5,0,3,3,10,8,10,13,4,0,48,0,3,0,10,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,3,0,0,0,6,3,7,8,52,17,27,12,8,3,131,49,118,131,222,123,100,89,48,35,909,754,1726,1732,3249,1667,1782,1485,748,289,13433,0,0,0,0,0,0,0,0,0,0,642,1451,1422,2828,1485,1574,1379,850,416,12061,0,0,0,5,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,5,0,9,7,3,0,0,0,34
