UCL_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
UCL112002,0,0,0,11,6,11,19,28,0,79,0,0,0,0,0,8,8,0,3,20,0,5,0,8,0,0,0,0,0,14,8,23,26,227,36,9,15,0,0,344,0,4,0,20,4,0,4,4,0,30,0,7,4,12,10,3,4,0,0,31,0,0,0,10,0,0,0,0,0,20,0,7,6,17,11,9,15,4,3,65,0,3,0,3,0,13,8,3,6,34,0,4,4,0,12,0,3,0,0,20,0,0,4,18,5,4,0,0,0,34,0,0,0,12,9,4,9,0,0,40,0,0,5,16,20,3,3,0,0,44,0,0,0,0,0,0,8,8,0,14,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,28,134,5,0,0,0,0,173,0,0,0,7,5,7,18,29,13,79,3,10,38,111,77,63,48,20,3,372,0,0,0,0,0,0,0,0,0,5
UCL112003,0,0,4,32,38,32,77,59,17,259,0,0,0,5,0,7,8,5,3,25,0,0,3,18,6,9,10,0,0,51,3,9,3,63,15,15,15,11,3,145,0,6,7,12,9,10,8,8,0,51,0,0,0,10,3,6,0,0,0,12,0,0,0,5,4,0,0,0,0,4,0,0,0,20,20,24,26,13,5,119,0,0,0,11,11,13,30,9,5,83,0,0,0,14,16,8,10,0,0,57,0,0,5,13,16,15,6,0,0,52,0,0,0,6,5,10,6,5,0,28,0,0,0,11,22,18,15,0,0,75,0,0,0,0,3,8,10,8,0,32,0,0,0,6,0,5,7,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,3,20,4,0,0,0,0,30,0,4,0,14,8,15,40,29,7,119,0,5,17,94,99,153,107,42,11,537,0,0,0,0,0,3,3,0,0,8
UCL112004,0,5,0,12,9,10,44,50,11,140,0,0,0,0,0,7,12,11,0,32,0,12,3,9,7,12,3,3,0,56,0,18,18,200,31,12,12,11,4,314,0,0,5,10,3,0,5,4,0,27,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,3,6,0,0,12,0,0,0,14,13,17,15,18,0,80,0,3,3,10,10,13,27,25,12,93,0,0,0,8,0,3,10,0,0,21,0,0,6,19,4,0,0,0,0,28,0,0,0,6,4,4,4,4,0,13,0,4,0,13,13,12,3,0,0,42,0,0,0,0,0,0,11,11,0,25,0,0,0,0,0,3,9,0,4,21,0,0,0,3,0,3,4,0,0,8,6,9,29,258,3,4,0,0,0,304,0,0,0,0,8,7,37,28,9,98,0,19,15,59,70,79,91,64,10,404,0,0,0,0,4,5,0,0,0,13
UCL112005,0,0,0,0,4,7,12,19,5,50,0,0,0,0,0,0,0,0,0,3,0,6,0,3,6,5,4,0,0,19,0,3,0,40,0,3,4,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,5,0,0,0,20,0,0,0,0,3,4,5,4,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,3,0,0,0,16,0,0,0,3,12,3,5,0,0,24,0,0,0,4,3,5,3,0,0,18,0,0,0,0,0,5,0,4,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,5,3,23,0,0,0,0,0,32,0,0,0,0,3,4,10,9,4,30,0,3,12,62,47,51,44,14,0,230,0,0,0,0,0,0,0,0,0,5
UCL112006,0,0,0,11,4,0,15,17,0,45,0,0,0,0,0,7,3,5,0,19,0,0,0,14,0,8,10,0,0,27,12,67,25,557,40,30,12,9,0,754,0,0,0,15,0,3,0,0,0,19,0,0,0,20,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,6,0,4,0,18,3,6,0,0,0,33,0,0,0,3,0,0,12,8,7,31,0,0,0,5,0,0,0,0,0,13,0,0,4,37,6,0,4,0,0,43,0,0,0,6,7,4,9,7,0,29,0,0,4,17,6,5,5,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,11,0,0,0,10,0,0,0,0,0,14,0,13,48,618,11,5,4,0,0,703,0,0,0,6,5,4,14,13,8,55,0,10,19,74,54,49,40,18,6,272,0,0,0,0,0,0,0,0,0,4
UCL112007,0,0,0,0,0,0,8,4,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,3,3,0,24,0,3,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,8,0,0,0,0,0,0,10,5,3,18,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,16,6,0,30,0,0,4,19,7,12,8,14,0,56,0,0,0,0,0,0,0,0,0,0
UCL112008,0,0,0,5,5,8,37,20,14,89,0,0,0,0,0,0,5,7,0,9,0,0,0,3,5,0,0,0,0,7,0,5,0,42,5,0,0,7,3,66,0,0,4,11,6,0,6,0,0,27,0,0,0,0,6,0,0,0,0,10,0,0,0,9,0,0,0,0,0,8,0,0,0,8,0,8,10,7,5,40,0,0,0,4,0,0,15,14,6,44,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,3,0,0,11,0,0,0,5,3,3,7,0,0,18,0,0,0,0,0,4,13,10,8,29,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,63,0,0,0,0,0,75,0,0,0,0,0,11,17,24,13,64,0,3,4,28,40,57,61,35,12,239,0,0,0,0,0,0,0,0,0,6
UCL112009,0,0,0,5,3,6,13,9,10,48,0,0,0,0,0,6,0,14,6,30,0,0,0,0,0,0,3,0,0,12,5,22,17,141,12,12,8,3,4,211,0,0,0,22,8,3,0,0,0,32,0,0,3,5,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,8,0,3,0,6,5,4,5,0,0,29,0,0,0,0,0,3,13,9,4,25,0,0,0,8,0,0,0,0,0,7,0,0,8,33,4,0,0,0,0,48,0,3,3,9,5,3,0,3,0,25,0,0,0,13,4,5,4,0,0,27,0,0,0,0,0,0,5,3,0,7,0,0,0,4,0,6,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,5,11,117,0,0,0,0,0,144,0,0,0,0,0,0,21,10,3,34,4,7,15,47,43,49,42,16,4,230,0,0,0,0,0,4,0,0,0,3
UCL112010,0,0,0,7,3,8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,16,77,109,1042,279,191,69,13,3,1799,0,0,0,16,5,0,0,0,0,22,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,4,0,0,0,25,0,0,4,44,17,60,177,231,165,699,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,16,0,0,0,0,3,0,3,0,0,10,3,5,27,151,23,15,4,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,9,0,0,0,15,3,6,0,0,0,22,0,0,0,0,0,5,0,3,0,14,3,56,78,149,34,26,15,7,4,364,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,0,4,0,0,22,15,0,45,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,5,47,3,4,3,8,0,63,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,3,0,0,0,13,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,4,8,3,0,26,0,3,7,27,34,22,23,12,0,122,0,0,0,0,0,0,0,0,0,0
UCL112012,0,0,3,18,16,19,25,19,8,106,0,0,0,0,0,0,5,0,0,8,0,0,0,0,3,4,0,0,0,16,4,4,16,101,7,9,12,3,3,153,0,0,0,12,9,0,4,0,0,25,0,0,0,6,0,0,0,4,0,15,0,0,0,4,0,0,0,0,0,3,0,0,0,3,5,9,0,0,4,18,0,0,0,13,3,10,15,25,22,92,0,5,6,21,5,5,0,0,0,39,0,0,6,18,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,4,12,5,11,0,0,0,34,0,0,0,0,0,0,5,0,0,6,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,11,30,0,0,0,0,0,49,0,0,0,6,4,8,13,9,0,44,0,4,18,66,68,83,54,15,4,315,0,0,0,0,0,0,0,0,0,0
UCL112013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
