UCL_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
UCL112002,0,3,0,8,0,0,0,0,0,11,1040,2246,2327,3925,1717,1630,1323,714,235,15165,0,0,0,15,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,10,3,0,0,0,29,0,0,0,0,0,0,4,0,0,8,0,0,6,16,14,3,11,0,0,43,0,0,0,0,0,0,4,3,6,13,0,0,0,4,0,0,0,0,0,13,0,7,12,39,35,71,85,70,30,336,0,0,0,9,8,3,0,0,0,20,0,0,0,8,0,0,0,0,0,7,0,0,0,5,5,4,10,14,4,35,0,0,0,0,0,3,6,0,4,11,0,0,0,0,0,0,0,0,0,3,3,9,15,125,26,6,8,0,0,195,0,0,0,9,0,0,0,0,0,14,0,3,0,6,3,0,0,0,0,23
UCL112003,0,0,0,0,0,0,0,0,0,0,628,1588,1390,2356,1440,1487,1350,550,154,10951,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,8,0,0,9,10,12,8,11,5,0,40,0,0,0,4,0,5,6,3,0,25,0,0,0,30,10,16,11,7,0,70,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,6,5,0,12,0,9,15,86,141,202,257,155,23,883,0,0,0,0,3,4,3,0,0,11,0,0,0,9,11,9,5,0,0,41,0,0,0,6,18,18,37,26,11,116,0,0,0,5,0,0,3,8,0,14,0,0,0,3,6,6,3,0,0,15,0,10,0,40,8,3,10,12,0,85,0,4,0,3,4,6,3,0,0,22,0,0,0,6,3,0,0,0,0,8
UCL112004,0,0,0,0,0,0,0,0,0,3,509,1186,927,1456,976,990,1082,807,272,8201,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,3,7,9,3,0,4,0,28,0,0,0,0,0,4,0,0,0,7,0,4,0,4,3,4,6,0,0,25,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,4,0,5,0,7,0,16,18,57,97,123,172,165,68,725,0,0,0,7,5,0,0,0,0,9,0,0,0,8,5,3,6,4,0,24,0,0,0,6,3,3,19,30,4,69,0,0,0,0,0,0,6,9,0,18,0,9,4,5,7,4,0,0,0,25,0,8,14,110,19,4,8,8,3,173,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8
UCL112005,0,0,0,0,0,0,0,0,0,0,685,1384,1351,2919,1277,1153,992,493,171,10432,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,6,12,5,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,6,27,26,44,64,37,11,211,0,0,0,6,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4,14,5,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,8,0,0,0,28,0,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL112006,0,0,0,0,0,0,0,0,0,0,1365,2321,1915,3735,1579,1616,1261,768,254,14817,0,3,0,68,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,5,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,4,6,42,10,5,5,3,0,73,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,11,0,6,12,32,24,30,37,28,9,186,0,0,3,26,0,6,4,0,0,45,0,0,0,4,5,0,0,0,0,5,0,0,5,0,0,0,7,8,0,21,0,0,0,0,0,4,0,3,0,8,0,0,0,5,0,3,3,0,0,14,4,25,19,304,26,12,7,0,0,398,0,0,0,5,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,11
UCL112007,0,0,0,0,0,0,0,0,0,0,183,344,266,517,321,334,443,265,62,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,7,20,24,8,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112008,0,0,0,0,0,0,0,0,0,0,315,828,724,1208,819,1143,1529,1021,392,7982,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,3,0,0,0,4,4,5,4,4,0,15,0,0,0,0,3,0,4,8,0,18,0,0,0,3,0,0,5,3,0,18,0,0,0,20,17,40,115,108,32,336,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,6,0,0,0,0,4,0,24,10,3,39,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,3,5,40,0,0,0,8,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0
UCL112009,0,0,0,8,0,0,0,0,0,8,708,1341,1230,2446,1173,1215,961,577,189,9848,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,4,6,29,4,13,3,0,0,57,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,3,0,8,0,4,8,28,19,51,51,48,15,221,0,0,3,12,5,12,0,0,0,27,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,7,9,6,0,20,0,0,0,5,0,3,3,9,0,15,0,0,0,0,0,0,3,0,0,3,0,10,17,65,10,3,4,3,0,113,0,0,0,8,0,4,0,0,0,14,0,0,3,3,0,0,0,0,0,6
UCL112010,0,0,3,7,7,7,0,0,0,34,657,1110,944,1628,774,777,544,306,99,6845,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,0,0,0,8,0,0,0,17,9,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,16,13,10,17,5,83,0,0,10,35,27,18,7,0,0,88,0,0,0,3,0,0,4,0,0,7,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,66,552,148,115,37,8,0,976,0,0,0,11,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,3
UCL112011,0,0,0,0,0,0,0,0,0,0,713,1298,1193,2443,1041,942,788,324,90,8834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,29,35,34,8,149,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,3,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,3,3,25,0,4,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112012,0,0,0,0,0,0,0,0,0,0,701,1551,1522,2625,1368,1448,1209,587,210,11217,0,4,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,4,0,5,0,25,0,0,0,6,0,5,0,0,0,9,0,0,0,14,0,4,0,0,0,15,0,0,0,0,0,0,0,3,0,6,0,8,0,5,0,0,0,0,0,12,0,8,13,46,42,74,62,53,16,297,0,0,4,5,3,0,0,0,0,13,0,0,0,5,0,3,4,0,0,17,0,0,0,7,10,15,7,9,3,50,0,0,0,0,0,0,5,0,0,8,0,3,0,0,0,4,0,0,0,10,0,0,11,61,8,0,5,0,0,94,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,8
UCL112013,0,0,0,0,0,0,0,0,0,0,81,168,133,240,123,118,92,43,11,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
