UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL121071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,78,160,6,4,6,7,0,7,0,0,0,0,0,0,0,0,0,5,3,12,107,81,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,12,10,21,3,3,11,129,99,231
UCL121072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,100,244,11,10,18,10,0,10,0,0,0,0,0,0,5,0,5,5,8,11,174,117,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16,16,25,45,0,0,0,195,153,350
UCL121073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,73,158,0,4,5,0,0,0,0,0,0,0,0,0,0,0,6,10,7,18,108,88,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,5,15,24,0,0,0,119,113,232
UCL121074,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,46,34,86,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,61,46,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,34,54,86,33,22,51,4,0,0,132,122,254
UCL121075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,31,84,0,3,3,5,0,5,0,0,0,0,0,0,0,3,3,4,0,4,60,37,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,50,12,19,31,0,0,0,98,83,185
UCL121076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,123,269,6,3,15,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,163,133,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,38,68,47,52,93,3,0,6,232,227,466
UCL121077,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101,109,215,5,4,12,9,0,9,0,0,0,0,0,0,0,0,0,10,15,23,125,132,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,33,45,19,10,28,0,0,0,160,177,332
UCL121078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,112,235,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,112,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,30,53,18,33,51,0,0,0,177,180,360
UCL121079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,82,172,6,9,18,9,0,9,0,0,0,0,0,0,0,0,0,0,5,7,108,92,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,17,31,7,18,29,0,0,0,138,131,264
UCL121080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,178,360,13,7,18,0,0,0,0,0,3,5,0,5,5,0,3,4,3,5,203,193,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,35,62,16,32,42,0,0,0,243,261,499
UCL121081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,97,201,9,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,119,107,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,45,6,16,23,0,0,0,154,147,294
UCL121082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,159,311,6,5,16,4,0,11,0,0,0,4,0,9,0,0,0,4,4,7,184,169,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,55,27,28,56,0,0,0,226,234,464
UCL121083,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,87,52,139,5,9,14,6,0,6,0,0,0,3,0,4,0,0,0,7,10,12,110,72,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,62,65,133,39,33,75,0,0,0,220,170,387
UCL121084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,82,227,5,9,18,14,0,14,0,0,0,0,0,0,0,0,0,11,4,11,175,102,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,84,138,22,25,49,0,0,0,248,214,463
UCL121085,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,110,85,196,6,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,121,92,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,97,174,29,47,76,4,0,4,231,235,466
UCL121086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,88,183,6,0,8,3,0,3,0,0,0,0,0,0,0,0,0,8,14,28,120,111,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,16,33,15,17,34,0,4,4,152,145,298
UCL121087,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,85,89,173,11,4,13,11,0,11,0,0,0,0,0,0,0,0,0,6,3,8,117,94,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,23,11,23,29,0,4,6,135,132,267
UCL121088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,101,225,9,3,10,6,0,10,0,0,0,0,0,0,0,0,0,6,3,9,139,111,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,24,10,17,27,0,0,0,153,143,304
UCL121089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,93,221,4,4,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,139,100,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44,62,103,26,39,64,0,0,0,212,199,411
UCL121090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,141,281,16,10,27,10,0,10,6,0,6,4,0,4,0,0,0,4,5,6,178,152,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,47,17,19,35,0,0,0,219,195,418
UCL121091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,95,223,0,7,10,6,0,6,0,0,0,0,0,0,3,0,3,0,4,5,144,103,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,41,18,25,42,0,0,5,170,163,332
UCL121092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,141,365,3,4,11,14,0,14,0,0,0,0,0,0,0,0,0,3,0,4,245,144,390,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,25,71,102,23,49,69,0,4,0,307,269,576
UCL121093,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,186,133,318,9,3,12,4,0,4,0,0,0,0,0,0,0,4,4,3,4,8,211,145,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,52,30,42,72,3,0,4,260,228,486
UCL121094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,61,128,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,8,14,16,85,75,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,18,14,13,20,5,3,4,108,106,217
UCL121095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,113,233,11,4,14,3,0,3,0,0,0,0,0,0,0,0,0,5,7,8,138,120,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,50,6,27,35,0,4,4,177,176,351
UCL121096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,103,187,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,99,109,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,24,44,25,24,44,0,0,0,150,156,301
UCL121097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,90,193,7,10,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,110,102,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,21,51,12,30,35,0,0,0,152,151,304
UCL121098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,130,269,4,12,18,8,0,8,0,0,0,0,0,0,0,0,0,0,0,3,159,144,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,47,82,22,40,59,6,4,7,217,235,450
UCL121099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,72,137,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,75,85,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,11,20,13,20,27,0,0,0,104,114,224
UCL121100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,157,331,21,12,31,3,0,3,0,0,0,0,0,0,0,0,0,4,4,8,206,178,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,24,40,56,18,37,57,0,0,0,246,253,498
UCL121101,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,151,106,264,6,7,11,12,0,12,0,0,0,0,0,0,0,0,4,10,5,11,185,116,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,28,50,77,38,46,86,0,0,0,251,220,465
UCL121102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,103,217,7,5,14,4,0,4,0,0,0,0,0,0,0,0,0,14,16,25,144,125,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,45,17,13,33,6,6,4,182,170,351
UCL121103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,142,260,3,0,10,7,0,7,0,0,0,10,0,10,0,0,0,13,7,22,160,150,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,17,15,31,45,4,8,6,183,202,384
UCL121104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,84,170,10,6,12,3,0,3,0,0,0,0,0,0,0,0,0,12,9,20,109,92,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,51,17,17,38,3,5,7,152,143,297
UCL121105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,122,0,0,6,6,0,6,0,0,0,0,0,3,0,0,0,9,4,11,81,70,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,6,13,24,0,0,0,90,86,178
UCL121106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,130,261,4,6,12,0,0,0,3,0,3,0,0,0,0,0,7,0,3,3,141,138,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,23,27,50,21,19,39,3,0,3,192,189,382
UCL121107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,117,268,10,8,16,10,0,10,0,0,0,0,0,0,0,0,0,0,4,3,166,128,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,12,25,13,25,37,4,0,4,192,175,365
UCL121108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,129,260,12,10,21,5,0,5,0,0,0,0,0,0,0,0,0,5,3,3,151,137,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,18,8,23,29,0,0,0,168,178,342
UCL121109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,71,148,5,3,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,85,72,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,48,14,20,31,6,0,4,125,111,238
UCL121110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,141,262,14,11,22,6,0,6,0,0,0,5,0,5,0,0,0,6,3,8,153,156,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15,15,28,43,0,0,4,176,195,373
UCL121111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,81,176,10,10,16,6,0,6,0,0,0,0,0,0,0,0,0,12,10,27,123,104,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,14,16,0,0,0,138,118,249
UCL121112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,132,297,5,7,15,3,0,6,0,0,0,0,0,0,0,0,0,6,0,4,177,138,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,11,18,10,26,31,0,0,0,195,175,373
UCL121113,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,70,57,125,4,0,4,0,0,0,0,0,0,0,0,6,0,0,0,17,9,22,93,75,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,3,6,13,9,15,19,6,0,5,107,95,204
UCL121114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,129,276,9,7,18,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,164,138,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,39,12,20,29,0,0,4,198,178,374
UCL121115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,66,127,4,0,8,3,0,3,0,0,0,0,0,4,0,0,0,6,3,6,79,66,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,38,15,21,33,0,0,0,111,110,220
UCL121116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,125,298,7,8,13,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,189,135,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,56,101,43,48,95,0,0,4,282,243,529
UCL121117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,88,198,6,7,9,8,0,8,0,0,0,0,0,0,0,0,5,6,8,9,132,96,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,24,30,15,24,44,0,0,0,164,151,314
UCL121118,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,75,43,120,3,3,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,8,92,54,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,72,9,31,39,0,0,0,139,126,258
UCL121119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,126,272,8,4,14,11,0,11,0,0,0,0,0,0,0,0,0,0,0,5,166,135,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,28,12,37,45,0,0,0,196,185,378
UCL121120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,48,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,41,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,8,0,0,4,53,49,96
UCL121121,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,73,57,134,5,5,15,5,0,14,0,0,0,0,0,0,0,0,0,4,4,4,101,64,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,47,13,18,28,0,0,3,131,116,248
UCL121122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,106,207,7,11,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,118,114,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,18,19,19,37,0,0,4,137,141,283
UCL121123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,77,175,10,10,22,9,0,9,3,0,3,0,0,0,0,3,3,7,6,13,121,101,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,14,18,33,0,0,7,149,137,281
UCL121124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,101,4,4,6,5,0,4,0,0,0,0,5,4,0,0,0,10,5,12,68,62,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,16,12,27,0,0,0,88,85,170
UCL121125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,94,191,6,3,15,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,114,101,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,19,33,17,17,26,3,0,4,141,144,286
