UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL112002,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,20,0,0,0,0,0,7,10,20,0,8,9,3,3,0,0,55,0,0,0,10,3,8,20,0,0,0,0,5,0,0,4,44,0,0,0,0,10,13,30,21,0,0,4,7,0,0,12,95,0,6,3,9,0,6,0,0,0,0,0,0,0,0,0,28,0,4,4,0,0,5,3,4,0,0,6,0,6,0,0,25,0,0,0,6,5,4,12,0,0,0,7,3,0,0,4,45,20,16,11,4,8,3,0,6,0,0,0,0,0,0,3,79,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,14,0,0,4,0,0,13,91,72,24,29,30,37,16,8,12,344,0,0,0,0,0,0,10,8,6,0,0,0,0,0,4,30,0,0,0,0,3,0,6,12
UCL112003,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,8,18,21,14,19,13,0,0,0,0,0,0,3,96,0,0,4,5,23,28,40,28,10,3,5,9,0,0,0,158,0,0,23,5,0,4,0,0,0,0,0,0,0,0,0,27,0,13,13,3,0,0,0,0,0,0,0,0,0,0,0,25,3,0,5,3,9,9,0,0,0,0,0,0,0,0,0,33,28,44,43,26,32,26,37,17,0,0,0,0,0,0,9,259,0,8,6,5,0,0,4,0,0,0,0,0,0,0,5,25,0,0,6,8,8,8,10,8,0,0,0,3,0,0,0,51,0,3,20,11,10,9,29,20,8,0,14,11,0,0,5,145,0,3,0,5,12,7,11,7,0,5,0,5,0,0,0,51,0,0,0,6,0,4,0,0
UCL112004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,23,0,5,17,19,7,8,9,4,0,0,0,0,4,0,0,73,5,0,0,0,9,9,20,16,7,0,0,4,5,0,0,80,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,22,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,9,0,4,5,0,0,0,0,0,0,4,28,24,36,17,17,17,5,10,3,0,0,0,0,0,0,9,140,0,8,12,8,0,0,3,0,0,0,0,0,0,0,0,32,0,0,6,5,11,7,12,4,0,4,3,0,5,0,0,56,7,4,11,8,8,17,83,57,20,26,35,21,11,0,9,314,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,27,0,0,0,0,4,0,3,8
UCL112005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,13,3,0,7,3,0,0,0,15,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,20,7,18,8,4,0,3,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,0,0,0,0,0,0,0,0,4,19,0,0,4,4,0,0,9,14,3,3,8,8,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,41,26,13,10,11,0,0,0,140,0,0,0,3,5,0,8,3,0,0,0,0,0,0,0,19,0,0,0,6,10,9,42,27,0,11,9,15,15,10,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,6,0,0,13,0,0,0,0,4,3,16,13,0,8,0,4,0,13,0,71,12,10,7,5,0,3,4,8,0,0,0,0,0,0,3,45,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,19,0,3,0,5,10,3,4,3,0,0,0,0,0,0,0,27,0,0,3,6,3,10,190,233,66,75,68,57,20,11,10,754,0,0,0,0,0,9,3,4,0,3,0,0,0,0,0,19,0,0,0,0,5,0,0,0
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,10,7,4,9,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
UCL112008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,7,5,6,0,10,4,0,3,0,0,0,0,0,29,0,0,0,0,7,7,13,8,0,0,0,0,0,0,0,38,0,9,9,4,0,0,0,0,0,0,0,0,0,0,0,21,0,3,3,0,0,0,3,0,0,0,3,3,4,0,0,30,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,33,10,3,4,3,6,3,0,0,0,0,0,0,7,89,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,0,13,14,0,9,11,7,4,0,7,66,0,0,0,0,4,0,0,6,0,4,0,0,0,0,0,27,0,0,0,5,0,0,0,0
UCL112009,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,12,3,0,4,14,0,0,3,32,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,16,0,0,0,0,11,7,30,17,0,3,0,19,0,9,11,113,0,4,10,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,5,5,9,11,3,0,0,0,11,5,0,5,55,8,7,5,9,3,0,4,0,0,0,0,0,0,0,4,48,0,4,11,0,0,0,4,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,3,3,42,65,17,20,20,33,5,0,6,211,0,0,0,0,0,0,6,10,0,3,0,3,6,0,0,32,0,0,0,0,0,0,6,3
UCL112010,0,0,0,0,0,0,9,25,0,0,6,9,0,0,0,44,0,0,0,0,0,0,9,9,5,3,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,20,7,3,11,6,13,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,17,22,25,29,4,14,7,15,0,0,16,163,0,4,0,4,0,0,6,5,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,3,5,22,108,435,267,156,155,210,293,94,6,35,1799,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,22,0,0,0,0,0,0,4,0
UCL112011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,10,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,14,8,21,0,4,5,0,3,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,25,15,0,6,3,6,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
UCL112012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,14,0,0,4,5,9,5,14,4,0,6,0,0,4,0,0,61,0,0,0,0,0,0,18,15,5,0,0,4,0,0,0,47,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,4,3,0,0,5,8,5,3,0,31,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,20,11,14,12,8,24,11,13,3,0,0,6,0,0,0,0,106,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,16,0,3,4,0,4,0,46,29,12,13,7,20,5,0,0,153,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,25,0,0,0,0,3,0,5,3
UCL112013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
