UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL114002,64,1517,506,330,1182,0.7,884,2
UCL114003,42,1222,582,280,1299,0.8,1012,2.3
UCL114004,43,1276,767,290,1881,0.7,1351,2.2
UCL114005,52,1083,543,220,1318,0.7,946,2.1
UCL114006,52,1200,632,230,1543,0.7,1121,2.1
UCL114007,45,1183,591,230,1392,0.7,1034,2.2
UCL114008,47,1083,670,230,1622,0.7,1159,2.1
UCL114009,28,1814,960,400,2480,0.8,2250,2.8
UCL114010,42,1200,698,230,1559,0.7,1172,2.2
UCL114011,48,975,497,230,1228,0.7,857,2.1
UCL114012,31,2600,1629,531,3444,0.8,3363,3.1
UCL114013,36,1377,763,300,1871,0.7,1429,2.3
UCL114014,37,2500,996,535,2721,0.9,2481,2.9
UCL114015,39,1127,632,270,1415,0.7,1083,2.3
UCL114016,37,1300,746,250,1778,0.7,1359,2.4
UCL114017,41,2236,954,580,2328,0.8,2135,2.7
UCL114018,56,1625,691,345,1611,0.7,1224,2.1
UCL114019,38,1300,804,230,1836,0.8,1435,2.3
UCL114020,44,2000,761,400,1981,0.7,1487,2.4
UCL114021,46,1733,601,350,1472,0.8,1169,2.4
UCL114022,57,1300,498,280,1234,0.7,839,2
UCL114023,39,1364,794,260,1929,0.7,1402,2.3
UCL114024,39,1300,716,260,1792,0.7,1342,2.4
UCL114025,42,2063,730,500,1831,0.8,1554,2.7
UCL114026,38,2300,812,400,2066,0.7,1665,2.5
UCL114027,58,1840,630,390,1504,0.7,1175,2.1
UCL114028,39,1517,780,290,1950,0.7,1435,2.3
UCL114029,34,2383,996,408,2524,0.8,2341,3.1
UCL114030,58,1517,537,330,1254,0.7,997,2.1
UCL114031,45,1753,669,395,1701,0.7,1413,2.5
UCL114032,34,2058,780,410,1961,0.8,1691,2.7
UCL114033,41,1300,654,245,1610,0.8,1250,2.3
UCL114034,42,1600,606,360,1405,0.8,1175,2.4
UCL114035,45,1733,633,360,1481,0.8,1163,2.4
UCL114036,57,1625,601,400,1395,0.7,1104,2.1
UCL114037,41,1733,834,340,2084,0.8,1640,2.4
UCL114038,41,1180,631,250,1427,0.7,1058,2.3
UCL115001,41,1500,686,280,1879,0.7,1375,2.4
UCL115002,45,1833,723,410,1966,0.7,1612,2.6
UCL115003,33,2500,1005,450,2510,0.8,2447,3.2
UCL115004,50,1559,603,350,1491,0.8,1143,2.3
UCL115005,49,926,680,200,1631,0.7,1166,2.2
UCL115006,39,2167,927,680,2326,0.9,2095,2.7
UCL115007,41,2167,751,400,2082,0.8,1694,2.7
UCL115008,61,1031,519,200,1245,0.6,838,1.9
UCL115009,47,1360,700,270,1689,0.7,1342,2.3
UCL115010,60,659,465,190,1029,0.6,747,1.8
UCL115011,48,1532,620,360,1555,0.7,1244,2.4
UCL115012,49,867,572,195,1342,0.7,963,2.2
UCL115013,43,1325,643,318,1489,0.7,1134,2.2
UCL115014,44,1438,641,390,1493,0.8,1216,2.4
UCL115015,58,1560,599,310,1297,0.7,1019,2.1
UCL115016,45,1300,741,270,1898,0.7,1409,2.2
UCL115017,59,2167,756,520,2003,0.7,1417,2.2
UCL115018,62,997,475,210,1004,0.7,821,2
UCL115019,53,1733,736,380,1812,0.7,1322,2
UCL115020,38,1300,671,260,1681,0.7,1309,2.4
UCL115021,47,1027,688,215,1583,0.7,1216,2.1
UCL115022,51,1800,678,445,1794,0.7,1414,2.5
UCL115023,50,1213,600,250,1464,0.7,1059,2.2
UCL115024,34,912,851,181,1833,0.8,1470,2.5
UCL115025,35,2158,953,410,2404,0.8,2225,2.9
UCL115026,48,1700,770,350,1836,0.7,1367,2.1
UCL115027,34,1733,867,370,2231,0.8,1940,2.7
UCL115028,51,1750,766,373,1835,0.7,1434,2.3
UCL115029,47,2037,743,450,1790,0.8,1302,2.1
UCL115030,55,1083,492,295,1197,0.7,906,2.2
UCL115031,60,1750,648,400,1604,0.6,1251,2.1
UCL115032,50,2600,812,554,2156,0.8,1832,2.5
UCL115033,37,2383,1305,520,3101,0.8,2863,2.9
UCL115034,32,2008,802,410,2049,0.8,1932,2.9
UCL115035,34,1582,914,350,2112,0.7,1868,2.7
UCL115036,53,1733,637,390,1486,0.7,1239,2.3
UCL115037,43,1950,847,498,2390,0.7,2188,2.8
UCL115038,49,1083,544,220,1278,0.7,903,2.1
UCL115039,36,1083,946,200,2307,0.7,1794,2.3
UCL115040,37,2103,800,430,2051,0.8,1884,2.8
UCL115041,39,867,643,200,1603,0.7,1204,2.3
UCL115042,44,1347,703,270,1630,0.7,1306,2.4
UCL115043,51,867,572,210,1320,0.7,1021,2.2
UCL115044,37,867,611,190,1410,0.8,1131,2.3
UCL115045,47,1158,494,300,1283,0.7,1042,2.4
UCL115046,39,1733,742,440,1765,0.8,1584,2.7
UCL115047,51,1300,618,275,1572,0.7,1120,2.2
UCL115048,54,1733,617,350,1502,0.7,1213,2.2
UCL115049,46,975,575,220,1421,0.7,1056,2.3
UCL115050,37,2167,911,610,2236,0.8,2177,3
UCL115051,59,1408,564,330,1430,0.7,1092,2.1
UCL115052,43,1577,681,280,1867,0.7,1350,2.3
UCL115053,57,1300,559,290,1261,0.7,893,2
UCL115054,41,2200,961,432,2447,0.8,2329,3.1
UCL115055,50,1300,591,300,1384,0.7,1076,2.2
UCL115056,53,1517,571,270,1334,0.7,1001,2.2
UCL115057,52,1560,638,321,1453,0.8,1084,2.1
UCL115058,63,1733,573,390,1303,0.7,1114,2.1
UCL115059,53,867,588,178,1387,0.7,952,2
UCL115060,25,1300,922,310,1953,0.8,1715,2.8
UCL115061,51,1300,525,330,1302,0.8,1057,2.4
UCL115062,38,2150,900,440,2264,0.8,2095,2.9
UCL115063,40,2383,1034,550,2787,0.8,2418,2.8
UCL115064,46,2167,808,500,2271,0.8,1896,2.6
UCL115065,47,905,592,203,1287,0.7,1022,2.2
UCL115066,33,2026,905,430,2189,0.8,2114,3
UCL115067,54,1232,540,275,1302,0.7,917,2.1
UCL115068,58,1495,600,300,1359,0.7,1096,2.1
UCL115069,56,1033,512,198,1285,0.7,923,2
UCL115070,33,1742,807,360,2208,0.8,1930,2.8
UCL115071,41,1361,641,300,1717,0.7,1288,2.3
UCL115072,49,1660,569,450,1355,0.7,1303,2.7
UCL115073,45,1120,652,230,1648,0.7,1160,2.3
UCL115074,44,1083,623,250,1339,0.7,956,2.3
UCL115075,64,1733,599,375,1381,0.7,1093,2.1
UCL115076,52,910,547,220,1327,0.7,973,2.1
UCL115077,64,1517,482,340,1080,0.6,902,2
UCL115078,61,1733,617,330,1398,0.6,1096,2
UCL115079,49,867,661,173,1528,0.7,1116,2.1
UCL115080,34,2000,847,440,2072,0.8,1886,2.8
UCL115081,37,876,802,222,1590,0.8,1375,2.2
UCL115082,53,1080,578,185,1408,0.7,964,2
UCL115083,49,1300,663,290,1576,0.7,1271,2.3
UCL115084,62,1300,487,300,1070,0.7,834,1.9
UCL115085,49,2468,854,500,2355,0.7,2114,2.6
UCL115086,31,1517,921,400,2265,0.9,2008,2.4
UCL115087,36,1300,792,310,2004,0.8,1753,2.8
UCL115088,47,1517,667,350,1492,0.7,1338,2.4
UCL115089,39,1216,721,260,1698,0.7,1334,2.4
UCL115090,54,867,454,220,983,0.7,664,1.8
UCL115091,51,1408,543,300,1338,0.8,1050,2.3
UCL115092,39,1300,662,310,1553,0.7,1223,2.4
UCL115093,49,2167,874,410,2322,0.7,2082,2.5
UCL115094,49,1196,543,280,1270,0.7,958,2.2
UCL115095,39,867,614,170,1437,0.8,1106,2.3
UCL115096,53,1842,654,380,1476,0.7,1263,2.4
UCL115097,52,1600,532,365,1316,0.7,1070,2.3
UCL115098,46,828,499,200,1259,0.8,915,2.2
UCL115099,47,1323,505,320,1209,0.7,942,2.3
UCL115100,56,1387,521,330,1256,0.7,964,2.1
UCL115101,54,1733,714,410,1645,0.6,1353,2.3
UCL115102,48,1083,514,260,1225,0.7,936,2.2
UCL115103,44,1083,501,240,1390,0.7,1037,2.3
UCL115104,55,1647,609,387,1657,0.7,1346,2.3
UCL115105,43,1335,651,270,1578,0.7,1174,2.3
UCL115106,49,1443,557,295,1351,0.7,1026,2.2
UCL115107,44,1950,666,499,1603,0.8,1345,2.4
UCL115108,38,2641,1482,575,3489,0.8,3364,3.1
UCL115109,58,1462,560,270,1304,0.7,937,2
UCL115110,44,975,599,210,1388,0.7,1025,2.2
UCL115111,39,1083,654,250,1566,0.7,1159,2.4
UCL115112,30,1993,1047,450,2362,0.8,2210,2.8
UCL115113,39,1083,751,200,1939,0.7,1387,2.3
UCL115114,43,1408,674,280,1597,0.7,1252,2.2
UCL115115,44,1900,703,500,1719,0.8,1446,2.4
UCL115116,50,1665,625,360,1437,0.7,1159,2.2
UCL115117,62,1300,493,348,1242,0.7,939,2.1
UCL115118,54,1517,632,330,1637,0.8,1231,2.2
UCL115119,37,2301,905,370,2370,0.8,1985,2.7
UCL115120,37,3000,1064,563,2892,0.8,2747,3.2
UCL115121,48,1083,521,250,1413,0.7,992,2.2
UCL115122,47,1083,604,250,1427,0.7,1084,2.2
UCL115123,44,1961,749,450,2069,0.7,1712,2.6
UCL115124,38,1820,793,440,1805,0.8,1674,2.7
UCL115125,56,1950,613,365,1533,0.7,1070,2.1
UCL115126,50,2167,775,550,2067,0.7,1562,2.4
UCL115127,49,1473,615,380,1377,0.7,1210,2.3
UCL115128,41,1971,765,550,1872,0.8,1639,2.6
UCL115129,45,2708,1117,460,3170,0.8,2830,2.9
UCL115130,62,1445,486,310,1170,0.7,847,2
UCL115131,49,1517,581,370,1399,0.7,1139,2.4
UCL115132,57,1603,746,320,1562,0.7,1219,2
UCL115133,69,1365,523,360,1170,0.6,972,1.9
UCL115134,49,1083,629,240,1541,0.7,1115,2.2
UCL115135,56,1083,483,245,1117,0.7,807,2
UCL115136,35,2370,940,400,2439,0.8,2232,3.1
UCL115137,37,2275,792,412,2062,0.8,1701,2.6
UCL115138,31,2076,901,460,2137,0.8,1987,2.8
UCL115139,60,1300,550,250,1375,0.7,1055,2.1
UCL115140,54,1517,685,350,1608,0.7,1260,2.2
UCL115141,46,1129,678,220,1606,0.7,1260,2.3
UCL115142,62,1420,581,333,1329,0.6,1035,1.9
UCL115143,46,1252,611,250,1422,0.7,1106,2.2
UCL115144,56,1625,573,330,1304,0.7,1008,2.1
UCL115145,55,1600,597,400,1406,0.7,1084,2.1
UCL115146,55,1862,768,400,1886,0.6,1396,2.1
UCL115147,39,2069,890,500,2115,0.7,1938,2.6
UCL115148,55,1083,605,220,1426,0.7,977,2
UCL115149,34,962,930,177,1937,0.8,1674,2.4
UCL115150,39,2342,881,380,2321,0.8,1848,2.6
UCL115151,38,1500,667,275,1938,0.8,1441,2.5
UCL115152,53,1000,504,230,1244,0.7,900,2.1
UCL115153,51,867,634,200,1425,0.7,1084,2
UCL115154,37,1062,664,200,1560,0.8,1200,2.4
UCL115155,41,1010,582,240,1355,0.7,1060,2.3
UCL115156,56,867,479,200,1142,0.7,898,2
UCL115157,50,867,492,220,1177,0.7,917,2.1
UCL115158,42,1200,768,231,1890,0.7,1389,2.2
UCL115159,38,2200,967,470,2527,0.8,2343,2.9
UCL115160,33,2600,1250,580,2988,0.8,2946,3.4
UCL115161,46,1300,564,300,1351,0.7,1055,2.3
UCL115162,39,1813,788,430,1911,0.7,1623,2.6
UCL115163,43,1950,671,360,2003,0.8,1789,2.9
UCL115164,54,2010,604,400,1461,0.8,1117,2.3
UCL115165,37,1290,801,270,2025,0.8,1514,2.5
UCL121001,49,1138,595,200,1424,0.7,1125,2.2
UCL121002,50,600,501,156,1227,0.8,949,2.1
UCL121003,55,1582,692,360,1699,0.7,1328,2.3
UCL121004,37,1955,715,368,1641,0.8,1516,2.8
UCL121005,39,2392,789,480,2216,0.8,2213,3.3
UCL121006,57,1448,655,300,1511,0.7,1197,2.1
UCL121007,57,867,535,173,1134,0.7,893,2.1
UCL121008,38,524,438,174,985,0.9,814,2.6
UCL121009,43,1088,634,300,1708,0.7,1335,2.2
UCL121010,53,2000,729,340,1839,0.8,1398,2.2
UCL121011,41,998,480,238,1020,0.8,860,2.4
UCL121012,48,2167,822,538,2471,0.7,2428,3
UCL121013,33,699,632,152,1312,0.8,1079,2.3
UCL121014,49,1539,647,250,1458,0.9,972,2.2
UCL121015,48,2500,904,470,2687,0.8,2062,2.4
UCL121016,44,1739,668,420,1696,0.8,1513,2.6
UCL121017,36,2784,1136,650,2845,0.8,2772,3.1
UCL121018,40,1649,694,350,1812,0.8,1524,2.6
UCL121019,43,2167,1002,400,2625,0.7,2663,3.1
UCL121020,41,2000,900,520,2170,0.8,1906,2.6
UCL121021,48,915,780,180,1633,0.7,1380,2.1
UCL121022,53,968,493,195,1244,0.7,919,2.1
UCL121023,62,874,412,310,911,0.7,757,1.9
UCL121024,40,1300,571,320,1281,0.8,1125,2.7
UCL121025,41,2304,861,530,2513,0.8,2250,2.9
UCL121026,52,1666,752,323,1529,0.7,1252,2
UCL121027,39,1712,804,470,2042,0.8,1809,2.8
UCL121028,56,1519,603,325,1431,0.7,1140,2
UCL121029,36,1019,673,290,1597,0.8,1367,2.6
UCL121030,44,1083,655,200,1495,0.7,1197,2.2
UCL121031,50,1658,700,400,1526,0.7,1331,2.4
UCL121032,54,1072,533,200,1297,0.6,840,2
UCL121033,38,1733,776,355,2118,0.8,1687,2.7
UCL121034,36,2167,1077,500,2801,0.8,2340,2.7
UCL121035,34,1733,696,400,1756,0.8,1651,3
UCL121036,40,2046,744,530,1959,0.8,1893,3.1
UCL121037,49,1541,691,370,1683,0.7,1471,2.3
UCL121038,50,1092,616,220,1458,0.8,1087,2.2
UCL121039,42,3340,1030,650,2705,0.9,2641,2.8
UCL121040,44,2134,1056,300,2687,0.7,2446,3
UCL121041,52,867,516,200,1385,0.7,957,2.3
UCL121042,56,1759,910,480,2195,0.7,1961,2.2
UCL121043,37,2400,986,573,2516,0.8,2298,3
UCL121044,40,1334,575,350,1437,0.8,1260,2.7
UCL121045,54,1517,607,400,1353,0.7,1174,2.2
UCL121046,39,2492,1518,528,3449,0.9,3380,3
UCL121047,39,1632,1008,350,2397,0.8,1922,2.6
UCL121048,50,2080,665,375,1589,0.8,1509,2.8
UCL121049,35,1452,832,300,1968,0.8,1820,2.8
UCL121050,67,960,520,290,1006,0.8,744,1.7
UCL121051,56,921,534,220,1221,0.7,909,2.1
UCL121052,56,2167,749,350,1738,0.7,1298,1.9
UCL121053,53,806,605,175,1433,0.7,994,2.1
UCL121054,44,2383,906,725,2740,0.8,2913,3.5
UCL121055,45,1733,771,378,1882,0.8,1370,2.4
UCL121056,44,1443,639,340,1560,0.8,1337,2.6
UCL121057,39,1950,784,370,2157,0.8,2108,3.1
UCL121058,45,2167,721,410,2192,0.7,2088,3
UCL121059,48,1733,702,375,1539,0.7,1383,2.4
UCL121060,45,1785,794,360,2168,0.7,2054,2.9
UCL121061,35,1733,609,300,2083,0.8,2010,3.1
UCL121062,40,2383,1077,465,2734,0.7,2439,2.7
UCL121063,66,1500,510,335,1074,0.7,865,1.9
UCL121064,52,1400,566,345,1299,0.7,985,2.2
UCL121065,56,1300,488,310,1209,0.7,1040,2.3
UCL121066,42,1700,812,360,2211,0.8,1970,2.7
UCL121067,55,867,569,198,1419,0.7,1004,2
UCL121068,52,1647,648,400,1441,0.7,1310,2.4
UCL121069,35,2600,1111,553,3416,0.8,3429,3.5
UCL121070,50,2550,1122,500,2704,0.8,2339,2.5
UCL121071,44,1127,722,241,1976,0.7,1399,2.4
UCL121072,33,1950,747,383,1769,0.7,1468,2.5
UCL121073,54,906,519,185,1229,0.7,951,2
UCL121074,52,1600,748,398,1645,0.7,1328,2.1
UCL121075,73,2167,561,430,1350,0.8,1047,2.2
UCL121076,36,1766,694,320,1909,0.8,1730,2.9
UCL121077,40,1560,891,350,2114,0.8,1720,2.6
UCL121078,35,1950,790,400,2038,0.8,1875,2.9
UCL121079,47,1820,753,428,1937,0.7,1795,2.7
UCL121080,40,1842,855,450,1981,0.8,1773,2.5
UCL121081,40,2080,842,425,2182,0.8,2106,3.1
UCL121082,51,1663,714,350,1665,0.7,1357,2.3
UCL121083,49,1625,679,380,1741,0.7,1182,2.1
UCL121084,36,2659,994,450,2839,0.8,2476,3.3
UCL121085,46,2200,976,565,2304,0.7,1961,2.6
UCL121086,55,1040,503,250,1265,0.7,816,2
UCL121087,43,1509,568,335,1370,0.8,1276,2.6
UCL121088,37,1733,757,400,1827,0.8,1607,2.5
UCL121089,44,2000,752,400,1947,0.8,1679,2.6
UCL121090,45,2167,657,440,1949,0.7,1960,3.2
UCL121091,50,1950,757,460,1960,0.7,1803,2.7
UCL121092,32,2102,923,390,2260,0.8,2085,2.9
UCL121093,33,1668,719,345,1839,0.8,1663,2.9
UCL121094,47,715,475,187,1158,0.7,884,2.1
UCL121095,43,2600,1071,390,3116,0.7,2823,2.9
UCL121096,58,1863,625,400,1538,0.7,1228,2.3
UCL121097,49,1729,685,405,1739,0.8,1480,2.5
UCL121098,52,2167,882,405,2125,0.7,2006,2.6
UCL121099,54,1109,496,280,1437,0.7,978,2.1
UCL121100,46,2058,787,500,2006,0.7,1837,2.7
UCL121101,46,1950,610,310,1705,0.8,1461,2.7
UCL121102,54,1300,579,335,1441,0.7,1208,2.2
UCL121103,45,1300,625,330,1419,0.8,1222,2.5
UCL121104,49,1517,578,300,1660,0.8,1255,2.4
UCL121105,57,1083,479,283,1008,0.7,754,1.9
UCL121106,60,1997,663,400,1409,0.6,1314,2.2
UCL121107,46,1213,606,240,1557,0.8,1290,2.5
UCL121108,44,1430,660,350,1414,0.7,1242,2.5
UCL121109,47,2167,741,530,1947,0.8,1827,2.9
UCL121110,42,1419,575,365,1370,0.7,1044,2.4
UCL121111,47,867,603,175,1368,0.7,971,2.1
UCL121112,37,1300,788,305,1869,0.7,1571,2.7
UCL121113,42,1047,573,209,1426,0.7,1044,2.2
UCL121114,45,2000,850,420,2023,0.7,1770,2.6
UCL121115,62,1170,569,325,1235,0.7,914,1.9
UCL121116,39,2167,927,358,2742,0.8,2567,3.2
UCL121117,42,1569,717,365,1485,0.8,1370,2.5
UCL121118,40,2383,820,530,2363,0.8,2250,3
UCL121119,49,1508,614,375,1693,0.7,1583,2.7
UCL121120,30,488,475,154,985,1,1158,2.8
UCL121121,42,1755,694,325,1761,0.9,1567,2.6
UCL121122,36,1509,840,323,2016,0.8,1769,2.9
UCL121123,40,1560,662,335,1570,0.8,1386,2.5
UCL121124,61,1300,481,300,976,0.8,778,1.9
UCL121125,56,1300,491,310,1239,0.8,956,2.2
UCL121126,45,1599,747,390,1841,0.7,1683,2.8
UCL121127,35,1894,785,435,2140,0.9,2059,3
UCL121128,38,1950,780,420,2122,0.8,1956,2.8
UCL122001,36,1549,708,360,2227,0.9,2062,3
UCL122002,52,1083,553,300,1292,0.6,928,1.9
UCL122003,37,2184,1029,420,2680,0.8,2392,2.9
UCL122004,58,1560,687,520,1812,0.8,1437,2.3
UCL122005,56,433,448,150,966,0.7,734,1.9
UCL122006,56,867,518,160,1149,0.8,823,2.1
UCL122007,55,650,465,180,1067,0.7,809,2
UCL122008,34,1213,886,280,2230,0.8,1562,2.5
UCL122009,40,1234,713,280,1583,0.8,1312,2.5
UCL122010,39,1738,777,300,2115,0.9,1671,2.8
UCL122011,42,2167,939,415,2266,0.8,2187,3
UCL122012,49,707,562,200,1463,0.7,981,2
UCL122013,53,715,430,200,820,0.7,703,2.1
UCL122014,49,1083,567,240,1357,0.9,1156,2.3
UCL122015,58,2167,922,485,2291,0.7,1937,2.3
UCL122016,43,1369,904,250,2173,0.7,1875,2.5
UCL122017,46,1228,696,270,2016,0.7,1204,2.1
UCL122018,54,520,451,150,866,0.7,719,1.9
UCL122019,49,1300,568,245,1430,0.8,985,2.1
UCL122020,60,606,454,215,885,0.7,589,1.7
UCL122021,50,2167,660,445,1485,0.7,1468,2.5
UCL122022,52,1874,651,300,1597,0.8,1375,2.7
UCL122023,51,2134,732,400,2250,0.8,2134,2.9
UCL122024,45,1473,758,370,1892,0.8,1611,2.5
UCL122025,44,1638,1006,400,2374,0.8,2055,2.6
UCL122026,42,1500,687,373,1812,0.8,1458,2.6
UCL122027,59,1480,511,280,1292,0.8,793,1.9
UCL122028,53,719,432,200,1031,0.8,890,2.3
UCL122029,57,2581,935,500,2250,0.8,1833,2.4
UCL122030,47,1083,601,260,1431,0.8,1125,2.2
UCL122031,34,1983,1067,490,2550,0.8,2611,3.4
UCL122032,38,1300,981,300,2125,0.9,1508,2.4
UCL122033,38,1300,804,280,1906,0.8,1702,2.8
UCL122034,48,1785,870,373,2611,0.7,2591,2.9
UCL122035,52,1040,486,300,1312,0.8,871,2.2
UCL122036,40,650,494,176,1266,0.8,949,2.2
UCL122037,37,1950,1161,240,2431,0.9,2216,2.9
UCL122038,50,1502,607,380,1444,0.6,1174,2.2
UCL122039,45,1200,505,325,1266,0.8,1018,2.5
UCL122040,46,932,455,285,1257,0.8,1037,2.3
UCL122041,40,1445,738,420,1612,0.8,1512,2.6
UCL122042,40,2250,781,365,2020,0.8,1791,2.9
UCL122043,46,1157,614,260,1485,0.8,1102,2.2
UCL122044,54,1544,458,171,1166,0.8,971,2.4
UCL122045,51,867,557,220,1303,0.8,1092,2.2
UCL122046,61,1820,632,313,1480,0.7,1197,2
UCL122047,56,2134,936,420,2625,0.8,1857,2.2
UCL122048,49,884,470,178,1073,0.8,823,2.2
UCL122049,59,650,427,200,1075,0.8,702,1.9
UCL122050,55,837,431,150,1062,0.7,658,1.9
UCL122051,42,737,474,200,1062,0.7,866,2.3
UCL122052,51,1541,721,400,1713,0.7,1555,2.4
UCL122053,59,794,457,150,1036,0.7,716,1.8
UCL122054,39,1083,701,250,1437,0.8,1281,2.5
UCL122055,57,2050,756,400,1843,0.7,1472,2.2
UCL122056,47,1658,547,340,1357,0.7,1298,2.7
UCL122057,47,2167,632,350,1774,0.7,1478,2.7
UCL122058,50,1509,502,300,1222,0.8,1016,2.2
UCL122059,41,1300,727,315,1553,0.7,1264,2.4
UCL122060,46,1083,519,248,1187,0.8,961,2.5
UCL122061,35,1000,317,173,849,0.9,680,2.4
UCL122062,36,783,712,220,1568,0.8,1222,2.5
UCL122063,41,1441,549,280,1553,0.8,1042,2.4
UCL122064,42,542,472,170,1107,0.8,714,2.3
UCL122065,60,1860,562,275,1408,0.7,990,2
UCL122066,42,1647,934,380,2536,0.7,2178,2.7
UCL122067,49,1300,533,350,1375,0.7,989,2.2
UCL122068,43,200,587,150,1375,0.7,1021,2
UCL122069,52,1711,721,346,1946,0.7,1416,2.2
UCL122070,44,2809,876,260,2833,0.8,1928,2.7
UCL122071,43,1693,578,395,1397,0.7,1259,2.5
UCL122072,48,914,639,195,1392,0.7,1181,2.1
UCL122073,58,1517,541,370,1312,0.7,989,2
UCL122074,56,683,451,210,985,0.8,715,1.8
UCL122075,37,2524,956,360,2125,0.8,1949,2.9
UCL122076,42,1181,900,280,2078,0.8,1642,2.7
UCL122077,51,1083,488,330,1142,0.7,968,2.3
UCL122078,62,1283,587,408,1875,0.6,866,1.9
UCL122079,47,1955,895,468,2172,0.7,2036,2.5
UCL122080,36,2243,921,520,2319,0.8,2139,3
UCL122081,50,1114,719,230,1468,0.8,1199,2.2
UCL122082,63,1181,527,210,1325,0.8,693,1.6
UCL122083,47,2167,958,460,2600,0.7,2349,2.9
UCL122084,39,1712,805,500,2041,0.8,1625,2.8
UCL122085,46,594,435,210,900,0.8,740,2.1
UCL122086,52,650,497,188,1125,0.7,843,2
UCL122087,59,1300,625,315,1687,0.7,1312,2.3
UCL122088,45,1300,475,220,1375,0.9,1021,2.7
UCL122089,40,1300,695,280,1442,0.8,1328,2.4
UCL122090,50,2600,978,390,2517,0.7,2183,2.4
UCL122091,46,799,590,150,1333,0.8,1062,2.2
UCL122092,44,1858,754,373,2166,0.8,2029,2.8
UCL122093,46,834,568,170,1321,0.7,900,2
UCL122094,50,1675,619,360,1524,0.8,1083,2.2
UCL122095,41,1322,640,380,1562,0.8,1325,2.4
UCL122096,56,1170,540,400,1221,0.7,1089,2.2
UCL122097,50,1300,725,300,1843,0.8,1071,2.1
UCL122098,50,1300,470,300,1125,0.8,658,1.8
UCL122099,46,700,509,250,1333,0.7,949,2.1
UCL122100,58,1950,618,335,1392,0.7,1242,2.2
UCL122101,48,1517,766,388,1768,0.8,1478,2.4
UCL122102,56,1000,472,200,1093,0.7,712,1.9
UCL122103,53,802,540,150,1274,0.7,890,2
UCL122104,48,2817,937,623,3150,0.8,3075,3.3
UCL122105,41,2650,1268,555,3291,0.8,2833,2.9
UCL122106,53,921,561,180,1521,0.8,1171,2.2
