UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL121015,..,83,83,92,4,105,49,0,49,36,0,40,19,0,19,3,0,3,200,88,294
UCL121016,..,38,38,70,7,77,38,0,40,21,0,24,13,0,13,7,0,11,142,48,195
UCL121017,..,24,24,88,0,88,39,0,39,77,0,77,31,0,31,3,0,3,229,28,257
UCL121018,..,70,70,113,3,114,53,0,53,43,0,43,21,0,21,10,0,10,249,78,323
UCL121019,..,15,15,86,3,92,32,0,32,42,0,42,27,6,27,11,0,11,196,23,219
UCL121020,..,36,36,71,3,79,44,0,46,34,0,34,9,0,9,10,0,10,162,46,204
UCL121021,..,100,100,81,4,84,36,0,36,13,0,13,10,0,10,4,0,4,142,102,246
UCL121022,..,107,107,104,6,114,25,0,25,27,0,27,7,0,7,8,0,8,169,113,283
UCL121023,..,104,104,129,12,137,21,0,21,15,0,15,3,0,3,0,0,0,175,110,283
UCL121024,..,43,43,64,10,76,29,0,31,29,0,29,12,0,12,11,0,11,146,49,197
UCL121025,..,31,31,59,0,58,40,0,40,46,0,46,16,0,16,6,0,6,167,32,202
UCL121026,..,166,166,148,12,165,51,3,56,35,0,32,8,0,8,6,0,6,251,190,433
UCL121027,..,37,37,70,3,77,44,0,45,34,0,34,12,0,12,11,0,10,171,42,214
UCL121028,..,121,121,146,6,152,28,0,30,35,0,35,6,0,6,0,0,0,216,131,347
UCL121029,..,48,48,84,3,86,31,0,31,28,0,28,21,0,21,8,0,8,173,49,221
UCL121030,..,123,123,124,12,137,35,0,35,27,0,27,16,0,16,11,0,11,213,134,350
UCL121031,..,91,91,169,4,178,42,5,45,40,0,38,21,0,21,10,0,10,284,100,379
UCL121032,..,126,126,109,4,114,33,0,34,19,0,19,15,0,15,7,0,7,180,132,310
UCL121033,..,40,40,41,10,51,22,0,20,39,0,39,15,0,15,4,0,4,113,51,169
UCL121034,..,62,62,83,12,100,45,9,47,56,5,53,19,0,19,5,0,8,213,89,300
UCL121035,..,59,59,106,3,114,61,0,61,66,0,66,34,0,34,27,0,27,299,65,367
UCL121036,..,57,57,143,0,142,67,0,67,97,0,97,60,0,60,24,0,24,380,59,439
UCL121037,..,85,85,128,12,135,46,0,46,36,0,36,12,0,12,5,0,5,224,99,320
UCL121038,..,72,72,85,4,85,26,0,26,22,0,22,8,0,8,5,0,5,145,79,222
UCL121039,..,28,28,75,4,79,43,3,47,42,6,43,14,6,17,5,0,5,182,45,226
UCL121040,..,17,17,59,3,60,27,0,27,31,0,31,24,0,24,6,0,6,143,22,166
UCL121041,..,79,79,93,5,105,29,0,27,14,0,14,12,0,12,5,0,11,156,93,248
UCL121042,..,68,68,90,0,97,28,4,31,29,0,26,10,0,10,0,0,0,148,74,230
UCL121043,..,34,34,58,4,61,35,0,35,50,0,50,29,0,29,6,0,6,180,39,218
UCL121044,..,39,39,62,6,64,26,0,35,27,0,27,8,0,8,11,0,11,133,46,180
UCL121045,..,52,52,105,12,114,18,0,18,24,0,24,8,0,8,3,0,3,163,61,221
UCL121046,..,14,14,54,0,58,32,0,32,41,0,41,16,0,16,9,0,9,143,20,167
UCL121047,..,60,60,68,0,68,40,0,40,37,0,37,20,0,20,11,0,11,163,67,229
UCL121048,..,21,21,73,0,75,29,0,29,20,0,25,18,0,18,9,0,9,147,28,174
UCL121049,..,40,40,59,4,62,26,0,26,38,0,38,22,0,22,5,0,5,154,45,193
UCL121050,..,155,155,144,8,148,16,0,13,12,0,12,3,0,3,6,0,6,170,155,330
UCL121051,..,148,148,157,5,161,29,0,29,21,0,23,29,0,29,8,0,8,244,152,398
UCL121052,..,151,151,134,14,144,36,0,36,27,0,29,9,0,9,3,0,3,202,162,365
UCL121053,..,117,117,107,12,118,36,0,36,18,0,18,15,0,15,7,0,7,180,129,308
UCL121054,..,15,15,65,0,67,37,0,37,42,0,40,39,0,39,19,0,19,202,16,217
UCL121055,..,75,75,87,9,92,34,0,34,40,0,40,17,0,17,5,0,5,181,80,258
UCL121056,..,71,71,118,12,128,49,3,51,47,0,47,30,0,30,6,0,6,249,88,332
UCL121057,..,14,14,69,6,79,39,0,39,52,0,52,23,0,23,12,0,12,197,22,216
UCL121058,..,65,65,214,6,219,103,0,101,132,0,130,60,0,60,26,0,26,535,71,609
UCL121059,..,44,44,104,5,107,43,0,43,34,0,34,11,0,11,4,0,4,187,53,238
UCL121060,..,27,27,144,0,144,52,0,52,58,0,58,30,0,30,14,0,14,294,27,324
UCL121061,..,26,26,42,0,48,29,0,29,40,0,40,19,0,19,9,0,9,141,33,171
UCL121062,..,50,50,116,4,120,73,0,73,52,0,52,21,0,21,17,0,17,276,57,327
UCL121063,..,90,90,175,0,179,23,0,20,12,0,12,3,0,3,4,0,4,218,91,306
UCL121064,..,87,87,112,5,113,32,0,32,33,0,33,12,0,12,5,0,5,190,89,279
UCL121065,..,85,85,176,12,193,43,0,48,33,0,33,11,0,11,14,0,14,277,104,380
UCL121066,..,39,39,60,0,62,36,0,36,28,0,28,13,0,13,0,0,3,146,37,182
UCL121067,..,140,140,142,9,156,26,0,30,21,0,21,16,0,16,7,0,7,220,146,363
UCL121068,..,194,194,381,22,402,95,0,97,106,0,105,45,0,45,25,0,25,649,216,865
UCL121069,..,6,6,54,0,54,48,0,48,68,0,68,33,0,33,9,0,9,213,9,225
UCL121070,..,49,49,76,3,84,27,0,27,26,0,26,8,0,8,5,0,5,155,55,201
UCL121071,..,59,59,65,4,72,31,0,31,22,0,22,14,0,14,10,0,10,143,66,203
UCL121072,..,72,72,81,11,91,48,0,48,33,0,33,24,0,24,8,0,8,197,81,284
UCL121073,..,129,129,96,6,95,41,0,39,24,0,24,11,0,11,9,0,9,172,132,304
UCL121074,..,88,88,94,3,98,35,3,31,15,0,15,3,0,9,3,0,3,153,99,248
UCL121075,..,79,79,110,0,108,18,0,18,28,0,28,15,0,15,6,0,6,169,76,245
UCL121076,..,63,63,93,9,100,53,3,60,64,0,64,32,0,32,16,0,16,264,68,334
UCL121077,..,68,68,77,3,86,49,0,49,37,0,37,14,0,14,8,0,8,188,72,263
UCL121078,..,36,36,67,0,62,42,0,42,65,0,65,19,0,17,4,0,4,190,37,234
UCL121079,..,33,33,65,10,74,34,0,34,34,0,36,7,0,7,8,0,8,149,39,190
UCL121080,..,63,63,168,12,176,58,0,65,51,0,59,19,0,19,8,0,8,313,77,386
UCL121081,..,13,13,64,7,64,28,0,28,39,0,33,23,0,23,12,0,12,160,21,176
UCL121082,..,128,128,165,10,178,61,0,58,44,0,44,18,0,18,13,0,13,296,136,433
UCL121083,..,166,166,141,13,156,48,6,54,33,0,33,16,0,16,8,0,8,242,182,422
UCL121084,..,30,30,55,3,56,47,0,47,52,0,52,34,0,34,22,0,22,214,34,248
UCL121085,..,50,50,182,0,180,47,0,51,70,0,70,27,0,27,7,0,7,331,50,386
UCL121086,..,155,155,126,11,133,36,0,34,24,0,24,12,0,12,7,0,7,205,165,374
UCL121087,..,44,44,94,9,104,35,0,35,35,0,35,6,0,6,9,0,9,188,55,243
UCL121088,..,54,54,65,4,70,50,0,50,24,0,24,17,0,17,4,0,4,160,58,224
UCL121089,..,73,73,128,10,136,44,0,51,52,0,52,29,0,29,4,0,4,261,79,341
UCL121090,..,26,26,82,0,84,43,4,47,57,0,59,28,0,28,17,0,17,230,30,262
UCL121091,..,39,39,90,0,88,40,0,40,51,0,51,18,0,18,7,0,7,202,44,240
UCL121092,..,72,72,117,10,126,58,0,59,79,0,85,34,0,36,17,0,17,306,79,391
UCL121093,..,77,77,101,12,111,70,0,69,77,0,77,41,0,41,20,0,20,303,84,387
UCL121094,..,134,134,85,13,96,40,0,40,27,0,27,10,0,10,6,0,6,174,141,318
UCL121095,..,29,29,93,3,95,34,0,34,32,0,32,27,0,27,7,0,7,202,28,235
UCL121096,..,79,79,155,7,161,31,0,31,42,0,42,15,0,15,8,0,8,246,87,333
UCL121097,..,55,55,111,3,116,29,0,29,35,0,35,19,0,19,6,0,6,198,64,260
UCL121098,..,42,42,157,3,156,46,0,46,45,0,45,19,0,24,8,0,8,274,44,321
UCL121099,..,112,112,94,3,100,33,0,33,26,0,26,8,0,8,3,0,3,161,115,283
UCL121100,..,62,62,165,7,172,44,0,44,69,0,69,29,0,29,17,0,17,327,68,392
UCL121101,..,72,72,138,5,142,67,0,67,34,0,36,26,0,26,25,0,25,292,78,376
UCL121102,..,113,113,160,11,174,53,0,51,41,0,41,15,0,15,5,0,5,275,134,406
UCL121103,..,103,103,117,14,137,63,0,62,40,0,40,21,0,21,13,0,13,254,118,373
UCL121104,..,79,79,102,0,100,39,4,42,27,0,27,25,0,25,6,0,6,196,79,277
UCL121105,..,123,123,109,16,125,29,0,31,23,0,23,8,0,8,0,0,0,167,144,314
UCL121106,..,79,79,233,7,241,42,0,47,35,0,35,13,0,13,0,0,0,331,88,414
UCL121107,..,109,109,118,13,123,44,0,44,40,0,40,17,0,17,17,0,17,241,113,355
UCL121108,..,74,74,118,8,127,44,0,42,38,0,38,14,0,14,13,0,13,232,85,317
UCL121109,..,23,23,59,0,65,30,4,30,29,0,29,16,0,17,11,0,11,140,33,168
UCL121110,..,114,114,125,14,140,55,0,56,47,0,47,25,0,25,11,0,11,272,130,401
UCL121111,..,126,126,83,5,93,37,0,37,31,0,31,9,0,9,6,0,6,165,133,301
UCL121112,..,59,59,99,4,102,40,0,40,50,0,50,23,0,23,6,0,6,213,66,280
UCL121113,..,67,67,80,7,88,17,0,17,21,0,23,8,0,8,6,0,6,131,74,208
UCL121114,..,52,52,124,6,132,32,4,38,60,0,60,20,0,20,10,0,10,247,65,304
UCL121115,..,107,107,148,8,155,16,0,16,17,3,18,6,0,6,3,0,3,190,121,311
UCL121116,..,32,32,77,0,79,49,0,49,77,0,77,34,0,34,15,0,15,259,36,292
UCL121117,..,58,58,89,6,96,45,0,51,25,0,25,16,0,16,11,0,11,185,67,246
UCL121118,..,29,29,45,0,49,22,0,29,37,0,37,18,0,18,8,0,8,132,38,168
UCL121119,..,42,42,138,12,147,50,0,50,37,0,36,22,0,22,19,0,19,258,51,308
UCL121120,..,55,55,27,4,23,18,0,18,21,0,21,13,0,13,16,0,16,87,56,142
UCL121121,..,37,37,73,3,75,22,0,22,30,0,30,16,0,16,9,0,9,143,40,186
UCL121122,..,38,38,70,4,69,27,0,27,40,0,45,17,0,17,17,0,17,167,41,206
UCL121123,..,59,59,82,15,94,39,0,43,25,0,25,17,0,17,8,0,8,167,70,237
UCL121124,..,94,94,107,6,114,20,0,17,8,0,8,5,0,5,3,0,3,143,100,242
UCL121125,..,106,106,172,14,187,32,0,32,31,0,31,15,0,15,14,0,14,256,112,378
UCL121126,..,31,31,89,5,91,31,0,31,34,0,34,17,0,17,13,0,13,178,36,211
UCL121127,..,41,41,62,0,65,31,0,31,43,0,43,26,0,26,18,0,18,176,42,218
UCL121128,..,61,61,107,3,116,57,0,57,54,0,54,40,0,40,12,0,12,268,63,332
UCL122001,..,11,11,22,0,20,15,0,15,17,0,17,7,0,7,4,0,4,64,14,81
UCL122002,..,42,42,31,0,33,4,0,4,8,0,8,3,0,3,3,0,3,51,43,97
UCL122003,..,24,24,48,4,50,21,0,21,18,0,18,12,0,12,11,0,11,115,30,144
UCL122004,..,19,19,38,0,36,10,0,10,7,0,7,7,0,7,0,0,0,60,19,81
UCL122005,..,72,72,51,4,57,9,0,9,6,0,6,0,0,0,3,0,3,81,77,161
UCL122006,..,45,45,50,4,49,9,0,9,8,0,8,10,0,10,0,0,0,73,45,121
UCL122007,..,81,81,71,7,81,18,0,18,7,0,7,8,0,8,6,0,6,118,90,207
UCL122008,..,28,28,25,0,25,13,0,13,14,0,14,5,0,5,3,0,3,66,30,91
UCL122009,..,30,30,37,3,44,15,0,15,14,0,14,5,0,5,3,0,3,86,38,122
UCL122010,..,29,29,33,0,32,22,0,22,17,0,17,16,0,16,5,0,5,87,28,118
UCL122011,..,9,9,47,0,46,18,0,18,27,0,27,14,0,14,5,0,5,103,13,114
UCL122012,..,58,58,35,4,41,11,0,11,13,0,13,3,0,3,0,0,0,66,62,129
UCL122013,..,34,34,25,3,30,13,0,13,3,0,3,0,0,0,3,0,3,49,34,90
UCL122014,..,50,50,37,3,42,27,0,29,11,0,11,5,0,5,4,0,4,80,54,134
UCL122015,..,17,17,60,0,58,3,0,3,10,0,10,3,0,3,0,0,0,81,23,105
UCL122016,..,21,21,36,0,36,13,0,13,13,0,13,10,0,10,3,0,3,67,21,86
UCL122017,..,45,45,39,5,50,15,0,15,8,0,8,10,0,10,0,0,0,70,51,126
UCL122018,..,84,84,62,8,69,13,0,13,8,0,8,7,0,7,3,0,3,91,87,180
UCL122019,..,42,42,39,3,42,9,0,9,8,0,12,0,0,0,4,0,4,68,47,114
UCL122020,..,73,73,48,8,54,17,0,14,5,0,5,0,0,0,0,0,0,69,76,146
UCL122021,..,14,14,34,0,38,7,0,7,13,0,13,3,0,0,0,0,0,55,17,71
UCL122022,..,38,38,66,3,72,18,0,18,23,0,23,13,0,13,13,0,13,132,38,169
UCL122023,..,23,23,46,0,45,24,0,24,22,0,22,14,0,14,10,0,10,112,22,132
UCL122024,..,19,19,42,3,46,16,0,16,6,0,6,7,0,7,4,0,4,79,24,104
UCL122025,..,14,14,36,0,40,20,0,20,8,0,8,0,0,0,6,0,6,72,16,93
UCL122026,..,20,20,22,0,26,17,0,17,7,0,7,5,0,5,5,0,5,65,24,84
UCL122027,..,49,49,38,8,36,15,0,16,4,0,4,3,0,3,3,0,3,56,56,107
UCL122028,..,42,42,55,5,59,20,0,20,18,0,18,8,0,8,5,0,5,98,49,144
UCL122029,..,16,16,54,5,56,12,0,12,10,0,10,7,0,7,5,0,5,81,24,100
UCL122030,..,54,54,53,0,56,22,0,22,11,0,11,10,0,10,4,0,4,103,54,158
UCL122031,..,9,9,29,0,33,22,0,22,34,0,34,16,0,16,4,0,4,118,6,125
UCL122032,..,58,58,60,4,64,21,0,21,22,0,22,9,0,9,5,0,5,124,66,186
UCL122033,..,14,14,27,0,27,10,0,10,16,0,16,7,0,7,3,0,3,66,14,83
UCL122034,..,7,7,31,4,34,14,0,14,16,0,16,7,0,7,4,0,5,71,5,73
UCL122035,..,63,63,61,5,63,19,0,19,9,0,9,7,0,7,3,0,3,111,65,175
UCL122036,..,42,42,44,4,49,19,0,19,3,0,3,7,0,7,5,0,5,81,49,127
UCL122037,..,13,13,26,0,24,18,0,18,24,0,24,6,0,6,3,0,3,75,13,89
UCL122038,..,37,37,39,0,41,20,0,20,10,0,10,4,0,4,0,0,0,73,43,117
UCL122039,..,39,39,53,8,62,21,0,21,22,0,22,11,0,11,6,0,6,112,49,156
UCL122040,..,21,21,32,7,37,13,0,13,7,0,7,6,0,6,0,0,0,59,26,85
UCL122041,..,22,22,51,3,54,35,0,35,16,0,16,9,0,9,6,0,6,112,28,136
UCL122042,..,16,16,33,0,33,19,0,19,14,0,14,4,0,4,5,0,5,75,16,91
UCL122043,..,38,38,50,3,57,17,0,17,11,0,11,7,0,7,5,0,5,88,46,137
UCL122044,..,16,16,20,3,21,3,0,3,3,0,3,3,0,3,0,0,0,34,12,43
UCL122045,..,42,42,34,0,39,18,0,18,9,0,9,5,0,5,0,0,0,69,40,116
UCL122046,..,68,68,99,0,105,24,0,24,6,0,6,5,0,5,4,0,4,142,69,214
UCL122047,..,48,48,48,3,55,16,0,18,16,0,16,3,0,3,5,0,5,87,52,136
UCL122048,..,64,64,55,0,55,15,0,15,14,0,14,5,0,5,10,0,10,99,62,160
UCL122049,..,54,54,58,4,59,10,0,10,7,0,7,0,0,0,5,0,5,82,65,143
UCL122050,..,46,46,31,0,27,3,0,3,7,0,7,0,0,0,0,0,0,45,52,97
UCL122051,..,37,37,36,0,36,13,0,13,13,0,13,6,0,6,7,0,7,69,37,104
UCL122052,..,17,17,47,0,45,18,0,16,14,0,14,3,0,3,0,0,0,81,19,102
UCL122053,..,68,68,43,5,46,7,0,7,3,0,3,4,0,4,0,0,0,72,69,136
UCL122054,..,31,31,49,5,58,19,0,19,17,0,17,7,0,7,7,0,7,101,40,139
UCL122055,..,56,56,72,4,82,18,0,18,17,0,17,12,0,12,7,0,7,122,57,182
UCL122056,..,15,15,51,0,52,20,0,20,13,0,13,10,0,10,0,0,0,92,15,106
UCL122057,..,22,22,27,0,30,21,0,21,21,0,21,12,0,12,0,0,0,72,23,93
UCL122058,..,62,62,79,8,91,21,0,21,22,0,22,7,0,7,6,0,6,139,77,206
UCL122059,..,58,58,55,3,58,29,0,29,12,0,12,11,0,11,10,0,10,113,57,174
UCL122060,..,34,34,54,0,53,25,0,25,14,0,14,14,0,14,0,0,0,105,41,142
UCL122061,..,24,24,13,6,15,6,0,6,6,0,6,8,0,8,0,0,0,35,27,61
UCL122062,..,29,29,34,0,37,16,0,14,16,0,16,9,0,9,0,0,0,80,33,110
UCL122063,..,37,37,46,3,47,14,0,14,20,0,20,4,0,4,0,0,0,88,37,124
UCL122064,..,54,54,34,4,37,18,0,18,8,0,8,5,0,5,6,0,6,72,55,131
UCL122065,..,56,56,72,3,74,17,6,22,6,0,7,5,0,5,0,0,0,102,63,165
UCL122066,..,25,25,48,0,53,23,0,23,24,0,24,9,0,9,6,0,6,108,25,133
UCL122067,..,59,59,67,4,71,30,0,30,18,0,18,3,0,3,3,0,3,126,66,190
UCL122068,..,23,23,24,0,24,5,0,5,3,0,3,0,0,0,0,0,0,35,23,61
UCL122069,..,50,50,46,4,53,20,0,20,18,0,18,3,0,3,4,0,4,87,53,137
UCL122070,..,43,43,45,0,45,24,0,24,28,0,28,21,0,21,3,0,3,117,43,163
UCL122071,..,33,33,49,5,51,27,0,27,18,0,18,8,0,8,3,0,3,105,36,134
UCL122072,..,39,39,34,0,40,8,0,8,12,0,12,9,0,9,0,0,0,61,40,97
UCL122073,..,52,52,42,3,47,15,0,15,13,0,13,4,0,4,0,0,0,71,52,132
UCL122074,..,56,56,42,9,50,13,0,13,8,0,8,3,0,3,0,0,0,67,67,132
UCL122075,..,16,16,26,3,32,14,0,14,15,0,15,8,0,8,7,0,7,70,19,90
UCL122076,..,19,19,29,0,25,7,0,11,17,0,17,4,0,4,3,0,3,63,24,81
UCL122077,..,46,46,45,4,48,16,0,16,13,0,13,7,0,7,7,0,7,88,50,138
UCL122078,..,61,61,43,5,42,18,0,19,5,0,5,5,0,5,0,0,0,65,59,130
UCL122079,..,15,15,48,3,49,18,0,18,15,0,15,6,0,6,0,0,0,88,21,104
UCL122080,..,21,21,47,0,47,19,0,19,38,0,38,17,0,17,7,0,7,127,21,142
UCL122081,..,24,24,41,6,44,13,0,13,11,0,11,4,0,4,3,0,3,66,27,100
UCL122082,..,79,79,30,8,46,8,0,8,6,0,6,0,0,0,0,0,0,44,93,132
UCL122083,..,17,17,39,0,39,17,0,17,20,0,20,10,0,10,5,0,5,87,17,98
UCL122084,..,11,11,21,3,29,9,0,9,6,0,10,7,0,7,4,0,4,49,17,66
UCL122085,..,50,50,32,0,38,12,0,12,9,0,9,8,0,8,4,0,4,57,56,115
UCL122086,..,72,72,49,6,50,17,0,17,7,0,8,3,0,3,4,0,4,85,78,164
UCL122087,..,22,22,34,4,34,10,0,10,8,0,8,7,0,7,0,0,0,52,22,74
UCL122088,..,22,22,14,8,16,16,0,16,11,0,11,3,0,3,10,0,10,54,26,81
UCL122089,..,49,49,53,0,59,24,0,24,25,0,25,15,0,15,0,0,0,119,50,163
UCL122090,..,36,36,78,5,85,46,0,42,10,0,10,5,0,5,8,0,8,141,37,176
UCL122091,..,49,49,40,0,42,18,0,18,15,0,15,5,0,5,4,0,4,80,52,128
UCL122092,..,18,18,55,0,55,10,0,10,26,0,26,11,0,11,7,0,7,108,15,122
UCL122093,..,71,71,46,4,52,8,0,8,17,0,17,3,0,3,0,0,0,80,71,152
UCL122094,..,42,42,52,0,57,17,0,17,9,0,15,7,0,7,0,0,0,92,46,139
UCL122095,..,25,25,30,0,33,14,0,14,9,0,9,3,0,3,4,0,4,63,24,88
UCL122096,..,27,27,46,0,46,8,0,8,5,0,5,3,0,3,5,0,5,67,36,100
UCL122097,..,28,28,32,0,38,5,0,5,11,0,11,0,0,0,3,0,3,54,35,89
UCL122098,..,106,106,31,13,44,16,0,21,11,0,12,5,0,5,4,0,4,72,122,190
UCL122099,..,54,54,24,0,24,6,0,6,13,0,13,0,0,0,3,0,3,56,54,105
UCL122100,..,52,52,96,0,101,23,0,22,20,0,20,3,0,3,5,0,5,142,51,196
UCL122101,..,30,30,58,8,70,20,0,20,24,0,24,8,0,8,0,0,0,106,31,140
UCL122102,..,55,55,41,9,45,16,0,16,6,0,6,4,0,4,5,0,5,65,57,128
UCL122103,..,35,35,31,4,32,9,0,11,3,0,3,3,0,3,0,0,0,46,41,87
UCL122104,..,3,3,43,0,44,22,0,22,30,0,30,20,0,20,6,0,6,119,6,128
UCL122105,..,19,19,24,5,29,17,0,24,26,0,26,8,0,8,4,0,4,87,24,108
UCL122106,..,21,21,38,5,42,7,0,7,9,0,9,8,0,8,0,0,0,62,25,89
UCL122107,..,41,41,42,0,42,29,0,29,14,0,14,7,0,7,4,0,4,102,41,141
UCL122108,..,38,38,50,3,52,3,0,6,0,0,0,3,0,3,0,0,0,51,37,96
UCL122109,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122110,..,33,33,45,6,51,17,0,17,23,0,23,10,0,10,0,0,0,104,39,139
UCL122111,..,4,4,34,0,35,16,0,16,27,0,27,9,0,9,10,0,10,100,6,110
UCL122112,..,32,32,55,3,63,22,0,22,4,0,4,0,0,0,0,0,0,88,42,129
UCL122113,..,20,20,39,0,37,10,0,10,10,0,10,0,0,0,3,0,3,61,17,77
UCL122114,..,50,50,50,4,53,13,0,13,7,0,7,3,0,3,0,0,0,79,51,132
UCL122115,..,14,14,51,0,50,20,0,20,6,0,6,8,0,8,0,0,0,87,20,104
UCL122116,..,17,17,49,5,54,21,0,21,10,0,10,3,0,3,0,0,0,78,26,105
UCL122117,..,18,18,54,0,55,17,0,17,28,0,28,26,0,26,7,0,7,127,17,138
UCL122118,..,19,19,30,3,34,21,0,22,22,0,22,5,0,5,4,0,4,78,26,105
UCL122119,..,35,35,74,4,72,7,0,7,19,0,19,0,0,0,0,0,0,103,40,145
UCL122120,..,30,30,55,5,59,29,0,32,25,0,25,14,0,14,9,0,9,131,32,160
UCL122121,..,30,30,28,0,24,22,0,19,19,0,19,5,0,5,8,0,8,75,28,100
UCL122122,..,23,23,54,0,58,24,0,24,35,0,35,15,0,15,7,0,7,133,27,159
UCL122123,..,36,36,33,3,36,13,0,13,4,0,4,9,0,9,0,0,0,57,36,87
UCL122124,..,12,12,28,6,30,15,0,15,22,0,22,13,0,13,5,0,5,74,17,86
UCL122125,..,36,36,28,0,33,7,0,9,3,0,3,6,0,6,0,0,0,46,39,86
UCL122126,..,8,8,59,4,60,16,0,21,21,0,21,14,0,14,4,0,4,121,13,133
UCL122127,..,47,47,44,3,48,7,0,7,14,0,14,3,0,3,4,0,4,69,52,123
UCL122128,..,26,26,25,0,25,14,0,14,12,0,12,0,0,0,5,0,5,54,25,83
UCL122129,..,33,33,34,0,41,16,0,16,12,0,12,8,0,8,3,0,3,75,34,111
UCL122130,..,19,19,27,6,25,14,0,12,3,0,3,8,0,8,0,0,0,50,23,70
UCL122131,..,38,38,26,5,30,12,3,11,8,0,11,4,0,4,0,0,0,47,53,91
UCL122132,..,56,56,55,7,57,13,0,21,22,0,22,8,0,8,6,0,6,104,59,167
UCL122133,..,74,74,36,3,33,11,0,11,3,0,3,7,0,7,0,0,0,50,78,127
UCL122134,..,24,24,58,0,56,26,0,26,18,0,18,8,0,8,4,0,4,111,20,136
UCL122135,..,25,25,30,4,32,8,0,13,8,5,13,5,0,5,0,0,0,49,34,78
UCL122136,..,12,12,8,0,8,4,0,4,9,0,9,3,0,3,7,0,7,33,12,42
UCL122137,..,56,56,36,0,40,10,0,10,10,0,10,3,0,3,0,0,0,60,59,116
UCL122138,..,68,68,55,0,60,15,0,15,9,0,9,3,0,3,5,0,5,83,71,156
UCL122139,..,32,32,46,4,51,14,0,14,7,0,7,6,0,6,0,0,0,77,39,111
UCL122140,..,35,35,15,0,15,8,0,8,7,0,7,6,0,6,0,0,0,43,35,71
UCL122141,..,24,24,53,3,61,20,0,23,24,0,24,8,0,8,0,0,0,109,33,141
UCL122142,..,30,30,19,6,32,7,0,11,11,0,11,4,0,4,0,0,0,41,46,85
UCL122143,..,15,15,20,3,26,12,0,12,4,0,8,3,0,3,4,0,4,45,24,73
UCL122144,..,56,56,76,4,80,19,0,19,12,0,12,8,0,8,6,0,6,114,60,171
UCL122145,..,46,46,39,5,39,13,0,13,8,0,8,0,0,0,0,0,0,57,51,109
UCL122146,..,40,40,39,3,46,9,0,13,4,0,4,3,0,3,4,0,4,64,40,107
UCL122147,..,43,43,30,8,36,7,0,7,3,0,3,8,0,8,0,0,0,46,53,95
UCL122148,..,36,36,34,0,43,8,0,8,3,0,3,0,0,0,0,0,0,54,40,91
UCL122149,..,38,38,44,3,48,14,0,19,12,0,12,7,0,7,5,0,5,86,41,129
UCL122150,..,32,32,63,0,68,32,0,32,30,0,30,14,0,14,0,0,0,137,37,171
UCL122151,..,53,53,51,0,56,9,0,12,0,0,0,8,0,8,0,0,0,71,56,127
UCL122152,..,51,51,54,0,57,19,0,20,4,0,4,3,0,3,0,0,0,86,53,136
UCL122153,..,33,33,47,7,55,23,0,23,20,0,20,5,0,5,4,0,4,99,40,141
UCL122154,..,38,38,56,7,64,29,0,26,25,0,25,0,0,0,0,0,0,111,43,160
UCL122155,..,50,50,92,0,91,30,0,30,16,0,16,9,0,9,0,0,0,142,53,198
UCL122156,..,49,49,54,0,64,23,0,23,19,0,19,13,0,13,7,0,9,111,55,169
UCL122157,..,7,7,29,0,29,20,0,20,35,0,35,15,0,15,10,0,10,112,7,122
UCL122158,..,29,29,39,0,40,10,0,10,5,0,5,5,0,5,0,0,0,61,28,89
UCL131001,..,38519,38519,71007,3637,74646,26508,435,26944,27224,162,27382,15399,56,15455,9678,41,9712,149805,42853,192660
UCL179997,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
