SUA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1010,208,355,81,202,220,78,30,41,9,1218,277,341,152,441,411,168,36,118,28,1960,764,324,2388,999,818,551,436,738,95,7110,31,24,37,79,128,107,15,95,9,529,77,43,50,151,175,86,37,103,17,729,20,42,15,30,37,19,8,39,4,201,53,60,55,76,70,68,43,93,60,579,2210,4914,2936,2395,2356,1223,641,1399,273,18338
1011,92,145,45,116,87,36,7,28,8,558,150,164,73,311,188,68,15,45,16,1040,474,203,1523,611,593,347,295,374,59,4496,25,11,18,45,68,60,11,55,3,299,37,15,20,76,115,51,20,35,3,378,13,31,9,13,25,15,4,17,0,116,32,42,33,43,40,40,23,52,36,348,1249,2817,1818,1512,1367,762,408,766,152,10849
1012,35,74,20,48,55,28,3,9,3,277,58,68,38,106,43,32,5,18,8,385,189,102,560,255,169,174,87,192,25,1756,18,11,7,19,27,33,3,21,0,140,15,16,7,43,34,22,12,24,5,186,3,4,5,5,11,3,0,9,0,43,14,16,14,29,20,39,11,37,15,199,439,982,682,584,422,356,131,320,68,3985
1013,63,118,28,86,43,17,9,7,9,376,103,111,49,223,118,48,12,23,5,696,268,99,810,500,275,171,248,239,39,2641,8,5,19,41,44,32,7,31,0,173,25,18,15,56,69,24,14,24,3,240,7,5,0,8,14,4,3,3,0,47,15,20,16,40,31,26,32,34,14,235,676,1291,995,1111,688,372,336,391,89,5958
1014,33,77,24,50,33,5,3,3,0,231,41,59,23,122,65,38,8,12,3,374,155,92,559,405,245,142,132,157,19,1914,4,8,11,23,26,30,5,19,0,130,18,20,13,31,32,30,10,30,3,189,3,6,3,3,12,3,3,7,0,39,16,20,12,19,25,26,20,27,11,174,385,924,658,724,535,293,189,281,53,4045
1015,41,70,26,44,41,23,4,26,6,280,66,71,33,122,73,31,7,45,3,455,281,84,774,231,240,145,148,233,28,2154,10,8,3,11,29,22,7,22,0,115,12,9,10,37,42,36,14,33,0,197,10,8,6,5,8,3,6,25,0,75,19,21,19,28,29,24,18,81,26,254,636,1091,923,560,539,295,223,583,81,4934
1016,23,35,3,38,19,7,0,3,3,132,24,61,14,68,43,21,7,14,3,245,129,69,385,281,148,87,107,145,24,1375,3,4,13,28,24,25,11,27,0,128,11,10,3,49,30,20,7,17,0,138,0,8,0,0,3,3,0,5,0,27,7,10,20,25,22,16,9,28,13,144,253,557,446,541,326,190,149,245,46,2747
1017,34,117,31,96,55,27,9,12,3,390,73,101,65,194,128,42,12,36,6,653,236,128,977,476,382,231,201,327,32,2992,17,10,12,50,48,57,22,50,5,264,19,16,15,53,84,47,25,48,3,311,6,10,10,10,22,11,4,8,0,82,16,31,19,17,37,20,13,45,18,203,647,2056,1231,1145,986,507,287,587,89,7539
1018,21,39,17,31,20,7,6,6,3,162,31,36,42,66,45,12,8,11,3,249,93,56,510,194,152,70,202,127,16,1415,4,4,10,16,17,13,7,21,0,88,3,9,11,21,28,9,14,14,0,107,0,3,5,3,7,3,4,3,0,28,8,7,10,14,13,10,16,17,16,107,236,520,641,373,349,136,258,202,42,2755
1019,60,129,40,71,75,19,12,8,11,420,87,119,61,154,120,48,21,35,12,659,229,127,1031,326,265,167,234,249,43,2677,12,7,14,20,30,25,12,28,0,149,28,22,18,43,68,21,17,28,7,260,7,12,9,7,21,10,6,3,3,68,8,21,26,19,27,20,20,25,19,199,649,1593,1278,752,755,363,327,433,107,6248
1020,37,52,21,30,21,11,10,0,0,192,38,39,35,74,48,23,10,19,0,284,146,50,587,145,131,82,250,109,14,1524,9,3,0,10,27,20,14,15,0,100,16,11,8,25,22,18,11,12,0,121,7,0,3,3,5,4,7,4,0,35,27,8,17,11,22,23,21,9,8,150,399,711,715,358,333,202,340,193,36,3291
1021,25,47,29,28,17,7,3,0,0,154,26,30,51,48,31,19,17,9,3,238,87,44,668,143,142,61,319,102,15,1582,8,0,7,16,18,15,9,23,0,91,5,4,12,11,24,12,15,11,0,94,3,3,5,3,6,0,3,3,0,32,3,3,16,10,9,13,18,20,4,97,221,523,820,308,287,138,395,190,28,2912
1022,82,164,46,104,84,27,4,17,12,543,116,119,92,143,126,57,13,23,9,703,316,157,1098,394,279,203,191,270,48,2953,27,6,11,32,31,24,3,22,4,158,28,27,22,33,39,38,20,27,3,248,8,12,9,10,8,9,7,8,0,63,18,31,26,32,24,17,5,45,13,216,912,1562,1389,898,776,447,255,454,105,6807
1023,1324,2587,917,1296,1430,457,197,251,97,8566,1787,2516,1585,3086,2520,888,355,463,138,13334,4418,2704,19936,6717,6356,3227,5011,4253,755,53371,221,152,215,478,765,544,225,439,11,3053,417,357,391,792,1277,519,323,464,45,4572,141,331,123,177,312,102,79,148,25,1430,228,444,353,509,445,323,314,489,332,3444,14874,40371,25023,16040,17024,7395,6878,7190,1780,136572
1024,103,172,63,124,82,19,12,25,5,603,142,150,135,264,165,50,32,44,15,999,358,212,1484,662,421,278,233,365,52,4065,25,10,14,57,58,46,12,46,0,263,26,24,35,90,84,40,16,43,0,361,10,23,14,13,20,14,9,7,0,105,33,32,33,55,37,53,30,55,34,359,977,2037,1874,1481,1023,558,358,653,122,9085
1025,109,205,48,115,131,45,19,22,4,691,155,178,116,278,221,59,20,48,3,1078,419,193,1558,563,529,296,361,354,37,4317,30,6,22,29,66,65,12,33,6,271,35,23,27,71,126,45,25,44,8,413,15,35,5,22,20,13,9,20,0,127,26,26,34,62,41,46,32,69,24,356,1311,3389,1946,1399,1435,676,518,664,125,11456
1026,24,47,11,29,17,3,6,0,0,131,45,36,27,52,44,13,14,3,0,235,143,65,447,168,138,77,186,100,19,1341,12,3,7,13,30,18,8,12,0,100,13,8,9,19,30,14,10,16,3,117,5,4,7,3,4,3,0,0,0,28,10,15,7,21,17,19,18,9,9,128,343,612,538,346,328,159,241,148,52,2764
1027,158,295,55,136,176,56,12,30,7,922,169,222,110,327,263,122,17,48,19,1292,480,246,1548,666,594,380,214,397,40,4561,11,17,18,53,69,68,10,41,0,284,51,32,27,104,129,84,23,51,3,497,11,29,11,15,36,14,0,9,3,127,31,41,51,54,43,46,26,48,33,371,1391,3627,1927,1611,1583,852,324,660,137,12108
1028,30,67,36,28,44,7,17,5,0,242,50,60,68,83,58,19,42,15,3,405,182,85,903,289,225,124,508,138,43,2500,8,3,11,37,37,13,20,20,0,158,17,4,10,27,40,17,31,9,6,171,4,6,0,6,7,6,6,7,0,44,12,9,10,19,14,6,22,21,7,127,489,858,1082,555,504,230,669,230,77,4700
1029,54,87,34,48,41,15,4,8,4,291,42,74,42,134,58,30,7,14,7,398,163,108,699,301,184,118,104,177,31,1881,5,3,10,28,29,19,6,9,0,112,18,20,10,43,35,21,12,21,0,162,7,8,5,6,8,7,3,10,0,42,12,16,13,17,8,17,9,21,18,127,462,940,840,646,431,246,147,264,78,4049
1030,18274,25699,10443,12322,18237,8155,3829,4409,1441,102798,21305,23480,15179,24378,26225,12161,4642,6333,2003,135697,33525,17911,110120,32753,35727,18793,21467,21724,5004,297041,1987,1527,1499,2569,5573,2679,1346,1993,253,19412,5502,4615,3566,6563,11966,5112,3024,3565,702,44617,3171,5931,2178,2015,4584,1986,1299,1744,565,23481,3461,5463,3647,3711,5262,3052,2810,3948,4571,35922,232530,519832,178450,131361,201523,93378,52087,64057,25896,1499119
1031,115,237,51,106,98,39,23,26,6,701,160,215,82,285,176,68,13,69,12,1089,457,266,1631,602,537,309,339,452,55,4655,27,13,19,45,85,58,23,57,0,325,38,30,35,85,111,56,34,69,3,454,18,15,9,20,23,18,7,44,3,160,31,40,53,54,56,41,32,101,41,467,1216,3073,1963,1405,1295,667,497,948,149,11222
1032,38,99,22,55,40,20,6,20,3,311,51,96,36,173,71,45,14,23,4,506,239,120,762,395,242,215,171,282,26,2446,10,6,16,27,35,52,9,42,0,201,30,15,32,62,53,38,24,36,4,286,9,21,0,11,8,9,3,7,3,73,20,21,16,45,23,32,33,51,16,267,513,1185,896,831,542,442,267,470,70,5211
1033,38,77,11,40,35,15,3,7,8,230,45,46,26,80,52,27,0,22,3,298,184,67,597,195,128,124,88,137,17,1545,13,9,7,15,32,15,3,13,0,106,10,10,16,30,32,31,11,18,0,161,4,8,4,8,10,3,3,3,0,46,17,16,14,22,17,24,4,14,12,141,424,814,695,478,367,264,120,234,38,3437
1034,139,266,85,190,133,37,18,33,8,907,223,275,124,410,274,85,25,53,20,1480,688,359,2426,955,841,505,378,533,69,6757,28,23,35,74,108,71,35,65,3,438,52,44,54,128,168,72,37,66,5,627,11,38,25,12,32,11,11,20,4,166,48,60,49,54,59,52,46,73,33,469,1955,4850,3053,2208,2044,1001,584,985,180,16860
1035,819,1423,557,1014,877,325,116,191,68,5394,1229,1495,1128,2272,1643,545,255,329,111,9009,2691,1521,11901,3957,3538,1810,2848,2528,419,31203,131,109,113,271,495,284,123,231,14,1774,316,229,197,615,874,356,209,302,46,3153,102,208,94,108,219,83,62,87,19,981,150,271,277,297,298,256,208,329,238,2312,9732,24214,15295,10776,10591,4640,4093,4543,1241,85121
