SUA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1010,12,37,82,17,14,64,224,3,32,3,8,0,0,47,20,415,89,36,45,8,613,113,219,89,53,48,6,536,179,97,153,16,30,3,484,643,89,211,20,49,8,1024,1234,115,413,14,42,10,1833,1746,33,392,7,40,8,2215,539,3,92,5,13,3,656,96,0,16,0,3,0,120,22,0,5,0,0,0,33,5,0,4,0,0,0,15,0,0,0,0,3,0,3,4,0,8,0,0,0,13,87,57,44,31,24,8,244,4715,1097,1594,202,320,126,8049
1011,12,41,30,12,18,26,139,3,26,3,10,3,3,46,69,236,41,19,4,3,376,287,136,72,23,11,8,534,206,53,99,10,12,0,382,522,77,152,3,6,3,759,867,58,224,3,17,3,1167,628,15,98,0,9,3,759,82,0,14,0,3,0,100,12,0,5,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,10,35,36,42,7,11,10,140,2739,676,787,79,86,52,4421
1012,3,10,25,6,7,31,84,0,8,4,6,0,0,25,27,93,26,16,10,3,170,129,59,51,69,21,5,330,147,16,49,18,7,3,233,295,21,78,8,10,0,415,421,11,95,4,9,3,542,416,0,87,0,0,3,508,81,0,13,0,0,0,91,5,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,24,17,15,5,3,3,74,1551,244,455,125,69,47,2480
1013,6,42,26,3,5,19,99,3,34,3,6,0,0,48,32,193,28,20,17,3,294,151,105,66,39,16,11,383,110,36,69,0,5,0,225,304,49,87,3,7,3,449,573,26,120,3,22,4,746,331,8,56,0,7,3,400,36,0,4,0,0,0,48,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,24,17,10,11,0,87,1579,513,475,92,87,40,2790
1014,0,14,26,5,3,21,62,0,22,3,12,3,0,42,27,130,34,25,14,5,234,109,50,97,16,17,3,299,115,36,91,3,8,0,254,318,29,146,4,9,3,517,433,22,145,18,19,6,640,160,3,27,4,4,0,198,9,0,6,3,0,0,21,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,8,19,17,7,3,6,54,1195,318,599,95,90,55,2346
1015,0,11,34,4,16,12,84,4,21,3,3,3,0,32,53,85,32,7,12,0,195,280,96,58,22,38,10,499,147,27,56,3,16,0,252,329,31,78,0,18,4,460,319,3,70,0,14,0,411,209,0,26,0,3,0,244,14,3,3,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,8,3,3,6,62,1390,298,371,44,130,37,2270
1016,0,15,19,3,3,18,61,0,13,3,4,0,0,20,19,77,27,12,5,3,143,81,78,65,39,8,0,273,94,37,54,5,14,0,208,202,52,79,8,11,3,356,211,18,70,5,15,4,329,73,0,15,0,3,0,91,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,7,13,8,10,3,7,45,711,303,349,87,63,38,1541
1017,3,14,27,3,7,30,84,6,27,0,7,3,0,46,49,179,42,33,13,3,317,192,95,82,61,42,7,476,164,41,91,28,16,0,344,448,30,162,14,13,0,678,707,27,291,9,17,3,1048,396,5,124,0,7,3,542,46,0,17,0,3,0,74,4,0,3,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,32,26,10,6,3,100,2032,455,871,173,142,52,3726
1018,4,26,23,0,7,13,78,0,7,3,0,0,0,15,13,141,24,5,7,3,187,87,63,55,9,6,3,225,93,29,42,3,7,0,174,231,33,67,3,8,3,345,251,19,33,0,3,0,316,77,3,11,0,0,0,92,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,14,7,0,3,56,789,349,279,23,33,29,1504
1019,0,0,43,0,11,24,69,0,3,3,10,3,0,21,16,19,25,26,19,3,102,22,6,34,27,19,3,116,29,4,43,22,24,0,123,85,3,61,8,11,3,164,268,7,113,3,15,3,411,518,0,121,3,6,0,647,154,0,20,0,0,0,174,19,0,9,0,5,0,29,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,10,4,3,52,1133,47,492,100,117,37,1922
1020,4,0,22,0,3,18,47,0,3,0,0,0,0,9,9,17,12,3,0,0,40,33,64,27,10,3,3,140,47,30,31,3,6,0,119,110,32,51,3,4,0,196,325,34,62,0,5,3,433,320,15,39,3,3,0,380,49,0,9,0,0,0,64,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,0,7,5,42,924,202,263,26,34,29,1479
1021,9,9,11,0,5,19,54,3,24,3,0,0,0,32,60,26,17,5,5,0,109,185,98,31,8,3,4,335,122,28,30,3,3,3,185,337,56,58,12,12,3,472,462,13,39,0,4,0,520,84,4,16,0,0,0,101,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,11,3,3,0,54,1297,268,212,37,33,35,1879
1022,3,6,33,3,9,30,81,0,0,3,12,0,0,23,4,74,17,18,16,0,131,31,24,20,18,7,0,103,48,3,50,4,13,0,124,180,5,67,4,79,0,340,436,6,127,3,33,7,618,720,0,113,0,13,3,847,257,0,41,0,3,0,304,57,0,5,0,0,0,71,24,0,9,0,0,0,28,3,0,0,0,0,0,3,5,0,0,0,0,0,5,5,0,0,0,0,0,5,17,12,18,11,9,4,76,1789,139,513,79,196,46,2754
1023,35,508,538,69,72,363,1584,17,376,41,75,25,4,536,192,3584,335,133,89,31,4358,950,1730,659,245,147,34,3775,956,716,668,95,92,23,2547,2497,716,1049,87,392,32,4766,8012,794,2189,68,241,44,11346,11500,180,2296,29,150,40,14184,3717,26,636,6,35,8,4429,943,6,176,0,8,0,1133,260,10,68,0,6,3,352,115,3,36,3,4,0,162,42,3,16,0,0,0,60,64,3,44,0,12,0,121,370,495,331,107,78,44,1423,29669,9147,9086,900,1354,636,50787
1024,4,37,41,0,7,26,118,3,41,3,6,3,0,59,15,305,41,13,14,0,397,185,226,67,54,23,5,564,125,86,62,28,23,4,317,272,135,105,25,153,4,688,756,76,192,23,47,8,1110,577,10,100,9,15,3,718,63,3,11,0,5,0,85,13,0,3,0,4,0,20,4,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,7,28,58,34,12,7,3,144,2055,997,656,174,299,61,4239
1025,5,38,45,3,5,29,129,3,37,4,11,3,0,57,40,265,34,21,0,7,369,237,187,64,17,6,5,515,267,78,81,11,3,3,449,630,68,119,8,8,7,842,970,53,166,5,11,4,1207,794,14,100,3,11,0,930,88,3,18,0,3,0,111,17,3,3,0,0,0,27,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,3,35,49,23,11,12,4,140,3096,804,669,96,75,54,4787
1026,0,12,18,6,6,18,56,0,9,3,0,0,0,14,54,84,30,4,6,0,184,119,42,60,7,15,3,250,81,10,71,5,3,0,176,142,13,70,3,5,5,244,166,3,60,0,5,0,240,22,0,22,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,13,7,7,0,50,595,197,353,34,50,30,1250
1027,7,31,37,3,17,49,144,0,26,4,8,4,3,53,5,302,25,21,36,5,406,56,140,63,37,19,0,320,118,67,73,11,15,3,281,411,56,142,13,17,9,640,828,68,214,16,22,9,1160,1367,18,229,9,22,5,1649,494,0,56,4,0,0,558,142,0,21,0,0,0,164,25,0,6,0,0,0,31,6,0,5,0,0,0,12,5,0,0,0,0,0,9,3,0,3,0,3,0,9,41,37,37,22,10,13,145,3520,754,908,136,165,88,5573
1028,0,19,10,0,3,15,54,3,23,0,0,0,0,27,7,110,10,3,3,0,138,79,74,24,3,17,3,197,76,25,12,0,7,0,118,197,18,18,0,51,0,284,401,28,58,0,19,0,508,319,0,30,0,10,0,361,57,0,11,0,3,0,70,9,0,4,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,18,12,0,9,4,59,1167,312,191,10,126,25,1838
1029,0,0,23,0,3,21,55,3,0,5,8,0,0,17,14,19,14,3,5,0,50,32,4,31,13,14,0,90,56,4,45,0,3,3,109,224,11,87,3,43,0,364,459,8,94,0,19,4,587,257,0,35,0,5,0,306,49,0,12,0,0,0,67,5,0,3,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,22,3,16,0,4,4,55,1128,50,362,21,104,36,1705
1030,872,3482,6272,529,643,3680,15473,100,2964,186,510,78,38,3861,613,23000,1246,1147,387,188,26581,1492,11050,2299,2032,438,150,17456,1951,5260,2504,781,352,86,10935,5758,4496,3612,892,1847,113,16708,25383,4684,7779,1063,1399,227,40535,88053,3848,15323,965,2052,443,110681,85104,1103,12817,354,1305,320,100999,57223,351,8119,131,641,169,66624,33331,166,4977,98,324,108,39006,17270,71,3089,56,178,54,20720,9756,40,1792,27,100,28,11742,16586,25,3689,17,219,39,20584,5732,3557,4218,956,943,745,16162,349223,64088,77920,9548,10907,6381,518068
1031,11,37,60,7,25,46,188,4,40,9,3,4,0,57,55,226,45,12,15,7,358,315,185,78,34,12,16,643,260,55,105,7,14,4,450,651,96,161,18,21,4,951,1227,42,279,4,27,6,1587,762,11,125,0,14,0,915,110,0,24,0,4,0,141,12,0,7,0,0,0,20,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,8,51,53,35,4,16,6,169,3469,746,929,87,161,96,5479
1032,5,19,27,10,7,18,83,3,25,3,10,0,0,43,34,195,42,21,7,0,300,251,142,78,58,21,4,553,196,62,73,12,16,4,366,459,53,126,7,11,4,659,656,36,109,5,7,10,823,162,9,35,12,10,0,227,13,0,7,0,0,0,17,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,5,30,32,16,18,0,6,101,1816,568,531,149,84,50,3194
1033,0,3,22,0,0,22,47,0,4,0,0,3,0,11,3,3,20,0,3,3,36,21,81,35,30,3,0,168,26,22,43,9,4,0,101,101,25,65,4,6,0,208,347,27,109,8,6,4,496,229,7,68,0,3,3,312,21,0,3,0,0,0,28,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,7,14,0,5,3,32,759,186,383,57,36,35,1451
1034,13,65,51,12,11,38,186,7,61,3,18,4,3,97,53,394,60,30,8,11,561,548,220,127,29,18,12,951,295,81,106,9,15,5,513,706,98,208,11,153,3,1173,1485,37,320,4,72,7,1923,865,10,145,3,18,0,1041,184,3,34,0,4,0,228,20,0,11,0,6,0,37,4,0,8,0,3,0,12,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,8,62,48,35,15,18,6,176,4248,1013,1112,123,319,92,6904
1035,43,337,341,23,47,219,1002,7,262,22,31,9,5,341,91,2674,154,86,68,42,3110,392,1289,315,95,59,25,2183,456,559,315,57,34,19,1448,1385,399,550,49,67,22,2474,3241,611,926,47,73,27,4925,5672,411,1319,29,95,24,7547,3120,42,475,7,26,8,3678,1146,5,166,7,13,0,1334,343,0,71,3,9,3,429,110,3,24,0,0,0,142,58,0,12,0,0,0,70,45,3,22,0,7,0,77,213,370,181,41,37,37,877,16329,6972,4885,480,547,423,29632
