SUA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1010,0,0,0,0,3,4,0,0,0,4,0,23,34,83,18,12,0,0,0,160,0,0,0,4,0,0,0,0,0,6,0,0,3,4,8,19,30,20,11,106,3,21,31,118,91,106,86,34,14,508,0,0,0,8,5,8,9,6,3,35,3,14,8,4,6,3,0,0,0,33,0,0,3,13,18,16,3,4,0,56,3,12,13,65,56,60,11,7,3,220,0,0,0,8,8,3,8,5,7,38,0,5,3,11,14,20,39,24,14,133,0,0,0,4,0,0,0,0,0,7,0,16,10,46,30,21,19,12,0,146,0,0,0,0,0,0,3,7,0,18,0,0,6,8,3,0,0,0,0,17,0,0,12,46,3,0,0,0,0,72,0,13,17,35,21,8,3,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,13,7,41,12,16,21,3,3,113
1011,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,10,15,74,0,0,0,0,0,99,0,0,0,8,0,5,3,7,0,27,0,4,16,46,21,21,16,9,5,134,0,0,0,3,0,3,0,0,0,8,3,7,0,20,0,0,0,0,0,29,0,0,0,3,4,0,0,0,0,9,0,14,21,46,16,8,3,3,0,119,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,5,7,4,0,26,0,3,0,4,0,3,0,0,0,11,0,9,6,13,3,5,0,3,0,45,0,0,0,0,0,0,0,0,0,0,4,3,11,30,14,0,3,0,0,72,0,0,3,8,0,0,0,0,0,17,0,0,0,9,4,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,7,4,0,3,22
1012,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,24,10,3,42,0,0,0,13,7,39,23,14,9,110,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,29,10,12,3,0,0,65,0,0,0,0,0,0,3,8,0,13,0,0,0,0,3,9,13,9,8,50,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,13,0,0,24,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,8,0,0,20
1013,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,3,11,0,0,0,0,0,16,0,0,0,0,0,3,11,10,0,26,0,0,12,38,16,27,11,3,0,108,0,3,0,0,0,0,0,3,0,8,3,0,3,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,8,4,44,14,16,8,3,0,92,0,0,0,5,0,0,3,4,0,7,0,0,0,4,3,4,12,10,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,8,6,3,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,11,3,3,0,0,0,26
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,7,3,3,24,0,7,3,13,6,13,14,6,4,59,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,3,25,12,18,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,6,0,3,0,24
1015,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,29,43,63,9,12,3,4,0,165,0,0,0,0,0,0,0,0,0,0,0,14,7,26,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,7,3,7,10,46,21,28,8,3,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,12,0,0,0,0,0,0,0,0,0,0,0,3,5,11,6,4,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,14,0,0,20,71,0,0,0,0,0,93,0,0,3,5,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,5,4,22,10,4,4,0,0,38,0,3,3,3,5,0,0,0,0,20
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,6,0,0,0,8,9,7,6,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,28,12,12,10,0,0,61,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,3,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,11,0,0,35,0,3,13,26,43,41,15,5,3,153,0,0,0,0,0,0,3,5,0,10,0,3,0,7,0,3,0,0,0,14,0,3,0,5,4,4,0,0,0,19,3,7,7,34,31,22,13,0,0,113,0,0,0,3,0,0,0,3,3,7,0,0,0,3,3,9,6,4,3,33,0,0,0,0,0,0,0,0,0,3,0,4,4,11,0,3,4,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,7,0,0,0,12,11,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,7,10,3,3,43
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,15,0,3,3,17,9,14,18,8,0,77,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,19,15,14,4,0,0,55,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,9,14,4,0,27,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,13
1019,0,0,0,0,0,0,3,0,0,8,0,0,4,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,21,12,11,57,0,8,23,74,49,42,51,35,23,318,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,6,0,0,22,0,4,8,22,17,16,7,0,0,75,0,0,0,3,0,0,3,3,0,4,0,0,0,3,5,12,12,14,4,51,0,0,3,0,0,0,0,0,0,3,0,0,14,12,19,11,5,7,0,69,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,8,3,7,3,0,49
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,10,0,0,3,19,14,17,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,6,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,9,0,11,7,33,17,9,4,0,0,82,0,0,0,0,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,9,5,27,15,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,12,0,0,0,0,0,0,0,0,0,5,0,3,7,5,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
