SUA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1010,349,365,180,120,161,56,18,1243,199,217,109,69,89,20,4,712,225,197,110,83,94,19,8,738,2040,2241,1239,779,1018,203,60,7568,22,12,10,9,6,0,0,60,2836,3026,1651,1060,1371,296,87,10332,49,70,71,52,66,38,18,367,43,91,56,41,55,4,3,297,27,51,40,45,43,8,0,213,550,864,531,369,444,80,23,2854,24,40,26,13,7,3,0,114,682,1109,719,514,620,136,46,3836,3521,4140,2368,1578,1990,437,135,14171
1011,173,145,62,44,44,17,7,479,69,51,19,14,25,5,0,176,63,57,24,15,19,3,0,183,1547,1475,805,503,636,112,20,5109,7,10,9,3,0,0,0,25,1856,1735,924,583,723,137,28,5985,4,13,13,5,12,0,0,56,13,18,13,15,20,0,0,70,5,18,6,0,5,0,0,42,587,673,330,223,273,42,14,2143,18,19,10,4,3,0,3,67,634,745,370,246,306,51,19,2369,2493,2482,1291,831,1031,185,50,8357
1012,27,19,10,11,14,0,0,87,28,27,13,14,22,6,3,105,26,19,14,10,16,5,0,101,432,442,283,188,268,47,8,1659,7,0,0,0,0,3,0,11,513,513,324,221,324,61,8,1965,3,3,3,3,11,0,0,25,13,22,6,10,15,0,0,69,9,8,3,4,3,0,0,33,204,268,158,98,141,14,0,882,7,12,6,9,5,0,0,43,233,311,182,128,174,18,7,1050,753,826,505,342,498,74,14,3009
1013,88,67,24,20,34,9,3,248,38,45,34,28,24,3,3,177,52,72,27,22,12,3,3,192,813,818,441,248,354,60,25,2764,11,3,3,0,3,0,0,21,1008,1001,529,323,431,83,33,3403,4,8,3,4,8,0,0,32,14,23,3,14,11,0,3,64,6,13,3,3,3,0,0,30,266,302,182,115,172,19,9,1071,12,9,9,4,0,0,0,38,299,355,205,137,195,22,14,1231,1309,1352,738,462,632,107,39,4632
1014,28,35,15,6,14,0,0,93,25,27,6,5,12,0,0,83,31,40,15,10,14,8,0,115,648,658,380,245,331,47,6,2320,3,4,0,3,5,0,0,11,726,764,424,265,378,56,6,2630,0,7,0,0,0,0,0,7,12,12,8,5,5,0,0,44,12,12,8,0,8,0,0,36,287,330,204,139,152,21,6,1135,11,9,11,12,0,0,0,41,318,366,229,156,170,19,6,1260,1043,1133,651,421,544,80,19,3886
1015,274,223,148,83,102,16,8,867,61,50,34,23,14,0,0,190,50,29,16,12,12,0,0,115,650,650,347,217,289,43,5,2207,9,7,3,4,0,0,0,26,1049,963,550,342,426,68,19,3398,26,34,18,15,17,0,3,109,28,20,11,18,17,4,0,101,8,16,8,0,6,0,0,29,156,151,98,56,69,17,5,543,17,13,12,3,0,0,0,48,225,235,149,92,103,16,5,828,1274,1195,699,433,522,87,21,4230
1016,23,11,9,3,9,0,0,45,19,21,13,10,16,0,0,82,24,16,9,5,12,0,6,77,395,479,258,179,252,38,6,1607,0,4,3,0,0,0,0,9,452,528,296,201,280,41,13,1814,0,0,0,0,0,0,0,3,16,14,3,7,3,0,0,47,3,11,6,5,4,0,0,30,333,351,207,127,145,20,3,1183,17,16,3,4,0,0,0,40,361,393,222,145,158,18,4,1308,817,925,517,349,443,58,18,3124
1017,70,52,31,12,29,9,3,201,64,72,39,27,39,10,0,248,58,66,38,19,24,5,3,212,891,888,525,329,408,98,22,3166,7,3,4,0,3,3,0,17,1090,1077,640,388,498,124,21,3845,6,17,15,13,19,10,3,75,23,45,23,18,41,8,6,166,10,34,19,11,15,7,0,99,290,449,310,183,248,57,24,1560,16,14,10,4,10,0,0,53,346,556,382,224,339,78,30,1949,1433,1638,1017,605,836,206,53,5796
1018,25,34,19,16,11,4,0,102,22,32,11,9,20,3,0,83,22,22,12,12,14,0,0,84,420,363,192,141,186,42,11,1355,0,7,4,3,0,0,0,13,494,453,231,175,224,54,13,1640,3,8,6,3,0,0,0,19,7,9,10,0,16,0,0,39,3,6,3,7,11,0,0,37,157,179,95,63,85,15,3,597,16,7,0,8,0,0,0,31,181,210,112,76,113,18,4,718,673,657,343,257,336,76,15,2361
1019,54,55,48,22,51,24,17,274,65,74,39,33,45,19,5,278,94,92,42,28,42,14,14,322,753,742,442,335,389,104,49,2817,5,4,0,3,0,3,0,17,964,967,578,422,528,169,82,3708,3,11,3,6,9,3,0,45,14,33,21,10,23,4,3,111,10,18,13,9,6,0,7,64,198,244,141,81,130,31,17,847,11,8,4,3,0,0,0,23,234,309,191,108,168,48,23,1088,1202,1277,772,528,692,212,109,4795
1020,23,14,21,6,14,0,0,76,19,30,15,9,3,3,0,74,39,21,12,12,8,3,0,94,637,571,277,156,164,25,7,1842,0,9,3,0,0,0,0,18,723,640,331,183,194,33,7,2104,0,0,0,0,0,0,0,3,6,0,3,0,3,0,0,16,6,0,0,3,3,0,0,16,136,157,83,59,73,6,0,518,3,9,3,4,0,0,0,14,152,168,94,66,87,6,0,569,869,804,423,253,278,41,9,2671
1021,58,69,30,21,14,6,3,193,14,20,15,6,9,3,0,63,36,42,14,9,7,0,0,104,543,506,280,176,191,40,5,1730,7,3,0,0,0,0,0,9,656,637,333,205,216,52,6,2114,3,5,0,0,3,0,0,14,10,13,11,3,7,0,0,41,5,3,5,4,0,0,0,22,213,221,114,86,86,12,0,737,8,11,9,3,3,0,0,36,248,255,142,94,98,13,3,853,902,893,474,304,318,61,11,2962
1022,68,92,49,50,59,17,6,327,60,95,50,45,49,24,3,319,73,95,48,35,36,8,9,311,672,768,458,305,388,118,34,2746,3,3,0,3,4,0,0,22,870,1051,611,434,533,159,51,3725,3,8,8,3,13,3,0,43,23,22,8,12,22,0,0,82,10,9,15,13,16,0,0,61,142,240,181,118,138,32,7,869,4,4,6,3,0,0,0,19,175,294,219,155,186,34,13,1073,1052,1346,837,590,721,194,63,4797
1023,1603,1539,803,475,651,283,137,5495,1387,1402,793,429,612,214,97,4937,1428,1350,614,423,563,219,101,4697,17978,17216,9448,6032,7938,2735,1251,62596,106,95,56,29,29,9,3,329,22504,21602,11709,7384,9795,3454,1593,78046,121,171,144,92,147,72,45,800,341,430,293,208,301,82,41,1692,129,266,180,142,219,74,37,1045,4318,5537,3417,2317,2880,801,388,19651,174,144,101,67,65,11,3,561,5082,6539,4142,2817,3606,1047,522,23746,27585,28142,15850,10206,13405,4501,2114,101796
1024,85,82,49,32,37,10,4,311,85,120,61,42,53,14,0,379,103,99,46,24,38,20,7,333,1296,1265,689,412,536,121,40,4365,6,10,6,3,0,0,0,22,1578,1569,859,521,672,164,53,5412,7,16,13,11,17,4,0,61,10,31,38,24,24,8,3,133,20,18,16,9,22,7,5,90,448,531,310,211,238,47,17,1802,20,23,16,12,5,0,0,80,513,613,390,265,305,63,25,2170,2083,2188,1245,784,972,223,74,7579
1025,195,169,78,52,51,19,0,566,98,101,56,32,42,5,3,338,80,76,42,27,33,9,0,266,1759,1702,838,498,660,138,35,5617,4,10,7,6,3,3,0,29,2138,2061,1017,611,790,171,41,6823,19,14,9,11,19,5,3,72,20,46,21,25,22,8,0,141,3,12,10,7,11,3,0,44,498,546,324,198,261,57,14,1898,25,14,11,7,7,3,0,67,568,625,378,245,319,75,13,2225,2710,2687,1392,850,1112,244,56,9046
1026,37,38,13,9,19,8,0,116,19,23,7,0,0,0,0,53,20,20,10,10,15,0,0,74,443,491,262,156,218,32,7,1616,0,3,0,0,0,0,0,8,517,573,297,178,259,42,7,1868,0,0,0,0,0,0,0,7,10,8,3,4,5,0,0,29,0,3,0,0,0,0,0,3,150,173,100,70,91,15,0,603,12,7,3,0,3,0,0,26,169,192,110,70,104,15,0,665,686,761,401,253,366,54,8,2526
1027,116,125,91,48,74,15,3,479,150,182,83,59,74,14,0,567,132,155,87,49,70,8,0,500,1312,1460,863,512,740,138,31,5059,9,0,5,0,3,0,0,20,1724,1925,1133,669,962,170,36,6622,0,12,14,6,13,0,0,52,31,54,25,29,31,3,3,181,12,29,18,18,26,4,0,105,355,506,302,231,317,55,16,1779,5,15,13,8,4,3,0,54,412,613,386,294,396,62,24,2178,2133,2536,1523,960,1361,236,52,8800
1028,48,66,29,19,33,8,0,215,30,44,16,20,17,3,0,131,69,57,32,21,18,10,0,203,739,686,366,266,338,78,27,2497,5,6,8,3,0,0,0,15,885,863,452,327,409,98,29,3068,4,12,3,7,4,4,0,23,11,14,9,5,6,0,0,40,7,8,3,4,7,0,0,23,174,226,105,91,102,34,7,736,3,7,0,4,0,0,0,15,193,262,118,102,122,36,5,844,1076,1122,569,430,526,139,39,3904
1029,27,28,24,11,6,3,0,103,43,57,22,19,34,11,0,185,46,33,26,9,11,7,0,134,516,566,336,184,255,45,11,1906,0,4,0,0,3,0,0,14,629,684,408,226,315,65,15,2336,0,0,8,4,3,0,0,24,13,11,9,8,13,3,0,59,5,8,13,7,8,6,0,50,161,225,167,107,117,11,4,795,0,6,5,0,0,0,0,17,187,260,195,122,150,19,5,942,817,943,605,347,461,80,19,3276
1030,101229,93465,48287,31150,45393,31939,17422,368878,25628,25203,13772,8187,10474,5033,2395,90695,23971,21794,10614,6166,8151,4085,2008,76787,89395,88647,48892,30342,38474,18174,8688,322619,1271,1258,620,444,366,166,73,4198,241497,230362,122183,76284,102862,59399,30588,863172,7630,11751,8536,6599,10491,7220,4458,56679,3920,5456,3501,2480,3236,1444,766,20799,2272,3658,2315,1679,2324,1099,569,13916,13103,17246,11136,7685,10170,3840,1985,65164,1327,1368,774,471,536,188,90,4757,28253,39475,26262,18913,26749,13796,7869,161321,269754,269840,148450,95196,129604,73189,38458,1024492
1031,133,115,63,37,61,10,3,412,68,71,31,24,26,4,0,227,58,40,42,16,23,8,0,188,1595,1539,861,523,669,106,16,5314,13,18,7,0,0,0,0,41,1873,1784,992,606,772,127,20,6180,8,9,5,4,13,3,3,40,21,26,17,17,15,3,0,98,4,17,10,9,15,0,0,60,664,722,428,285,288,46,11,2441,23,33,13,13,3,0,0,85,717,805,475,329,333,47,13,2723,2592,2583,1473,938,1112,174,38,8908
1032,45,53,25,16,21,3,0,161,40,39,29,10,23,3,0,151,24,33,22,17,14,3,0,113,799,803,515,313,454,72,14,2972,7,8,6,3,3,0,0,29,919,940,597,361,513,80,19,3432,0,4,7,7,4,0,0,23,15,22,18,12,15,0,0,87,3,14,13,10,6,3,0,47,377,473,275,190,247,43,6,1614,25,32,16,6,5,0,0,86,418,547,325,221,273,46,8,1845,1338,1483,922,580,789,132,27,5277
1033,16,15,18,16,13,7,4,86,33,48,23,12,12,0,0,132,46,49,19,12,22,0,0,145,435,458,266,178,231,32,4,1599,4,4,7,0,3,0,0,14,536,573,326,216,281,40,9,1987,3,13,5,3,4,0,0,28,7,7,13,10,10,0,0,50,3,4,14,6,6,0,0,39,93,159,100,71,99,12,3,535,3,7,5,0,0,0,0,13,109,185,132,93,121,14,3,659,646,761,460,307,396,50,14,2647
1034,347,339,173,96,126,44,11,1141,103,131,73,47,46,13,6,407,113,100,44,38,48,6,0,347,2157,2140,1199,823,1003,219,64,7616,5,8,4,0,3,0,0,28,2727,2715,1488,1010,1228,283,82,9536,35,45,18,16,19,10,5,153,43,43,17,10,25,8,0,143,8,21,13,7,14,0,3,70,584,706,401,323,403,60,22,2500,30,21,13,6,3,0,0,77,705,839,469,359,463,72,31,2943,3434,3552,1951,1372,1690,357,111,12476
1035,1532,1602,824,551,840,492,269,6116,1130,1291,729,492,733,340,175,4893,1127,1142,670,418,615,271,122,4369,9625,9608,5482,3318,4337,1676,725,34769,61,89,39,32,24,7,4,268,13476,13744,7749,4815,6553,2789,1299,50417,96,196,163,131,248,117,74,1034,272,337,241,189,300,118,46,1511,93,183,139,116,170,92,46,838,1949,2580,1616,1141,1438,462,197,9384,93,92,59,43,41,13,5,348,2507,3388,2229,1625,2202,802,369,13113,15987,17127,9970,6435,8755,3589,1668,63531
