SUA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1010,33052,35434,68486,1938,1871,3806,4408,4273,8677,2104,1947,4046,1776,1721,3498,3504,3758,7259,3641,4038,7683,4101,4800,8898,4809,5116,9925,3928,4123,8051,2077,2528,4609,772,1262,2031,30956,33594,64552,2092,1848,3937,1599,1724,3320,30,33,61,31,37,75,1662,1802,3462,26051,27601,53651,4534,5140,9671,28240,30140,58377,2503,2801,5302,28732,30843,59581,515,479,993,4022,3892,7916,1421,1374,2795,392,537,928,696,1525,2223,10123,11667,21792,2095,2129,4227,7840,8593,16433,2421,2468,4889,1504,1403,2906,156,188,341,30067,32362,62427,3771,3987,7763
1011,17283,18810,36092,1360,1348,2707,2567,2379,4948,1116,1160,2274,1169,1201,2366,2453,2762,5214,2103,2245,4347,2110,2318,4431,1914,2228,4135,1406,1562,2972,799,1104,1901,296,503,798,16110,17729,33844,1174,1078,2253,2628,2777,5404,28,32,64,26,49,75,2681,2863,5543,14517,15880,30400,1422,1493,2917,15034,16460,31496,1050,1109,2161,15177,16652,31821,329,329,658,2325,2162,4488,706,776,1487,189,270,461,393,757,1153,4940,6257,11200,968,1111,2081,4272,4299,8566,1120,1185,2302,756,716,1469,51,65,110,15498,16984,32483,2422,2222,4646
1012,9719,10738,20455,411,411,824,902,909,1808,533,460,989,335,350,683,687,759,1448,806,886,1696,1061,1151,2205,1434,1681,3113,1874,2005,3879,1193,1381,2580,486,744,1231,9029,10071,19100,688,666,1360,512,525,1039,9,12,23,5,13,19,531,551,1081,7866,8770,16632,1003,1060,2059,8719,9617,18332,278,314,589,8735,9616,18348,123,125,247,791,812,1606,347,316,660,58,69,124,119,287,407,2377,2554,4931,615,587,1204,2778,3299,6074,1048,1245,2292,607,602,1207,24,32,56,8680,9558,18235,1051,1163,2215
1013,11447,11441,22890,731,707,1429,1421,1291,2720,711,649,1364,792,606,1400,1535,1466,2997,1448,1310,2756,1484,1475,2959,1373,1485,2855,1139,1206,2346,599,803,1395,223,445,667,10821,10862,21679,626,584,1210,500,436,932,15,6,25,11,10,23,527,454,982,9568,9578,19141,1126,1020,2143,9659,10174,19834,523,562,1081,9713,10284,19999,148,177,333,1310,1173,2482,465,422,883,139,149,288,221,441,660,3024,3469,6491,612,627,1237,2746,2907,5654,854,851,1701,541,513,1052,58,45,103,9862,10359,20224,1830,1047,2878
1014,9073,9604,18668,584,532,1117,1292,1073,2363,595,563,1151,505,465,967,1013,990,1998,1015,1063,2078,1068,1186,2256,1153,1286,2445,1012,1127,2138,606,832,1435,234,485,725,8534,9094,17628,540,503,1046,807,754,1560,16,16,33,19,20,37,838,793,1633,7937,8327,16261,470,572,1043,8097,8759,16861,187,241,428,8102,8780,16887,135,140,268,1170,983,2155,376,380,750,65,96,161,158,341,499,2145,2435,4579,454,541,992,2353,2765,5115,748,826,1577,541,552,1092,32,22,58,8063,8704,16763,1102,923,2026
1015,9439,9703,19144,724,669,1395,1275,1268,2540,630,538,1170,611,587,1194,1405,1420,2826,1166,1145,2315,1172,1169,2338,1065,1058,2125,672,828,1497,512,642,1155,217,381,596,8938,9185,18126,502,518,1016,457,478,935,15,11,20,4,3,11,475,488,964,6383,6682,13067,2126,2041,4162,6307,6554,12863,2274,2256,4531,7466,7790,15257,167,136,306,1117,1102,2221,379,337,724,69,110,182,202,294,492,2463,2841,5308,544,514,1061,2209,2065,4274,580,592,1175,632,632,1262,126,125,249,8365,8562,16930,1146,1032,2183
1016,7310,7443,14754,454,462,921,1023,950,1970,483,441,925,448,383,833,875,765,1640,786,771,1556,886,900,1784,950,1060,2009,833,878,1713,421,506,929,150,327,480,6947,7116,14063,366,329,696,1188,1176,2365,13,8,19,39,33,73,1239,1214,2458,6170,6220,12391,430,429,856,6030,6484,12507,163,202,365,6084,6549,12632,132,109,238,906,809,1712,280,289,567,39,65,109,81,231,310,1291,1593,2887,383,382,768,1753,1902,3654,646,719,1361,482,492,976,24,15,44,6056,6515,12566,1240,925,2160
1017,13578,14835,28407,795,767,1561,1801,1698,3508,875,912,1789,980,969,1947,1597,1733,3335,1589,1718,3306,1757,1951,3711,1859,1976,3831,1300,1451,2753,709,999,1703,321,655,970,12847,14102,26953,728,730,1460,826,822,1653,24,23,42,22,19,42,870,862,1735,11326,12322,23653,1128,1312,2440,11884,12959,24847,638,764,1399,12084,13231,25317,183,211,394,1642,1555,3199,611,654,1263,274,380,655,481,811,1295,4214,4846,9068,750,874,1626,3220,3689,6908,986,972,1957,636,727,1363,45,32,82,12172,13288,25452,1518,1587,3101
1018,6475,6345,12818,389,373,760,714,669,1384,390,337,725,418,324,741,830,698,1530,725,681,1405,793,803,1595,866,877,1735,793,804,1594,428,539,965,135,242,381,6109,6021,12133,361,320,684,399,363,762,12,8,19,5,3,9,420,374,793,5259,5099,10359,646,622,1269,5333,5518,10849,234,283,514,5355,5591,10943,75,71,146,632,591,1225,253,235,486,56,74,133,118,209,324,1355,1641,2994,349,388,735,1804,1776,3583,516,552,1067,353,331,684,21,14,37,5449,5694,11141,934,525,1465
1019,11567,12110,23679,661,616,1274,1407,1313,2716,754,692,1443,663,693,1360,1190,1167,2363,1192,1267,2459,1454,1531,2985,1552,1649,3198,1405,1573,2975,931,1062,1988,366,548,919,10875,11491,22365,692,620,1307,429,443,867,15,16,31,15,8,22,457,461,925,9438,9780,19214,1468,1659,3122,10447,10985,21432,537,546,1082,10462,10969,21427,163,132,294,1295,1236,2528,528,511,1038,186,248,432,253,464,713,3195,3757,6956,714,707,1423,3248,3276,6531,984,1001,1980,532,527,1067,46,23,68,10535,11123,21658,758,765,1520
1020,5722,6003,11728,481,482,966,854,771,1625,332,323,656,319,321,643,827,782,1612,687,746,1437,741,764,1509,614,644,1258,471,561,1034,301,390,690,96,208,304,5380,5708,11093,344,293,638,348,319,661,5,9,10,4,0,8,356,323,681,4764,4952,9718,397,436,834,5067,5302,10370,181,194,374,5094,5315,10408,72,94,165,762,682,1442,196,201,396,39,61,99,117,223,339,1492,1866,3357,367,372,736,1464,1343,2808,341,379,721,240,245,481,15,16,23,5082,5315,10401,755,695,1449
1021,6183,5889,12075,520,464,988,904,872,1778,368,344,714,374,392,771,991,882,1874,800,727,1527,871,790,1663,684,621,1307,434,446,876,185,254,439,46,96,138,5885,5595,11483,294,297,592,557,540,1092,5,8,15,11,3,16,569,549,1122,5224,5022,10242,547,470,1017,5300,5270,10571,240,255,499,5289,5230,10513,104,100,205,827,784,1614,233,235,463,33,81,116,98,185,287,1257,1530,2789,416,392,813,1673,1469,3141,478,493,966,272,264,541,16,7,29,5542,5463,11005,757,369,1133
1022,12961,13785,26748,568,570,1138,1567,1387,2952,739,739,1483,572,562,1137,985,1031,2014,1294,1445,2743,1642,1771,3412,1827,2040,3870,2146,2325,4474,1243,1289,2530,374,627,1002,11968,12898,24867,996,883,1875,346,352,700,16,20,37,14,9,27,379,381,755,10001,10547,20549,1898,2068,3963,11408,12094,23497,584,615,1200,11457,12084,23541,165,144,307,1439,1275,2716,517,525,1039,133,169,301,189,397,587,3984,4319,8304,879,865,1747,3325,3728,7055,973,1054,2028,457,460,920,64,44,109,11477,12283,23764,1399,1567,2964
1023,227212,235842,463052,15217,14141,29356,29388,27751,57143,14488,13579,28066,16010,15718,31734,30330,30819,61151,28528,29567,58095,29230,30511,59743,27712,29379,57093,21499,23153,44652,10866,13756,24621,3944,7477,11417,214343,225089,439430,12863,10752,23617,10074,10101,20177,235,216,450,231,215,449,10536,10539,21072,192308,198848,391154,23181,24844,48023,202171,209590,411757,12940,14437,27381,205715,214481,420196,3795,3550,7345,27457,25947,53406,10376,10080,20458,5591,6281,11875,6478,10132,16611,72960,81679,154633,13501,12024,25526,56604,57252,113852,16572,19074,35645,8560,9018,17586,602,642,1240,210236,219441,429680,13588,13782,27374
1024,17823,17970,35795,1159,1121,2272,2315,2267,4581,1110,1052,2164,1242,1096,2339,2326,2140,4465,2053,1977,4033,2114,2215,4328,2195,2408,4604,1913,2015,3931,1019,1146,2161,375,534,904,16672,17017,33683,1158,951,2108,1394,1357,2750,29,37,68,23,15,36,1448,1413,2862,14212,14357,28573,2111,2122,4238,15108,15825,30933,712,838,1549,15240,15927,31166,305,299,606,2084,2054,4138,676,689,1361,192,245,433,342,682,1023,4597,5289,9887,1101,1023,2123,4264,4392,8660,1382,1485,2865,825,760,1584,48,35,80,15315,16288,31599,2400,1530,3926
1025,18777,19961,38741,1514,1387,2901,2797,2543,5338,1275,1229,2506,1047,1186,2233,2484,2769,5248,2432,2488,4912,2260,2476,4733,2127,2245,4373,1604,1852,3456,939,1194,2131,306,598,903,17619,18953,36570,1162,1009,2167,1210,1209,2421,17,23,44,27,18,48,1256,1255,2511,15667,16631,32295,1746,1921,3665,16415,17517,33934,1144,1228,2373,16720,17872,34590,310,292,602,2540,2328,4862,824,868,1687,267,342,611,558,942,1507,5608,6921,12527,978,1075,2049,4337,4400,8737,1242,1302,2540,866,855,1720,69,74,141,16843,18095,34939,2165,1933,4096
1026,5298,5676,10977,386,365,753,778,760,1541,376,394,777,327,323,648,643,642,1280,572,635,1200,665,686,1347,650,680,1335,494,538,1030,300,428,727,118,223,344,4925,5343,10269,379,336,716,522,532,1050,5,3,8,6,3,5,531,537,1069,4496,4810,9305,293,316,612,4690,5046,9735,175,173,344,4703,5050,9756,89,83,173,707,679,1381,246,262,514,44,75,122,72,175,247,1256,1496,2755,303,357,661,1372,1429,2801,385,407,786,301,255,559,8,10,23,4697,4997,9697,557,606,1168
1027,21473,23907,45379,1143,1145,2285,2748,2546,5292,1275,1270,2544,923,970,1889,2054,2224,4271,2301,2531,4834,2633,3030,5659,2779,3222,5997,3023,3436,6459,1872,2293,4167,724,1246,1972,20188,22649,42839,1284,1257,2542,843,898,1738,4,9,16,10,5,19,860,916,1776,17173,19215,36384,2848,3144,5995,19344,21567,40911,836,959,1798,19232,21443,40675,327,328,660,2562,2384,4953,932,952,1888,199,333,531,468,942,1408,6996,7855,14843,1424,1476,2894,5121,6184,11304,1552,1759,3313,874,980,1855,48,50,98,19679,21822,41502,2256,2475,4731
1028,8177,7916,16089,586,573,1161,1155,1136,2292,676,526,1204,642,492,1143,1166,1087,2253,1059,1099,2151,1141,1091,2233,876,849,1721,520,534,1051,269,326,597,90,201,292,7738,7526,15267,444,388,830,455,489,945,20,20,37,7,8,8,483,516,994,6976,6690,13662,666,693,1354,7415,7145,14556,284,303,587,7360,7071,14426,128,134,265,1050,1025,2073,382,373,753,114,115,229,147,319,462,2130,2290,4419,704,478,1180,2230,2031,4260,546,623,1163,347,289,636,14,13,27,7234,7242,14477,1201,528,1732
1029,8801,9393,18197,448,444,890,1035,973,2010,481,476,959,375,365,742,737,785,1520,882,978,1858,1035,1154,2182,1313,1433,2742,1469,1533,2999,794,889,1681,236,378,619,8075,8817,16891,723,583,1308,502,530,1036,7,6,15,8,0,8,516,541,1063,6885,7358,14240,1264,1379,2642,7881,8382,16261,393,500,893,7940,8492,16431,116,121,233,957,892,1855,307,320,624,69,74,143,103,279,383,2246,2604,4851,545,562,1103,2448,2621,5068,878,913,1786,483,501,980,22,24,50,7968,8563,16526,537,625,1162
1030,2193398,2253408,4446805,147433,140325,287758,278490,263303,541789,136193,129026,265224,161690,158158,319848,361751,371803,733560,322296,327889,650182,282858,294081,576942,230379,244786,475167,159759,171343,331099,81544,98689,180234,31004,53998,85000,2116883,2183047,4299931,76513,70353,146873,26478,27038,53516,799,802,1603,498,517,1007,27773,28355,56129,1219980,1234182,2454160,836800,882328,1719134,1237738,1245629,2483363,823966,881604,1705570,1722534,1776058,3498586,33516,31918,65436,256854,243399,500249,109069,107076,216140,75150,77136,152286,82569,115040,197607,1087609,1142202,2229810,91779,84642,176418,284150,291667,575816,77816,82997,160817,67498,80232,147735,21853,30232,52085,2029318,2094183,4123497,163057,156469,319529
1031,19809,21197,41006,1475,1413,2881,2834,2697,5531,1379,1261,2637,1267,1266,2535,2738,2801,5538,2276,2440,4719,2346,2627,4976,2336,2558,4889,1781,2049,3832,1023,1390,2413,343,697,1043,18488,20056,38551,1320,1143,2460,2189,2286,4472,38,38,81,50,41,93,2271,2366,4640,16599,17980,34577,1576,1477,3061,17195,18783,35980,1057,911,1973,17297,18802,36093,330,360,685,2535,2443,4980,848,840,1696,192,284,478,419,751,1169,5432,6550,11976,1134,1163,2298,4808,5157,9958,1442,1531,2977,941,885,1823,78,69,148,17598,19045,36648,2439,2101,4540
1032,12367,13485,25852,776,684,1459,1601,1561,3159,818,768,1583,648,692,1343,1148,1280,2425,1179,1318,2497,1507,1700,3213,1676,1913,3592,1633,1733,3361,984,1187,2171,399,651,1054,11664,12847,24507,704,639,1348,1103,1174,2271,27,16,41,24,14,37,1151,1201,2358,10420,11339,21758,934,1025,1950,11136,12131,23267,359,419,783,11208,12222,23428,196,178,377,1454,1410,2865,518,526,1038,82,144,223,170,450,624,2657,3223,5881,717,748,1467,3386,3832,7213,1218,1349,2572,895,824,1723,38,40,77,11303,12342,23644,1105,1198,2303
1033,7368,7905,15278,385,325,708,830,813,1647,379,389,765,267,201,467,555,617,1166,711,734,1449,855,985,1836,1152,1364,2519,1258,1325,2579,715,833,1546,262,336,595,6830,7381,14209,542,522,1064,239,254,493,11,9,18,8,0,6,259,262,515,5907,6276,12190,912,1016,1926,6636,7091,13726,270,303,569,6654,7078,13726,116,95,215,763,727,1491,263,270,532,47,38,87,102,247,347,2107,2325,4435,431,428,862,1951,2307,4260,663,661,1325,368,325,686,21,11,32,6690,7156,13843,562,603,1170
1034,26380,28035,54411,1952,1731,3680,3697,3582,7278,1960,1833,3786,2092,2317,4410,3688,3872,7566,3200,3360,6558,3128,3336,6465,2959,3226,6188,2117,2349,4465,1142,1580,2719,445,854,1304,24633,26509,51140,1747,1533,3278,1470,1652,3119,29,29,52,25,20,47,1521,1698,3217,22002,23731,45731,2731,2656,5388,22882,24712,47590,2008,1896,3901,23338,25188,48528,453,356,806,3449,3324,6771,1269,1313,2579,596,995,1597,816,1369,2185,8600,10537,19133,1671,1567,3244,5847,6090,11944,1759,1730,3487,1096,998,2095,111,86,201,23639,25431,49067,3316,2840,6152
1035,140690,144995,285678,8779,8298,17078,18097,17234,35330,9469,9025,18495,10657,9835,20492,17549,17710,35262,17641,18312,35947,18398,19086,37489,16886,18070,34962,13083,13938,27026,7472,9061,16532,2640,4423,7063,133740,138888,272631,6948,6106,13048,3837,4052,7885,105,72,178,66,77,147,4008,4203,8213,104663,107058,211725,27802,29565,57372,113235,116275,229508,20348,21705,42051,122974,127430,250403,2458,2326,4786,16897,16108,33002,7045,7088,14134,4565,4342,8908,4360,6053,10415,49305,52582,101885,8046,7228,15272,32670,33069,65739,8712,9651,18358,6016,7071,13086,713,1023,1733,130465,134834,265296,8471,8740,17210
