SUA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
1010,1985,102,3,2091,12,6,0,0,24,10,3,7,33,0,0,33,38,6,4,0,48,8,5,15,65,3,0,70,58,13,4,0,72,17,12,25,96,3,0,98,1659,287,35,33,2010,53,26,79,2080,101,3,2186,451,77,3,16,542,16,7,22,563,117,0,689,0,0,0,3,3,0,0,0,3,0,9,14,2109,363,36,48,2552,69,28,99,2652,224,13,2891,384,49,0,0,436,11,3,12,452,37,0,484,543,102,8,10,666,11,3,12,675,39,0,713,10,0,3,0,20,0,0,0,20,0,0,21,3,0,0,3,5,0,0,0,5,0,0,12,938,157,18,19,1127,14,11,22,1150,72,4,1229,7,3,0,0,13,9,0,9,16,0,0,16,26,0,4,0,31,3,0,10,36,0,0,36,34,4,4,0,42,16,0,16,55,0,0,55,969,157,21,17,1166,29,11,39,1207,77,4,1287,157,32,4,8
1011,1213,41,0,1259,8,3,0,0,13,0,0,0,14,0,0,14,6,0,0,3,14,0,0,0,14,0,0,14,18,3,0,3,29,0,0,0,24,0,0,24,1096,103,9,12,1223,11,4,16,1236,41,0,1281,232,18,9,3,259,20,0,20,280,49,0,323,3,0,0,0,3,0,0,0,3,0,4,11,1332,118,13,15,1487,32,4,40,1522,89,3,1618,287,18,5,0,306,6,0,5,316,17,0,328,301,36,3,4,348,4,3,7,349,8,0,360,6,0,0,0,8,3,0,3,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,597,51,8,3,664,8,3,11,674,25,0,697,4,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,9,0,0,0,9,0,0,9,14,0,0,0,16,0,0,0,16,0,0,16,612,50,8,3,675,8,3,11,693,25,0,711,97,7,0,3
1012,309,32,3,340,0,5,0,0,3,0,0,0,3,0,0,9,3,0,0,0,3,3,0,3,6,0,0,6,3,5,0,0,10,5,0,5,8,3,0,14,243,55,3,8,305,9,0,11,317,31,3,347,63,10,0,3,83,5,0,5,90,37,0,121,0,0,0,0,0,0,0,0,0,0,0,0,304,66,3,12,384,16,0,20,402,67,3,476,74,13,0,0,92,0,0,0,95,12,0,104,85,18,0,0,110,3,0,3,115,13,0,120,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,167,38,0,3,209,4,0,4,212,22,0,234,0,4,0,0,3,0,0,0,4,0,0,5,3,0,0,0,3,0,0,0,3,0,0,7,8,4,0,0,8,0,0,0,8,3,0,15,170,44,0,3,216,4,0,4,223,25,0,244,28,8,0,3
1013,658,28,0,690,8,0,0,0,8,0,0,0,11,3,0,13,20,0,0,0,28,0,0,0,28,0,0,26,31,7,0,0,37,0,0,0,37,5,0,42,584,75,15,7,678,12,6,14,693,31,0,728,152,29,5,5,194,7,3,11,199,31,0,229,0,0,0,0,0,0,0,0,0,0,0,0,741,106,17,15,871,16,11,27,901,61,0,962,142,13,0,7,161,5,0,3,166,6,0,171,160,21,0,3,184,3,0,3,192,6,0,196,3,3,3,0,12,0,0,0,12,3,0,12,0,0,0,0,0,0,0,0,0,0,0,6,313,34,9,14,366,3,0,8,371,11,0,379,5,0,0,0,5,0,3,3,7,3,0,15,4,0,0,0,4,0,0,0,4,0,0,8,10,0,0,0,10,0,5,9,20,4,0,18,319,34,9,14,373,8,3,15,388,15,0,401,75,8,0,3
1014,467,25,0,490,8,0,0,0,8,3,3,6,14,3,0,16,17,4,0,0,20,7,3,8,31,0,0,29,22,4,0,0,24,11,3,17,43,6,0,47,400,74,5,3,484,16,3,22,508,28,0,537,123,23,0,3,145,0,3,7,156,47,0,201,0,3,0,0,3,0,0,0,3,0,0,3,523,97,4,8,631,21,10,32,664,76,0,739,96,13,0,0,106,5,0,5,115,6,0,115,120,24,3,0,149,3,3,7,153,5,0,159,4,0,0,0,3,0,0,0,3,0,0,7,0,3,0,0,0,0,0,0,5,0,0,5,215,41,8,0,262,11,3,8,275,9,0,288,4,0,0,0,4,0,0,0,4,0,0,10,12,0,0,0,12,3,0,3,12,0,0,15,19,0,0,0,20,3,0,3,17,0,0,20,229,45,8,0,280,10,3,11,294,17,0,308,58,9,0,0
1015,602,32,3,639,7,0,0,0,7,3,0,3,10,0,0,8,9,0,0,0,9,3,0,3,9,0,0,9,13,0,0,0,15,8,0,8,17,0,0,21,534,51,7,0,598,15,9,24,616,38,3,658,158,23,3,10,194,18,0,14,204,62,0,265,0,0,0,0,0,0,0,0,0,0,0,3,689,71,13,9,787,26,11,37,828,98,3,925,121,11,0,0,138,5,0,5,147,6,0,151,198,16,3,3,219,4,0,6,222,14,0,229,3,0,3,0,7,0,0,0,7,0,0,7,3,0,0,0,5,0,0,0,5,0,0,5,327,29,6,3,367,10,4,11,381,16,0,391,6,0,0,0,3,3,0,3,10,0,0,10,5,0,0,0,5,0,0,0,6,0,0,6,11,0,0,0,12,8,0,8,16,0,0,16,338,29,6,3,375,12,4,18,395,16,0,409,67,6,0,3
1016,304,26,3,329,0,0,0,0,5,0,0,0,5,0,0,5,18,0,0,0,18,0,0,0,17,0,0,19,18,4,0,0,20,0,0,0,17,0,0,21,253,53,9,3,313,4,0,9,321,28,3,351,79,14,3,7,107,8,0,8,111,52,0,161,0,0,0,0,0,0,0,0,0,0,3,3,332,71,7,11,417,9,0,12,428,76,11,513,67,19,0,0,80,0,0,3,87,4,0,90,64,18,3,0,87,0,0,0,87,15,0,96,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,130,34,7,0,169,0,0,3,175,16,7,197,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,128,34,7,0,170,0,0,3,177,16,7,198,43,7,0,6
1017,702,33,3,741,4,7,0,0,11,0,0,0,15,0,0,15,11,5,0,0,20,3,0,3,21,0,0,22,18,12,0,0,26,6,0,6,32,0,0,38,620,91,4,8,719,15,5,22,740,39,3,780,152,49,0,3,201,5,7,15,218,37,0,255,0,0,0,0,0,0,0,0,0,0,3,4,775,134,4,11,925,24,14,31,961,78,7,1041,159,28,0,0,188,3,4,8,194,5,0,196,183,47,0,0,229,3,0,4,238,12,0,253,9,0,3,0,9,0,0,0,9,0,0,9,3,0,0,0,4,0,0,0,3,0,0,3,348,76,3,3,433,11,3,13,445,18,0,469,4,0,0,0,7,3,0,3,5,0,0,5,8,6,0,0,10,3,0,3,17,3,0,16,15,7,0,0,16,7,0,7,23,3,0,23,360,84,3,3,452,15,3,16,470,25,0,492,56,19,4,0
1018,279,17,0,294,0,0,0,0,0,0,0,0,0,3,0,4,13,0,3,0,16,0,0,0,16,0,0,16,13,0,3,0,17,0,0,0,17,3,0,22,258,15,11,9,287,3,0,3,293,19,0,319,60,14,0,5,76,12,0,12,91,32,0,119,0,0,0,0,0,0,0,0,0,0,0,0,315,34,11,16,368,21,0,21,384,51,4,436,61,4,0,0,65,0,0,0,65,0,0,67,74,9,0,0,84,0,0,0,86,3,0,92,3,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,4,0,0,0,4,0,0,4,140,10,0,0,159,0,0,0,161,7,0,169,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,10,0,0,0,12,0,0,9,150,11,0,0,173,0,0,0,174,9,0,175,25,0,0,4
1019,575,39,0,614,5,0,0,0,8,3,0,3,9,0,0,14,18,0,0,0,22,3,0,3,25,0,0,25,17,0,0,4,27,13,0,13,34,0,0,39,503,67,8,12,587,20,3,20,608,39,0,649,164,29,5,4,208,14,0,14,216,45,3,264,3,3,0,0,6,0,0,0,6,0,5,12,664,99,13,16,792,36,3,33,830,85,7,924,130,15,0,3,146,3,0,3,149,13,0,157,184,30,3,3,220,6,0,6,221,6,0,227,5,3,0,0,11,0,0,0,11,0,0,11,6,0,0,3,6,0,0,0,6,0,0,6,321,47,4,10,381,6,0,6,393,13,0,404,0,0,0,0,0,3,0,3,4,0,0,4,9,4,0,0,6,3,0,3,12,0,0,12,5,4,0,0,8,5,0,5,13,0,0,13,332,45,4,10,393,14,0,14,408,13,0,420,79,19,0,6
1020,437,6,0,445,3,0,0,0,3,0,0,0,6,0,0,6,17,0,0,0,17,3,0,3,20,0,0,20,17,0,0,0,17,4,0,4,23,0,0,24,403,34,7,5,452,5,0,5,458,7,0,467,120,18,5,4,145,3,0,3,147,7,0,155,0,0,0,0,0,0,0,0,0,0,3,4,528,50,16,8,595,11,0,11,607,18,5,628,71,0,0,0,74,0,0,0,72,0,0,72,122,8,0,0,131,3,0,3,135,0,0,139,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,8,0,0,0,8,0,0,8,191,16,3,4,212,3,0,3,215,0,0,217,6,0,0,0,6,3,0,3,12,0,0,12,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,3,0,3,11,0,0,11,203,16,3,4,226,8,0,8,232,0,0,231,54,9,0,0
1021,363,12,0,375,5,0,0,0,5,4,0,4,10,0,0,9,11,0,0,0,11,0,0,0,11,0,0,11,20,0,0,0,20,4,0,4,19,0,0,22,349,17,7,7,381,4,0,4,385,11,0,395,139,13,6,4,157,18,0,20,176,26,0,203,3,0,0,0,4,0,0,0,4,0,3,7,491,28,11,12,545,19,0,20,566,40,3,612,72,3,0,0,77,0,3,6,83,4,0,82,116,7,0,0,127,0,0,0,129,3,0,131,7,3,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,191,13,4,0,210,3,3,6,215,4,0,225,0,3,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6,7,3,0,0,11,0,0,0,11,0,0,11,199,18,4,3,219,3,3,9,226,4,0,232,59,5,7,3
1022,662,33,0,696,6,3,0,0,8,0,0,0,8,3,0,13,27,3,0,0,29,3,0,3,33,3,0,37,29,7,0,0,40,3,0,3,39,10,0,49,589,83,13,5,694,3,3,10,699,44,0,742,138,36,3,5,185,11,0,11,202,21,0,224,0,0,0,0,0,0,0,0,0,0,0,0,727,126,20,15,882,20,3,23,899,66,3,967,158,19,0,0,176,0,0,0,176,4,0,183,198,21,3,0,223,0,0,0,223,10,0,230,3,3,3,0,15,0,0,0,15,3,0,13,0,0,0,4,5,0,0,0,5,0,0,5,360,45,11,3,417,0,0,0,417,15,0,437,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,18,0,0,0,18,3,0,19,20,0,0,0,15,0,0,0,15,4,0,19,376,41,11,3,436,0,0,0,436,15,0,452,65,12,0,0
1023,14483,530,12,15022,111,23,0,5,145,40,0,40,182,22,0,209,344,46,5,7,408,36,6,43,449,34,3,486,457,77,5,16,551,75,6,79,630,56,9,694,12909,1457,235,157,14755,301,51,357,15114,584,19,15719,3262,414,86,78,3835,182,38,221,4049,709,9,4778,21,6,0,11,44,0,0,0,44,12,29,77,16189,1874,315,248,18634,491,90,577,19209,1303,60,20570,2626,259,36,9,2932,66,9,71,3007,191,4,3200,4111,453,71,33,4673,74,17,91,4760,161,4,4928,136,12,29,0,178,4,0,4,181,7,0,194,44,7,0,43,92,0,0,0,97,4,0,100,6916,736,135,90,7876,142,24,167,8043,369,9,8425,80,22,0,0,99,11,0,12,110,10,0,122,163,24,3,3,190,15,5,16,212,29,0,235,244,45,3,3,290,26,5,29,322,31,0,358,7157,778,140,94,8168,164,29,201,8365,402,9,8784,1461,203,40,39
1024,952,48,0,996,4,0,0,0,9,0,0,0,10,0,0,14,18,6,0,0,28,0,0,0,28,9,0,38,25,10,0,0,35,0,0,0,37,10,0,47,813,112,19,20,964,20,0,22,989,63,0,1047,290,31,9,3,339,20,0,22,361,83,0,446,0,0,0,0,0,0,0,0,0,0,4,6,1104,147,31,18,1306,37,5,41,1343,150,9,1498,196,20,8,0,221,6,3,9,233,10,0,246,282,28,11,3,322,5,0,4,328,14,0,345,5,0,3,0,10,3,0,3,6,6,0,9,4,0,3,6,14,0,0,0,14,0,0,14,483,48,22,7,560,14,3,17,575,26,0,611,4,0,0,0,7,0,0,0,4,0,0,4,11,0,0,0,13,0,0,0,13,4,0,13,11,0,0,0,16,0,0,0,18,4,0,20,500,53,22,7,581,14,3,20,594,36,0,627,104,24,0,4
1025,1422,42,3,1469,18,4,0,0,20,0,0,0,20,3,0,20,38,3,0,0,37,3,0,6,45,0,0,45,52,5,0,0,58,3,0,6,64,3,0,67,1281,133,21,20,1455,18,4,29,1483,46,3,1533,262,47,10,14,328,22,3,23,356,54,0,404,0,0,0,0,3,0,0,0,3,0,0,3,1542,180,30,34,1786,43,11,52,1833,98,7,1939,289,27,3,3,321,12,5,15,339,11,0,350,316,24,10,3,350,5,0,5,354,17,0,371,4,0,0,0,15,0,0,0,15,0,0,15,6,3,0,3,8,0,0,0,8,0,0,8,612,59,15,10,698,13,5,19,713,29,5,741,12,0,0,0,12,0,0,0,13,4,0,13,14,0,0,0,13,0,0,0,16,3,0,20,22,0,0,0,23,3,0,3,26,5,0,32,637,58,15,10,721,14,3,19,740,33,5,774,107,18,0,0
1026,381,13,0,392,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,6,0,0,6,347,26,0,7,385,8,0,6,389,13,0,404,95,12,3,0,103,8,0,8,109,21,0,134,0,0,0,0,3,0,0,0,3,0,0,3,436,36,8,6,486,13,0,13,505,35,0,534,75,6,0,0,84,0,0,3,85,0,0,85,99,8,0,0,107,0,0,0,107,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,181,9,0,3,190,0,0,3,199,0,0,199,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5,4,0,4,5,0,0,5,185,9,0,3,196,3,0,5,203,0,0,206,32,8,0,0
1027,1332,54,0,1393,13,3,0,0,20,0,0,0,22,0,0,22,22,0,0,0,25,3,0,3,28,0,0,35,41,6,0,0,46,6,0,6,54,0,0,55,1155,171,24,8,1356,27,6,29,1386,62,0,1447,258,47,3,7,309,9,3,13,326,50,0,380,0,0,0,0,0,0,0,0,0,0,0,3,1413,217,25,14,1664,39,8,46,1716,114,3,1829,341,38,7,0,384,10,0,7,395,26,0,421,346,61,5,3,413,8,6,13,425,17,0,437,7,0,4,0,10,0,0,0,10,0,0,10,4,0,0,3,9,0,0,0,9,0,0,14,698,98,15,9,818,16,3,22,839,39,0,882,6,0,0,0,6,3,0,3,11,0,0,10,12,0,0,0,9,0,0,0,11,0,0,11,15,0,0,0,19,6,0,6,25,0,0,26,715,95,15,7,836,23,3,31,862,42,0,906,86,31,0,0
1028,475,9,0,493,6,0,0,0,5,3,0,3,11,0,0,11,34,4,0,0,38,0,0,0,36,0,3,39,41,3,0,0,48,3,0,3,45,0,3,53,463,29,5,15,515,9,3,13,524,13,0,541,213,13,3,5,232,7,4,11,244,20,0,264,7,0,0,0,4,0,0,0,4,0,0,4,687,44,8,18,755,16,4,16,777,35,0,811,76,17,0,0,91,0,0,0,88,0,0,95,162,11,0,0,178,0,0,0,178,6,0,184,4,0,0,0,10,0,0,0,10,0,0,10,3,0,0,4,9,0,0,0,9,0,0,10,242,28,3,4,280,0,0,0,282,12,0,291,3,0,0,0,3,0,0,0,9,0,0,9,13,0,0,0,15,0,0,0,16,0,0,16,15,0,0,0,20,4,0,4,24,0,0,24,266,27,3,4,296,5,0,5,304,12,0,310,95,8,4,0
1029,399,30,0,434,4,3,0,0,9,6,0,6,15,0,0,15,17,0,0,0,19,0,0,3,19,0,0,19,21,3,0,0,25,7,0,7,36,0,0,36,345,56,5,3,410,18,4,22,433,30,0,467,103,16,0,8,129,9,0,10,137,38,0,175,0,0,0,0,0,0,0,0,0,3,0,3,448,72,12,10,545,21,3,28,573,70,0,646,64,7,3,0,75,3,0,3,74,9,0,81,143,18,3,0,163,3,0,3,166,10,0,179,8,0,0,0,8,0,0,0,10,0,0,10,0,0,0,3,5,0,0,0,5,0,0,9,207,25,4,6,248,12,0,14,256,15,0,274,6,0,0,0,6,3,0,3,7,0,0,7,8,0,0,0,8,0,0,0,8,0,0,8,13,0,0,0,14,7,0,7,15,0,0,15,220,25,4,6,259,17,0,16,275,15,0,293,49,9,3,0
1030,139419,4925,208,144547,1820,291,23,35,2171,351,39,391,2563,196,3,2763,4026,616,31,103,4781,318,96,409,5189,241,14,5445,5845,916,56,143,6951,670,135,804,7756,430,19,8202,126648,13570,1540,1924,143691,2795,692,3485,147174,5352,225,152754,44501,8605,757,1596,55461,1883,504,2393,57854,10143,268,68259,249,64,3,231,546,10,10,21,562,81,638,1280,171403,22241,2302,3752,199702,4689,1202,5891,205591,15575,1131,222295,30542,3174,239,212,34157,765,196,960,35121,1829,36,36988,34488,3975,324,337,39124,534,125,659,39786,1253,43,41075,877,150,198,16,1242,24,4,26,1266,80,3,1346,420,69,12,443,947,24,7,24,977,84,31,1088,66330,7368,768,1007,75475,1342,333,1675,77147,3243,109,80496,937,175,16,22,1154,197,26,218,1369,97,0,1467,1817,350,19,46,2233,165,84,253,2486,171,7,2666,2756,528,33,69,3380,360,106,469,3855,272,13,4136,69088,7894,802,1071,78853,1706,438,2141,81002,3507,122,84628,19911,4051,330,715
1031,1237,47,0,1282,12,0,0,0,14,10,0,5,24,3,0,27,28,8,0,0,35,3,0,3,37,0,0,37,38,7,0,0,50,12,0,9,55,3,0,61,1089,136,30,18,1263,27,0,30,1293,50,0,1346,214,40,5,3,265,10,4,17,280,59,3,339,4,0,0,4,6,0,0,0,6,0,0,9,1306,173,30,23,1535,39,9,42,1580,111,3,1692,282,17,3,6,309,0,0,5,311,19,0,328,323,37,3,4,361,4,3,12,372,10,0,383,8,3,5,0,16,0,0,0,16,0,0,17,3,0,0,7,11,0,0,0,11,3,0,10,618,57,11,13,697,9,3,11,709,29,0,744,4,3,0,0,8,7,0,7,13,4,0,17,6,6,0,0,12,0,0,0,15,5,0,14,13,3,0,0,18,6,0,6,29,7,0,34,628,58,14,12,718,18,3,22,734,38,0,773,91,18,0,0
1032,519,43,0,569,3,0,0,0,7,11,0,11,18,4,0,20,7,0,3,0,11,3,0,3,10,3,0,18,8,0,3,3,17,14,0,14,27,10,0,34,419,86,19,8,530,22,0,21,549,51,0,602,144,40,10,3,192,17,3,18,219,77,0,294,0,0,0,0,0,0,0,0,0,0,0,0,564,126,30,10,722,36,3,43,765,125,7,897,103,23,5,0,134,3,0,4,135,0,0,135,149,27,14,0,187,4,0,6,193,15,0,200,3,6,0,0,10,0,0,0,10,0,0,10,5,0,0,0,6,0,0,0,6,0,0,6,263,52,15,0,329,7,3,9,342,17,0,352,3,0,0,0,5,3,0,3,8,0,0,8,6,0,0,0,10,3,0,3,10,3,0,9,11,0,0,0,13,5,0,9,17,3,0,19,269,52,20,3,342,11,3,18,360,20,0,378,89,26,3,0
1033,347,22,0,368,5,3,0,0,7,0,0,0,7,0,0,7,4,0,0,0,4,3,0,3,9,0,0,9,9,3,0,0,15,3,0,3,12,0,0,12,274,68,9,4,355,11,3,14,363,22,0,388,87,22,0,3,120,7,3,10,128,27,0,152,0,0,0,0,0,0,0,0,0,0,0,4,365,93,9,11,472,18,9,24,490,45,0,540,55,15,0,0,68,3,0,3,75,4,0,81,110,21,3,0,132,5,0,3,136,13,0,148,3,0,0,0,8,0,0,0,8,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,168,30,6,0,211,8,0,6,213,17,0,238,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,177,36,6,0,212,3,0,10,223,17,0,241,40,14,0,0
1034,1848,62,4,1916,18,0,0,0,20,10,0,10,26,3,0,30,44,4,0,0,53,0,0,0,52,0,0,55,60,8,0,0,69,10,0,5,76,3,4,83,1699,143,29,15,1885,31,13,43,1931,67,6,2003,372,44,17,8,438,18,0,22,461,95,0,560,0,0,0,0,0,0,0,0,0,0,8,9,2076,189,42,20,2325,48,16,63,2392,163,12,2569,467,46,6,3,520,8,6,12,532,19,0,552,467,34,4,3,513,3,0,9,513,12,0,525,21,3,7,0,26,0,0,0,26,0,0,32,3,0,0,3,9,0,0,0,9,0,0,9,960,79,16,10,1065,13,8,21,1079,38,0,1117,12,3,0,0,18,0,0,0,18,0,0,16,17,0,0,0,19,0,0,0,19,0,0,19,30,3,0,0,33,0,0,0,33,0,0,32,985,78,16,11,1096,13,8,21,1111,38,0,1148,133,17,8,3
