SUA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
1010,107,46,35,4,13,0,210,45,10,9,4,9,0,81,59,30,31,0,13,0,138,54,33,22,8,19,0,135,103,54,33,31,25,3,238,130,96,70,31,39,3,373,150,115,80,42,52,3,440,156,185,87,58,62,0,552,138,268,84,50,40,5,579,190,312,107,54,41,0,710,148,268,73,32,21,0,551,160,348,110,28,31,3,682,81,143,28,12,8,0,279,38,88,19,7,3,0,146,105,223,57,24,8,0,416,94,170,56,14,16,3,353,28,45,17,3,0,0,93,25,41,6,4,3,0,79,70,73,44,8,16,5,216,1872,2541,964,432,421,37,6260
1011,27,17,14,4,3,0,61,12,3,0,3,0,0,23,35,8,7,3,4,0,64,27,13,16,5,5,0,66,53,34,20,18,12,0,139,74,89,44,20,22,3,245,89,140,51,22,28,7,331,114,211,57,60,23,9,476,98,180,56,30,29,4,395,135,240,58,29,12,0,478,59,176,27,14,3,0,279,100,188,48,18,16,0,361,38,73,18,3,3,0,130,26,48,10,7,3,0,89,47,79,33,7,4,0,174,45,65,29,4,5,0,142,12,26,8,4,0,0,44,6,11,0,3,0,0,21,50,43,27,10,7,0,140,1031,1631,508,268,192,26,3664
1012,36,4,8,3,4,0,60,9,0,5,0,5,0,21,24,4,4,0,0,0,42,13,3,4,4,5,0,30,50,6,5,4,7,0,80,32,11,18,5,8,3,79,30,26,16,6,9,0,88,53,40,25,15,11,4,151,46,61,17,8,14,0,140,42,65,16,10,4,0,134,40,45,17,3,5,0,107,34,61,19,15,10,0,130,18,14,7,3,7,0,42,6,11,0,0,0,0,24,24,26,11,3,3,0,69,21,26,7,3,0,0,60,15,10,0,0,0,0,26,4,3,0,0,0,0,9,26,17,11,4,3,0,59,517,444,193,103,91,10,1358
1013,28,12,8,3,3,5,49,10,6,3,0,0,0,23,16,11,14,3,3,0,39,19,10,8,8,6,0,48,42,22,8,7,12,0,89,40,42,29,18,19,3,148,65,60,34,13,8,4,183,65,102,29,24,21,0,241,76,111,38,23,15,0,253,76,123,45,21,15,3,281,34,91,22,3,3,0,155,57,104,35,12,10,0,219,14,49,16,0,3,0,80,7,27,4,0,0,0,40,30,48,16,7,0,0,101,23,33,20,3,3,0,87,11,11,8,0,0,0,32,4,4,0,0,0,0,12,25,27,17,5,5,0,81,650,887,337,142,124,22,2159
1014,21,5,12,0,3,0,40,10,0,0,0,0,0,16,30,3,7,4,3,0,46,23,9,12,5,9,0,60,32,25,11,7,14,3,86,53,64,34,15,11,0,173,48,83,31,22,24,0,212,71,119,23,29,23,0,269,43,99,12,14,11,3,184,54,77,21,13,4,0,174,10,43,5,4,3,0,71,29,48,17,5,3,3,108,6,8,0,0,0,0,21,0,5,0,0,0,0,7,15,25,7,3,3,0,54,6,19,3,0,4,0,31,3,3,3,0,0,0,5,0,4,0,0,0,0,5,19,34,7,5,0,0,61,471,675,216,129,109,15,1615
1015,17,10,12,3,0,0,46,4,0,0,0,0,0,5,11,8,14,0,3,0,27,6,8,5,4,3,0,30,16,20,6,0,4,0,46,21,46,17,13,11,3,103,39,55,14,11,14,3,133,52,101,28,11,11,3,209,50,98,29,3,16,4,191,53,106,25,8,4,3,202,22,74,9,4,3,0,122,36,74,35,12,3,3,158,7,19,8,0,3,0,42,11,10,9,0,0,0,20,10,40,11,3,4,0,71,13,44,4,0,0,0,62,7,15,4,0,0,0,24,3,10,0,0,0,0,16,14,20,15,4,3,0,62,389,748,251,87,82,15,1579
1016,12,9,4,3,4,0,30,7,3,0,3,4,0,13,13,14,7,3,9,0,42,20,4,8,4,3,0,45,35,12,17,11,11,0,76,42,56,20,13,7,0,146,42,62,14,24,10,0,145,47,72,21,25,16,3,182,41,46,24,18,8,0,137,23,40,20,12,3,0,99,21,34,0,9,4,0,65,19,33,13,6,3,0,70,5,18,3,0,0,0,29,0,5,0,3,0,0,7,3,26,12,5,0,0,41,8,14,0,0,0,0,26,0,8,3,0,0,0,8,3,3,0,0,0,0,5,20,19,6,3,8,0,55,368,463,180,132,100,9,1247
1017,33,13,12,5,10,0,70,16,4,3,5,8,0,28,23,8,12,7,6,0,57,23,11,14,5,11,0,57,36,38,31,11,18,3,143,46,41,23,20,27,4,165,44,70,36,42,17,3,209,91,127,39,44,40,3,348,82,165,34,39,20,3,338,99,169,40,25,14,0,354,42,103,26,20,9,0,200,60,96,34,15,15,0,213,19,42,10,3,3,0,74,11,20,0,0,3,0,40,21,62,20,4,4,0,108,15,34,14,0,4,0,69,8,9,0,0,0,0,20,7,11,3,0,3,0,21,29,24,12,15,7,0,83,707,1041,349,264,217,25,2602
1018,10,8,4,0,0,0,26,3,0,3,0,0,0,13,9,3,0,4,3,0,24,11,6,3,4,3,0,25,16,15,8,6,8,0,55,23,25,17,7,16,0,90,22,42,23,10,9,0,104,30,70,16,10,5,0,138,19,39,24,8,0,3,97,20,57,13,6,6,0,100,13,33,11,0,0,0,58,20,46,14,3,4,3,95,9,27,4,0,0,0,38,0,5,4,0,0,0,12,17,37,15,0,0,0,66,9,24,17,0,0,0,48,3,3,0,0,4,0,11,3,0,0,0,0,0,11,12,11,10,3,3,0,44,260,457,187,72,57,11,1044
1019,37,20,14,4,9,0,84,7,9,11,0,3,0,36,28,15,12,5,0,0,60,21,11,13,0,8,0,42,35,17,9,4,9,0,76,28,32,30,3,18,0,116,37,40,32,13,16,0,149,54,85,32,17,13,0,210,62,94,34,18,14,0,221,72,124,42,17,17,0,264,54,74,28,15,13,4,181,73,141,57,17,11,0,300,32,61,27,0,3,0,125,20,35,13,0,0,0,68,48,104,31,8,4,0,198,56,69,32,7,8,0,177,16,17,12,0,0,0,48,20,12,11,0,0,0,37,38,39,21,10,3,0,112,734,995,470,143,150,17,2503
1020,19,3,4,0,3,0,26,3,3,0,0,0,0,6,6,5,0,0,3,0,15,10,3,0,4,0,0,20,16,10,6,4,3,0,38,13,16,7,5,3,0,45,23,26,12,4,3,0,64,24,37,17,5,6,0,93,24,42,17,9,4,0,92,39,60,15,8,8,0,134,27,61,13,5,4,0,104,28,68,23,4,3,0,126,18,49,8,0,0,0,71,9,32,3,0,0,0,48,19,67,7,0,4,0,93,26,50,8,0,0,0,83,10,13,7,3,0,0,23,5,10,0,0,0,0,21,17,12,4,9,0,0,43,341,563,146,59,42,4,1160
1021,12,0,3,0,3,0,20,4,0,0,0,0,0,6,5,9,0,3,0,0,15,7,4,3,0,3,0,13,7,13,9,8,3,0,35,24,21,6,7,4,0,58,30,29,10,6,3,0,84,33,63,18,8,8,0,128,30,50,18,5,3,0,114,42,75,19,5,4,0,148,33,40,9,11,5,0,94,33,73,15,10,0,0,120,7,28,5,7,0,0,48,3,21,6,0,0,0,32,16,40,10,0,0,0,70,21,35,6,6,3,0,71,3,6,4,0,0,0,12,3,3,3,0,0,0,11,15,22,3,8,6,0,52,316,533,152,73,48,8,1128
1022,47,12,17,5,11,0,96,18,0,4,3,0,0,28,26,7,13,0,3,0,57,23,14,8,3,4,0,44,24,14,18,3,8,0,73,38,22,23,9,8,0,102,48,29,18,9,14,0,126,53,51,30,12,12,0,160,59,49,27,10,12,0,155,56,86,36,15,9,0,207,49,72,30,16,7,0,174,85,155,51,8,3,0,304,36,75,11,3,0,0,123,19,45,8,0,0,0,82,49,88,41,11,8,0,189,49,77,29,0,7,0,158,19,20,7,3,0,0,52,16,20,8,0,3,0,43,35,32,21,4,3,0,101,747,880,410,112,114,9,2268
1023,582,391,312,85,115,18,1510,190,80,100,19,55,8,453,386,195,237,59,122,14,1011,314,205,194,52,103,3,870,506,378,383,109,224,20,1617,680,671,573,219,262,21,2433,802,1029,638,270,315,29,3087,1109,1733,777,367,363,45,4385,1029,1894,658,335,301,38,4256,1365,2534,792,409,316,41,5467,932,2022,523,261,177,20,3937,1611,3332,979,306,224,33,6477,665,1481,268,100,61,7,2591,396,970,191,41,38,4,1641,959,2286,574,134,98,15,4065,874,2170,606,103,98,19,3871,295,673,197,33,27,3,1229,182,411,135,22,13,0,766,467,709,364,118,146,24,1823,13345,23165,8499,3044,3059,362,51480
1024,46,17,16,8,7,0,92,28,0,8,3,3,0,41,24,9,18,0,11,0,68,35,12,14,13,9,0,77,52,31,29,11,14,0,140,75,59,24,22,22,0,193,84,109,45,19,26,0,289,96,130,64,40,24,3,360,83,162,42,32,23,0,344,94,190,52,26,19,5,376,67,123,24,18,4,3,233,100,180,47,16,16,0,359,27,79,17,6,0,0,126,11,41,5,7,3,0,68,49,86,34,8,10,0,187,48,68,29,12,7,0,158,20,22,9,0,0,0,51,17,7,3,0,0,0,25,35,51,24,9,19,0,133,990,1370,496,246,210,17,3337
1025,39,18,17,4,8,0,85,13,3,3,0,3,0,19,29,13,8,3,7,0,61,22,16,3,3,7,0,59,61,40,22,16,17,0,154,77,63,30,25,29,4,224,95,105,33,16,22,4,275,112,173,56,42,32,0,405,108,184,40,29,24,3,387,110,260,50,39,23,4,484,68,177,29,18,10,0,295,101,239,57,15,14,3,436,35,113,22,5,3,0,188,21,59,11,6,0,0,99,65,134,41,3,11,3,253,53,118,38,8,6,0,224,16,37,9,3,0,0,58,11,23,6,6,0,0,48,41,37,24,11,9,0,118,1071,1817,506,241,223,21,3872
1026,13,3,0,0,3,0,21,7,3,3,0,0,0,7,11,6,0,4,3,0,24,8,4,3,3,4,0,25,14,11,17,10,7,0,62,30,29,16,8,8,0,92,42,69,24,11,3,0,147,47,69,21,13,10,3,150,26,58,16,6,6,0,119,25,57,14,0,0,0,96,17,29,12,5,0,0,57,20,48,14,5,0,0,91,7,11,0,4,0,0,24,4,9,5,3,0,0,17,14,25,0,3,0,0,48,10,20,7,0,0,0,38,8,4,4,0,0,0,16,3,4,0,0,0,0,9,10,15,9,3,0,3,40,300,479,161,75,48,5,1074
1027,78,23,17,3,8,0,123,25,11,7,3,10,0,49,37,24,9,3,12,3,89,23,11,11,3,9,0,59,41,16,18,3,14,0,95,74,55,33,18,21,3,201,67,69,28,23,26,0,224,82,104,48,30,26,0,292,105,165,35,33,33,0,359,128,183,60,42,23,4,437,92,179,46,18,11,0,353,140,243,60,28,22,3,492,58,123,24,5,0,3,214,39,58,13,5,3,0,120,76,156,37,11,6,3,284,57,127,43,11,6,0,247,28,40,9,0,3,0,85,14,27,0,3,0,0,50,56,62,12,9,11,0,152,1231,1672,511,257,238,20,3937
1028,22,8,18,4,7,0,52,3,4,8,0,0,0,15,5,3,3,0,0,0,15,11,3,4,0,3,0,21,8,6,8,5,6,0,31,13,19,16,7,6,0,62,37,23,15,15,12,0,96,34,54,30,10,12,0,138,46,68,19,4,11,0,147,52,92,34,9,3,0,182,37,76,18,10,7,0,145,52,138,43,19,4,0,259,22,58,6,3,3,0,92,9,36,8,0,7,0,63,43,101,29,10,0,0,180,28,77,31,8,3,0,143,10,19,11,0,0,0,41,9,6,0,0,0,0,12,17,24,17,3,5,3,72,459,813,313,104,83,8,1777
1029,42,8,4,4,0,3,69,14,7,3,3,6,0,34,24,13,16,0,4,0,59,17,3,10,0,7,0,33,28,10,9,7,12,0,71,45,39,23,6,17,3,127,55,40,13,25,9,0,139,49,65,27,13,20,0,177,52,72,23,16,3,0,169,44,83,21,11,12,0,163,28,58,11,0,7,0,105,34,75,19,5,3,0,140,10,28,6,3,0,0,52,18,14,0,0,5,0,38,28,34,10,4,4,0,70,24,25,8,3,0,0,64,11,6,4,0,3,3,27,4,3,3,0,0,0,10,21,15,15,9,3,0,54,533,601,225,110,120,11,1599
1030,5139,5822,4397,914,1502,341,18108,951,884,903,129,311,42,3220,1619,1709,1694,301,684,66,6076,1410,1532,1481,282,574,57,5341,2124,2334,2276,504,957,87,8288,2963,3738,3065,712,1455,161,12100,4087,6219,4407,1071,1725,186,17679,4503,7669,4795,1399,1954,217,20536,4649,9048,4347,1328,1716,222,21303,5625,11587,5058,1606,2052,262,26188,4548,9929,3437,1189,1343,202,20640,10537,23578,9376,2500,2920,489,49396,4443,10468,2955,947,931,138,19882,4758,11016,3097,802,764,149,20590,9188,21317,6431,1704,1623,301,40567,16284,40077,11465,2459,2306,506,73100,7057,19280,5531,996,968,224,34059,6580,19557,5152,980,857,210,33333,4085,8568,4634,965,1466,304,20023,100544,214308,84483,20797,26109,4171,450420
1031,53,13,9,3,9,3,91,17,8,3,3,9,0,37,20,10,15,5,4,0,57,25,11,3,3,8,3,58,53,41,20,15,21,0,154,92,78,39,30,29,3,274,98,116,59,34,33,0,347,143,196,58,55,38,0,483,114,212,51,34,15,0,428,106,220,56,40,25,0,449,89,131,31,20,15,4,291,82,192,64,12,4,0,350,27,56,16,4,4,0,108,17,43,14,3,0,0,70,45,75,30,0,4,0,154,36,49,24,0,3,0,113,5,17,8,0,0,0,27,9,17,4,0,0,0,30,35,60,22,5,13,0,135,1068,1553,527,266,228,27,3673
1032,40,15,11,0,5,0,68,13,0,8,0,7,0,30,32,17,13,10,15,0,85,29,13,6,3,6,0,66,57,32,15,13,22,3,142,68,65,38,23,20,0,222,74,106,39,36,25,0,269,103,140,49,23,21,0,337,71,103,32,13,8,3,234,46,101,31,19,15,0,205,33,52,22,0,3,0,113,28,56,26,11,4,0,121,8,26,6,0,0,0,47,7,16,3,0,0,0,29,22,19,9,4,0,0,53,7,28,11,0,0,0,57,3,6,0,0,0,0,15,0,9,3,0,0,0,10,22,36,21,10,4,0,96,674,844,341,168,161,13,2198
1033,31,9,14,0,3,0,53,17,0,3,3,0,0,27,14,5,10,3,0,0,24,20,3,3,4,0,0,25,25,11,13,3,9,0,61,31,28,13,6,8,0,89,33,34,11,7,10,5,101,40,40,20,9,3,0,112,22,55,13,10,4,0,108,37,56,27,12,6,0,137,23,35,12,0,0,0,73,30,64,18,12,3,0,122,10,25,4,0,0,0,37,8,12,3,0,0,0,25,23,27,9,0,0,0,60,22,22,7,3,0,0,52,4,12,7,0,0,0,28,0,8,3,0,0,0,12,26,23,3,3,8,0,61,403,472,188,77,53,7,1200
