SUA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
1010,0,9,10,31,12,9,3,3,3,82,0,0,0,0,0,0,3,3,0,10,0,3,0,3,0,3,0,0,0,19,6,34,36,141,179,232,303,189,94,1213,0,0,4,8,15,9,5,0,0,47,0,0,3,6,6,6,3,3,3,28,0,3,5,19,23,32,52,28,12,176,0,0,0,0,3,3,3,0,0,10,3,0,3,10,0,5,3,0,0,31,9,19,29,274,68,55,36,13,10,510,0,0,0,12,4,3,5,0,3,35,0,7,9,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,10,0,9,4,29,6,15,8,8,0,74,0,3,0,3,5,11,18,15,7,59,0,3,3,24,3,4,3,0,0,42,0,0,6,21,0,0,0,0,0,28,0,0,0,0,0,3,0,0,0,7,6,6,0,19,14,6,12,0,0,66,0,0,0,0,0,6,8,4,0,23
1011,3,6,9,50,12,10,3,0,0,87,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,10,0,3,10,29,31,31,40,15,9,173,0,0,6,13,0,3,0,0,0,21,0,0,0,3,0,0,0,3,0,9,0,0,4,8,4,6,8,4,0,32,0,0,0,0,0,7,3,5,0,14,0,0,0,4,0,4,0,0,0,15,3,17,7,114,14,12,3,5,0,175,0,0,0,6,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,3,0,3,3,3,3,0,0,12,0,0,0,3,0,5,3,3,3,18,0,0,0,5,0,0,0,0,0,3,0,0,3,17,0,0,0,0,0,22,0,0,0,0,4,4,0,0,0,16,0,0,0,4,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1012,0,0,0,11,4,0,3,0,0,25,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,3,0,3,4,19,41,59,124,86,43,380,0,0,0,3,0,3,0,3,0,10,0,0,0,3,0,6,0,0,0,11,0,0,0,3,3,3,21,5,8,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,6,0,21,0,0,0,3,0,0,3,8,3,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,13,0,0,0,0,0,3,7,0,0,13
1013,0,0,0,14,6,0,0,3,3,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,7,5,27,35,34,60,29,15,211,0,0,0,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,0,8,3,7,27,0,0,0,0,0,0,3,3,4,11,0,0,0,0,0,0,0,0,0,4,3,4,0,40,0,3,0,0,0,56,0,0,0,4,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,12,0,0,0,0,0,3,0,3,0,17,0,0,0,3,0,0,0,0,0,4,0,0,5,18,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0
1014,0,0,0,4,8,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,35,31,28,15,145,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,3,4,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,0,4,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
1015,0,4,3,19,4,3,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,7,3,15,17,10,15,4,5,77,0,9,7,27,16,15,5,7,0,80,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,7,3,25,26,254,54,36,10,11,0,431,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,12,0,0,6,3,15,33,126,142,113,446,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,26,38,25,9,114,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,11,10,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1017,0,0,9,17,7,3,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,7,0,5,8,43,62,58,65,31,26,289,0,0,3,3,4,0,0,0,0,12,0,0,0,3,4,3,3,0,0,9,0,0,0,8,11,5,19,3,4,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,3,23,3,4,4,0,0,41,0,0,3,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,3,0,11,0,0,0,7,0,4,6,15,22,68,0,0,3,8,0,4,0,0,0,21,0,0,3,11,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,19,0,0,0,0,0,0,3,0,0,7
1018,0,0,0,9,0,8,5,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,11,22,25,42,27,13,149,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,10,5,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,12,0,0,0,4,0,19,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,7,0,0,0,0,0,4,3,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,3,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
1019,0,0,0,5,9,10,0,3,0,23,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,5,0,0,0,5,0,6,8,42,70,80,103,92,42,441,0,0,0,5,3,4,4,0,0,18,0,0,0,0,3,0,0,0,0,11,0,0,3,4,0,3,6,10,5,34,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,4,0,0,0,6,0,0,4,17,0,0,4,0,7,31,0,0,0,3,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,4,3,3,22,0,0,0,0,0,4,8,3,3,19,0,0,0,0,4,0,0,0,0,8,0,0,0,10,3,3,0,0,0,15,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,3,3,0,14,0,0,0,0,0,3,3,0,0,5
1020,0,0,0,3,3,3,0,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,4,13,23,28,20,23,4,113,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,4,17,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1021,0,0,3,10,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,18,5,6,0,68,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,22,3,3,3,0,0,36,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1022,0,9,3,11,3,0,7,3,0,35,0,0,0,0,0,3,9,8,0,25,0,0,0,0,0,0,4,0,0,9,3,33,21,63,124,126,206,110,40,717,0,0,3,0,3,0,0,3,0,12,0,0,0,3,0,0,3,5,0,11,0,0,0,6,3,17,39,20,3,88,0,0,0,0,5,3,8,3,0,19,0,3,0,4,3,0,0,3,0,12,3,0,0,8,0,0,3,4,0,18,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,8,10,3,3,38,0,0,0,0,0,8,11,5,0,28,0,0,0,9,0,0,0,3,0,14,0,0,3,7,3,0,0,0,0,16,0,0,0,0,5,0,0,0,0,4,0,0,0,10,3,9,0,0,0,19,0,0,0,0,0,6,11,8,0,26
1023,10,32,380,559,172,113,49,24,17,1356,0,0,5,19,31,33,27,33,8,165,0,8,0,12,7,9,22,10,8,79,36,208,193,829,845,909,992,633,295,4943,0,7,11,69,53,34,14,11,0,199,0,3,9,47,24,7,12,3,0,101,0,12,27,117,63,107,476,90,98,987,0,0,3,9,17,39,83,94,38,285,0,16,51,63,27,55,13,6,0,229,22,105,86,621,92,64,62,33,10,1087,0,12,20,86,39,17,14,3,4,192,3,12,5,98,7,7,6,0,0,138,3,16,5,37,4,4,3,0,0,73,3,22,11,105,57,33,34,25,14,302,0,0,5,23,32,78,118,173,86,517,3,3,24,57,26,20,5,4,3,150,7,23,49,174,46,18,4,3,0,324,0,3,3,12,12,4,3,0,3,36,3,16,64,174,83,77,40,21,0,475,0,0,0,3,3,28,36,16,8,97
