SUA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1010,0,0,12,26,33,22,3,4,0,92,0,23,27,85,61,57,13,9,3,282,0,0,0,11,5,12,8,9,10,55,0,6,10,28,37,49,87,57,29,300,0,4,0,10,0,7,0,0,0,26,0,25,23,81,58,35,33,22,3,285,0,0,0,0,3,7,10,10,3,28,0,0,6,8,10,0,0,0,0,27,0,3,22,84,3,0,3,0,0,119,4,24,30,43,24,6,3,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,3,19,10,60,29,33,52,4,6,208,0,0,0,29,6,9,0,0,0,47,0,0,0,9,20,8,11,5,6,68,0,0,5,13,0,12,12,3,0,44,23,169,136,311,173,133,134,56,30,1167,223,434,508,1042,691,800,668,485,322,5165,3806,8677,7546,14943,8898,9925,8051,4609,2031,68486
1011,0,0,0,3,4,8,0,0,0,10,0,30,27,80,35,10,3,3,0,187,0,0,0,3,0,3,0,0,3,10,0,0,5,9,3,14,13,9,0,55,0,3,0,5,3,3,5,0,0,20,0,5,15,24,9,14,4,6,0,74,0,0,0,0,0,0,0,0,0,3,6,15,17,56,24,6,3,0,0,137,0,0,3,13,0,0,0,0,0,20,0,0,0,10,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,18,3,7,6,0,3,44,0,3,3,28,5,0,0,0,0,45,0,0,0,0,0,0,7,0,0,10,0,15,9,29,8,6,7,0,0,74,4,17,8,74,19,31,16,19,5,192,144,234,310,762,377,371,307,192,87,2779,2707,4948,4640,9557,4431,4135,2972,1901,798,36092
1012,0,0,0,0,0,3,0,0,0,7,0,4,8,38,10,13,3,0,0,80,0,0,0,0,0,0,5,8,0,20,0,0,0,3,5,18,36,18,8,99,0,0,0,0,0,0,0,0,0,5,0,3,0,8,7,9,23,9,0,56,0,0,0,0,0,0,3,4,0,10,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,5,3,9,3,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,8,3,3,15,0,0,0,0,0,0,0,3,0,8,0,6,0,29,15,27,53,40,17,192,39,102,122,270,179,257,346,298,155,1759,824,1808,1677,3139,2205,3113,3879,2580,1231,20455
1013,0,0,0,3,4,0,0,0,0,10,3,15,13,53,16,17,8,3,0,129,0,0,0,5,0,3,0,3,0,16,0,0,3,9,11,15,17,17,3,76,0,0,0,0,0,0,3,0,0,9,3,0,3,7,4,3,5,3,0,27,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,0,0,0,0,12,0,0,0,10,0,3,0,0,0,16,0,3,3,18,10,3,0,0,0,36,0,0,0,3,4,0,0,0,0,9,0,0,0,3,3,0,0,0,0,5,0,12,0,14,10,3,0,3,0,48,0,0,0,13,3,0,0,0,0,23,0,0,0,0,3,4,4,0,0,12,0,0,3,7,3,4,0,0,0,23,3,21,23,82,29,27,26,18,11,230,70,125,186,383,210,192,205,165,75,1604,1429,2720,2764,5751,2959,2855,2346,1395,667,22890
1014,0,0,0,4,4,3,0,0,0,10,0,3,3,27,12,18,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,5,3,50,0,0,0,0,0,0,0,0,0,6,0,0,0,10,3,5,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,5,3,0,17,0,0,0,4,0,0,0,0,0,4,0,7,0,3,3,3,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,12,12,6,0,3,3,39,0,0,4,13,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,7,0,0,0,3,0,3,0,0,0,10,0,6,9,23,10,11,19,13,3,93,49,108,135,287,161,199,197,154,71,1368,1117,2363,2121,4075,2256,2445,2138,1435,725,18668
1015,0,3,0,4,0,0,0,0,0,9,3,13,16,73,35,33,8,3,0,197,0,0,0,0,0,0,0,0,0,4,0,0,8,7,0,0,10,3,3,27,0,0,0,0,0,0,0,0,0,3,0,7,15,30,18,5,3,0,0,76,0,0,0,0,0,0,0,0,0,3,0,6,0,13,3,0,0,0,0,28,0,0,31,114,0,0,0,0,0,145,0,0,3,12,6,0,0,0,0,25,0,0,0,3,0,0,0,0,0,3,3,5,7,40,24,8,10,0,0,88,3,0,7,6,4,4,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,0,7,7,10,8,3,0,0,0,42,4,25,53,162,102,77,25,20,4,474,111,211,204,488,208,243,190,159,103,1919,1395,2540,2361,5137,2338,2125,1497,1155,596,19144
1016,0,0,0,7,3,0,0,0,0,11,3,4,5,35,17,12,10,0,0,80,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,7,5,8,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,6,14,0,0,0,0,0,20,5,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,5,9,0,0,21,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,24,16,12,17,14,3,80,66,180,140,300,215,252,189,125,51,1506,921,1970,1756,3198,1784,2009,1713,929,480,14754
1017,0,3,0,17,6,4,0,0,0,33,3,10,10,43,32,27,13,0,0,136,0,0,0,3,0,0,0,3,3,14,0,0,3,6,8,17,9,6,3,61,0,0,0,7,3,0,0,0,0,8,5,4,12,17,11,12,5,3,6,65,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,10,0,0,3,8,3,0,0,0,0,15,0,3,5,11,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,31,12,11,18,5,3,89,0,5,3,18,6,4,0,0,0,41,0,0,0,0,0,3,0,0,0,14,0,0,4,6,3,4,3,0,0,19,4,15,37,76,29,44,28,16,0,264,87,186,334,515,301,352,252,171,122,2318,1561,3508,3740,6636,3711,3831,2753,1703,970,28407
1018,0,0,0,0,4,0,0,0,0,7,0,9,3,17,22,12,4,0,0,73,0,0,0,0,0,4,5,0,3,16,0,3,0,12,3,13,26,8,3,58,0,0,0,4,0,0,0,0,0,4,0,0,0,6,6,0,4,0,0,22,0,0,0,0,0,0,0,0,0,8,0,3,0,4,0,3,3,0,0,14,0,0,0,0,3,0,0,0,0,4,0,0,10,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,6,0,3,0,23,0,0,7,28,7,7,0,0,0,38,0,0,0,0,10,3,4,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,29,18,23,15,22,3,112,61,102,109,257,142,163,185,119,49,1191,760,1384,1471,2936,1595,1735,1594,965,381,12818
1019,0,0,3,16,10,13,7,3,0,50,0,4,13,34,25,16,7,0,0,101,0,0,0,3,0,3,3,3,0,15,0,0,0,9,10,19,29,22,7,100,0,0,3,0,0,3,0,3,0,8,0,4,25,20,31,20,12,16,0,130,0,0,0,0,0,3,8,0,0,14,0,0,0,4,3,3,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,3,0,0,0,33,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,7,17,25,16,8,14,4,0,85,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,3,3,3,3,16,0,0,3,14,0,3,5,0,0,22,0,15,21,63,61,46,53,54,26,340,46,80,112,249,158,223,237,158,73,1340,1274,2716,2807,4818,2985,3198,2975,1988,919,23679
1020,0,0,0,0,0,0,0,0,0,0,0,3,6,24,8,14,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,5,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,0,16,5,3,7,0,0,41,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,17,0,0,0,5,6,0,0,0,0,17,0,0,0,0,0,0,3,3,0,9,0,0,0,11,0,3,0,0,0,12,0,5,3,13,13,15,9,9,5,78,68,124,118,293,170,166,126,91,21,1177,966,1625,1293,3048,1509,1258,1034,690,304,11728
1021,0,0,0,3,0,0,0,0,0,8,0,21,7,46,17,7,4,0,0,104,0,0,0,0,0,3,0,0,0,3,0,0,0,3,5,6,9,4,0,27,0,0,0,0,0,0,0,0,0,5,0,9,11,9,14,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,3,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,7,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,3,3,0,0,0,17,0,0,0,6,0,3,0,0,0,14,0,0,0,0,5,3,5,0,0,12,0,0,8,10,5,3,0,0,0,29,0,14,8,38,23,10,8,3,4,104,50,95,74,228,119,111,81,43,15,816,988,1778,1482,3401,1663,1307,876,439,138,12075
1022,0,0,0,6,5,3,4,0,0,18,0,18,5,31,17,21,5,3,0,102,0,0,0,5,0,6,4,8,3,27,0,9,4,8,23,28,55,48,13,187,0,0,0,3,3,0,0,0,0,12,0,12,20,45,27,21,33,13,0,169,0,0,0,0,0,3,4,0,0,10,0,0,0,4,3,0,3,0,0,8,0,0,0,4,0,0,0,0,0,7,3,6,10,20,6,8,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,6,0,0,0,14,7,11,15,24,14,12,19,3,0,102,0,0,0,13,3,0,0,3,0,19,3,3,0,4,16,7,22,4,0,64,0,0,0,4,4,0,9,0,0,16,3,9,10,68,38,60,66,37,8,304,54,131,149,315,265,286,437,358,236,2230,1138,2952,2613,4764,3412,3870,4474,2530,1002,26748
1023,0,7,22,91,65,52,14,0,0,254,32,150,166,766,387,319,126,31,10,1985,0,3,3,92,48,84,109,93,115,556,3,68,33,243,236,377,470,265,109,1805,4,16,90,68,43,27,18,12,0,275,13,88,185,463,278,177,84,44,9,1346,0,0,0,16,55,66,70,67,24,293,6,30,38,186,68,45,29,16,0,420,3,12,35,155,9,4,0,3,0,227,26,58,97,335,101,47,8,3,0,679,0,0,9,60,151,247,248,177,46,935,0,0,7,27,20,15,4,0,0,73,30,140,149,433,189,163,91,32,7,1228,15,40,89,274,93,62,13,4,6,596,0,15,18,82,112,82,92,55,26,483,0,28,88,174,41,49,5,0,0,384,89,337,500,1758,686,594,658,351,224,5192,987,1840,2365,5809,3287,3328,3032,2054,1168,23874,29356,57143,59798,119239,59743,57093,44652,24621,11417,463052
