SUA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
1010,3,3,5,28,29,19,14,17,3,0,0,0,3,3,0,130,0,0,8,0,3,19,19,27,6,8,0,4,13,3,6,123,0,4,4,9,0,0,3,0,0,0,0,0,0,0,0,18,0,9,10,4,0,3,5,9,0,3,6,0,4,0,3,51,0,0,7,13,12,11,23,5,0,3,0,5,0,0,0,78,0,86,76,33,40,35,32,12,3,3,0,5,3,3,11,338,0,3,8,4,3,0,0,0,0,0,0,0,0,0,0,21,0,0,4,11,8,8,0,0,0,0,0,6,9,3,5,62,0,21,22,73,53,100,84,341,12,35,82,78,38,31,47,1032,0,4,3,0,9,3,3,4,0,3,3,3,0,0,0,43,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,40,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,0,7,8,22,7,17,29,41
1011,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,18,0,0,3,0,4,19,19,63,6,7,14,3,5,3,8,160,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,6,11,0,0,0,0,0,4,26,0,0,0,0,4,6,8,14,3,0,0,0,0,0,0,44,0,11,4,9,5,3,3,3,0,0,0,5,3,0,0,47,0,3,8,7,3,0,0,0,0,0,0,0,0,0,3,30,0,3,0,0,3,5,7,0,0,0,0,0,0,0,0,23,0,0,4,6,4,7,28,144,14,32,29,26,38,14,12,357,0,0,3,0,0,0,5,9,3,0,0,3,0,0,0,25,0,0,0,0,0,0,0,3,0,4,7,3,0,4,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,4,0,6,6,10
1012,0,0,0,3,0,0,11,3,0,0,0,0,0,0,0,22,0,3,0,0,0,3,11,10,3,0,4,0,0,3,4,43,0,0,4,4,6,0,0,0,0,0,0,0,0,0,3,17,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,19,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,34,29,8,4,0,9,0,3,0,0,0,0,0,3,89,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,0,3,11,0,3,0,3,0,0,4,40,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,3,7,0,0
1013,0,0,0,0,0,4,6,3,0,0,0,0,0,0,3,20,0,3,0,0,0,8,15,20,4,0,3,3,9,0,3,62,0,0,7,3,0,0,0,0,0,0,0,0,0,0,4,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,10,3,3,0,0,3,0,0,0,3,30,0,9,12,17,3,5,7,0,0,0,0,0,0,0,5,59,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,11,0,0,0,5,0,3,3,50,0,10,9,19,25,6,0,132,0,0,0,0,3,3,5,0,3,3,0,0,0,0,4,22,0,0,0,0,0,0,0,7,0,0,0,0,4,0,8,20,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,11,0,0,0,9,0,4,0,4
1014,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,3,5,0,4,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,15,0,12,8,3,4,3,0,3,0,0,0,0,0,0,0,30,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,18,3,0,3,0,0,0,0,44,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,14,18,7,0,0,3,0,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,4,33,40,39,0,9,19,6,3,0,8,165,0,0,4,6,0,3,3,7,0,3,0,0,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,3,16,0,0,0,3,15,45,181,331,34,54,71,41,44,36,48,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3
1016,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,4,0,3,3,0,0,0,3,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,14,0,9,9,5,6,6,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,7,0,10,9,3,0,0,3,38,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1017,0,0,0,4,10,3,6,10,3,0,0,0,0,0,0,38,0,0,3,0,0,3,14,10,0,0,3,4,8,3,0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,12,0,5,0,0,0,6,3,0,0,4,0,0,0,0,0,15,0,17,14,3,29,23,8,4,0,0,0,0,3,0,3,105,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,14,0,0,6,7,5,4,8,35,6,7,0,3,6,4,0,89,0,3,0,0,4,5,10,6,0,0,0,0,0,7,0,32,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,10,0,3
1018,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,13,0,0,0,0,3,6,4,15,0,4,0,0,0,0,14,46,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,7,19,0,17,7,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,3,3,0,0,0,0,0,0,0,11,16,0,0,0,5,0,0,8,17,0,3,0,3,4,0,0,44,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,11,0,0,0,4,3,4,3,0
1019,0,0,0,11,3,3,11,0,0,0,0,7,3,0,0,42,0,4,3,0,0,7,5,3,0,3,0,0,0,0,0,41,0,0,6,8,0,3,0,0,0,0,0,0,0,0,0,20,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,7,0,6,0,7,6,14,6,7,0,0,0,0,0,0,3,42,3,28,21,9,0,3,5,0,0,0,0,0,0,0,7,76,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,12,0,5,0,12,3,5,3,12,10,0,0,0,0,0,3,64,0,3,3,0,0,3,4,0,0,3,0,0,0,0,0,19,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,7,4,3,8
1020,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,5,0,5,3,0,0,0,4,21,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,8,0,10,4,5,3,0,0,0,0,0,0,0,0,0,0,22,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,19,0,0,0,0,0,0,4,36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,6
1021,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,14,0,0,3,0,4,0,4,12,0,7,0,0,0,0,14,50,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,13,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,12,0,0,0,3,3,0,3,24,3,14,10,3,5,3,7,77,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,7
1022,0,0,4,13,11,9,17,12,7,3,0,3,3,0,0,80,0,3,0,0,3,0,4,19,0,0,0,3,0,6,6,40,0,0,28,17,3,0,0,0,0,0,0,0,0,0,0,53,0,5,3,5,0,0,0,0,0,0,0,0,0,0,3,24,0,0,7,0,4,4,0,0,0,0,0,4,0,0,0,22,3,54,50,11,18,15,6,8,0,0,0,0,6,0,6,175,0,8,18,12,3,0,3,0,0,0,0,0,0,0,0,44,0,0,0,0,6,7,0,3,0,0,0,0,0,0,5,26,0,3,3,7,0,0,0,8,0,3,0,3,7,9,4,49,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,30,0,11,14,6
