region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA13660,56,48,104,178,169,347,37,26,63,0,0,0,215,195,410,131,122,253,6,7,13,10,8,18,147,137,284,0,7,7,0,4,4,17,5,22,11,27,38,0,0,0,28,43,71,8,9,17,6,3,9,4,5,9,4,15,19,0,3,3,22,35,57,0,3,3,3,10,13,0,0,0,3,13,16,130,114,244,601,585,1186
LGA13700,32,34,66,92,104,196,51,50,101,0,0,0,143,154,297,83,79,162,40,21,61,3,4,7,126,104,230,3,0,3,4,0,4,12,5,17,13,28,41,0,0,0,32,33,65,5,7,12,3,3,6,3,3,6,3,15,18,0,0,0,14,28,42,0,0,0,3,3,6,0,0,0,3,3,6,98,106,204,448,462,910
LGA13800,702,619,1321,2120,1930,4050,446,497,943,356,352,708,2922,2779,5701,1374,1311,2685,602,547,1149,402,451,853,2378,2309,4687,121,169,290,44,107,151,475,238,713,234,387,621,15,6,21,889,907,1796,320,542,862,67,167,234,55,98,153,164,317,481,11,3,14,617,1127,1744,28,38,66,80,188,268,0,4,4,108,230,338,2038,1913,3951,9654,9884,19538
LGA13850,29,25,54,96,102,198,47,38,85,0,3,3,143,143,286,90,87,177,5,0,5,0,4,4,95,91,186,0,4,4,0,3,3,11,12,23,9,35,44,0,0,0,20,54,74,3,14,17,0,0,0,0,4,4,6,4,10,0,0,0,9,22,31,0,3,3,8,3,11,0,0,0,8,6,14,107,80,187,411,421,832
LGA13950,863,843,1706,2521,2317,4838,1212,1302,2514,207,189,396,3940,3808,7748,1756,1680,3436,1126,1136,2262,201,164,365,3083,2980,6063,336,251,587,191,318,509,403,188,591,410,509,919,26,25,51,1366,1291,2657,1005,1199,2204,301,349,650,143,168,311,446,465,911,25,27,52,1920,2208,4128,152,181,333,225,316,541,20,8,28,397,505,902,4004,3894,7898,15573,15529,31102
LGA14000,1668,1547,3215,5118,4985,10103,1009,982,1991,805,675,1480,6932,6642,13574,4111,3996,8107,1086,1167,2253,1278,1098,2376,6475,6261,12736,297,270,567,174,326,500,616,290,906,512,916,1428,16,15,31,1615,1817,3432,2775,3045,5820,582,666,1248,325,344,669,1001,1269,2270,25,28,53,4708,5352,10060,114,138,252,296,509,805,11,14,25,421,661,1082,2917,2999,5916,24736,25279,50015
LGA14100,134,132,266,283,275,558,171,149,320,84,90,174,538,514,1052,66,72,138,738,192,930,159,161,320,963,425,1388,16,10,26,5,14,19,23,5,28,24,45,69,3,0,3,71,74,145,175,223,398,34,53,87,22,27,49,76,94,170,0,6,6,307,403,710,4,4,8,23,43,66,0,0,0,27,47,74,344,359,703,2384,1954,4338
LGA14150,634,575,1209,2184,1862,4046,572,578,1150,234,280,514,2990,2720,5710,1554,1594,3148,659,520,1179,315,349,664,2528,2463,4991,239,194,433,127,224,351,288,115,403,248,413,661,13,7,20,915,953,1868,1315,1467,2782,390,380,770,120,143,263,353,388,741,22,21,43,2200,2399,4599,126,134,260,140,280,420,3,10,13,269,424,693,2214,2285,4499,11750,11819,23569
LGA14200,147,165,312,561,513,1074,172,121,293,30,28,58,763,662,1425,449,485,934,84,72,156,29,30,59,562,587,1149,25,32,57,15,34,49,63,33,96,87,129,216,3,3,6,193,231,424,25,25,50,11,17,28,9,19,28,27,86,113,0,6,6,72,153,225,3,9,12,4,26,30,3,3,6,10,38,48,543,581,1124,2290,2417,4707
LGA14250,18,11,29,30,30,60,32,34,66,0,0,0,62,64,126,59,29,88,0,3,3,3,3,6,62,35,97,3,0,3,0,0,0,3,5,8,9,4,13,0,0,0,15,9,24,9,8,17,0,3,3,3,3,6,3,3,6,0,0,0,15,17,32,0,0,0,3,0,3,0,0,0,3,0,3,64,55,119,239,191,430
LGA14300,55,54,109,181,146,327,61,51,112,10,12,22,252,209,461,129,112,241,27,30,57,22,31,53,178,173,351,4,6,10,3,7,10,29,11,40,20,41,61,0,0,0,56,65,121,17,27,44,3,13,16,7,5,12,13,27,40,3,0,3,43,72,115,0,5,5,4,14,18,3,0,3,7,19,26,939,172,1111,1530,764,2294
LGA14350,271,268,539,876,809,1685,214,201,415,97,78,175,1187,1088,2275,636,659,1295,219,211,430,103,82,185,958,952,1910,28,52,80,40,67,107,82,68,150,79,166,245,3,4,7,232,357,589,15,53,68,13,39,52,10,15,25,30,89,119,0,0,0,68,196,264,3,23,26,22,67,89,0,3,3,25,93,118,1477,1076,2553,4218,4030,8248
LGA14400,226,178,404,610,594,1204,149,129,278,67,50,117,826,773,1599,582,551,1133,71,89,160,80,67,147,733,707,1440,39,28,67,9,17,26,131,60,191,72,110,182,6,0,6,257,215,472,171,187,358,32,68,100,24,31,55,61,154,215,3,0,3,291,440,731,6,16,22,29,60,89,0,3,3,35,79,114,468,440,908,2836,2832,5668
LGA14450,441,460,901,1409,1254,2663,475,490,965,214,210,424,2098,1954,4052,1064,988,2052,512,417,929,361,386,747,1937,1791,3728,160,163,323,87,158,245,192,87,279,179,292,471,20,7,27,638,707,1345,989,1129,2118,299,316,615,115,93,208,297,357,654,11,14,25,1711,1909,3620,93,76,169,113,203,316,3,4,7,209,283,492,1462,1525,2987,8496,8629,17125
LGA14500,1180,1029,2209,3419,3191,6610,710,680,1390,1461,1424,2885,5590,5295,10885,1749,1454,3203,718,903,1621,2715,2903,5618,5182,5260,10442,138,129,267,66,127,193,220,140,360,200,439,639,9,10,19,633,845,1478,2217,2518,4735,312,332,644,241,233,474,633,848,1481,17,22,39,3420,3953,7373,68,65,133,166,365,531,5,4,9,239,434,673,2283,2462,4745,18527,19278,37805
LGA14550,76,80,156,284,249,533,80,72,152,20,36,56,384,357,741,251,256,507,55,85,140,18,18,36,324,359,683,5,14,19,12,15,27,27,23,50,30,75,105,3,3,6,77,130,207,4,17,21,6,19,25,4,4,8,18,50,68,0,0,0,32,90,122,6,4,10,12,18,30,0,0,0,18,22,40,339,317,656,1250,1355,2605
LGA14600,78,67,145,192,225,417,70,88,158,11,5,16,273,318,591,175,164,339,5,5,10,13,18,31,193,187,380,3,7,10,4,7,11,16,15,31,21,34,55,3,0,3,47,63,110,0,16,16,3,5,8,3,6,9,3,16,19,0,0,0,9,43,52,0,0,0,4,6,10,0,0,0,4,6,10,235,209,444,839,893,1732
LGA14650,1834,1692,3526,5855,5518,11373,1153,1050,2203,883,850,1733,7891,7418,15309,4468,4343,8811,936,968,1904,961,1011,1972,6365,6322,12687,284,337,621,119,261,380,1053,493,1546,690,958,1648,28,22,50,2174,2071,4245,1231,1674,2905,366,559,925,225,316,541,627,1116,1743,10,13,23,2459,3678,6137,67,122,189,245,443,688,10,7,17,322,572,894,4924,5031,9955,25969,26784,52753
LGA14700,336,329,665,845,797,1642,354,276,630,142,160,302,1341,1233,2574,262,297,559,548,326,874,334,299,633,1144,922,2066,46,36,82,29,54,83,57,51,108,82,194,276,5,4,9,219,339,558,491,483,974,129,170,299,67,73,140,292,344,636,4,13,17,983,1083,2066,30,18,48,68,141,209,0,3,3,98,162,260,685,744,1429,4806,4812,9618
LGA14750,95,90,185,317,320,637,198,165,363,12,11,23,527,496,1023,350,353,703,269,270,539,12,17,29,631,640,1271,6,16,22,5,16,21,56,28,84,39,84,123,8,0,8,114,144,258,15,32,47,5,3,8,4,8,12,29,41,70,0,0,0,53,84,137,4,7,11,5,13,18,0,0,0,9,20,29,438,498,936,1867,1972,3839
LGA14800,489,465,954,1080,1049,2129,307,328,635,229,224,453,1616,1601,3217,336,311,647,189,275,464,299,274,573,824,860,1684,61,68,129,72,108,180,88,47,135,207,283,490,0,5,5,428,511,939,492,613,1105,260,390,650,97,84,181,499,789,1288,3,3,6,1351,1879,3230,29,38,67,119,215,334,3,4,7,151,257,408,1688,1612,3300,6547,7185,13732
LGA14850,420,358,778,1258,1186,2444,399,418,817,221,180,401,1878,1784,3662,940,934,1874,501,567,1068,106,113,219,1547,1614,3161,71,72,143,62,148,210,168,128,296,197,308,505,4,7,11,502,663,1165,366,494,860,198,293,491,53,73,126,202,371,573,3,3,6,822,1234,2056,25,33,58,67,124,191,0,7,7,92,164,256,1231,1154,2385,6492,6971,13463
LGA14870,185,182,367,579,506,1085,206,175,381,23,24,47,808,705,1513,443,413,856,141,171,312,32,35,67,616,619,1235,27,42,69,18,30,48,116,72,188,93,123,216,6,0,6,260,267,527,29,59,88,13,26,39,16,25,41,47,84,131,0,0,0,105,194,299,3,8,11,18,47,65,0,0,0,21,55,76,1086,745,1831,3081,2767,5848
LGA14900,1655,1519,3174,5670,5205,10875,1902,1834,3736,1193,1231,2424,8765,8270,17035,4373,4199,8572,1820,1780,3600,991,999,1990,7184,6978,14162,544,555,1099,256,547,803,746,328,1074,757,893,1650,37,40,77,2340,2363,4703,1634,2310,3944,301,451,752,232,344,576,532,755,1287,28,35,63,2727,3895,6622,195,257,452,228,486,714,19,20,39,442,763,1205,7547,7548,15095,30660,31336,61996
LGA14920,79,75,154,287,281,568,22,22,44,7,12,19,316,315,631,188,170,358,10,14,24,30,31,61,228,215,443,14,9,23,7,13,20,33,14,47,17,63,80,0,0,0,71,99,170,9,24,33,4,8,12,3,8,11,7,25,32,0,0,0,23,65,88,4,3,7,4,14,18,0,0,0,8,17,25,303,275,578,1028,1061,2089
LGA14950,31,31,62,93,84,177,43,41,84,12,9,21,148,134,282,47,56,103,17,18,35,27,27,54,91,101,192,4,7,11,0,3,3,15,9,24,6,29,35,0,3,3,25,51,76,6,13,19,0,3,3,0,0,0,4,16,20,0,0,0,10,32,42,0,0,0,3,15,18,0,0,0,3,15,18,95,80,175,403,444,847
LGA15050,732,755,1487,2191,2001,4192,696,701,1397,380,314,694,3267,3016,6283,1467,1527,2994,545,631,1176,285,276,561,2297,2434,4731,135,157,292,44,97,141,444,208,652,281,366,647,5,11,16,909,839,1748,322,528,850,85,188,273,88,119,207,236,391,627,5,4,9,736,1230,1966,45,40,85,73,179,252,3,3,6,121,222,343,1990,1950,3940,10052,10446,20498
LGA15150,453,448,901,1059,1088,2147,230,260,490,236,217,453,1525,1565,3090,340,334,674,344,338,682,395,355,750,1079,1027,2106,62,40,102,49,78,127,62,56,118,159,218,377,4,0,4,336,392,728,465,477,942,147,171,318,73,61,134,248,327,575,0,6,6,933,1042,1975,41,49,90,87,167,254,3,4,7,131,220,351,1395,1302,2697,5852,5996,11848
LGA15200,548,484,1032,1553,1461,3014,397,356,753,139,128,267,2089,1945,4034,807,808,1615,329,368,697,248,156,404,1384,1332,2716,170,188,358,186,236,422,151,138,289,393,506,899,15,13,28,915,1081,1996,955,1177,2132,651,720,1371,111,180,291,776,1236,2012,15,11,26,2508,3324,5832,139,107,246,192,312,504,6,4,10,337,423,760,3359,2901,6260,11140,11490,22630
LGA15270,195,213,408,726,657,1383,220,181,401,15,8,23,961,846,1807,685,669,1354,52,67,119,12,18,30,749,754,1503,24,22,46,13,16,29,113,76,189,84,213,297,3,10,13,237,337,574,20,59,79,5,21,26,13,16,29,56,113,169,0,0,0,94,209,303,14,12,26,18,55,73,3,3,6,35,70,105,993,761,1754,3264,3190,6454
LGA15300,160,140,300,447,430,877,177,158,335,27,24,51,651,612,1263,264,263,527,73,59,132,40,39,79,377,361,738,10,13,23,8,28,36,50,32,82,33,86,119,5,0,5,106,159,265,19,24,43,5,8,13,5,13,18,37,65,102,0,0,0,66,110,176,4,11,15,13,28,41,0,0,0,17,39,56,740,666,1406,2117,2087,4204
LGA15350,283,242,525,515,480,995,180,232,412,435,338,773,1130,1050,2180,116,143,259,208,179,387,542,528,1070,866,850,1716,22,24,46,16,41,57,28,22,50,37,94,131,4,0,4,107,181,288,346,401,747,82,116,198,46,45,91,186,298,484,3,0,3,663,860,1523,20,29,49,60,108,168,3,3,6,83,140,223,1073,1092,2165,4205,4415,8620
LGA15500,57,36,93,196,170,366,27,37,64,47,46,93,270,253,523,78,72,150,51,67,118,81,72,153,210,211,421,9,8,17,4,6,10,35,10,45,7,28,35,0,3,3,55,55,110,14,18,32,0,12,12,0,4,4,10,28,38,0,0,0,24,62,86,0,0,0,5,17,22,4,0,4,9,17,26,230,215,445,855,849,1704
LGA15550,31,21,52,94,62,156,27,21,48,7,0,7,128,83,211,61,42,103,4,6,10,3,5,8,68,53,121,0,5,5,0,0,0,8,6,14,7,14,21,0,0,0,15,25,40,3,5,8,3,0,3,0,3,3,3,6,9,0,0,0,9,14,23,0,3,3,4,0,4,0,0,0,4,3,7,94,97,191,349,296,645
LGA15650,180,155,335,521,484,1005,154,165,319,54,52,106,729,701,1430,339,295,634,163,184,347,34,41,75,536,520,1056,14,15,29,0,12,12,97,66,163,59,93,152,0,4,4,170,190,360,16,49,65,3,17,20,3,18,21,31,60,91,0,0,0,53,144,197,3,7,10,18,35,53,0,0,0,21,42,63,918,615,1533,2607,2367,4974
LGA15700,174,171,345,501,469,970,168,160,328,57,45,102,726,674,1400,518,481,999,30,30,60,79,51,130,627,562,1189,21,34,55,16,49,65,76,45,121,91,190,281,4,0,4,208,318,526,22,39,61,17,32,49,3,7,10,23,74,97,0,3,3,65,155,220,11,19,30,17,37,54,3,0,3,31,56,87,602,666,1268,2433,2602,5035
LGA15750,140,115,255,397,369,766,162,171,333,27,25,52,586,565,1151,366,349,715,15,23,38,14,35,49,395,407,802,10,19,29,6,19,25,32,39,71,52,112,164,0,0,0,100,189,289,10,36,46,5,12,17,6,14,20,21,61,82,3,0,3,45,123,168,0,3,3,6,33,39,0,0,0,6,36,42,517,494,1011,1789,1929,3718
LGA15800,67,70,137,138,143,281,74,87,161,5,0,5,217,230,447,154,139,293,51,60,111,9,3,12,214,202,416,7,6,13,3,15,18,22,16,38,30,45,75,0,0,0,62,82,144,5,16,21,0,10,10,0,7,7,6,16,22,0,0,0,11,49,60,4,3,7,6,16,22,0,0,0,10,19,29,256,274,530,837,926,1763
LGA15850,72,60,132,215,206,421,112,112,224,37,29,66,364,347,711,161,134,295,23,39,62,23,24,47,207,197,404,8,11,19,4,7,11,15,22,37,20,44,64,0,0,0,47,84,131,8,20,28,3,11,14,3,3,6,9,19,28,0,3,3,23,56,79,3,5,8,8,15,23,0,0,0,11,20,31,204,239,443,928,1003,1931
LGA15900,1358,1184,2542,3963,3713,7676,1031,1031,2062,532,443,975,5526,5187,10713,2697,2500,5197,785,810,1595,560,542,1102,4042,3852,7894,300,318,618,180,275,455,607,379,986,676,862,1538,23,23,46,1786,1857,3643,2572,3140,5712,1020,1065,2085,307,392,699,973,1381,2354,17,18,35,4889,5996,10885,92,127,219,212,385,597,6,6,12,310,518,828,4725,4510,9235,22636,23104,45740
LGA15950,371,413,784,860,812,1672,148,158,306,202,173,375,1210,1143,2353,228,299,527,245,185,430,448,340,788,921,824,1745,62,59,121,87,148,235,78,70,148,233,352,585,3,3,6,463,632,1095,586,764,1350,313,435,748,121,143,264,809,958,1767,4,15,19,1833,2315,4148,66,89,155,194,324,518,3,6,9,263,419,682,2759,2741,5500,7820,8487,16307
LGA16100,47,51,98,147,121,268,61,56,117,8,10,18,216,187,403,114,104,218,54,41,95,24,17,41,192,162,354,7,7,14,3,8,11,18,9,27,19,25,44,0,0,0,47,49,96,4,23,27,3,9,12,3,7,10,10,14,24,0,0,0,20,53,73,3,0,3,3,9,12,0,0,0,6,9,15,274,154,428,802,665,1467
LGA16150,405,360,765,1132,1030,2162,326,326,652,214,210,424,1672,1566,3238,721,701,1422,305,357,662,317,377,694,1343,1435,2778,76,67,143,30,65,95,184,134,318,171,302,473,7,11,18,468,579,1047,141,256,397,65,75,140,28,62,90,162,268,430,3,4,7,399,665,1064,15,21,36,54,84,138,3,0,3,72,105,177,1397,1311,2708,5756,6021,11777
LGA16180,148,121,269,458,501,959,167,142,309,57,51,108,682,694,1376,350,306,656,157,155,312,60,60,120,567,521,1088,21,19,40,3,5,8,74,18,92,56,71,127,0,3,3,154,116,270,54,100,154,13,39,52,7,13,20,67,146,213,0,0,0,141,298,439,5,9,14,26,44,70,0,0,0,31,53,84,514,462,976,2237,2265,4502
LGA16200,156,125,281,484,444,928,151,143,294,41,36,77,676,623,1299,357,376,733,120,148,268,33,37,70,510,561,1071,18,22,40,12,23,35,84,35,119,50,130,180,0,4,4,164,214,378,13,47,60,3,14,17,14,14,28,30,70,100,0,0,0,60,145,205,7,9,16,7,19,26,0,4,4,14,32,46,643,636,1279,2223,2336,4559
LGA16250,1402,1311,2713,4240,3839,8079,1502,1421,2923,398,412,810,6140,5672,11812,3048,2905,5953,1395,1383,2778,460,459,919,4903,4747,9650,426,397,823,325,590,915,553,303,856,736,1004,1740,28,30,58,2068,2324,4392,2361,2528,4889,931,921,1852,305,295,600,965,1019,1984,44,36,80,4606,4799,9405,349,430,779,419,619,1038,19,25,44,787,1074,1861,6944,6224,13168,26850,26151,53001
LGA16350,1917,1747,3664,5500,5179,10679,1774,1771,3545,891,777,1668,8165,7727,15892,3595,3621,7216,1989,2072,4061,777,738,1515,6361,6431,12792,356,446,802,168,379,547,1085,571,1656,707,1020,1727,30,33,63,2346,2449,4795,1112,1614,2726,333,465,798,198,311,509,498,875,1373,12,14,26,2153,3279,5432,96,165,261,245,538,783,3,8,11,344,711,1055,5928,5754,11682,27214,28098,55312
LGA16370,640,658,1298,1850,1680,3530,343,338,681,443,373,816,2636,2391,5027,956,926,1882,447,516,963,623,499,1122,2026,1941,3967,89,87,176,29,54,83,285,106,391,191,305,496,0,6,6,594,558,1152,461,621,1082,70,100,170,63,85,148,191,375,566,3,6,9,788,1187,1975,27,41,68,98,195,293,0,11,11,125,247,372,1536,1548,3084,8345,8530,16875
LGA16380,679,636,1315,1755,1655,3410,846,830,1676,299,285,584,2900,2770,5670,1240,1186,2426,946,1023,1969,207,227,434,2393,2436,4829,126,154,280,66,195,261,294,158,452,289,445,734,13,5,18,788,957,1745,82,229,311,60,126,186,29,65,94,179,372,551,3,0,3,353,792,1145,25,51,76,85,196,281,3,6,9,113,253,366,2201,2246,4447,9427,10090,19517
LGA16400,667,642,1309,2082,1965,4047,382,369,751,319,291,610,2783,2625,5408,1493,1496,2989,275,306,581,355,334,689,2123,2136,4259,85,121,206,35,99,134,302,148,450,211,375,586,12,0,12,645,743,1388,246,352,598,60,143,203,48,89,137,173,315,488,3,4,7,530,903,1433,31,42,73,64,201,265,4,6,10,99,249,348,2250,2240,4490,9097,9538,18635
LGA16470,280,277,557,1122,1119,2241,424,372,796,87,91,178,1633,1582,3215,682,708,1390,453,466,919,137,138,275,1272,1312,2584,59,64,123,27,46,73,226,124,350,203,302,505,4,7,11,519,543,1062,192,266,458,121,112,233,44,63,107,281,413,694,3,0,3,641,854,1495,28,20,48,66,139,205,0,3,3,94,162,256,1290,1053,2343,5729,5783,11512
LGA16550,1048,962,2010,1999,1927,3926,1140,1056,2196,800,739,1539,3939,3722,7661,868,881,1749,1188,1086,2274,773,840,1613,2829,2807,5636,242,222,464,199,262,461,291,157,448,453,638,1091,19,18,37,1204,1297,2501,4436,4470,8906,1379,1179,2558,224,264,488,920,1182,2102,31,36,67,6990,7131,14121,194,222,416,255,475,730,4,8,12,453,705,1158,6729,5188,11917,23192,21812,45004
LGA16610,207,199,406,560,571,1131,349,321,670,48,68,116,957,960,1917,493,453,946,238,263,501,47,37,84,778,753,1531,22,40,62,24,58,82,74,49,123,83,135,218,5,3,8,208,285,493,42,81,123,17,42,59,10,23,33,23,95,118,0,4,4,92,245,337,7,19,26,22,51,73,0,3,3,29,73,102,779,764,1543,3050,3279,6329
LGA16650,734,674,1408,2206,2072,4278,780,738,1518,354,325,679,3340,3135,6475,1573,1599,3172,705,678,1383,328,264,592,2606,2541,5147,261,218,479,245,301,546,303,159,462,412,519,931,18,15,33,1239,1212,2451,1247,1356,2603,597,476,1073,132,137,269,462,512,974,31,26,57,2469,2507,4976,250,231,481,234,314,548,11,8,19,495,553,1048,3977,3739,7716,14860,14361,29221
LGA16700,950,780,1730,2358,2115,4473,997,1036,2033,327,276,603,3682,3427,7109,1555,1349,2904,1004,854,1858,338,407,745,2897,2610,5507,216,194,410,195,305,500,297,155,452,414,595,1009,16,12,28,1138,1261,2399,2569,3117,5686,809,802,1611,209,241,450,676,844,1520,27,35,62,4290,5039,9329,134,148,282,217,349,566,5,8,13,356,505,861,2874,2839,5713,16187,16461,32648
LGA16900,750,705,1455,2271,2152,4423,469,511,980,216,209,425,2956,2872,5828,1708,1640,3348,565,588,1153,194,185,379,2467,2413,4880,129,154,283,39,136,175,404,223,627,227,347,574,9,13,22,808,873,1681,289,458,747,57,147,204,65,73,138,133,264,397,3,3,6,547,945,1492,23,38,61,67,177,244,3,7,10,93,222,315,1747,1749,3496,9368,9779,19147
LGA16950,899,829,1728,2811,2709,5520,312,249,561,379,360,739,3502,3318,6820,2141,2159,4300,386,444,830,434,448,882,2961,3051,6012,135,123,258,59,138,197,416,244,660,365,626,991,16,24,40,991,1155,2146,202,318,520,86,192,278,48,64,112,203,473,676,6,8,14,545,1055,1600,43,62,105,109,252,361,7,0,7,159,314,473,3890,3469,7359,12947,13191,26138
LGA17000,264,225,489,768,758,1526,243,250,493,88,68,156,1099,1076,2175,550,511,1061,212,245,457,86,114,200,848,870,1718,31,17,48,10,20,30,187,118,305,96,181,277,4,4,8,328,340,668,49,87,136,10,33,43,14,24,38,62,104,166,3,0,3,138,248,386,15,7,22,27,67,94,0,0,0,42,74,116,732,615,1347,3451,3448,6899
LGA17050,81,61,142,228,207,435,20,20,40,42,26,68,290,253,543,164,147,311,43,18,61,77,62,139,284,227,511,8,3,11,6,3,9,28,22,50,54,84,138,0,0,0,96,112,208,6,21,27,5,16,21,4,7,11,26,59,85,0,0,0,41,103,144,13,11,24,6,19,25,3,0,3,22,30,52,588,430,1018,1402,1216,2618
LGA17100,219,198,417,660,631,1291,289,262,551,210,182,392,1159,1075,2234,675,615,1290,310,268,578,309,292,601,1294,1175,2469,111,68,179,120,138,258,85,35,120,101,191,292,3,8,11,420,440,860,860,843,1703,272,205,477,97,81,178,225,197,422,11,11,22,1465,1337,2802,100,95,195,82,142,224,4,3,7,186,240,426,1555,1444,2999,6298,5909,12207
LGA17150,2303,2144,4447,6303,5985,12288,2081,2021,4102,550,513,1063,8934,8519,17453,4463,4306,8769,1862,1872,3734,804,785,1589,7129,6963,14092,344,363,707,128,249,377,1324,524,1848,735,1105,1840,28,28,56,2559,2269,4828,2123,2751,4874,342,557,899,380,407,787,911,1330,2241,22,21,43,3778,5066,8844,99,131,230,357,645,1002,8,10,18,464,786,1250,5079,5127,10206,30246,30874,61120
LGA17200,545,501,1046,1163,1166,2329,326,327,653,290,279,569,1779,1772,3551,645,589,1234,289,496,785,391,390,781,1325,1475,2800,591,584,1175,682,893,1575,245,220,465,839,975,1814,24,22,46,2381,2694,5075,4235,5364,9599,2363,2172,4535,377,428,805,2156,2249,4405,49,45,94,9180,10258,19438,872,1141,2013,745,895,1640,29,22,51,1646,2058,3704,12984,10484,23468,29840,29242,59082
LGA17310,602,539,1141,1655,1550,3205,537,558,1095,307,295,602,2499,2403,4902,1499,1118,2617,317,434,751,296,401,697,2112,1953,4065,72,91,163,50,122,172,259,155,414,233,422,655,7,11,18,621,801,1422,94,177,271,37,87,124,22,78,100,160,300,460,0,3,3,313,645,958,27,30,57,65,121,186,4,0,4,96,151,247,1960,1904,3864,8203,8396,16599
LGA17350,58,57,115,185,159,344,87,74,161,3,0,3,275,233,508,181,156,337,34,42,76,5,3,8,220,201,421,7,6,13,0,14,14,35,11,46,24,57,81,0,0,0,66,88,154,5,24,29,4,4,8,3,4,7,6,17,23,0,0,0,18,49,67,6,3,9,5,6,11,0,0,0,11,9,20,158,162,320,806,799,1605
LGA17400,55,53,108,177,202,379,77,77,154,12,8,20,266,287,553,157,163,320,17,19,36,10,10,20,184,192,376,8,5,13,4,23,27,15,18,33,17,69,86,0,0,0,44,115,159,0,18,18,0,8,8,7,0,7,12,24,36,0,0,0,19,50,69,8,5,13,6,28,34,0,0,0,14,33,47,306,264,570,888,994,1882
LGA17420,1983,1799,3782,5528,5245,10773,1869,1775,3644,1137,1016,2153,8534,8036,16570,3437,3236,6673,2040,1928,3968,1874,1544,3418,7351,6708,14059,327,296,623,133,323,456,735,306,1041,496,840,1336,19,16,35,1710,1781,3491,2685,3018,5703,427,500,927,335,378,713,902,1113,2015,35,25,60,4384,5034,9418,148,212,360,256,530,786,8,14,22,412,756,1168,3274,3220,6494,27648,27334,54982
LGA17450,28,23,51,101,110,211,37,25,62,3,0,3,141,135,276,84,95,179,8,16,24,6,5,11,98,116,214,3,0,3,0,4,4,15,3,18,13,28,41,0,0,0,31,35,66,6,10,16,0,4,4,0,0,0,3,7,10,0,0,0,9,21,30,0,4,4,4,9,13,0,0,0,4,13,17,233,87,320,544,430,974
