region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA15200,5789,15031,4121,3420,6212,2900,1391,2364,648,41876
LGA15270,1481,1269,1559,811,926,847,1185,1139,147,9364
LGA15300,1291,778,672,482,725,462,576,703,127,5816
LGA15350,3012,5370,675,946,1799,1014,118,255,298,13487
LGA15500,728,405,425,292,312,297,214,335,45,3053
LGA15550,297,89,102,88,90,37,114,216,32,1065
LGA15650,752,797,1495,584,796,586,1306,963,125,7404
LGA15700,790,905,910,844,691,586,415,794,89,6024
LGA15750,1151,700,837,455,668,490,709,710,115,5835
LGA15800,510,272,332,237,238,167,195,427,62,2440
LGA15850,680,366,344,263,290,198,293,355,37,2826
LGA15900,6937,18065,9647,7379,9916,6908,4090,6313,1002,70257
LGA15950,7623,16469,2010,2236,5341,2429,299,693,693,37793
LGA16100,418,242,388,194,254,130,317,321,53,2317
LGA16150,1802,3347,2648,1716,2400,1648,1489,1941,256,17247
LGA16180,1511,1673,1039,653,1326,441,389,459,135,7626
LGA16200,1067,819,885,580,744,567,682,597,89,6030
LGA16250,7828,19193,9290,6150,12851,6454,4623,6117,1646,74152
LGA16350,8771,12132,13298,8428,16648,8627,9319,8360,1643,87226
LGA16370,5053,7563,3748,2593,4285,2730,760,1454,501,28687
LGA16380,3306,5087,4100,3245,4028,3204,1482,2781,388,27621
LGA16400,2958,3761,4969,2997,3591,2827,2220,2859,427,26609
LGA16470,2920,4045,2929,1992,4263,1666,1110,1593,568,21086
LGA16550,8821,21507,6018,5996,9599,5148,1892,2911,1127,63019
LGA16610,1009,961,1119,931,926,807,676,1529,134,8092
LGA16650,5007,9659,5725,4162,7705,4390,3036,4253,1016,44953
LGA16700,6913,16021,5307,3943,8570,4252,1558,2765,972,50301
LGA16900,2433,3741,4821,3167,3943,3090,2762,3017,435,27409
LGA16950,4020,5658,5818,4400,4162,3655,1932,3684,518,33847
LGA17000,1248,1412,2142,969,1355,804,2161,1096,209,11396
LGA17050,823,487,639,486,410,365,209,393,60,3872
LGA17100,1986,5113,1795,1322,2566,1523,610,1142,435,16492
LGA17150,15760,25379,15329,10814,20332,10900,4401,5928,1624,110467
LGA17200,16010,37595,7409,8942,12664,7202,1406,3781,1787,96796
LGA17310,3366,4191,3619,2432,3241,2486,1733,3434,392,24894
LGA17350,530,323,333,237,263,218,163,271,36,2374
LGA17400,643,275,326,244,253,178,207,397,63,2586
LGA17420,15129,24536,9716,6177,15159,8588,2753,3944,1355,87357
LGA17450,366,138,195,128,131,84,162,218,24,1446
LGA17500,707,610,775,449,476,381,544,827,90,4859
LGA17550,3669,5428,5130,4049,4105,3846,1975,3940,522,32664
LGA17620,1081,749,1112,492,626,448,865,1037,117,6527
LGA17640,1015,481,470,329,358,206,206,343,65,3473
LGA17650,527,450,386,297,334,203,159,350,29,2735
LGA17700,194,34,26,28,49,16,69,78,3,497
LGA17750,3513,5514,4802,3250,3734,3063,1698,3052,445,29071
LGA17800,569,191,190,142,169,100,124,243,36,1764
LGA17850,518,140,158,107,126,76,96,205,27,1453
LGA17900,592,292,211,293,230,117,201,331,50,2317
LGA17950,418,153,135,94,122,62,127,159,35,1305
LGA18000,11791,18923,9212,6495,11242,6997,2444,4071,1109,72284
LGA18020,990,496,403,374,291,257,257,485,65,3618
LGA18050,6126,13333,2692,2803,4085,2716,500,1107,670,34032
LGA18100,510,181,149,129,119,79,105,157,20,1449
LGA18150,654,452,328,433,302,241,188,378,60,3036
LGA18200,678,385,387,242,313,209,241,390,49,2894
LGA18250,6141,13439,2336,2299,4717,2489,504,1073,659,33657
LGA18350,2822,3864,3025,1948,2340,1824,1161,1930,347,19261
LGA18400,2624,3236,3893,1975,3273,1760,2096,2046,388,21291
LGA18450,8227,18599,12665,9495,11804,7423,5937,7343,1358,82851
LGA18500,5854,11242,1176,1738,3245,1984,194,452,657,26542
LGA18550,5816,8545,9988,7195,8277,7156,4708,7236,1033,59954
LGA18710,1499,1588,1075,725,1196,510,357,651,162,7763
LGA18750,916,662,760,442,542,571,295,719,102,5009
LGA19399,276,48,67,49,49,18,30,142,11,690
LGA19499,337,741,542,465,394,238,350,490,93,3650
