SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SED10011,0,0,3,18,85,48,59,48,15,14,19,24,3,0,10,334,8,8,8,17,78,35,20,12,0,0,0,0,4,0,7,190,0,0,5,14,12,8,20,15,0,0,0,0,0,0,0,81,0,7,31,64,80,39,71,19,3,4,0,0,0,0,0,315,0,0,14,9,12,10,0,3,0,0,3,3,0,0,8,76,0,0,0,4,3,5,10,3,4,0,0,0,0,0,0,29,0,0,0,0,31,20,41,19,9,9,5,13,9,0,7,162,115,443,1300,962,672,401,438,167,24,19,19,19,3,3,104,4705,4,10,50,93,52,77,104,62,5,14,12,13,3,0,12,507,0,0,4,20,11,8,18,24,9,10,16,25,8,0,6,158,75,161,342,371,323,252,255,156,26,18,34,23,8,0,38,2082,332,995,2320,2127,2071,1457,1625,803,173,137,167,180,53,19,286,12751
SED10012,0,0,4,110,257,151,140,71,17,18,22,20,7,0,27,844,7,8,12,33,64,24,8,0,0,4,0,0,0,0,8,171,0,0,0,8,10,12,8,5,0,0,4,0,0,0,0,54,0,0,3,8,5,11,6,0,0,0,0,0,0,0,0,34,0,0,3,7,18,13,3,15,0,0,0,0,0,0,0,74,0,0,0,0,16,11,17,11,6,3,0,0,0,0,0,71,0,0,4,32,235,133,153,137,50,11,21,25,6,0,45,855,11,48,136,67,45,9,16,18,4,0,0,0,0,0,30,388,0,0,0,4,10,12,27,6,0,4,0,4,3,0,0,74,0,4,20,2007,5543,3910,2726,1980,469,422,387,422,252,89,765,18991,36,117,591,2008,3048,2057,1403,877,497,269,213,197,75,37,429,11866,157,634,1893,5326,10735,8763,7094,4830,1847,1356,961,1336,505,180,1797,47412
SED10013,0,0,9,41,344,312,368,305,57,61,31,50,23,0,26,1624,0,7,11,14,102,31,32,11,3,0,0,0,5,0,5,217,0,4,3,6,11,16,29,17,5,4,10,4,0,0,0,103,0,0,5,48,91,99,190,58,12,9,24,51,24,6,4,640,0,3,9,14,25,55,81,68,14,5,5,7,0,0,9,306,0,0,0,0,8,30,19,20,7,7,5,6,0,0,0,102,0,0,0,3,66,50,104,56,9,12,17,13,4,0,6,352,56,280,905,625,529,273,461,303,33,36,22,15,15,13,84,3645,0,4,14,16,19,54,71,40,17,13,6,10,5,7,12,289,0,0,0,55,115,101,99,88,11,11,14,15,15,3,21,556,73,232,573,925,1104,1154,1161,632,126,146,94,91,39,21,165,6532,267,1097,2526,2590,3948,4532,7452,4538,749,751,619,650,294,99,753,30856
SED10014,0,0,3,75,522,432,453,265,73,61,62,87,28,12,34,2098,7,7,4,15,115,32,34,10,0,0,3,0,0,0,0,234,0,0,4,4,18,0,7,10,0,4,3,0,0,0,0,58,0,0,8,61,176,85,103,34,4,17,3,5,4,0,3,497,0,5,3,9,64,32,64,63,10,14,25,31,19,20,8,359,0,0,0,0,11,10,13,13,5,3,0,0,0,0,0,46,0,0,0,11,72,81,119,48,13,8,8,11,5,0,9,399,40,225,874,595,314,115,131,78,11,12,3,12,10,3,66,2480,0,0,9,17,18,30,45,22,9,4,5,10,4,0,0,180,0,0,5,53,135,66,96,54,11,15,15,5,0,0,25,480,34,104,309,815,1260,991,886,537,133,118,115,112,51,18,142,5619,146,586,1780,2317,4064,3790,5173,3014,590,576,525,622,270,109,600,24155
SED10015,0,0,4,75,345,277,339,264,80,57,110,154,30,3,47,1799,0,3,6,14,24,13,18,10,14,5,4,0,0,0,4,111,0,0,5,13,28,29,50,33,3,4,0,7,0,0,0,180,0,0,11,23,27,28,42,15,3,3,0,0,0,0,3,156,0,5,0,13,35,25,26,23,3,8,3,6,8,0,3,152,0,0,0,5,22,30,23,41,12,12,4,7,0,0,13,166,0,0,0,10,64,99,227,142,31,18,14,14,4,4,19,649,22,51,191,149,135,139,219,126,21,25,19,15,7,3,37,1155,0,0,3,12,28,22,39,48,4,13,10,11,3,3,4,213,0,0,6,333,719,468,379,358,107,94,117,116,44,9,134,2882,37,170,614,1194,1115,887,856,608,244,268,301,295,71,11,167,6844,155,1473,4457,4247,6063,5809,7788,5024,1420,2097,2053,2006,527,92,1579,44802
SED10016,0,0,15,184,686,448,456,276,38,69,47,74,36,7,28,2364,4,10,16,23,112,40,22,10,0,0,0,3,0,0,0,235,0,4,7,39,51,49,134,57,21,16,22,10,5,4,0,416,0,4,12,61,125,320,600,328,129,113,137,139,52,15,19,2059,0,0,20,51,271,380,469,201,31,39,17,39,13,9,3,1538,0,0,3,6,82,78,87,24,6,6,3,0,6,0,10,308,0,0,0,5,19,34,62,69,11,9,6,7,0,0,3,249,54,149,521,410,449,339,682,423,60,74,49,36,28,11,56,3349,0,3,17,22,35,49,142,81,26,22,17,39,11,4,11,472,0,0,4,100,105,30,61,34,9,10,13,12,15,0,9,394,59,177,346,525,636,642,909,455,160,138,128,129,58,23,72,4446,240,795,1771,2404,5209,6505,11662,6188,1459,1441,1230,1228,589,206,563,41492
SED10017,0,0,0,11,72,52,77,111,23,13,25,23,9,3,18,450,10,4,3,3,14,4,9,6,0,0,0,0,0,0,4,44,0,0,4,0,4,6,10,0,0,0,0,0,0,0,0,26,3,9,4,13,15,37,115,40,11,4,12,11,16,0,8,301,0,0,0,4,5,6,37,8,0,0,3,7,0,0,0,80,0,0,0,0,0,5,5,4,0,0,3,4,0,0,0,18,0,0,0,0,5,23,68,43,19,7,4,0,0,0,8,168,83,260,507,291,217,149,222,105,8,12,10,7,11,0,97,1982,0,0,4,13,19,25,43,24,0,4,4,3,5,3,10,160,0,0,0,5,7,10,28,13,3,5,10,34,5,0,18,134,34,51,89,84,97,86,131,97,15,8,16,21,8,0,89,809,208,546,803,701,767,619,1375,894,145,142,169,162,82,15,440,7067
SED10018,0,0,0,14,61,42,35,47,10,12,10,13,5,3,5,257,7,5,14,7,20,6,11,3,0,0,0,0,0,0,4,81,0,0,0,8,3,6,10,0,3,5,0,0,0,0,0,38,0,0,0,29,35,51,85,44,16,19,10,4,14,6,6,309,0,0,0,4,13,10,17,9,0,0,0,0,0,0,6,57,0,0,0,0,3,6,11,3,0,0,3,0,0,0,0,33,0,0,0,4,0,11,33,39,9,3,10,0,7,0,4,128,90,203,522,277,245,186,434,205,38,24,27,34,10,6,44,2341,0,5,13,23,25,45,71,55,6,9,11,12,11,0,0,293,0,0,0,10,8,9,14,27,8,3,3,3,3,0,0,99,57,69,140,135,118,155,235,170,47,42,23,28,12,7,35,1281,286,643,1070,873,911,854,1679,993,260,245,213,200,99,34,209,8579
SED10019,0,0,0,5,50,41,81,79,16,20,13,26,6,3,22,360,0,3,0,0,4,0,4,0,0,0,5,0,0,0,0,19,0,0,3,9,0,0,6,0,0,0,0,0,0,0,0,27,0,0,10,15,18,16,46,6,12,0,8,6,3,6,3,165,0,0,3,0,11,0,6,3,0,0,0,0,0,0,0,32,0,0,0,0,9,5,0,4,0,0,5,3,0,0,6,29,0,0,0,5,3,11,27,19,8,11,0,10,3,0,6,98,73,277,653,322,181,85,143,87,3,14,7,7,0,3,117,1976,0,0,20,25,27,21,47,22,3,7,0,8,6,5,9,198,0,0,0,0,0,0,11,5,0,0,10,0,0,0,12,46,17,65,122,111,83,50,103,66,8,9,14,17,13,0,80,761,164,589,1023,814,687,408,755,456,109,106,111,117,66,28,450,5889
SED10020,0,0,3,14,62,48,66,79,36,26,22,15,9,0,13,405,5,6,3,7,24,5,12,0,0,0,0,0,0,0,0,61,0,0,0,0,4,3,10,3,0,0,0,0,0,0,5,29,0,0,18,40,50,51,144,35,14,4,14,12,17,3,5,425,0,0,3,7,3,3,7,7,4,0,0,0,0,0,0,40,0,0,0,0,0,13,14,11,8,12,17,29,5,0,5,98,0,0,0,4,13,11,46,37,13,16,10,7,9,0,21,188,116,352,842,424,280,203,375,174,16,34,27,25,20,8,112,3009,0,4,14,43,41,26,68,41,3,11,6,9,4,4,4,269,0,0,0,8,9,3,8,16,4,3,9,13,4,0,0,86,34,101,171,171,138,134,418,368,101,126,134,258,61,78,80,2362,242,801,1437,1193,1157,904,2069,1404,398,504,581,805,242,114,412,12260
SED10021,0,0,11,47,110,82,111,90,32,26,32,42,16,7,18,623,18,5,16,28,78,33,45,29,17,11,11,11,8,0,21,328,0,8,16,31,43,33,69,33,18,5,10,10,8,4,9,301,0,7,14,105,294,355,350,86,32,19,35,34,22,17,50,1439,0,0,6,18,31,21,14,7,0,0,0,0,0,0,0,101,0,0,0,0,17,29,17,7,4,3,6,5,0,0,0,96,0,0,6,10,29,34,73,63,15,5,9,18,4,0,10,277,37,131,455,471,565,717,1474,1496,432,461,553,625,241,55,144,7854,4,6,29,71,74,118,233,189,58,78,100,101,76,32,20,1200,3,0,5,57,47,22,21,26,8,15,4,11,5,0,5,238,103,281,394,726,680,908,1062,1089,395,484,519,666,245,55,196,7791,275,876,1687,2355,3217,3675,5459,4845,1422,1603,1936,2350,1014,258,768,31749
SED10022,0,0,0,0,26,23,70,82,36,18,24,41,9,9,16,342,5,0,0,3,0,0,0,5,0,0,3,0,0,0,0,14,0,0,3,10,0,0,3,0,0,0,0,0,0,0,0,26,0,0,8,5,18,12,39,21,0,0,4,11,0,0,8,130,0,0,0,4,4,0,9,9,0,0,8,0,0,0,3,36,0,0,0,0,0,4,5,5,0,9,8,10,4,0,0,48,0,0,0,0,0,4,15,9,0,3,3,5,0,0,4,52,57,192,437,183,108,43,73,37,8,8,6,6,7,0,76,1246,0,3,6,12,9,17,43,13,8,10,0,3,0,0,3,137,0,0,0,6,12,7,5,3,5,0,4,3,0,0,0,53,18,64,74,76,66,41,91,77,12,19,27,50,6,25,46,687,150,438,670,459,482,302,599,494,142,170,196,302,83,82,285,4855
SED10023,0,0,4,22,84,37,51,41,12,7,17,7,10,0,10,309,7,3,5,13,53,16,38,26,8,7,7,5,0,0,4,191,0,0,13,16,23,16,22,13,0,0,0,0,4,0,4,116,0,0,7,73,82,66,114,45,15,10,8,21,17,0,5,474,0,0,6,12,8,3,10,4,0,0,0,0,0,0,0,48,0,0,0,5,14,4,9,0,0,4,0,0,0,0,0,32,0,0,0,3,12,37,49,27,11,6,6,9,5,3,0,158,87,210,621,440,388,306,623,396,75,42,69,55,24,10,59,3434,0,0,25,27,34,39,69,53,12,15,13,22,19,12,12,356,0,0,0,32,37,12,14,8,0,0,0,5,0,0,10,122,66,128,250,320,275,304,509,370,100,87,82,65,37,13,41,2656,262,791,1598,1500,1656,1532,2350,1494,333,262,280,282,158,64,259,12836
SED10024,0,0,16,53,81,36,58,47,17,6,28,18,10,0,8,382,6,10,4,8,40,23,16,12,3,4,0,0,0,0,0,131,0,7,16,56,81,53,153,72,19,23,19,21,13,9,0,550,0,9,37,146,416,535,789,283,59,60,86,74,24,9,25,2544,0,0,22,35,64,67,51,17,0,0,0,3,0,6,0,282,0,3,4,6,133,180,91,47,7,9,17,4,3,0,8,516,0,0,5,9,19,31,78,42,17,6,5,11,7,0,3,232,108,236,594,547,588,658,1322,661,93,53,63,97,39,14,82,5152,0,4,42,58,84,117,201,136,25,26,33,24,26,19,12,816,0,0,9,106,75,37,32,12,5,9,0,11,0,0,4,301,85,163,315,472,521,487,743,343,117,82,78,70,44,23,48,3592,368,839,1881,2658,4926,5171,7900,4077,883,770,776,893,560,192,486,32375
