SED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SED10011,251,0,0,5,251,45,0,304,2912,491,196,22,3620,24,11,33,3654,243,0,3900,3487,853,180,18,4537,38,10,39,4576,227,9,4812,750,157,141,13,1064,6,5,14,1071,43,3,1120,36,0,8,23,61,0,0,0,63,0,13,75,7185,1500,515,79,9284,65,25,91,9371,516,23,9907,35,8,7,0,47,3,0,3,52,0,0,51,72,11,4,0,92,0,0,0,91,5,0,100,105,20,10,0,136,6,0,6,140,9,0,151,7292,1523,525,80,9421,70,25,94,9511,526,23,10061,1519,313,115,28,1970,42,6,54,2023,310,0,2339,5,0,0,5,11,0,0,0,11,3,17,35,8815,1832,640,117,11403,115,35,150,11555,832,42,12432
SED10012,431,22,13,31,465,328,12,807,1579,212,198,15,2007,55,0,61,2067,405,6,2475,1101,513,260,13,1883,33,15,49,1924,468,0,2400,328,118,342,8,796,3,11,18,814,137,7,953,16,7,4,44,66,11,0,8,76,22,20,116,3025,851,800,79,4750,104,28,134,4887,1033,27,5950,71,26,14,0,108,66,6,76,188,33,0,215,46,34,26,3,118,34,21,57,175,27,0,200,116,59,41,3,226,99,31,135,359,61,0,416,3145,911,838,75,4976,206,58,267,5246,1092,27,6362,1902,920,590,120,3532,202,89,291,3824,3789,37,7644,19,5,4,22,52,0,0,0,52,22,74,149,5064,1838,1440,225,8559,412,148,561,9118,4907,141,14159
SED10013,558,11,4,12,573,78,3,653,7674,1049,500,49,9269,115,20,133,9403,430,11,9849,6956,1786,476,88,9310,114,10,125,9435,414,8,9859,2099,500,620,33,3258,31,16,45,3301,125,6,3427,106,22,21,138,281,0,0,0,282,27,57,366,16846,3350,1619,299,22115,256,45,299,22413,1000,84,23496,164,27,16,7,216,54,0,54,269,22,0,293,274,52,18,8,356,22,11,33,389,26,3,414,440,85,41,17,578,78,11,83,663,47,3,710,17285,3434,1655,322,22694,333,50,385,23077,1046,85,24208,3976,1072,526,152,5726,158,18,178,5901,1425,24,7351,21,5,7,46,79,0,0,0,78,0,111,190,21279,4506,2184,517,28492,493,68,562,29053,2475,226,31748
SED10014,298,9,0,13,311,97,4,406,2489,434,347,27,3299,90,24,115,3414,340,8,3763,2023,537,390,30,2986,73,7,79,3062,343,6,3407,614,154,322,11,1104,7,0,9,1110,58,0,1176,44,3,5,69,122,14,0,14,130,14,30,173,5168,1126,1068,137,7505,182,31,210,7715,759,39,8515,85,17,6,3,113,34,16,48,161,44,0,208,125,49,32,3,211,35,3,41,249,12,0,262,209,64,38,8,320,68,19,92,408,60,0,473,5376,1197,1104,146,7823,251,50,301,8127,820,39,8991,2306,708,465,126,3603,161,22,190,3791,1499,6,5297,10,5,4,24,38,0,0,0,38,14,72,131,7694,1908,1574,298,11468,415,73,488,11960,2330,129,14417
SED10015,436,16,7,21,452,190,9,651,2666,475,428,19,3587,62,21,81,3669,444,7,4121,2348,735,400,30,3503,63,20,82,3583,409,7,4001,624,223,509,16,1365,26,0,30,1397,141,0,1539,26,8,15,59,106,4,0,7,111,21,13,140,5652,1436,1354,118,8571,156,44,195,8765,1011,35,9811,67,17,13,7,103,15,0,15,120,28,0,150,106,17,21,3,149,12,10,26,174,28,0,199,177,33,36,8,252,30,10,44,293,59,0,349,5834,1469,1387,128,8818,187,51,245,9061,1068,33,10161,1621,678,632,96,3033,115,30,143,3181,2001,17,5195,19,3,0,13,35,0,0,0,38,8,62,112,7467,2152,2023,242,11885,303,85,390,12273,3083,114,15467
SED10016,964,30,4,35,1000,119,4,1124,8867,854,303,46,10076,182,31,216,10296,365,13,10671,6258,1218,266,33,7779,89,9,96,7878,298,10,8182,1395,273,260,18,1950,19,0,19,1970,78,0,2051,77,18,8,107,210,0,0,0,210,4,33,246,16600,2360,849,208,20015,297,42,332,20352,741,59,21145,195,25,4,0,236,34,0,34,269,7,0,276,248,44,3,5,307,21,15,36,341,22,0,359,448,67,14,10,543,56,15,72,613,27,0,641,17051,2432,862,219,20558,356,50,407,20961,772,59,21791,3532,566,237,102,4443,103,6,112,4555,722,0,5275,20,11,0,50,82,0,0,0,82,4,59,141,20605,3004,1100,370,25076,463,57,516,25597,1493,115,27206
SED10017,165,0,0,0,166,21,0,186,3206,361,113,9,3697,35,0,40,3732,187,10,3926,4624,679,122,39,5466,61,12,74,5543,207,5,5756,712,104,121,11,952,10,0,10,962,41,4,1004,62,9,5,46,113,0,4,4,119,9,23,152,8610,1157,356,112,10232,104,20,123,10355,448,37,10834,46,15,0,0,63,10,3,12,80,10,4,87,118,9,0,0,129,0,4,5,135,23,0,154,166,21,0,0,194,7,3,19,206,36,4,244,8772,1176,359,114,10423,115,25,138,10562,477,42,11078,1909,331,99,48,2388,77,16,96,2475,496,10,2988,19,0,0,13,35,0,0,0,35,0,33,73,10700,1512,457,174,12847,189,41,231,13074,974,84,14134
SED10018,305,4,0,4,302,42,0,346,3391,474,86,31,3989,40,11,48,4035,199,0,4233,5344,765,147,36,6290,54,12,64,6356,203,9,6571,614,78,112,7,803,0,7,10,811,37,0,849,39,0,5,23,68,0,0,0,68,0,16,79,9383,1317,345,98,11150,96,31,123,11272,437,27,11730,33,5,0,0,33,3,0,8,43,8,0,46,111,19,6,0,138,0,0,0,142,7,0,151,141,24,8,0,173,6,0,10,185,14,0,192,9526,1342,358,98,11323,103,28,134,11458,449,27,11924,1125,182,52,29,1390,34,3,38,1422,246,0,1668,10,0,0,6,15,0,0,0,15,0,5,20,10660,1520,401,133,12729,133,31,169,12890,695,31,13616
SED10019,38,0,0,0,44,10,0,55,2183,370,46,17,2624,33,5,34,2655,199,5,2858,2863,546,77,30,3519,22,11,35,3550,243,14,3812,297,74,52,5,425,4,0,4,430,26,0,462,30,3,3,54,87,6,0,7,90,15,11,115,5372,993,180,110,6653,65,13,80,6731,480,30,7243,31,12,3,7,54,12,0,9,63,11,0,76,57,9,0,0,70,13,8,24,92,0,0,90,92,23,3,7,118,26,9,31,154,15,0,170,5464,1015,180,117,6775,87,22,107,6882,495,32,7410,1169,313,66,61,1611,60,26,92,1698,421,10,2126,9,0,0,4,15,0,0,0,18,4,47,64,6641,1327,251,178,8397,149,52,201,8596,921,90,9608
SED10020,83,0,0,4,84,20,0,107,2862,486,71,18,3441,31,23,48,3489,233,7,3734,3458,798,94,42,4394,32,18,49,4444,198,10,4653,342,59,52,0,458,0,0,0,458,7,0,468,40,14,0,51,106,0,0,0,106,3,3,116,6711,1358,217,114,8402,60,40,102,8501,450,17,8968,56,5,4,0,61,19,0,19,80,7,0,87,76,20,0,6,97,14,5,12,114,19,0,133,134,23,4,6,166,31,5,27,196,31,0,222,6843,1384,221,120,8565,90,43,128,8696,473,17,9189,1091,373,68,67,1601,68,31,106,1706,557,8,2266,20,3,0,14,41,0,0,0,41,4,39,87,7956,1761,290,197,10202,159,77,235,10435,1040,71,11546
SED10021,374,3,0,3,375,49,0,426,4170,516,122,11,4819,64,23,85,4908,278,4,5187,3473,530,43,24,4077,52,4,63,4135,124,3,4258,764,138,98,4,997,11,0,11,1010,25,0,1038,29,4,8,37,77,0,0,0,77,8,4,85,8437,1186,268,77,9968,125,31,151,10124,430,16,10569,67,10,0,0,82,15,0,15,95,10,0,106,119,25,4,5,142,4,5,11,154,4,0,162,184,35,7,4,226,19,5,22,247,13,0,261,8623,1217,277,82,10198,142,29,177,10373,447,20,10831,1825,249,39,33,2142,28,3,27,2173,230,3,2411,10,4,0,17,29,0,0,0,29,0,29,59,10461,1468,320,125,12372,167,30,202,12571,677,51,13308
SED10022,44,0,0,0,45,10,0,57,2731,224,41,20,3021,7,3,13,3029,100,3,3137,3641,403,64,27,4133,25,8,26,4162,152,4,4325,396,47,52,13,509,3,4,6,514,20,0,537,51,6,6,76,134,0,0,0,139,0,5,146,6820,684,160,132,7802,39,14,51,7851,270,20,8137,36,3,3,0,40,13,0,13,52,7,0,62,68,11,3,3,87,5,3,11,89,0,0,89,100,9,4,7,126,20,3,23,147,7,0,151,6922,693,167,142,7925,55,21,74,7999,280,20,8293,1256,214,32,49,1550,58,23,82,1636,456,13,2100,14,6,0,12,29,0,0,0,29,0,40,69,8186,911,202,198,9503,117,39,157,9654,733,70,10467
SED10023,460,8,0,10,466,70,0,537,4136,529,182,15,4854,53,4,63,4914,230,7,5151,4982,969,213,27,6189,53,11,62,6256,212,0,6469,997,223,157,12,1378,16,4,12,1394,39,5,1438,43,16,0,41,103,0,0,0,103,3,5,116,10155,1733,551,89,12534,121,20,142,12669,485,20,13173,37,9,3,0,45,5,5,3,54,7,0,63,85,13,4,0,100,3,6,7,111,5,0,113,126,20,9,0,150,8,9,15,163,16,0,177,10281,1753,554,89,12683,128,28,150,12835,498,20,13345,1612,289,101,33,2037,30,14,37,2079,243,7,2323,14,3,0,22,37,0,0,0,37,0,16,53,11905,2043,666,147,14755,154,40,194,14950,740,40,15725
SED10024,857,20,10,34,892,120,3,1018,6348,678,119,26,7170,139,40,174,7348,414,3,7773,5234,970,94,19,6315,83,15,95,6411,213,8,6635,872,162,107,7,1143,26,0,26,1172,48,5,1223,32,16,5,61,113,0,0,7,117,10,11,143,12485,1820,328,114,14748,250,57,308,15053,688,27,15771,143,13,4,0,160,11,3,23,179,5,0,192,188,12,5,3,209,3,0,4,212,11,0,220,330,19,8,3,366,20,10,27,396,17,0,415,12814,1844,333,113,15110,265,63,333,15442,701,29,16177,2842,366,105,34,3351,56,9,69,3416,580,8,3997,18,0,0,21,44,0,0,0,44,0,37,76,15675,2207,447,176,18501,325,73,403,18902,1283,69,20259
SED10025,430,9,4,8,442,88,0,530,4133,508,159,30,4829,94,3,103,4933,332,8,5274,3304,809,148,14,4279,70,18,90,4369,192,3,4564,755,137,171,12,1078,11,0,12,1086,46,3,1137,38,15,5,69,128,3,0,3,135,5,12,149,8230,1473,484,129,10313,182,22,204,10520,582,28,11130,79,10,0,0,99,8,0,8,104,9,0,113,111,11,9,0,133,8,0,15,147,5,0,158,194,26,12,0,231,14,8,18,256,20,0,266,8422,1494,492,131,10546,193,25,223,10768,600,28,11396,1770,362,148,23,2309,66,8,69,2381,463,4,2844,11,14,0,17,38,6,0,6,40,0,41,85,10205,1870,649,171,12891,259,34,294,13185,1065,76,14323
SED10026,62,0,0,0,63,3,0,69,3782,315,71,31,4211,43,10,56,4262,124,14,4399,4381,487,92,50,5014,35,5,36,5048,130,9,5192,592,61,112,0,766,3,0,3,770,18,0,788,71,4,4,68,143,5,0,5,149,3,12,167,8829,875,283,143,10133,74,20,92,10228,280,38,10548,45,6,0,0,44,6,0,6,54,3,4,61,78,7,0,0,93,0,3,5,98,10,0,105,126,9,4,0,139,11,3,15,155,9,3,166,8957,889,290,147,10273,90,20,110,10384,290,42,10712,1496,214,49,63,1821,54,11,64,1886,358,8,2246,15,0,0,10,25,0,0,0,25,5,37,70,10466,1103,330,217,12119,145,30,171,12295,649,88,13027
