SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED10011,0,4,4,11,11,4,4,0,0,39,0,0,5,30,42,28,26,14,0,144,0,0,0,8,6,13,3,6,0,39,0,0,3,8,0,0,0,0,0,12,0,4,4,16,15,0,3,0,0,49,0,0,0,0,3,3,4,0,0,15,3,13,16,50,39,43,49,21,0,235,0,7,14,31,7,0,0,0,0,72,0,0,0,0,19,13,17,9,0,64,0,0,0,5,3,8,0,0,0,16,7,9,12,123,144,124,146,99,28,693,58,125,114,257,148,160,165,121,63,1208,1831,4578,3911,7547,4834,4826,4651,2178,610,34967,0,0,0,3,0,0,0,0,0,3,1706,4100,3148,6507,3938,3965,3563,1738,608,29290,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,0,0,9,0,0,0,16,6,7,8,0,0,29,0,0,4,10,4,4,3,0,0,24,0,3,0,29,29,23,14,5,3,110
SED10012,0,0,0,10,0,4,9,3,0,25,0,0,0,5,3,3,4,0,0,17,0,0,0,17,6,5,5,3,0,41,0,0,0,13,3,3,6,3,0,25,0,11,25,242,37,25,22,0,0,366,0,4,4,12,15,22,15,16,0,85,0,3,10,19,0,5,0,0,0,39,25,214,551,1953,1943,2294,1145,294,120,8550,0,0,0,0,0,4,3,0,0,7,0,0,5,0,4,0,0,0,0,10,6,92,178,565,497,567,521,318,99,2844,121,326,310,571,306,282,204,76,32,2237,2148,5506,6180,10270,5257,5815,3980,1730,671,41549,4,3,0,12,4,7,0,0,0,33,1858,3938,4049,3376,832,764,454,231,110,15603,0,0,0,16,0,0,0,0,0,24,0,0,5,29,35,40,21,20,24,168,0,0,0,0,0,0,0,0,0,8,8,27,103,634,518,514,361,139,76,2385,0,0,0,0,4,3,0,0,0,8
SED10013,0,9,9,9,11,8,5,0,0,42,5,29,26,120,63,51,23,10,4,320,0,7,16,51,30,21,14,3,3,152,0,0,0,16,12,0,0,0,0,38,0,12,13,61,10,0,3,0,0,106,0,3,7,33,19,15,3,0,0,81,4,35,23,47,31,18,15,0,0,164,4,3,8,111,33,41,18,3,0,224,0,0,3,11,8,12,7,8,0,52,0,3,26,66,42,19,3,0,0,160,12,83,106,627,365,306,236,116,26,1873,158,337,227,674,238,185,140,94,24,2063,6232,10548,8043,20124,7868,5524,3902,1868,573,64679,0,0,10,47,11,5,4,0,0,84,5587,9165,6837,14210,5258,3609,2406,1177,531,48795,0,11,21,230,26,11,8,0,0,311,0,0,0,71,17,26,11,0,0,130,0,5,0,34,4,9,4,0,0,48,0,0,0,56,16,10,14,0,0,95,0,8,9,33,20,5,3,0,0,76
SED10014,0,7,0,8,0,6,5,5,0,29,3,10,11,81,45,38,49,17,0,249,0,17,17,68,25,18,20,7,0,163,0,0,0,12,0,0,0,0,0,17,0,7,16,69,16,10,7,5,0,133,0,0,4,5,4,12,0,3,0,31,0,4,10,32,18,10,5,0,0,82,0,6,7,74,36,47,25,4,0,203,0,0,0,0,7,11,7,0,0,34,0,0,5,18,16,11,4,0,0,45,4,46,119,454,325,311,232,149,28,1663,179,394,347,732,311,232,188,144,37,2564,2965,6107,5682,11615,4662,4422,3557,1729,341,41085,0,0,9,41,13,10,11,6,0,89,2720,4881,4300,7126,2662,2543,2214,921,292,27663,0,23,31,388,49,31,14,0,0,529,0,0,0,10,14,8,8,5,0,52,0,0,0,18,5,0,0,0,0,23,0,0,0,47,16,17,25,3,0,112,5,0,5,11,9,5,0,0,0,32
SED10015,0,3,6,29,16,13,9,0,0,86,0,0,9,23,17,10,12,0,0,69,5,0,8,38,7,6,13,4,3,81,0,0,3,48,4,3,6,4,0,75,4,9,20,124,31,21,6,0,0,212,0,0,0,41,34,33,16,10,0,145,3,7,11,60,17,8,4,0,0,115,7,48,118,388,207,273,141,65,14,1264,0,0,0,8,6,5,0,3,0,25,0,0,0,4,8,0,4,0,0,12,20,99,104,762,423,516,342,215,82,2561,120,254,314,981,327,265,185,128,56,2622,2686,5161,5864,14682,6318,5429,3614,2373,1009,47136,0,0,0,4,0,0,0,0,0,9,2270,4042,3664,5792,2852,1634,778,405,271,21708,3,14,25,255,32,16,5,0,0,347,0,0,0,15,8,12,9,3,0,45,3,5,10,164,16,9,4,0,4,220,0,0,5,5,15,7,13,4,0,50,0,0,4,24,11,6,0,4,0,54
SED10016,0,43,37,42,28,28,15,7,0,198,16,128,127,262,236,137,60,25,4,1001,4,21,50,239,144,168,90,39,8,759,0,11,12,63,23,11,26,8,0,135,5,11,10,32,6,7,6,0,0,74,0,3,5,20,21,15,7,7,0,77,15,42,50,66,22,20,15,3,0,235,0,7,7,55,54,37,20,0,0,185,0,3,3,10,15,5,9,3,0,51,0,4,12,32,26,29,10,0,0,113,18,137,131,413,303,245,152,117,37,1556,50,177,143,275,153,93,72,53,17,1031,3254,8540,7148,13307,7288,5252,3845,1979,567,51175,0,3,10,96,37,36,18,5,0,196,2979,6508,5243,6129,3745,2299,1839,1104,366,30231,0,0,10,113,28,23,8,0,0,184,0,0,0,6,12,9,0,4,0,31,0,4,0,38,14,7,0,0,0,65,0,4,5,16,14,8,0,0,0,39,3,13,9,35,18,13,3,0,0,96
SED10017,0,5,0,5,0,3,0,0,0,11,0,17,17,49,44,14,18,8,0,163,3,3,5,11,7,12,4,0,0,39,0,0,0,4,0,0,0,0,0,4,0,4,0,29,7,3,0,0,0,47,0,0,0,6,0,0,0,0,0,10,5,6,4,35,9,13,0,3,0,74,0,0,4,52,3,4,0,0,0,66,0,0,0,3,7,10,9,4,0,28,0,0,3,15,7,3,0,0,0,22,0,11,19,94,51,51,62,27,9,320,111,240,212,514,242,242,246,146,53,2000,3042,6157,5329,11988,5395,5009,4324,1998,560,43812,0,3,0,3,0,0,0,0,0,8,2773,5546,4761,10328,4632,4338,3554,1683,805,38433,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,0,5,15,4,8,4,0,0,41
SED10018,0,5,0,8,5,3,4,3,0,18,3,3,8,60,23,17,14,5,7,135,0,0,0,11,3,0,3,4,0,34,0,0,0,6,0,4,0,0,0,4,0,6,14,14,0,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,4,20,13,38,20,21,10,10,0,126,0,0,4,16,8,5,0,0,0,34,0,0,0,9,6,10,8,3,7,48,0,0,0,14,4,6,0,0,0,18,0,28,24,133,70,56,54,46,22,430,42,142,139,337,175,150,133,89,49,1257,2268,5231,4608,9202,4844,4305,3483,2214,816,36967,0,0,0,0,0,0,0,0,0,0,1994,4550,3820,8165,4221,3916,3173,2232,1119,33190,0,3,0,4,0,0,0,0,0,10,0,0,0,3,0,3,8,4,0,17,0,6,0,17,4,0,0,0,0,29,0,0,0,4,0,0,0,0,0,9,0,6,8,43,18,12,9,3,0,100
SED10019,0,0,0,0,3,0,0,0,0,13,0,4,7,18,21,14,17,4,4,84,0,0,0,4,4,5,3,3,0,20,0,0,0,3,0,3,0,0,0,10,0,4,5,9,0,0,0,0,0,15,0,0,0,4,3,0,0,0,0,8,0,8,3,20,14,20,28,3,0,95,0,0,0,13,6,0,0,0,0,22,0,0,0,4,3,4,8,9,4,28,0,0,4,3,0,5,0,0,0,17,0,9,11,47,26,50,60,48,7,262,136,379,342,674,419,529,456,269,101,3298,1892,4744,4032,7574,4558,5793,5887,3219,993,38691,0,0,0,0,0,0,0,0,0,0,1731,4007,3260,6316,3957,4862,4647,2675,1246,32699,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,9,0,0,0,6,3,0,0,0,0,6,0,0,5,10,5,5,8,0,0,50
SED10020,0,0,0,6,3,0,0,0,0,18,0,17,20,55,51,35,32,8,0,205,0,3,4,7,4,0,3,3,0,24,0,0,3,17,0,0,0,0,0,26,0,13,19,9,0,5,0,0,0,52,0,0,0,5,5,0,0,0,0,5,3,13,0,33,15,17,34,5,0,124,0,8,5,17,5,11,3,0,0,43,0,0,3,0,3,11,8,3,5,38,0,0,0,6,4,7,6,0,0,25,6,61,77,252,94,106,71,69,24,761,92,233,228,599,308,302,264,184,109,2316,2038,5029,4111,8675,4687,4999,4923,2640,919,38010,0,0,8,12,10,0,0,0,0,30,1884,4302,3321,6784,3993,4282,4007,2222,989,31789,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,19,0,4,0,0,0,21,0,4,0,9,0,0,0,0,0,9,0,3,3,39,24,19,12,10,0,115
SED10021,4,16,12,48,25,12,13,8,0,130,4,16,42,234,162,120,62,43,20,709,0,0,0,19,9,5,4,3,0,55,0,0,0,15,3,3,3,0,0,34,0,6,8,42,13,4,7,0,0,79,0,0,0,37,11,9,10,0,4,74,28,80,28,191,84,53,29,19,0,509,0,7,4,30,26,11,7,6,0,91,0,0,0,84,10,9,7,0,0,127,0,0,0,13,9,4,4,0,0,37,14,64,63,961,298,258,274,242,106,2283,101,153,158,869,224,179,134,96,63,1968,2306,4316,3656,14813,5199,3897,2708,1675,762,39337,0,0,0,4,0,0,0,0,0,6,1979,3476,2962,7462,3065,2276,1505,908,532,24171,0,0,0,9,3,0,0,0,0,21,0,0,0,7,0,8,0,0,0,24,0,0,35,519,20,10,3,3,0,600,0,0,4,0,3,0,0,0,0,9,0,8,22,173,50,24,14,3,5,296
