SED_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
SED10015,1162,372,1935,765,88,5909,3786,4166,1395,79,3534,1875,443,522,3801,302,4743,61331,2292,81943,45,29,21,27,42,28,4,15,40,13,41,489,5521,6214,5621,4718,1995,671,4922,2950,792,944,4999,691,6717,62588,7900,94065,0,0,0,0,0,0,3,0,3,0,7,84,0,97,80,23,31,7,42,70,20,29,45,16,58,195,11,437,74,23,35,7,42,73,24,25,48,16,63,274,16,534,5487,3994,1918,616,4798,2817,751,890,4781,661,6184,49257,2003,73211,53,38,26,48,55,35,4,18,46,10,64,412,4702,5315,5615,4053,1986,671,4895,2923,779,937,4871,684,6309,49937,6721,79063
SED10016,730,254,1324,506,76,3494,4730,6115,2017,72,3641,2467,474,578,4378,325,5859,71957,2506,97594,39,26,14,0,26,19,3,4,25,0,21,417,2263,2815,5679,6466,2356,431,4189,3048,640,786,5136,580,7201,72878,4843,103905,13,12,0,0,0,4,0,0,18,0,21,230,5,288,201,55,99,25,95,173,29,38,93,38,109,415,20,954,211,72,102,25,97,176,29,37,103,38,131,641,23,1241,5387,5209,2208,348,4024,2801,575,729,4699,529,6227,52225,2125,77605,58,28,19,56,37,37,15,9,48,13,61,237,1734,2149,5657,5306,2331,431,4155,3017,613,774,4855,579,6414,53102,3884,80997
SED10017,2306,521,2577,517,159,6599,7455,8318,1952,96,3853,2891,650,1403,8887,476,5088,44798,3061,75516,108,67,36,15,51,47,15,34,91,9,62,296,5056,5640,9878,9589,2636,733,5122,4158,1067,2202,11283,1010,7724,45612,8275,87750,7,7,5,0,7,3,0,6,4,0,6,102,8,131,538,173,191,48,291,296,58,147,357,68,271,654,56,1953,544,177,196,48,296,302,57,154,359,68,283,751,60,2085,9155,7441,2375,613,4723,3734,949,1991,10154,898,6410,31487,2332,62884,161,67,52,67,68,90,27,46,95,33,80,192,4256,4794,9858,7681,2616,733,5088,4120,1035,2181,10612,998,6772,32437,6644,69765
SED10018,1616,378,1862,405,100,4864,6075,6651,2094,117,2834,2672,544,1004,7002,385,4816,42087,2534,68271,85,64,20,9,32,52,8,17,73,17,41,293,2327,2858,7819,7435,2630,780,3690,3693,867,1564,8689,784,6713,42782,4959,75991,16,11,0,0,4,0,4,0,24,0,25,215,4,289,438,130,182,57,247,316,70,116,271,69,255,657,57,1820,457,145,185,57,249,321,75,113,294,70,281,873,66,2110,7181,5930,2373,611,3360,3237,753,1387,7847,678,5639,30487,1978,56976,158,58,55,110,63,107,32,41,143,31,157,164,1879,2437,7800,6136,2611,780,3668,3664,859,1547,8285,780,6076,31514,3921,61524
SED10019,2229,567,2331,434,133,6441,8016,6377,2464,115,3615,3482,806,1776,6407,590,4334,37260,2519,64235,125,84,35,12,59,60,24,38,92,17,47,313,6352,7012,10656,7527,3289,799,4714,4876,1272,2743,8726,1178,6711,38006,9003,77685,12,3,4,0,0,0,0,0,10,0,4,51,6,75,729,209,297,58,390,486,103,234,420,113,328,725,64,2445,737,211,300,57,390,486,105,238,432,117,329,778,72,2516,9679,6123,2921,648,4208,4232,1112,2421,7728,1021,5667,27417,2101,56102,225,97,58,94,92,125,42,63,165,34,151,289,5243,6095,10638,6428,3283,799,4695,4848,1258,2720,8327,1175,6142,28481,7418,64716
SED10020,1684,434,2043,460,148,5415,7484,5864,2318,151,2711,3149,563,1618,6698,514,4744,41880,2620,68358,114,57,32,86,44,57,15,18,100,12,85,387,4211,4980,9518,6709,3014,823,3521,4267,913,2315,8476,965,6872,42730,6975,78759,7,6,3,0,0,3,0,3,11,0,4,42,4,72,565,132,235,53,248,382,75,171,320,71,267,710,48,2061,576,138,235,53,256,386,71,176,329,71,274,752,55,2133,8758,5525,2720,625,3183,3752,805,2078,7647,866,5907,30847,2131,58427,176,64,47,139,61,107,16,45,129,22,109,279,3470,4242,9508,5725,3001,817,3494,4245,899,2301,8100,957,6286,31886,5659,64798
SED10021,600,183,906,291,36,2577,3450,4973,1741,88,1412,1660,331,517,4575,265,4152,55600,2012,75193,126,38,35,133,38,55,20,27,75,9,151,326,4206,4877,4367,5253,2066,606,1810,2158,502,746,5251,459,5205,56218,6255,82648,20,11,7,0,3,10,4,0,29,4,20,359,11,452,131,37,64,19,61,104,20,32,65,26,76,337,21,717,148,51,66,18,65,113,23,39,92,31,105,702,35,1166,4052,4600,1940,401,1680,1959,439,669,4916,403,4582,44231,1691,64195,150,43,41,188,46,74,24,27,98,22,166,234,3696,4343,4352,4687,2049,606,1790,2145,484,735,5107,462,4845,45162,5417,69698
SED10022,1468,420,1822,381,110,5247,7416,6576,2157,113,3419,2770,635,1555,5350,494,3614,36568,2494,61084,121,77,22,9,63,42,15,32,56,13,59,332,5475,6109,9543,7642,2745,747,4454,3769,935,2278,6880,929,5496,37291,8076,72435,8,6,0,0,6,4,0,0,4,0,4,33,6,69,517,210,214,55,305,318,62,173,305,74,234,577,61,1833,524,211,216,57,311,326,63,179,309,76,241,606,69,1901,8791,6230,2444,662,4025,3317,834,2016,6110,814,4604,26516,1998,52068,217,103,68,33,87,105,22,58,87,35,91,313,4561,5326,9532,6547,2726,746,4420,3747,922,2257,6508,922,4934,27433,6625,59293
SED10023,651,230,1034,282,49,2858,5391,5086,2206,98,2082,2549,420,702,4151,387,4249,50324,2538,72639,61,35,21,36,30,56,17,12,67,13,34,340,2349,2890,6411,5407,2568,508,2491,3167,584,971,4875,631,5310,50940,4932,78388,21,22,3,0,5,0,0,0,20,4,19,324,11,404,241,79,158,32,125,250,35,61,121,39,116,536,27,1260,267,98,161,32,127,254,35,59,145,42,137,862,42,1664,6081,4583,2357,429,2326,2842,519,878,4482,573,4706,37975,2097,60368,55,27,32,43,23,50,12,22,69,18,27,156,1895,2232,6402,4712,2548,508,2480,3141,566,960,4697,626,4865,38995,4039,64271
SED10024,587,247,1147,370,46,3218,4515,4992,2172,92,2248,2578,378,604,3681,292,4825,54149,1860,75696,46,22,17,31,19,22,0,8,31,9,52,323,1663,2155,5403,5292,2533,754,2693,3180,525,828,4299,548,6027,54850,3576,81071,10,8,3,0,0,3,6,0,9,0,5,122,6,167,247,79,133,40,110,242,37,52,77,38,132,421,27,1106,261,83,133,40,110,248,34,52,82,38,140,544,29,1270,5097,4281,2370,685,2552,2882,471,756,3953,501,5253,40110,1542,61789,36,9,15,30,18,36,4,14,16,3,41,129,1328,1585,5388,4370,2525,750,2677,3157,509,821,4054,544,5438,40789,2901,64649
SED10025,716,239,1287,434,64,3634,4242,4486,1833,69,2511,2117,370,542,3733,334,4622,54142,2036,74689,35,21,12,6,25,27,5,6,21,3,26,359,3028,3519,5504,4779,2281,548,3176,2823,577,790,4474,571,5937,54932,5125,81835,8,8,0,0,0,4,0,0,15,0,13,155,5,190,155,29,91,15,71,145,14,34,61,27,90,337,22,777,161,34,97,15,75,145,16,34,65,27,95,495,25,970,5264,4171,2153,510,3061,2628,549,752,4239,528,5347,42942,1744,64754,64,22,12,30,20,32,7,4,44,12,62,222,2607,2986,5489,4225,2257,548,3158,2799,570,782,4352,565,5506,43663,4378,68709
SED10026,1349,376,1695,445,121,4772,6340,7296,1863,91,3369,2863,589,1314,6337,425,4273,43623,2739,69692,108,77,34,13,58,54,12,25,77,8,50,373,7401,8062,8085,8171,2385,612,4247,3831,902,1939,7760,810,6017,44441,10261,82525,3,6,0,0,0,3,0,0,6,0,4,40,4,51,372,128,142,37,219,262,36,118,228,60,173,611,37,1577,373,137,138,37,219,268,36,114,226,60,176,648,43,1632,7524,6438,2165,517,3921,3443,819,1760,7010,714,5074,30943,2120,57110,166,73,57,58,77,84,26,40,87,28,84,295,5835,6512,8065,6647,2369,612,4217,3791,883,1918,7327,810,5328,31887,7998,65249
SED10027,1184,354,1864,614,108,5242,4570,4824,1514,65,3257,1992,438,689,3385,338,4228,52464,2268,73130,63,42,18,13,44,20,4,10,38,11,38,423,4046,4648,6260,5426,2054,594,4413,2914,701,1117,4608,704,6131,53502,6422,83017,0,3,0,0,0,0,0,0,4,0,0,82,3,97,218,53,76,20,126,152,21,66,75,27,98,291,19,815,218,57,82,20,129,148,21,65,81,27,104,370,22,914,5949,4384,1919,507,4215,2682,648,1026,4258,658,5433,39330,1893,61952,73,37,29,65,47,46,15,16,81,17,102,209,3213,3678,6238,4477,2031,594,4393,2874,685,1105,4419,701,5640,39912,5133,66547
SED10028,633,238,1232,425,64,3608,4098,4689,1866,97,3233,2472,406,545,3387,274,5378,60249,1629,81719,117,52,52,111,51,100,30,27,120,37,182,383,2400,3114,5222,5005,2287,712,3824,3249,613,797,4138,547,6794,61053,4090,88444,19,14,0,0,0,0,3,3,12,0,11,100,5,147,217,65,109,29,98,205,37,36,65,43,112,341,28,936,235,74,114,29,100,205,40,41,74,43,119,441,33,1084,4859,4021,2117,542,3672,2920,530,722,3761,471,5947,46026,1421,68269,125,32,48,139,46,107,35,24,117,33,202,205,2001,2541,5215,4129,2281,711,3818,3235,605,784,3954,547,6271,46667,3451,71896
SED10029,1986,568,3411,1150,238,9072,3732,4059,965,95,3906,1669,437,499,2605,300,4344,57966,2594,77172,153,69,37,145,123,89,29,36,136,38,224,540,6146,7161,6514,5011,1660,839,6302,3246,965,1015,4728,912,7980,59655,8977,93405,5,4,0,0,0,0,0,0,3,0,0,37,0,48,101,21,37,13,51,67,11,24,43,13,49,125,11,364,102,24,37,13,51,67,11,24,42,13,45,162,13,407,6213,3955,1562,619,6076,3025,880,932,4344,823,7132,44809,2218,69412,183,58,53,204,142,123,49,46,196,69,282,407,4869,5837,6497,4038,1654,837,6266,3217,944,1003,4582,908,7468,45375,7103,75660
