SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED10077,0,26,197,434,282,229,176,54,15,1414,0,0,0,0,3,4,0,0,0,7,0,0,0,6,5,0,0,0,0,15,11,63,95,587,226,236,195,168,77,1654,86,157,337,844,236,186,149,179,180,2354,2358,4613,7431,17783,5922,5343,3836,2377,1373,51026,0,0,0,15,6,0,0,0,0,24,4245,7201,7296,10648,3796,2972,1644,933,510,39244,0,11,44,211,30,15,8,0,0,324,0,0,0,8,6,12,16,15,3,54,0,4,11,131,13,14,0,5,0,171,0,0,17,56,36,26,29,12,3,183,3,8,18,66,30,7,0,5,0,131,0,0,3,60,23,33,23,20,5,171,25,240,1310,5466,1956,2292,1248,532,314,13373,0,0,0,8,20,36,79,113,47,305,0,8,6,61,40,90,84,46,22,362,10,54,68,229,167,184,107,68,27,919,5,7,19,107,59,83,44,23,8,346,0,0,9,64,10,8,14,5,0,109
SED10078,3,27,96,381,219,247,173,46,41,1241,0,0,0,11,7,0,5,0,0,23,0,0,0,4,6,5,0,0,0,22,8,20,63,637,253,267,312,208,97,1861,62,99,189,659,182,142,130,89,68,1612,1832,3492,4280,15093,5598,4498,3387,2186,1323,41688,0,0,0,10,0,3,0,0,0,16,3436,6340,6382,16654,6217,4242,2375,989,492,47134,0,12,18,121,27,12,6,0,0,194,0,0,0,23,8,16,6,7,0,63,0,10,24,237,20,22,14,6,0,318,0,0,0,27,10,21,10,8,0,82,3,10,10,119,43,28,23,3,0,234,0,9,9,69,32,23,29,14,4,183,4,70,258,1305,485,775,459,207,184,3743,4,0,0,11,18,21,23,50,22,148,0,0,0,21,8,21,44,35,19,145,6,82,106,893,485,405,259,120,48,2402,0,0,8,75,43,37,50,24,0,235,0,0,8,127,35,26,9,4,0,213
SED10079,0,0,0,26,11,0,5,0,0,36,0,0,0,0,4,8,3,12,0,33,0,0,0,3,4,3,0,0,0,13,4,7,9,81,54,71,70,59,31,387,59,173,135,298,156,202,267,273,116,1675,1812,4269,3732,7812,4800,5401,5339,3361,1259,37784,0,0,0,0,0,3,0,0,0,6,3596,8233,7383,13379,7998,8541,7916,4727,1559,63333,0,0,0,7,0,3,0,0,0,14,0,0,0,5,0,3,0,0,0,9,0,6,0,16,5,5,0,0,0,32,0,3,0,9,3,3,0,0,0,21,0,5,3,38,24,15,13,5,0,96,0,0,0,6,12,8,19,3,0,53,0,7,3,33,20,26,21,5,3,123,0,0,0,7,0,17,6,17,3,45,0,0,0,0,0,10,10,14,7,41,4,48,68,220,251,495,567,493,156,2303,0,5,0,13,4,17,13,4,0,49,0,0,0,13,5,9,6,0,0,33
SED10080,0,3,142,266,70,42,26,8,4,562,0,0,0,22,10,9,5,8,0,59,0,0,5,15,6,3,0,0,0,26,14,25,203,1540,211,156,175,95,51,2461,63,112,391,1460,272,209,177,100,46,2822,1378,1809,4891,21921,4726,3978,3219,1745,755,44413,6,11,0,20,0,5,0,0,0,45,2452,2821,4263,16238,4920,4192,3309,1796,686,40664,0,0,19,82,0,0,6,0,0,111,0,0,0,32,5,9,4,4,0,53,0,11,53,812,50,27,7,0,0,955,0,0,13,30,6,3,6,0,0,65,4,8,20,269,56,70,30,5,0,470,0,0,20,191,32,22,7,13,0,279,17,73,809,2605,464,595,376,155,68,5159,0,0,0,27,10,24,9,14,6,101,0,0,6,41,6,13,33,13,4,115,24,85,248,2047,747,699,474,279,89,4682,0,0,12,78,37,19,19,15,7,185,3,20,57,607,95,35,26,17,9,863
SED10081,0,39,15,106,8,12,5,0,0,181,0,0,0,0,4,7,5,0,0,21,0,4,0,10,3,10,3,0,0,29,5,15,10,90,33,26,22,14,8,219,153,411,339,743,338,372,322,297,157,3127,2338,5495,4467,10102,4803,5169,4411,3004,1263,41051,0,0,0,4,0,0,0,0,0,3,4674,10181,8162,15376,7968,8470,7425,4500,1637,68397,0,4,0,27,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12,0,4,0,6,0,0,0,0,0,15,0,8,0,21,7,9,7,3,0,62,0,0,0,0,0,7,0,0,0,9,9,16,6,178,31,31,23,3,0,297,0,0,0,0,5,4,6,4,6,16,0,8,0,20,0,0,3,4,0,39,4,22,23,104,117,215,240,201,55,981,4,6,15,97,12,5,3,0,0,135,0,7,7,8,0,4,3,0,0,26
SED10082,0,3,6,21,11,9,5,0,0,50,0,4,3,22,13,16,7,18,4,91,0,0,0,10,7,7,4,0,0,25,3,32,44,202,114,110,124,78,39,747,51,158,102,309,134,180,226,235,172,1574,1925,4864,4144,8112,5345,5503,5300,3355,1614,40164,0,0,0,0,0,0,0,0,0,0,3783,9091,7523,12087,7608,7637,7074,4186,1705,60686,0,0,0,6,0,0,0,0,0,12,0,0,0,3,8,3,0,0,0,18,0,0,5,78,18,6,9,6,0,116,0,3,0,7,6,0,0,0,0,19,4,19,25,64,57,31,25,11,3,235,0,0,0,18,16,18,15,14,5,82,0,18,12,107,62,58,56,17,6,329,0,0,0,9,8,17,12,28,12,83,0,13,0,39,3,19,26,28,11,131,11,220,280,806,780,917,902,761,269,4959,0,0,0,17,5,22,16,0,0,60,4,3,0,34,21,16,15,3,0,103
SED10083,0,7,7,32,9,6,3,0,0,59,0,4,4,10,11,8,7,11,0,49,0,0,4,8,3,4,0,0,0,30,0,10,24,142,103,96,122,88,28,620,86,208,168,440,206,204,212,218,209,1954,2111,4670,4060,9337,4973,5150,4627,2830,1568,39326,0,0,0,3,0,0,0,0,0,3,4166,8907,7578,14629,7336,7370,6287,3432,1650,61353,0,7,0,35,0,5,0,0,0,45,0,0,0,8,0,0,3,0,0,20,0,3,4,53,9,0,3,0,0,71,0,0,0,0,0,0,3,0,0,4,0,9,3,56,22,32,8,9,0,133,0,0,5,11,15,13,15,15,0,74,0,6,18,83,71,68,58,19,5,324,0,0,0,3,8,12,20,14,7,65,0,0,3,6,4,9,17,15,4,65,15,72,133,464,435,633,663,489,187,3085,0,0,4,36,23,20,11,3,0,96,0,0,0,22,18,15,13,7,5,78
SED10084,0,8,0,24,4,4,0,0,0,42,0,0,0,6,6,13,22,10,8,73,0,0,0,4,8,10,3,0,0,36,5,19,22,190,79,96,100,66,28,596,94,253,197,602,309,321,326,296,208,2608,1908,4457,3771,8926,5176,6119,5950,3935,2022,42255,0,0,0,0,0,0,0,0,0,0,3647,8413,6656,12590,7547,8706,8407,4922,2175,63069,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,4,6,4,0,17,0,19,18,303,36,0,0,0,0,385,0,0,0,6,0,0,0,0,0,9,4,16,7,85,43,42,18,9,0,230,0,0,0,15,0,0,6,0,0,23,0,10,6,63,39,32,19,5,7,178,0,0,0,5,3,3,3,8,0,28,0,0,0,0,0,5,5,5,6,19,16,96,114,426,417,667,805,909,409,3856,0,5,6,16,16,13,12,13,0,73,0,3,0,50,18,11,10,7,7,116
SED10085,0,5,0,19,9,0,0,0,0,30,0,0,0,4,0,3,0,4,0,19,0,0,0,12,5,7,0,0,0,36,3,11,15,92,42,39,44,17,0,262,87,305,263,617,358,377,336,207,133,2688,2136,5224,4093,9270,5214,5344,4221,2331,1023,38853,0,0,0,0,0,0,0,0,0,0,4190,9954,7883,15374,8651,8947,7006,3624,1298,66920,0,3,0,17,0,0,0,0,0,24,0,0,0,0,0,0,5,0,0,7,0,0,7,17,4,0,0,0,0,22,0,0,0,6,4,0,0,0,0,12,3,3,5,27,5,12,9,3,0,60,0,0,0,3,3,3,0,0,0,17,0,19,6,110,39,29,9,5,3,216,0,0,0,0,3,5,7,0,0,19,0,0,0,10,0,0,0,5,0,9,3,15,49,197,184,343,342,243,67,1443,0,0,6,32,21,7,9,0,0,76,0,0,7,22,6,3,10,0,0,44
SED10086,0,7,3,43,39,3,3,0,0,108,0,3,0,50,20,0,4,0,0,77,0,0,3,9,16,24,8,10,9,83,16,76,124,1374,423,339,509,352,199,3403,75,174,167,792,229,171,156,147,106,2014,1992,4123,4108,14842,5383,4217,3672,2510,1217,42063,0,0,0,0,0,0,0,0,0,8,3683,6849,5980,12765,5313,4066,3200,1978,802,44646,0,0,3,15,8,0,0,0,0,29,0,0,0,13,6,4,3,4,0,31,0,15,63,794,40,21,12,0,0,953,0,0,0,0,0,0,0,0,0,3,3,12,15,250,58,48,17,14,4,432,0,4,7,226,24,15,6,13,0,296,6,110,98,480,209,223,127,88,49,1383,0,0,0,18,7,8,14,8,4,63,0,0,0,12,5,24,56,54,22,178,37,222,336,2876,788,521,371,316,107,5579,0,0,0,22,29,17,10,8,0,93,4,12,49,566,66,36,47,17,19,821
SED10087,0,0,4,23,0,0,0,0,0,38,0,0,3,3,0,6,0,3,0,15,0,4,5,20,8,8,3,0,0,51,7,36,34,180,53,46,48,40,17,467,112,274,305,563,261,301,278,219,151,2472,2712,5438,5685,10736,4780,4953,4098,2472,1260,42129,0,3,9,19,8,6,0,0,0,44,5074,9777,9744,16280,7662,8017,6633,3697,1569,68456,3,13,5,59,5,0,0,0,0,87,0,0,0,4,0,5,0,0,0,11,0,0,4,17,4,6,3,0,0,31,0,0,0,3,0,0,0,0,0,0,0,3,3,24,16,10,9,3,0,69,0,0,0,11,3,5,9,0,0,29,6,40,21,204,41,39,22,0,0,372,0,0,0,0,3,6,0,5,8,26,0,24,16,46,19,15,14,0,0,131,4,30,41,140,127,216,206,184,66,1012,0,0,15,118,10,17,3,0,0,168,0,0,0,14,6,3,3,0,0,29
SED10088,0,0,15,46,34,31,13,3,0,138,0,7,0,22,28,8,11,7,3,87,0,0,3,15,21,11,3,3,0,49,10,41,70,635,338,256,181,134,71,1735,52,104,97,324,169,128,120,119,119,1234,2307,5281,4737,10854,6575,4946,3637,2740,1388,42467,0,0,0,14,7,0,6,0,0,30,4542,9674,8057,11592,7318,5263,3691,2670,1241,54053,0,0,0,36,11,3,0,0,0,51,0,0,0,29,18,27,23,8,0,108,0,30,71,954,89,33,14,8,0,1194,0,0,0,8,6,3,3,0,0,21,0,12,28,138,101,59,28,14,5,381,0,3,0,39,17,19,13,16,0,106,5,43,129,650,445,448,220,107,62,2105,0,0,0,45,22,65,71,47,24,272,0,3,5,17,7,17,30,32,15,123,29,260,366,1314,1186,908,581,448,174,5262,0,0,0,38,20,22,22,14,5,125,10,49,33,170,113,42,25,9,4,440
SED10089,0,15,31,100,15,18,8,3,0,194,0,0,0,4,3,9,3,8,3,31,0,7,24,23,10,5,3,0,0,65,29,133,142,361,94,65,69,62,51,1011,73,148,390,466,145,159,199,197,205,1979,2404,4991,6588,12012,5152,4703,4156,2715,1650,44369,5,66,38,131,15,6,0,0,0,265,4647,9038,10920,17888,8078,7372,6090,3636,1802,69467,3,28,22,145,22,18,4,0,0,228,0,0,0,18,15,26,20,11,0,95,0,0,0,47,8,0,0,0,0,60,0,3,7,21,0,5,3,0,0,38,4,8,16,60,33,17,10,0,3,146,0,0,0,13,10,0,3,0,0,36,6,26,125,532,124,94,53,18,4,981,0,0,0,16,13,37,17,29,8,118,7,8,4,26,5,5,9,5,0,65,10,85,126,302,220,264,288,224,89,1604,0,0,12,25,14,14,10,5,0,77,0,3,3,10,7,11,3,0,0,44
SED10090,0,6,31,141,64,26,30,4,3,307,0,0,0,7,11,4,10,6,3,47,0,0,0,8,8,13,8,0,0,38,12,78,59,607,245,170,193,115,86,1557,48,142,118,430,169,111,131,99,106,1357,2251,5559,4411,13707,6597,4963,4207,2301,1379,45372,0,0,0,11,0,6,0,0,0,20,4307,8682,6235,10915,5730,4362,3356,1895,1000,46494,0,4,5,57,5,8,4,0,0,83,0,0,0,10,0,5,3,5,0,26,0,24,21,240,32,6,7,0,0,339,0,3,10,14,8,4,5,0,0,45,0,27,25,113,73,46,26,14,0,319,0,0,5,35,14,17,7,9,0,90,35,404,575,3282,1205,1099,816,356,178,7954,0,0,0,16,21,47,78,87,43,289,0,10,0,31,3,27,37,46,29,179,37,263,252,894,773,621,458,268,108,3673,0,0,3,36,41,19,26,12,4,147,3,23,16,142,49,23,22,15,11,307
SED10091,0,0,0,23,10,4,5,0,0,49,0,0,0,5,10,15,15,8,3,58,0,0,7,13,8,14,5,0,0,40,0,13,26,113,115,120,151,89,42,674,71,205,165,401,234,220,237,250,242,2025,2555,5444,4609,9717,5592,5270,4906,2986,1164,42254,0,0,0,5,0,0,0,0,0,11,5081,10556,8830,15837,8723,7490,6315,3598,1128,67560,0,0,4,24,4,0,0,0,0,36,0,0,0,14,0,10,0,0,0,31,0,0,0,14,0,0,4,0,0,19,0,0,0,21,8,4,6,5,0,40,0,6,11,24,30,26,19,14,3,133,0,0,0,23,18,22,20,4,0,86,0,9,17,67,54,52,25,8,0,237,0,0,0,8,8,40,42,18,9,124,0,0,0,3,7,8,9,20,3,48,0,50,72,318,501,770,874,659,222,3473,0,0,4,36,22,9,13,8,0,91,0,3,5,18,19,13,22,12,6,92
SED10092,5,17,62,103,48,45,43,15,8,343,0,0,0,12,3,18,15,12,0,67,0,0,3,12,3,6,0,0,0,25,6,115,162,476,234,292,306,238,155,1995,91,211,261,613,224,230,239,194,110,2163,2097,4145,6039,11534,5009,5267,4306,3038,1538,42976,0,0,0,12,0,0,0,0,0,19,4077,7253,9860,16283,6938,6538,4269,2394,1059,58666,0,4,25,88,3,7,5,0,0,129,0,0,3,56,25,52,30,24,8,190,0,0,9,73,20,9,3,0,0,119,0,4,6,6,8,9,4,0,0,21,6,12,18,96,29,27,10,4,3,201,0,0,9,30,50,36,69,46,13,244,0,41,141,549,90,94,57,18,18,1009,0,0,0,72,49,85,91,119,62,475,7,7,5,20,13,7,21,8,8,106,5,48,105,311,298,662,543,439,166,2564,0,0,11,34,17,17,12,5,0,102,0,0,3,32,8,19,9,9,7,91
SED10093,0,4,3,36,18,7,5,0,0,69,0,0,0,8,9,13,14,12,0,49,0,4,4,26,15,10,0,4,0,64,0,19,23,148,99,102,115,87,36,621,113,244,252,505,253,220,264,253,174,2278,2569,5278,5039,10323,5363,5070,4436,2954,1410,42439,0,0,0,3,0,0,0,0,0,8,4957,10011,9169,16026,8075,7273,5979,3549,1501,66544,0,0,0,22,0,0,0,0,0,25,0,0,0,3,6,4,0,0,0,11,0,0,0,34,7,7,4,0,0,47,0,0,0,17,4,3,0,0,0,32,0,4,4,41,11,16,14,8,0,95,0,0,0,7,22,20,20,19,0,84,0,10,6,103,68,89,70,21,7,377,0,0,0,6,14,17,15,12,4,68,0,4,3,14,3,11,17,16,13,82,5,58,89,347,360,631,592,504,202,2790,0,4,10,44,28,22,14,3,0,124,0,0,0,9,8,8,6,4,0,41
SED19494,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,8,16,62,19,11,8,5,0,133,92,183,205,568,186,144,55,21,4,1460,203,412,703,1772,666,698,404,104,32,4997,0,0,0,7,0,0,0,0,0,7,266,402,764,1804,880,940,674,162,30,5912,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,21,0,0,0,0,0,3,0,0,0,5,0,0,7,13,3,6,0,0,0,26,0,0,0,9,0,0,0,0,0,17,0,4,4,49,12,12,5,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,7,5,5,0,0,0,0,13,3,3,20,94,28,86,53,19,0,318,0,0,3,12,7,0,3,0,0,23,0,0,9,31,9,4,0,0,0,56
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
