SED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SED10011,343,1817,89,2245,238,1375,53,1667,426,2722,142,3285,690,3395,175,4256,903,3767,159,4834,920,3743,169,4826,1131,3357,165,4651,467,1593,116,2178,56,508,44,610,5174,22275,1111,28560,335,1579,85,1999,246,1150,41,1439,527,2759,129,3414,1007,3490,153,4653,1140,3914,181,5233,1133,4217,163,5516,1339,3652,163,5153,552,2001,150,2704,82,800,156,1034,6360,23562,1226,31147,672,3402,172,4243,486,2524,101,3107,951,5479,270,6700,1701,6886,323,8908,2041,7681,341,10062,2055,7958,328,10340,2476,7007,329,9808,1020,3594,269,4876,139,1307,200,1644,11534,45835,2334,59708
SED10012,169,2626,226,3023,180,2784,190,3155,257,4980,413,5655,208,4091,314,4616,224,4700,334,5257,244,5225,347,5815,196,3559,217,3980,67,1497,164,1730,11,512,151,671,1562,29973,2365,33898,222,2482,175,2884,282,2595,166,3043,279,4790,373,5445,325,4742,333,5410,321,5307,311,5943,348,5188,323,5866,241,3833,217,4292,70,1668,232,1963,7,774,290,1071,2103,31380,2430,35915,394,5105,406,5905,460,5381,357,6201,537,9768,788,11101,534,8838,651,10023,547,10002,648,11201,592,10414,672,11673,441,7392,433,8272,135,3166,394,3696,20,1286,441,1741,3665,61355,4794,69815
SED10013,373,3670,165,4201,262,3424,151,3841,572,8962,444,9979,825,8902,421,10141,763,6828,277,7868,480,4839,213,5524,442,3286,180,3902,203,1505,170,1868,28,402,142,573,3938,41813,2149,47901,485,3436,177,4098,353,3384,188,3919,762,9967,469,11198,1111,8826,410,10344,861,6792,256,7907,603,5204,206,6016,537,3561,181,4280,185,1725,140,2054,27,695,143,870,4930,43589,2173,50690,861,7104,335,8301,614,6811,339,7765,1329,18927,912,21176,1935,17722,834,20491,1624,13621,527,15774,1084,10042,419,11547,982,6845,360,8184,389,3232,308,3922,56,1097,287,1443,8870,85395,4325,98596
SED10014,173,2364,215,2750,200,2522,204,2931,375,5070,419,5865,457,4835,456,5751,378,3949,339,4662,381,3786,255,4422,352,3019,179,3557,157,1417,156,1729,17,280,43,341,2498,27234,2277,32012,193,2261,191,2645,283,2322,196,2798,493,5387,471,6359,563,4919,406,5889,438,4198,283,4925,451,4177,251,4881,433,3411,253,4097,173,1564,193,1935,25,470,128,621,3058,28707,2377,34142,366,4619,404,5396,489,4845,402,5727,870,10456,894,12224,1017,9750,865,11637,821,8145,624,9591,838,7964,507,9305,788,6432,436,7647,329,2981,356,3668,38,753,173,962,5559,55942,4657,66156
SED10015,212,2174,120,2508,231,2845,279,3358,532,6567,707,7808,506,5821,537,6868,543,5372,408,6318,418,4710,302,5429,255,3141,221,3614,118,2031,223,2373,28,862,117,1009,2840,33523,2918,39286,247,1903,119,2266,330,2467,245,3044,627,6066,573,7262,688,5625,482,6789,657,5529,377,6563,505,4788,312,5599,331,3569,237,4138,145,2413,212,2774,27,1080,236,1342,3563,33429,2791,39779,463,4077,234,4773,564,5314,522,6401,1161,12634,1285,15074,1198,11443,1020,13657,1197,10899,781,12879,922,9499,609,11028,586,6705,461,7751,263,4450,432,5144,58,1938,357,2355,6404,66948,5708,79063
SED10016,502,3257,96,3848,386,2814,92,3298,505,4481,162,5147,922,7003,230,8156,1085,6013,191,7288,665,4475,109,5252,531,3210,104,3845,273,1606,101,1979,37,432,103,567,4908,33297,1182,39385,616,2997,79,3696,499,2433,99,3024,561,4924,207,5693,1198,7473,258,8932,1222,6268,182,7669,689,4672,127,5489,579,3565,88,4233,260,1804,78,2139,26,661,49,731,5651,34799,1166,41613,1114,6254,175,7546,892,5249,188,6324,1069,9404,369,10839,2126,14479,484,17090,2299,12289,371,14958,1351,9149,233,10741,1109,6773,196,8082,529,3415,177,4120,61,1090,152,1305,10555,68094,2344,80997
SED10017,201,2326,153,2678,160,2218,274,2648,355,5160,761,6280,574,4481,654,5709,516,4367,509,5395,490,4161,359,5009,540,3488,305,4324,221,1586,192,1998,24,468,76,560,3082,28250,3282,34610,223,2186,154,2566,185,2276,137,2600,505,5472,288,6260,815,4602,236,5658,597,4542,229,5370,642,4322,189,5156,672,3523,202,4398,194,1783,178,2154,34,822,135,999,3873,29526,1760,35156,428,4514,304,5244,346,4492,409,5248,866,10630,1047,12545,1393,9078,895,11366,1116,8906,736,10759,1127,8481,557,10164,1214,7006,507,8727,413,3370,370,4151,55,1290,212,1561,6951,57771,5040,69765
SED10018,248,2024,100,2372,210,1938,85,2233,362,3837,238,4439,716,3869,173,4763,807,3855,190,4844,593,3553,153,4305,569,2784,125,3483,354,1759,99,2214,47,674,93,816,3918,24300,1258,29468,312,1751,76,2144,258,1737,81,2078,523,3957,201,4675,978,4013,169,5159,863,4032,143,5043,637,3892,134,4673,674,3177,144,3994,409,2297,183,2883,49,1183,164,1402,4705,26044,1300,32048,567,3780,171,4512,469,3676,167,4311,885,7790,442,9115,1699,7885,343,9923,1667,7882,328,9887,1235,7452,292,8975,1241,5960,275,7483,753,4063,281,5096,100,1860,258,2215,8620,50345,2556,61524
SED10019,236,1713,243,2183,158,1394,298,1849,307,2768,671,3751,533,2672,624,3823,609,3419,532,4558,912,4382,500,5793,1024,4483,388,5887,511,2438,274,3219,69,803,113,993,4353,24063,3643,32059,231,1471,213,1908,155,1413,166,1731,417,2939,393,3751,727,2786,398,3913,783,3628,366,4773,1090,4470,382,5944,1310,4086,364,5765,633,2414,304,3352,117,1205,206,1529,5466,24411,2787,32658,460,3176,456,4092,310,2806,462,3580,729,5713,1062,7499,1259,5458,1022,7735,1396,7041,894,9332,2001,8852,878,11733,2333,8567,748,11651,1143,4849,585,6572,190,2010,324,2524,9820,48466,6426,64716
SED10020,257,1846,162,2267,154,1558,131,1841,361,3548,352,4267,588,3506,311,4404,745,3630,312,4687,787,3921,296,4999,959,3722,243,4923,393,2015,224,2640,68,701,147,919,4316,24447,2180,30944,290,1796,150,2240,182,1457,121,1760,494,3695,330,4520,885,3683,301,4865,906,3966,266,5136,948,4374,262,5581,1167,3824,265,5252,544,2234,310,3089,67,1054,285,1402,5478,26084,2290,33851,546,3646,314,4505,336,3017,251,3601,853,7248,682,8788,1470,7191,614,9273,1653,7596,578,9821,1730,8293,558,10579,2129,7546,508,10183,936,4253,532,5726,140,1749,433,2320,9790,50530,4469,64798
SED10021,340,1292,77,1712,304,1528,112,1943,773,6889,603,8267,844,5323,382,6551,995,3949,255,5199,738,2973,185,3897,432,2109,163,2708,196,1321,161,1675,36,504,214,762,4660,25892,2162,32714,403,1221,80,1700,445,1759,119,2326,1126,8110,586,9816,1167,5469,361,6998,1277,4112,224,5612,770,3212,158,4142,528,2439,193,3162,254,1524,247,2022,44,763,396,1201,6021,28608,2358,36979,744,2511,157,3413,751,3288,228,4268,1897,15002,1191,18084,2012,10787,744,13545,2272,8061,477,10811,1511,6186,339,8041,960,4554,357,5876,451,2842,408,3698,82,1267,609,1959,10684,54500,4519,69698
SED10022,304,1619,241,2159,190,1337,241,1765,416,2748,545,3713,677,2544,527,3744,829,2965,487,4283,1044,3666,470,5173,1164,3424,398,4981,671,1937,277,2878,89,695,96,887,5381,20932,3269,29587,364,1435,185,1991,205,1260,134,1603,524,2742,288,3553,970,2453,301,3719,1046,3057,278,4378,1177,3602,317,5092,1409,3186,352,4943,734,2014,298,3048,141,1102,139,1383,6561,20850,2300,29708,664,3057,423,4150,397,2597,376,3367,942,5495,832,7264,1646,4992,823,7467,1870,6020,767,8658,2217,7262,785,10269,2570,6610,750,9931,1402,3948,573,5925,230,1796,231,2266,11944,41777,5567,59293
SED10023,351,2107,76,2538,251,1929,57,2231,368,3845,218,4434,616,3992,188,4800,911,4329,172,5415,718,4104,143,4963,643,3097,122,3862,316,1673,100,2097,57,701,63,820,4232,25781,1138,31153,384,1884,62,2323,317,1903,75,2291,418,4065,205,4682,837,4145,183,5160,1006,4452,166,5625,763,4285,135,5181,644,3410,143,4190,334,1911,132,2377,75,1019,183,1278,4775,27064,1276,33116,740,3991,136,4865,568,3826,129,4522,787,7911,421,9116,1456,8138,373,9963,1914,8787,337,11042,1482,8388,274,10139,1288,6501,264,8055,648,3585,231,4469,137,1721,243,2102,9008,52841,2414,64271
SED10024,624,2388,75,3089,399,1922,50,2371,296,2219,74,2585,724,3823,123,4669,1343,4563,136,6039,966,3714,115,4798,755,2772,99,3629,556,2021,78,2658,117,817,64,997,5786,24246,817,30843,745,2055,54,2850,488,1560,51,2093,345,2357,78,2781,1221,4341,138,5704,1742,4769,128,6640,1024,3822,115,4960,845,3176,98,4118,569,2476,121,3170,93,1243,154,1485,7066,25807,936,33810,1373,4444,127,5942,887,3479,97,4465,635,4582,151,5368,1942,8167,262,10375,3083,9331,265,12680,1993,7537,233,9756,1604,5951,200,7746,1126,4501,202,5827,206,2060,223,2489,12847,50054,1747,64649
SED10025,301,1546,64,1908,222,1811,118,2149,516,5288,328,6135,634,5243,275,6152,710,4227,170,5115,621,3695,151,4467,531,2873,176,3570,260,1706,112,2077,44,663,96,801,3837,27053,1484,32376,329,1552,58,1937,288,1740,104,2135,654,5768,345,6765,854,5296,270,6418,1008,4679,162,5855,733,4310,165,5207,637,3392,161,4188,273,2046,181,2497,45,1020,268,1344,4819,29803,1710,36335,627,3099,121,3840,512,3550,221,4287,1167,11056,678,12901,1489,10542,547,12576,1719,8910,338,10965,1351,8010,313,9676,1164,6261,331,7756,534,3742,293,4571,92,1686,364,2140,8655,56853,3198,68709
SED10026,273,1920,304,2494,182,1703,295,2179,486,4467,823,5768,700,3551,679,4923,740,3473,527,4740,757,3737,446,4940,715,2964,346,4024,415,1681,214,2310,66,549,110,719,4325,24043,3739,32109,322,1697,205,2222,203,1742,194,2146,596,4719,554,5872,964,3554,482,5004,934,3586,405,4926,897,3793,382,5069,907,2914,302,4122,529,1843,288,2658,92,866,155,1122,5453,24719,2972,33140,593,3619,507,4721,386,3445,497,4323,1083,9183,1374,11642,1664,7104,1157,9931,1676,7059,936,9666,1656,7536,826,10007,1623,5878,648,8148,948,3524,500,4966,160,1417,265,1842,9785,48760,6710,65249
SED10027,241,2486,147,2882,230,2298,127,2665,374,4296,344,5008,502,4591,313,5407,518,4394,233,5145,392,4266,232,4891,358,2973,185,3513,171,1606,172,1950,26,696,178,905,2815,27611,1935,32363,247,2175,129,2552,305,2090,113,2514,491,4514,340,5350,685,4842,318,5841,586,4627,249,5468,438,4450,187,5073,373,3195,170,3743,193,1899,227,2314,43,954,333,1326,3361,28754,2066,34181,492,4658,279,5435,533,4389,242,5174,862,8813,686,10359,1189,9436,628,11250,1103,9024,476,10610,833,8711,424,9961,729,6169,359,7258,357,3512,396,4263,67,1654,508,2236,6177,56364,4008,66547
SED10028,482,2325,81,2876,430,2211,75,2708,483,3933,204,4616,776,5110,196,6078,1106,4454,131,5687,921,4153,141,5211,768,3100,104,3975,374,1610,150,2136,107,794,160,1067,5437,27690,1243,34371,642,2031,56,2720,604,1842,73,2511,563,4072,191,4828,1180,5454,209,6845,1308,4658,130,6102,1003,4543,124,5668,758,3393,131,4281,493,2041,211,2752,122,1326,366,1810,6671,29360,1491,37527,1124,4354,135,5607,1028,4051,143,5222,1047,8002,394,9443,1956,10566,403,12926,2413,9114,260,11792,1922,8695,267,10886,1527,6498,233,8255,872,3656,359,4884,230,2124,527,2882,12114,57054,2734,71896
SED10029,166,2966,260,3389,196,2860,264,3311,311,5520,543,6370,257,4836,504,5598,240,5149,450,5837,279,5142,425,5845,195,3434,330,3958,74,1825,246,2143,8,567,176,750,1729,32290,3189,37203,199,2628,244,3070,285,2662,215,3171,352,5354,510,6221,339,5257,450,6048,350,5415,437,6198,309,5228,381,5924,230,3754,326,4308,104,1946,276,2327,18,885,298,1203,2193,33137,3134,38459,367,5589,499,6456,481,5519,479,6478,666,10872,1049,12585,599,10093,960,11645,590,10563,881,12037,588,10372,812,11768,425,7193,651,8272,177,3771,518,4466,28,1453,467,1946,3920,65422,6320,75660
SED10030,249,1681,133,2070,189,1772,125,2084,348,3834,318,4503,558,3977,236,4770,625,4118,296,5040,634,4169,273,5075,629,3387,261,4274,345,2151,194,2694,71,699,95,870,3661,25796,1929,31382,263,1578,115,1954,234,1719,130,2087,418,3892,277,4582,809,4045,283,5133,816,4071,252,5136,809,4524,268,5605,866,3899,283,5044,404,2513,259,3172,66,1257,230,1553,4691,27495,2087,34268,513,3263,253,4024,431,3490,257,4175,763,7728,589,9080,1369,8018,517,9907,1438,8190,546,10178,1441,8692,542,10678,1499,7280,545,9324,748,4665,450,5868,140,1960,319,2423,8352,53288,4011,65657
SED10031,289,1954,183,2425,186,1626,195,2011,445,3369,457,4275,713,3262,370,4347,994,3933,459,5385,1144,4299,429,5873,1137,3663,347,5148,582,2040,248,2870,72,621,125,815,5570,24773,2814,33152,347,1752,165,2258,211,1466,112,1786,532,3497,277,4305,977,3425,316,4720,1170,4055,301,5526,1194,4308,348,5850,1394,3699,350,5447,585,2119,270,2977,91,939,153,1182,6501,25259,2288,34048,635,3705,346,4684,403,3091,304,3795,978,6867,733,8576,1694,6697,685,9073,2167,7989,759,10911,2343,8607,781,11725,2534,7366,697,10594,1167,4154,517,5844,155,1563,275,1996,12072,50029,5100,67195
SED10032,227,2367,252,2850,253,3630,495,4378,614,8672,1216,10507,621,7427,890,8939,411,4658,509,5579,272,4031,351,4651,234,2757,214,3205,87,1511,132,1724,15,495,46,553,2736,35549,4107,42386,245,2159,250,2650,371,2994,305,3660,673,8197,972,9846,639,6444,715,7798,457,4627,418,5500,359,4159,349,4862,246,2884,201,3337,107,1659,143,1913,23,772,65,866,3124,33889,3419,40430,469,4528,504,5501,619,6624,801,8039,1292,16869,2190,20354,1261,13874,1604,16733,872,9279,924,11078,631,8188,699,9519,482,5643,417,6544,196,3164,276,3633,33,1273,110,1416,5854,69440,7527,82817
