SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED10011,0,0,0,0,0,0,0,36,0,0,0,3,0,12,0,4,0,0,0,0,0,0,0,22,0,12,45,45,68,41,40,15,0,3,0,0,0,0,5,279,7,42,46,4,7,3,14,6,4,0,0,0,0,0,10,148,0,3,3,7,25,18,33,11,0,0,0,0,0,0,0,115,0,0,0,4,17,17,29,3,9,0,0,0,0,0,5,81,0,3,19,9,8,8,0,3,0,0,0,0,0,0,0,61,0,6,16,34,32,24,14,6,5,3,0,3,0,0,0,151,0,0,0,0,0,3,3,4,7,15,12,7,0,0,0,48,14,123,37,21,35,15,26,13,0,0,0,0,5,0,9,303,8,15,117,227,292,219,138,47,3,6,9,6,0,9,28,1121,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,8,3,3,3,7,3,0,0,0,5,0,0,0,31
SED10012,3,0,3,3,3,0,9,319,0,0,70,155,162,1072,1432,1014,609,424,133,482,107,11,71,5750,0,0,10,9,14,3,0,0,0,0,0,0,0,0,0,38,37,306,365,124,32,18,11,10,5,0,0,0,0,0,52,961,0,6,0,0,4,4,10,6,0,0,0,0,0,0,0,24,0,0,0,0,3,3,12,3,0,5,0,0,0,0,0,31,4,8,56,172,104,79,107,35,19,14,10,28,6,0,24,667,0,0,6,22,71,44,54,59,38,41,32,39,3,0,23,430,0,0,0,0,0,0,7,6,0,3,17,8,0,0,0,39,0,11,6,0,0,0,0,3,0,0,0,0,0,0,0,28,0,0,16,43,83,235,261,169,45,19,25,14,8,3,27,953,0,0,79,113,34,29,3,10,0,3,0,0,0,0,16,293,0,0,0,0,14,11,14,19,7,6,12,3,8,0,0,89
SED10013,8,3,10,3,0,0,0,233,0,0,28,33,31,455,563,239,25,31,22,18,10,5,16,1469,0,12,28,56,86,24,80,97,11,14,13,4,0,0,11,435,38,294,395,114,60,22,14,28,9,5,0,3,0,0,141,1111,0,3,0,0,0,3,12,7,0,3,4,0,0,0,0,39,0,0,0,4,10,15,42,16,0,0,3,0,0,0,4,103,0,8,80,137,159,80,115,49,5,18,8,8,0,6,24,684,0,0,15,15,64,25,42,25,9,10,8,8,0,3,4,226,0,0,0,0,0,23,553,304,30,45,28,49,20,4,13,1072,4,74,20,14,17,17,6,5,0,0,0,0,0,0,9,164,5,4,42,170,290,403,432,275,46,68,58,42,22,9,69,1933,0,4,33,47,29,27,18,7,4,4,0,0,0,0,3,179,0,0,5,7,31,82,244,224,38,37,35,32,12,7,10,767
SED10014,0,7,0,12,0,5,0,169,0,0,7,5,3,151,181,145,19,8,7,3,0,4,7,548,0,7,29,30,35,11,14,19,4,0,0,0,0,0,3,156,9,47,83,31,11,7,7,8,3,0,0,0,0,0,4,215,0,4,0,0,9,17,6,7,3,10,0,0,0,0,0,50,0,0,0,3,13,19,25,16,4,6,0,4,5,0,5,87,0,9,75,112,135,72,116,53,3,7,10,13,5,0,32,650,0,4,9,34,45,31,42,17,3,17,7,5,5,0,13,222,0,0,0,0,0,20,302,139,26,33,41,44,13,0,12,621,0,57,15,9,12,3,4,7,0,0,0,0,0,0,4,103,5,15,31,160,338,486,504,256,45,46,25,37,19,18,97,2080,0,0,21,26,18,18,17,3,0,0,0,0,0,0,0,110,0,0,0,8,30,99,171,182,41,20,27,13,10,0,11,628
SED10015,0,0,4,3,0,0,3,115,0,0,0,0,4,33,29,16,0,0,9,0,0,0,3,98,0,4,22,22,26,36,46,43,0,5,6,3,0,0,3,214,24,361,553,118,46,29,55,72,11,6,4,6,0,0,50,1348,0,0,0,5,23,38,48,30,12,0,3,4,0,0,0,177,0,0,0,135,326,321,350,127,23,12,18,15,12,0,55,1397,16,121,636,904,485,312,219,90,15,27,21,24,13,4,89,2986,0,6,12,60,144,69,214,250,142,206,144,173,28,0,99,1542,0,0,0,3,5,33,541,356,235,439,635,545,108,9,62,2979,0,7,12,0,3,8,3,0,0,0,0,0,0,0,0,31,0,6,27,85,191,223,233,85,5,9,7,9,11,11,31,939,0,10,66,46,47,6,16,5,0,0,0,0,0,0,4,206,0,0,0,10,35,49,98,131,22,31,35,49,24,3,11,504
SED10016,54,64,34,55,16,13,20,1740,0,0,8,3,12,47,20,22,4,3,5,0,0,0,0,132,0,9,27,31,53,59,78,68,11,6,0,6,0,5,6,344,21,222,181,47,25,21,13,18,0,3,0,4,0,0,30,585,0,0,0,0,8,27,46,23,3,0,6,0,0,0,0,126,0,0,4,18,210,326,691,190,32,18,29,26,13,5,29,1594,0,25,107,95,105,71,31,8,3,3,3,3,3,0,9,471,0,7,40,99,270,107,236,158,31,33,22,14,7,0,9,1043,0,0,0,0,3,36,216,74,8,19,14,12,13,0,3,400,8,55,22,15,14,14,29,9,0,0,5,0,0,0,0,172,3,11,55,148,190,227,348,164,22,40,16,19,13,3,25,1281,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,39,75,143,260,290,97,98,70,51,23,23,10,1168
SED10017,3,0,0,0,0,0,3,33,0,0,0,0,0,0,3,12,0,0,0,0,0,0,4,30,0,4,12,16,14,0,15,17,0,0,0,0,0,0,0,83,0,24,24,10,0,0,8,0,0,0,0,0,0,0,10,75,4,0,5,4,3,0,6,5,0,0,0,0,0,0,0,18,0,0,0,0,8,3,32,12,0,0,0,0,3,0,8,68,0,0,0,8,0,0,3,0,0,0,0,0,0,0,16,40,0,0,10,16,19,8,14,14,4,0,3,0,0,0,10,90,0,0,0,0,0,4,35,21,5,11,12,15,0,0,0,107,7,78,15,7,3,7,9,0,4,0,0,0,0,0,0,136,5,10,46,160,183,121,132,63,0,10,17,10,4,5,46,821,0,0,7,3,5,0,4,0,0,0,0,0,0,0,5,12,0,0,0,0,6,4,39,17,3,5,11,0,0,0,3,85
SED10018,0,3,0,0,0,3,0,32,0,0,0,0,0,3,3,4,0,0,3,7,0,0,0,28,0,3,13,13,15,16,47,25,0,6,0,0,0,0,5,143,8,107,63,7,3,6,15,0,0,0,0,0,0,0,14,228,0,0,3,0,0,9,19,14,0,0,3,4,3,0,0,62,0,0,0,4,17,6,43,15,5,0,4,0,0,0,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,16,45,37,6,33,12,7,7,6,3,0,0,0,174,0,0,0,0,0,0,6,21,27,33,23,11,9,0,0,134,9,70,10,9,3,3,11,12,3,3,0,0,0,0,0,142,4,9,45,134,125,130,143,72,17,11,13,8,5,0,19,747,0,25,109,58,25,9,3,0,0,0,0,0,0,0,13,236,0,0,0,0,0,0,3,18,12,0,4,8,0,0,0,51
SED10019,0,0,0,0,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,9,9,5,3,15,14,0,0,0,0,0,0,4,69,7,28,13,5,0,0,4,0,4,0,0,0,0,0,3,74,0,3,0,0,5,9,10,9,0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,11,7,4,5,0,0,0,0,9,3,3,0,9,55,0,0,0,0,0,0,0,0,4,8,6,9,3,0,0,34,19,93,25,18,14,4,19,6,0,0,0,0,0,0,8,208,0,16,74,234,219,107,81,38,4,5,9,8,4,0,85,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,14
SED10020,4,0,0,0,0,0,0,17,0,0,0,0,0,6,3,3,9,82,144,111,20,4,3,390,0,4,17,18,6,22,41,24,3,0,0,4,0,0,4,151,3,40,29,9,0,4,11,7,5,0,6,9,0,0,11,131,0,0,0,0,0,13,28,22,0,6,12,20,5,0,5,118,0,0,0,0,4,0,9,9,3,0,8,13,0,0,0,61,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,19,0,5,17,14,6,12,18,37,46,40,53,78,25,0,19,365,0,0,0,0,4,0,13,10,8,26,16,13,6,0,0,94,17,103,28,25,18,7,15,7,0,0,0,3,0,0,7,240,8,23,107,235,228,150,189,71,18,3,12,11,9,10,44,1109,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,11,9,0,0,5,0,0,0,33
SED10021,4,14,0,11,0,0,6,171,0,0,7,17,7,18,5,15,0,0,0,0,0,0,6,72,0,5,45,38,112,165,442,597,130,177,303,413,183,30,41,2684,10,109,107,41,24,24,94,186,26,38,28,42,5,0,29,756,0,3,7,19,45,51,85,40,4,5,13,0,10,4,8,300,0,0,0,15,33,32,62,26,11,12,4,9,10,0,4,207,12,8,36,47,27,14,9,10,0,0,0,0,0,0,10,171,0,3,32,90,110,64,52,38,24,13,23,23,17,3,4,490,0,0,0,0,0,0,9,19,4,13,23,21,5,0,0,83,3,18,13,9,11,9,35,25,10,5,12,34,12,0,7,204,11,18,87,219,304,308,397,240,49,49,50,68,27,34,53,1926,0,0,7,5,7,8,4,0,0,0,0,0,0,0,0,25,0,0,0,3,10,3,4,9,7,3,4,0,7,0,3,43
SED10022,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,3,4,0,0,0,0,3,15,3,5,8,4,6,3,7,7,0,4,0,4,4,0,0,52,8,25,13,0,8,0,0,5,0,0,0,0,0,0,3,58,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,5,0,0,0,0,4,0,0,4,22,0,0,5,17,14,7,26,9,0,0,0,0,0,0,13,88,0,0,4,8,5,0,5,3,0,6,22,9,0,0,5,74,0,0,0,0,0,6,4,14,12,14,6,0,0,0,0,56,7,73,20,4,5,11,0,0,0,3,0,0,0,0,4,134,3,6,36,86,126,64,71,54,9,5,12,3,0,6,55,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,10,0,5,0,7,0,0,0,34
SED10023,0,3,0,0,0,0,0,42,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,19,0,4,22,29,72,40,93,44,6,3,3,4,4,4,5,345,10,120,122,28,15,12,12,31,4,0,5,8,0,0,17,384,0,0,0,4,17,23,26,10,4,0,0,4,0,0,0,90,0,0,0,4,20,15,20,3,0,0,0,0,0,0,0,71,4,15,28,28,13,6,13,3,0,0,0,0,0,0,7,117,0,3,16,28,30,15,16,12,4,0,3,0,0,0,0,129,0,0,0,0,0,4,8,4,0,6,3,0,0,0,0,29,10,57,18,7,8,9,14,12,0,3,4,3,0,0,6,148,11,22,66,147,179,206,216,103,31,16,14,10,20,9,34,1081,0,3,26,36,16,15,3,0,3,0,0,0,0,0,8,107,0,0,0,0,4,5,6,0,0,0,0,4,0,0,0,24
