SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101041017,1975,2065,4042,383,389,770,925,1014,1942,49,40,93,40,53,86,8,14,24,7,13,16,6,8,12,8,10,20,170,179,350,0,0,0,1214,1327,2541,50,54,108,37,31,66,1681,1803,3484,323,330,653,3985,4203,8186
101041018,2044,2240,4279,395,418,813,892,1015,1908,39,61,100,52,56,109,6,8,7,9,15,25,5,4,3,5,4,9,181,176,356,0,0,0,1190,1337,2530,72,84,149,23,22,49,1681,1858,3540,393,370,765,4113,4470,8582
101041019,2313,2421,4731,572,613,1178,556,633,1185,90,98,189,40,44,86,7,6,8,13,15,22,10,4,11,4,9,12,54,69,125,0,0,0,767,877,1641,73,86,157,27,32,62,1440,1603,3039,336,329,668,4083,4357,8443
101041020,2906,2779,5685,319,341,662,698,703,1407,86,86,177,47,45,93,7,5,5,5,11,21,5,4,6,17,18,28,77,86,173,0,0,0,948,958,1901,36,58,94,17,17,32,1320,1368,2684,422,349,770,4642,4491,9141
101041021,914,977,1885,144,150,295,381,426,810,18,37,53,19,14,33,3,0,3,7,7,6,0,0,5,3,5,7,103,96,203,0,0,0,532,593,1126,29,32,60,13,5,23,722,775,1501,113,136,249,1748,1889,3640
101041022,16,17,29,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,3,4,9,0,5,25,16,43
101041023,868,892,1753,192,221,418,193,235,430,76,60,136,21,18,38,3,4,5,7,9,13,0,0,0,3,4,4,19,13,29,0,0,0,314,346,660,14,21,39,22,18,38,546,603,1154,186,170,362,1603,1662,3269
101041024,1037,959,1998,56,60,119,362,336,700,10,16,21,13,23,31,0,0,0,4,0,6,0,4,3,4,3,3,43,32,74,0,0,0,432,410,843,16,12,30,5,3,8,513,486,1000,190,196,390,1739,1643,3390
101041025,2753,2919,5664,793,870,1665,828,946,1777,272,289,560,73,77,151,10,11,16,16,14,35,0,8,11,11,18,31,117,127,243,0,0,0,1338,1493,2828,70,99,173,32,32,68,2240,2488,4729,334,365,699,5324,5777,11102
101041026,2304,2343,4645,456,440,895,669,719,1390,41,45,87,40,39,83,7,3,14,10,9,24,8,10,11,0,0,5,119,128,250,0,0,0,893,957,1856,28,43,69,19,12,34,1396,1452,2852,407,387,798,4107,4181,8288
101041027,2600,2709,5305,505,558,1065,698,747,1447,111,106,217,29,32,62,3,8,10,18,12,32,3,0,4,4,3,14,139,157,300,0,0,0,1009,1077,2095,60,67,126,31,28,58,1612,1735,3341,416,430,842,4625,4869,9494
101051539,5818,6074,11893,2085,2335,4424,1592,1751,3349,59,64,123,96,105,196,21,9,32,29,24,52,3,4,5,9,6,13,129,175,305,0,0,0,1939,2139,4078,300,272,567,77,99,181,4402,4843,9247,1216,759,1975,11436,11678,23114
101051540,4177,3810,7989,448,475,925,1268,1261,2528,23,25,48,37,37,74,0,3,10,11,6,18,6,0,6,0,0,4,88,85,178,0,0,0,1441,1420,2868,45,41,91,32,30,62,1966,1970,3937,624,576,1195,6766,6357,13121
101061541,1728,1876,3603,435,462,894,375,427,795,36,26,58,32,43,73,4,7,7,9,8,15,4,3,9,4,6,10,222,236,461,0,0,3,679,756,1438,40,39,84,17,22,38,1172,1276,2453,183,150,334,3079,3306,6389
101061542,3717,3691,7417,266,300,567,587,612,1204,24,40,63,51,41,90,20,22,43,26,31,56,10,6,18,13,14,25,787,850,1640,0,0,0,1525,1606,3133,64,63,134,28,29,53,1883,2004,3885,376,350,731,5982,6044,12025
101061543,2765,2936,5700,848,962,1807,689,821,1512,33,36,64,41,43,80,10,3,16,9,17,31,11,8,14,0,5,5,43,50,93,0,0,0,831,983,1816,80,82,161,32,22,52,1786,2051,3839,380,399,783,4933,5386,10322
101061544,2267,2248,4511,303,280,578,533,540,1070,20,20,34,41,37,69,0,3,8,9,4,7,10,9,13,0,3,6,58,62,122,0,0,0,660,671,1332,26,25,51,18,9,25,1008,983,1992,391,358,752,3667,3595,7259
102011028,2199,2195,4395,296,272,566,773,824,1591,23,17,41,14,15,25,0,0,0,9,13,22,0,4,3,10,6,19,4,6,10,0,0,0,834,885,1719,73,86,162,11,15,21,1211,1258,2476,134,115,240,3541,3563,7110
102011029,3274,3432,6702,290,304,600,1238,1237,2468,19,17,42,14,17,30,5,0,10,4,10,21,0,0,7,6,6,3,3,0,4,0,0,0,1288,1288,2584,77,90,168,22,22,42,1679,1711,3389,226,228,455,5173,5372,10547
102011030,1468,1353,2820,74,75,150,514,496,1011,8,9,17,7,12,23,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,534,530,1065,45,32,80,5,6,13,659,652,1310,223,189,410,2343,2191,4538
102011031,3912,4425,8340,281,304,582,1689,1880,3567,25,29,58,26,43,69,3,7,11,7,19,26,3,3,6,5,0,4,7,7,17,0,0,0,1768,1989,3755,137,157,293,37,29,64,2220,2477,4698,420,648,1072,6553,7548,14102
102011032,4285,4641,8927,812,846,1664,3136,3353,6490,57,61,122,80,96,176,19,22,37,45,37,87,14,9,19,5,3,13,17,16,32,0,0,0,3372,3598,6972,519,546,1065,90,67,153,4794,5065,9859,638,641,1278,9716,10343,20061
102011033,1983,2012,3994,196,183,374,687,644,1339,5,3,12,13,9,18,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,707,666,1369,29,41,70,19,13,36,957,899,1857,122,105,222,3061,3019,6072
102011034,1991,2401,4401,141,158,305,821,978,1798,9,12,22,13,14,25,0,6,3,6,0,7,6,4,9,3,0,0,0,0,0,0,0,0,860,1021,1878,63,65,134,18,27,41,1085,1275,2352,169,278,454,3252,3954,7207
102011035,2060,2156,4216,93,111,203,898,958,1857,9,9,20,25,20,44,3,4,8,9,8,18,0,0,0,0,0,0,0,6,6,0,0,0,946,1009,1954,54,58,114,29,7,40,1122,1179,2302,88,91,184,3275,3431,6703
102011036,2483,2504,4987,145,147,297,933,1008,1944,8,12,16,20,24,49,0,0,0,4,4,4,0,4,3,3,4,7,8,6,10,0,0,0,976,1062,2040,49,69,116,25,37,65,1196,1319,2514,122,133,257,3801,3953,7753
102011037,1917,1999,3916,116,131,245,727,749,1477,12,12,24,15,17,26,7,3,11,5,0,3,0,4,3,0,0,0,6,3,4,0,0,0,764,793,1558,64,74,132,25,14,42,969,1013,1982,136,187,322,3021,3199,6217
102011038,2115,2250,4360,232,235,465,757,787,1544,3,11,9,9,10,23,3,0,7,7,5,9,0,0,0,0,3,3,0,4,3,0,0,0,784,820,1603,39,44,87,16,13,21,1065,1107,2174,129,135,268,3308,3496,6806
102011039,3624,3749,7381,589,584,1172,1903,2078,3975,49,43,96,52,55,107,7,6,10,13,13,19,9,14,19,7,9,14,13,8,17,0,0,0,2046,2220,4267,235,250,482,50,39,88,2922,3091,6010,354,356,712,6905,7199,14103
102011040,6152,6691,12843,1206,1284,2484,2454,2883,5338,56,62,120,68,72,135,8,8,10,20,25,46,7,9,12,4,11,14,11,15,29,0,0,0,2630,3082,5711,240,244,482,98,94,193,4164,4704,8873,761,885,1639,11081,12279,23361
102011041,2920,3097,6014,269,248,517,1357,1443,2801,13,15,22,27,27,54,4,0,9,3,4,4,0,4,8,0,0,4,0,4,8,0,0,0,1413,1494,2906,114,112,220,32,24,53,1817,1878,3697,183,202,384,4924,5174,10097
102011042,3683,3997,7680,399,428,832,1650,1923,3570,21,25,50,23,23,49,8,3,10,13,25,37,0,0,0,0,3,7,9,11,25,0,0,0,1739,2016,3747,121,150,269,73,80,148,2323,2676,5000,423,496,921,6435,7168,13604
102011043,3012,3331,6347,242,255,493,1323,1421,2745,16,18,29,32,28,62,7,6,7,4,0,9,0,0,0,5,0,5,7,11,18,0,0,0,1385,1490,2872,101,109,211,70,56,124,1791,1914,3704,308,383,691,5113,5622,10738
102021044,6019,6629,12650,737,803,1546,2402,2638,5035,34,39,71,42,69,112,0,0,7,8,10,22,8,3,11,7,11,17,11,8,17,0,0,0,2503,2788,5292,131,131,261,78,75,147,3450,3793,7246,676,822,1502,10152,11243,21393
102021045,2873,2959,5835,401,438,836,1405,1523,2935,11,12,23,31,34,63,4,7,14,0,4,4,0,4,7,3,11,16,6,4,15,0,0,0,1467,1605,3073,31,37,69,53,48,106,1954,2130,4083,257,265,522,5091,5355,10444
102021046,2588,2657,5245,300,286,581,1167,1297,2468,4,10,20,17,35,51,4,5,8,9,12,17,5,3,6,0,3,7,0,6,8,0,0,0,1213,1362,2576,29,40,68,32,21,60,1567,1711,3277,327,343,666,4481,4712,9190
102021047,4467,4699,9165,493,563,1058,1749,1877,3629,22,19,43,27,33,52,11,12,25,19,15,34,4,5,6,0,4,6,8,11,22,0,0,0,1838,1976,3818,80,103,191,46,55,100,2461,2700,5162,311,374,686,7245,7768,15013
102021048,5562,5917,11476,781,853,1635,2590,2792,5386,23,21,37,60,75,141,5,3,9,12,21,30,9,12,25,3,3,10,3,3,9,0,0,0,2707,2931,5641,105,145,250,124,121,241,3719,4047,7765,854,945,1798,10135,10908,21033
102021049,1061,1031,2094,27,39,65,432,447,881,4,0,7,3,7,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,442,462,903,19,16,30,12,0,10,496,515,1010,92,78,171,1653,1628,3281
102021050,3001,3231,6226,266,315,584,1292,1403,2699,11,8,17,37,30,72,0,3,3,5,5,8,6,3,8,0,0,0,5,6,8,0,0,0,1348,1461,2815,26,36,60,41,30,73,1686,1847,3538,328,366,693,5015,5447,10462
102021051,1488,1463,2952,64,74,133,600,639,1241,5,4,13,6,9,18,0,3,3,4,6,10,0,0,0,0,0,0,5,6,12,0,0,0,622,674,1298,43,30,70,10,8,10,734,774,1515,106,84,196,2333,2324,4664
102021052,1773,1723,3493,216,264,478,827,843,1668,9,12,21,16,16,35,0,3,0,4,8,15,0,0,0,0,0,0,3,5,9,0,0,0,863,889,1750,23,21,44,21,22,44,1122,1196,2319,165,164,327,3053,3086,6143
102021053,3613,3826,7440,622,721,1343,2051,2322,4376,26,37,63,64,70,129,4,3,9,7,10,16,0,8,3,3,3,8,8,6,15,0,0,0,2169,2457,4632,151,159,317,68,71,139,3010,3416,6428,610,618,1226,7232,7862,15092
102021054,2525,2524,5052,355,371,720,1213,1351,2568,14,18,31,31,46,74,3,6,4,3,3,7,0,4,0,8,6,9,9,6,14,0,0,0,1278,1432,2714,57,60,121,46,47,91,1729,1909,3641,328,349,679,4583,4781,9368
102021055,1344,1479,2827,106,109,215,678,758,1434,10,7,21,12,19,32,0,3,8,8,8,12,3,0,3,8,3,9,4,4,10,0,0,0,718,801,1521,48,60,111,24,30,52,898,995,1895,100,106,206,2340,2583,4924
102021056,4179,4416,8594,732,855,1587,3091,3456,6548,26,29,57,61,82,146,21,9,27,24,19,44,0,0,4,0,4,7,10,18,33,0,0,0,3232,3627,6859,177,180,358,105,105,212,4249,4767,9019,466,495,960,8889,9684,18574
102021057,2282,2215,4495,226,264,496,1231,1303,2534,16,13,24,23,24,47,0,3,0,0,10,7,7,0,12,0,0,0,9,5,20,0,0,0,1287,1363,2648,84,102,186,50,34,84,1648,1760,3408,342,337,677,4266,4307,8577
103011059,3087,3036,6121,626,617,1245,1482,1666,3149,25,27,52,38,40,74,11,7,19,3,8,14,0,4,3,3,3,5,6,8,13,0,0,0,1572,1756,3331,68,73,135,45,44,89,2312,2490,4801,290,327,617,5693,5851,11543
103011060,2123,2013,4137,116,106,220,714,723,1437,7,14,21,11,17,33,0,0,0,7,0,7,0,0,0,4,4,3,0,5,6,0,0,0,749,754,1502,18,23,45,18,9,25,899,889,1788,437,214,647,3460,3117,6574
103011061,1266,1204,2466,261,266,521,365,383,743,17,11,23,25,17,45,6,3,7,4,8,13,0,0,0,0,0,3,0,0,3,5,0,5,421,419,840,47,35,87,15,6,17,744,724,1468,409,266,674,2413,2194,4607
103011612,1913,2088,4001,481,506,979,1499,1660,3159,27,28,58,55,66,121,7,14,23,10,5,16,3,9,14,6,7,8,9,16,22,0,0,0,1614,1802,3414,187,196,377,61,44,105,2335,2548,4881,1086,327,1409,5334,4960,10292
103011613,3413,3567,6980,749,796,1550,1712,1881,3591,27,30,60,46,69,117,13,14,30,16,11,29,6,3,16,6,15,27,10,10,21,0,0,0,1843,2038,3877,76,103,184,45,43,91,2712,2985,5703,331,366,694,6461,6921,13379
103021062,1785,1714,3501,423,466,888,269,266,542,13,10,30,13,13,29,9,0,7,9,5,10,4,0,4,0,0,3,5,3,8,0,0,0,324,311,631,56,52,105,16,12,30,817,836,1652,387,409,801,2984,2966,5956
103021063,2447,2487,4934,663,749,1416,571,678,1248,30,34,64,41,46,85,0,3,11,6,7,11,0,0,0,0,0,4,35,30,66,0,0,0,693,801,1497,65,57,128,27,19,40,1441,1633,3076,374,355,731,4261,4481,8741
103021064,1686,1620,3304,193,228,425,452,457,909,13,9,24,15,21,31,0,4,12,7,4,10,0,0,8,3,0,6,13,13,28,0,0,0,496,512,1010,22,22,42,17,14,29,730,774,1508,316,328,645,2731,2730,5453
103021065,2728,2749,5472,780,805,1585,503,536,1039,15,19,37,45,40,88,4,11,17,19,13,31,0,7,8,5,13,15,8,11,13,0,0,0,598,642,1242,41,48,89,46,34,85,1463,1537,2998,491,460,953,4682,4743,9427
103021066,1169,1081,2251,186,198,388,199,205,405,8,7,17,13,3,15,0,3,3,4,0,7,0,0,0,0,0,0,13,6,22,0,0,0,242,229,471,8,11,19,12,10,15,446,448,890,142,147,295,1754,1676,3437
103021067,2756,2925,5679,947,1040,1987,637,685,1325,30,20,55,59,70,132,11,6,25,14,14,32,0,0,0,3,3,6,3,0,9,0,0,0,769,816,1582,68,69,133,23,22,46,1805,1949,3755,426,361,787,4984,5235,10222
103021068,1016,913,1924,109,106,214,232,244,477,8,5,13,16,15,33,0,0,0,0,4,7,0,0,0,4,5,4,4,0,6,0,0,0,266,274,541,6,10,14,11,10,16,392,392,787,187,159,345,1597,1463,3061
103021069,1610,1541,3153,309,355,664,260,264,526,17,26,36,36,39,74,13,5,17,16,23,40,3,6,14,0,3,4,9,7,22,0,0,0,362,368,727,19,36,57,7,7,18,695,770,1468,287,270,556,2596,2577,5171
103031070,3323,3472,6792,787,820,1612,885,944,1826,17,11,28,52,44,95,10,11,15,9,7,17,5,5,8,0,0,0,3,0,4,0,0,0,975,1025,1996,51,80,130,21,11,34,1833,1939,3768,784,467,1246,5937,5875,11811
103031071,2584,2448,5035,232,252,485,802,806,1611,12,5,15,15,20,33,0,0,8,7,6,18,0,0,3,6,3,6,3,0,9,0,0,0,849,842,1691,29,41,73,21,23,44,1141,1159,2300,377,361,738,4100,3972,8069
103031072,2635,2737,5376,1023,1080,2099,1295,1399,2693,25,32,53,118,130,246,12,7,21,31,32,60,5,4,5,11,18,27,3,9,12,0,0,0,1492,1628,3120,95,109,198,45,40,82,2654,2854,5509,383,397,778,5668,5990,11661
103031073,1028,932,1959,154,171,327,268,272,542,5,7,13,11,15,18,0,7,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,285,295,584,13,6,18,12,5,14,460,482,942,190,171,356,1673,1583,3258
103031074,3130,2825,5954,422,430,852,1158,1146,2296,10,11,20,53,56,104,6,4,13,8,7,17,11,3,14,8,7,13,0,4,8,0,0,0,1249,1235,2484,41,40,74,34,36,70,1747,1740,3490,583,508,1085,5458,5069,10529
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,2073,2073,4147,465,502,967,569,633,1196,14,14,27,28,31,61,3,4,6,5,7,11,5,5,6,3,0,3,10,10,22,0,0,0,640,701,1341,27,31,57,20,17,36,1147,1247,2399,273,253,525,3495,3575,7067
103041077,4419,4782,9197,927,999,1926,2035,2255,4292,41,50,83,81,99,176,21,22,45,23,23,42,4,8,14,18,12,27,26,27,48,0,0,0,2240,2490,4738,208,236,443,94,73,166,3474,3798,7269,658,707,1366,8546,9289,17831
103041078,4936,5277,10213,1440,1533,2973,2614,2879,5497,78,70,146,144,141,289,31,26,59,28,40,65,12,11,23,13,14,31,34,39,70,0,0,0,2955,3223,6172,245,285,530,86,76,155,4719,5115,9834,544,537,1079,10205,10928,21129
103041079,3547,3456,7008,445,441,886,1072,1029,2105,19,28,44,34,27,62,0,8,8,9,10,23,3,5,8,0,3,7,9,15,20,0,0,0,1154,1128,2278,39,54,101,31,17,49,1670,1647,3320,421,422,845,5640,5530,11167
104011080,4804,5042,9851,1429,1669,3097,1155,1347,2498,44,58,107,242,262,498,11,9,24,13,21,28,10,7,19,9,18,28,3,8,12,0,3,3,1493,1725,3221,75,99,173,83,89,171,3087,3577,6665,791,824,1620,8681,9451,18132
104011081,4796,4492,9288,468,490,953,1358,1373,2731,58,73,126,194,191,384,14,16,32,20,21,39,6,4,6,12,15,29,6,8,14,0,0,0,1673,1697,3368,36,50,82,54,34,92,2225,2275,4504,1635,766,2397,8661,7528,16189
104011082,4474,4532,9012,1135,1292,2431,1102,1258,2360,133,149,276,395,450,841,15,18,30,48,49,96,14,7,24,36,35,70,12,18,29,0,0,4,1752,1981,3738,134,130,266,67,67,139,3088,3474,6566,636,585,1219,8201,8594,16797
104021083,1559,1687,3253,273,348,621,477,505,988,67,65,129,67,71,137,4,6,12,6,13,22,4,3,5,7,14,21,3,14,18,0,0,0,636,693,1330,53,53,109,21,23,52,987,1123,2107,270,266,531,2817,3073,5893
104021084,4183,4654,8838,768,816,1581,1806,2043,3850,103,126,230,178,193,370,28,27,54,35,31,65,14,17,27,8,8,16,9,17,31,0,0,0,2180,2465,4646,321,360,681,55,54,109,3329,3688,7019,649,673,1315,8157,9009,17164
104021085,2289,2636,4931,294,348,639,1277,1490,2766,32,48,83,100,111,212,16,11,22,13,12,25,9,4,14,9,6,12,13,12,24,0,0,0,1461,1704,3164,331,341,673,96,100,204,2181,2488,4671,536,631,1171,5010,5766,10772
104021086,1153,1082,2236,89,76,157,415,440,853,20,29,47,38,35,63,0,0,3,5,7,15,0,0,0,5,8,10,4,4,7,0,0,0,483,522,1006,16,21,35,8,4,10,595,616,1213,155,155,308,1901,1851,3754
104021087,924,900,1826,135,162,292,232,226,461,5,18,23,38,39,73,0,0,0,5,9,11,0,5,7,9,4,10,5,4,11,0,0,0,305,299,601,13,15,28,16,7,22,459,485,947,174,157,332,1563,1545,3108
104021088,2405,2462,4866,412,442,854,1294,1351,2647,71,83,157,130,159,289,0,7,13,9,25,40,5,9,16,13,7,24,19,21,42,0,7,8,1548,1681,3227,123,144,265,51,44,93,2134,2304,4435,183,191,381,4716,4964,9682
104021089,5296,5727,11024,1073,1167,2243,1626,1813,3438,87,102,189,181,208,388,15,12,22,24,24,49,7,7,18,15,13,23,22,21,42,0,0,3,1981,2194,4170,159,183,335,96,80,173,3302,3614,6924,570,553,1123,9174,9896,19068
104021090,1288,1323,2611,171,194,364,517,549,1058,30,24,56,38,39,71,3,3,7,6,11,7,0,0,0,11,6,18,3,0,3,0,0,0,598,637,1235,33,40,72,21,12,33,824,875,1705,197,209,408,2311,2407,4715
104021091,3503,3467,6968,822,909,1734,1168,1298,2468,110,106,222,214,216,421,12,8,16,22,28,51,4,7,12,8,15,27,15,23,38,0,0,0,1558,1700,3261,319,408,728,73,64,134,2773,3083,5852,428,426,849,6696,6971,13670
105011092,856,858,1714,143,156,295,181,190,369,11,12,22,27,26,55,4,4,9,5,4,10,0,0,0,3,0,9,0,0,0,0,0,0,227,238,466,27,30,57,13,10,23,405,431,843,303,318,617,1562,1607,3173
105011093,994,958,1949,276,295,572,205,191,399,20,26,48,34,44,82,14,11,22,14,7,23,9,4,11,0,0,0,0,6,0,0,0,0,300,289,588,44,47,85,11,5,18,626,638,1266,334,304,632,1955,1896,3848
105011094,1052,1013,2059,205,232,441,196,235,436,8,7,12,18,23,35,3,6,5,0,0,4,0,0,0,3,0,0,0,3,3,0,0,0,230,272,504,18,17,35,15,10,26,466,527,993,268,287,554,1783,1822,3607
