POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2018,0,0,0,3,0,0,0,0,0,4,4,8,19,120,56,47,28,8,3,293,0,0,0,21,3,5,4,0,0,47,0,0,7,14,9,4,6,4,0,40,0,0,3,25,5,5,7,0,0,45,0,0,5,29,14,7,9,3,0,65,0,0,3,0,4,8,4,9,4,33,0,0,10,16,6,13,3,0,0,48,0,0,3,33,4,0,0,0,0,46,3,0,3,73,14,14,5,0,0,114,0,0,0,8,4,5,5,5,0,19,0,0,9,44,61,40,40,22,0,212,0,10,10,26,7,3,0,0,0,56,0,0,7,40,19,17,11,0,0,97,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,8,26,92,526,195,259,227,131,47,1518,62,94,190,460,135,110,86,71,26,1236,997,1598,2571,5952,2028,1521,1236,841,274,17028
POA2019,0,0,0,4,0,0,0,0,0,6,0,7,20,75,51,39,11,4,0,211,0,0,0,9,3,0,3,0,0,20,0,0,3,17,17,14,10,7,0,69,0,0,0,7,0,4,8,0,0,21,0,3,12,36,19,10,3,0,0,87,0,0,0,3,3,3,0,0,5,24,0,0,0,9,4,3,0,0,0,20,0,0,0,8,0,0,0,0,0,8,0,3,0,21,0,0,0,0,0,32,0,0,0,0,0,7,7,7,0,23,0,0,0,9,7,0,3,0,0,23,0,3,3,11,5,4,4,0,0,29,0,0,3,16,4,4,0,0,0,31,0,0,0,7,3,0,0,0,0,12,0,0,0,10,4,0,0,0,0,9,0,12,37,237,92,97,66,28,10,577,44,62,88,255,95,77,39,36,6,700,809,1424,1251,3477,1545,1043,695,414,184,10838
POA2020,0,0,0,3,0,3,0,0,0,5,3,20,30,195,57,60,21,9,0,396,3,0,3,20,5,6,0,0,0,43,0,0,3,19,3,8,7,0,0,42,0,0,15,49,6,3,0,0,0,71,0,0,6,32,5,10,4,0,0,57,0,0,0,9,3,3,3,0,0,12,0,0,0,17,8,5,3,3,0,35,0,3,8,64,9,3,0,0,0,92,0,14,20,231,16,12,3,0,0,286,0,0,0,3,6,7,4,3,0,15,0,3,3,27,38,11,12,5,0,94,0,0,11,20,3,5,0,0,0,39,0,0,13,44,22,17,7,0,0,105,0,0,3,0,6,0,0,0,0,16,0,0,3,5,3,0,0,0,0,17,11,25,84,459,105,123,89,41,19,961,47,54,143,452,104,92,53,36,6,983,866,1098,2396,6393,1522,1199,695,466,139,14772
POA2021,0,0,0,11,4,3,0,0,0,24,0,3,10,41,11,4,5,0,0,71,0,0,0,17,3,10,3,0,0,37,0,0,3,49,15,10,17,4,0,96,4,11,4,23,6,3,0,0,0,55,0,0,10,84,23,25,15,3,0,166,0,0,0,3,0,0,0,6,0,12,0,0,0,8,3,6,0,0,0,16,0,0,0,13,0,0,0,0,0,13,0,7,8,49,3,5,3,0,0,73,0,0,0,3,3,0,0,0,0,5,0,0,0,6,6,0,0,0,0,15,10,25,25,126,40,17,11,3,0,264,0,0,6,22,9,7,0,0,0,44,0,0,0,21,5,0,3,0,0,34,0,0,0,5,3,5,3,0,0,13,7,14,45,379,75,55,77,40,17,704,72,96,167,690,203,124,108,56,29,1539,810,1194,1451,6521,1979,1407,1218,546,200,15313
POA2022,0,0,0,3,3,0,3,0,0,13,0,8,9,66,21,9,3,0,0,123,0,0,3,39,3,13,6,6,6,73,0,0,9,26,6,12,13,6,0,68,3,0,8,16,4,5,4,3,0,55,0,8,11,80,39,37,19,31,13,223,0,0,0,0,3,0,0,0,3,11,0,0,0,8,0,0,3,3,0,8,0,0,7,18,9,0,0,0,0,38,0,0,6,49,12,4,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,10,17,25,72,28,16,9,3,3,184,0,0,3,22,7,3,4,0,0,39,0,0,0,17,3,0,0,0,0,25,0,0,0,4,0,0,0,0,0,8,6,22,106,599,100,105,136,105,79,1254,65,120,141,638,168,140,113,102,49,1538,741,1101,1239,4924,1483,1146,926,651,305,12507
POA2023,0,4,6,3,0,3,0,0,0,19,0,6,0,36,10,9,0,0,0,65,0,0,0,13,0,5,24,10,16,63,0,3,3,22,11,5,4,7,0,45,0,17,8,7,5,12,3,3,0,57,3,10,22,155,84,117,91,26,7,520,0,0,0,3,0,0,4,0,0,14,0,0,0,4,0,0,0,0,0,8,0,0,0,0,6,4,0,0,0,9,0,0,4,9,0,0,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,31,23,38,18,14,4,0,0,133,0,3,3,8,4,0,0,0,0,19,0,0,0,4,3,0,3,0,0,12,0,0,0,3,10,3,0,0,0,21,5,27,55,294,107,90,145,63,42,826,41,61,85,298,124,88,82,45,26,855,570,1364,1292,3279,1437,1157,994,429,194,10716
POA2024,0,0,0,3,6,3,0,0,0,9,0,0,3,5,3,4,7,3,0,29,0,0,0,22,3,3,7,3,4,45,0,0,0,26,14,12,13,7,0,64,0,7,3,4,3,4,3,0,0,35,0,3,3,68,41,15,10,8,0,150,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,4,3,14,8,0,0,0,0,26,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,8,28,12,74,17,6,3,3,0,147,0,0,3,11,0,0,0,0,0,12,0,0,0,17,0,3,8,0,0,22,0,0,0,8,3,0,0,0,0,11,3,21,28,279,72,89,97,62,44,703,55,82,74,330,140,90,71,91,123,1069,698,1331,967,3719,1601,1022,779,512,445,11073
POA2025,0,0,0,0,0,0,0,0,0,7,0,11,4,24,6,0,0,0,0,48,0,0,0,3,0,5,4,3,11,25,0,0,4,19,10,4,8,6,0,46,3,5,4,13,10,4,4,0,3,42,3,0,3,69,21,35,22,28,8,195,0,0,0,0,3,0,3,0,0,3,0,0,0,10,4,0,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,0,4,12,0,0,3,0,0,17,0,0,0,3,0,0,0,3,0,12,0,0,0,3,3,0,0,0,0,6,16,19,6,29,15,11,10,4,3,108,0,0,0,8,3,3,0,0,0,16,0,0,0,4,3,0,0,0,0,13,0,0,0,9,0,0,0,0,0,9,0,5,28,134,40,33,42,28,32,347,31,57,60,202,85,83,116,90,57,779,420,671,615,2384,921,791,825,499,281,7405
POA2026,0,0,0,13,4,0,0,0,0,22,0,3,14,89,19,18,11,3,0,167,0,0,4,65,3,18,22,11,28,144,0,0,9,104,23,18,21,12,0,188,0,5,0,23,5,12,17,17,5,84,0,17,81,469,186,141,88,65,17,1065,0,0,0,9,9,7,3,8,0,31,0,0,0,11,5,3,0,0,0,20,0,0,0,12,4,0,0,0,0,15,0,7,5,47,13,4,3,0,0,80,0,0,0,14,4,4,3,0,0,21,0,0,0,23,8,7,0,0,0,41,19,39,32,353,56,40,17,0,0,551,0,0,0,15,15,3,3,0,0,29,6,0,3,58,9,7,3,5,0,82,0,0,4,7,10,3,3,3,0,29,25,56,323,1683,287,253,324,204,95,3253,180,220,325,2072,436,265,229,143,69,3933,1939,2732,2832,15742,3674,2321,1756,1009,483,32490
POA2027,0,0,0,3,0,0,0,0,0,8,0,0,6,17,9,5,0,0,0,38,0,0,0,19,0,3,4,5,10,51,0,0,0,14,12,9,4,8,0,45,0,13,4,8,3,4,3,0,0,42,0,0,3,79,25,62,52,26,19,257,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,3,0,5,3,0,0,9,0,0,0,0,0,26,0,0,3,17,3,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,5,16,41,23,13,19,5,0,128,0,0,0,17,7,0,0,0,0,28,0,0,0,16,0,0,0,0,0,19,0,0,0,5,3,0,0,0,0,11,9,14,12,123,41,44,99,42,46,433,34,55,81,330,126,142,148,98,65,1088,329,573,616,2557,945,1020,1106,640,412,8195
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,3,0,0,20,0,0,0,3,0,3,3,5,4,19,0,0,0,10,0,0,0,0,3,22,3,9,3,7,0,5,0,0,0,26,0,0,7,58,11,28,32,10,4,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,14,3,31,11,4,6,0,4,81,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,5,12,110,25,24,63,31,24,291,25,23,28,198,50,42,51,39,24,481,221,305,402,1725,472,505,522,321,171,4642
POA2029,0,0,0,4,0,0,0,0,0,10,0,6,12,36,19,9,7,0,0,84,0,0,0,11,3,6,19,7,12,58,0,0,0,13,9,3,3,4,0,37,0,10,0,6,4,3,3,0,0,34,6,14,60,284,167,140,121,58,15,865,0,0,0,5,0,8,0,3,0,17,0,3,6,4,3,0,0,0,0,17,0,0,0,13,0,0,0,0,0,12,0,0,3,6,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,7,0,18,9,54,11,7,5,0,0,114,0,0,6,10,0,3,0,0,0,14,0,0,0,8,3,0,0,0,0,9,0,0,0,5,16,3,4,3,3,35,9,24,35,315,105,97,151,53,38,823,39,60,72,270,90,70,78,53,44,779,607,1186,981,3265,1226,924,933,525,303,9961
POA2030,0,0,3,5,6,0,0,0,0,17,0,7,4,34,10,7,7,0,0,69,0,0,0,9,3,12,23,9,21,74,0,4,0,15,5,5,4,0,3,37,3,8,10,7,6,5,7,4,0,52,3,30,124,317,357,288,124,54,22,1318,0,0,0,0,0,4,3,3,0,20,0,0,0,3,5,3,7,4,3,20,0,0,0,9,3,10,3,0,0,26,0,3,4,7,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,6,0,0,0,6,10,0,3,3,3,27,4,38,41,43,34,17,7,4,0,186,0,0,0,7,7,0,0,0,0,23,0,0,0,5,3,0,0,0,0,9,0,0,3,3,10,10,3,0,0,38,4,36,65,336,154,170,205,78,60,1110,43,100,91,201,135,111,94,53,28,859,817,2173,1847,3121,2160,1701,1246,633,373,14079
POA2031,0,0,0,13,14,5,3,0,0,38,0,13,34,198,60,36,18,6,0,368,0,0,0,55,11,22,13,3,45,155,4,10,13,125,38,43,18,17,4,274,6,18,42,64,9,11,4,7,3,175,0,12,42,197,102,60,38,32,22,507,0,0,0,8,3,4,8,3,3,35,0,0,3,44,4,11,12,0,0,82,0,5,10,27,12,5,4,0,0,55,0,4,18,82,17,11,5,0,0,135,0,0,0,3,3,0,0,0,0,5,0,3,0,8,13,5,4,0,0,28,17,29,31,155,60,25,16,4,0,340,0,3,27,65,14,13,5,3,0,124,0,3,0,38,11,9,8,0,3,71,0,0,9,26,8,6,3,0,0,54,21,57,137,1033,281,254,239,137,117,2267,130,159,402,1078,314,234,194,142,161,2812,2182,3327,3995,13674,4250,3101,2144,1210,847,34726
