POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2019,468,221,161,4,0,854,511,449,489,8,3,1461,95,146,537,11,8,802,10,61,108,0,0,181,45,21,75,11,8,158,3,3,11,0,0,20,3,19,28,5,0,59,4,4,4,0,0,13,166,255,762,22,14,1224,8,3,8,0,0,20,32,24,38,0,0,101,1187,953,1457,35,20,3653
POA2020,744,90,258,3,3,1100,561,122,784,4,10,1479,214,58,1704,14,18,2000,10,22,45,0,0,71,68,22,214,3,3,304,8,3,12,0,0,15,10,0,54,0,4,66,5,0,11,0,0,14,309,105,2027,11,24,2472,4,3,15,0,0,23,42,14,67,0,0,128,1662,335,3156,21,36,5208
POA2021,125,1168,334,8,8,1644,77,1054,389,15,3,1541,23,868,1415,19,12,2329,0,9,36,0,0,47,11,234,294,11,3,558,0,3,11,0,0,16,7,14,15,0,0,36,3,17,9,0,0,30,36,1149,1776,31,19,3016,3,21,19,0,0,41,6,86,47,3,12,156,251,3481,2570,56,41,6387
POA2022,271,472,534,59,5,1345,198,507,322,21,5,1057,58,271,1139,83,3,1550,0,5,59,0,0,64,30,92,257,20,5,409,0,6,25,0,0,33,3,3,23,4,0,31,6,8,20,3,0,27,96,383,1521,113,13,2116,0,0,20,0,0,24,11,42,105,4,3,161,577,1406,2493,203,27,4705
POA2023,712,75,553,3,9,1353,472,61,576,0,3,1107,61,19,915,12,4,1006,0,0,0,0,0,0,37,3,187,3,0,231,0,0,0,0,0,0,4,0,18,0,0,19,3,6,19,0,0,27,98,28,1142,12,4,1293,10,0,15,0,0,26,20,3,65,0,0,92,1309,172,2355,18,18,3867
POA2024,494,297,325,4,3,1123,396,359,324,3,4,1082,59,118,995,27,0,1206,0,0,79,0,0,78,29,47,200,8,0,285,0,5,19,0,0,19,3,0,6,0,0,6,3,4,14,0,0,19,95,173,1307,41,0,1619,3,0,17,0,0,21,18,21,52,4,3,99,1010,847,2022,48,11,3940
POA2025,243,407,331,3,4,983,147,291,283,0,3,715,25,176,584,8,3,796,0,0,11,0,4,17,12,70,140,4,4,224,0,7,0,0,0,7,3,5,4,0,0,13,0,12,6,0,0,19,40,261,744,13,11,1071,0,8,13,0,0,21,14,22,98,0,0,130,438,983,1465,15,20,2918
POA2026,562,697,1298,10,16,2587,419,829,1439,4,12,2702,124,327,4534,41,10,5036,4,3,233,0,0,239,56,133,1125,13,12,1336,4,3,29,0,0,33,0,4,51,0,0,59,5,4,61,0,0,77,197,470,6039,50,23,6782,6,15,54,0,20,96,45,48,317,0,9,419,1236,2055,9137,71,74,12583
POA2027,192,181,1043,0,4,1418,80,92,440,0,3,608,16,63,941,0,6,1025,0,0,0,0,0,0,5,15,285,0,0,309,0,0,0,0,0,0,0,0,15,0,3,19,3,3,17,0,0,24,27,85,1263,0,7,1381,3,0,20,0,0,29,10,8,75,0,3,92,309,360,2840,0,19,3530
POA2028,165,78,444,0,3,685,78,60,273,0,3,412,22,33,532,9,3,608,0,0,0,0,0,0,9,12,160,3,0,187,0,0,0,0,0,0,0,0,3,0,0,5,0,0,16,0,0,13,39,51,713,12,3,818,0,0,11,0,0,11,9,4,60,0,0,70,290,194,1497,12,3,1996
POA2029,434,113,602,4,3,1153,280,137,443,3,9,866,60,57,1149,14,3,1271,0,0,13,0,0,13,27,14,268,8,0,316,0,0,23,0,0,21,0,0,11,0,0,13,0,3,24,0,0,25,86,75,1477,19,5,1663,3,0,45,0,0,46,18,4,78,0,0,101,827,325,2640,29,14,3833
POA2030,1360,173,364,22,11,1929,862,183,411,13,10,1469,149,48,592,20,4,811,0,0,7,0,0,7,68,30,139,10,0,244,4,4,4,0,0,12,11,8,7,0,0,27,12,5,10,0,0,25,236,101,751,36,7,1128,13,23,26,0,0,61,59,11,37,6,0,111,2539,486,1588,69,19,4695
POA2031,992,877,1327,20,6,3219,723,910,1492,34,7,3168,187,372,4350,129,10,5045,0,3,172,0,0,181,74,106,809,41,12,1042,3,0,60,0,0,62,5,10,67,3,0,85,12,9,54,3,0,79,284,501,5514,178,16,6491,10,16,39,0,0,63,39,50,214,6,8,318,2037,2353,8592,235,38,13260
POA2032,885,249,258,0,3,1401,496,211,313,0,3,1028,204,190,1678,17,8,2103,61,256,188,0,0,497,114,67,363,7,4,562,5,6,20,0,0,29,14,6,43,0,0,55,8,4,19,0,0,24,403,527,2304,33,10,3280,12,13,27,0,0,47,44,27,105,0,20,201,1839,1025,3014,33,36,5953
POA2033,461,88,442,12,3,1006,254,82,426,12,0,778,72,89,1599,12,4,1780,0,3,40,0,0,49,50,28,285,7,3,375,4,0,15,0,0,20,5,0,37,3,0,46,9,0,11,0,0,20,141,124,1987,23,8,2290,7,3,10,0,0,17,21,6,60,0,15,98,890,301,2937,47,20,4187
POA2034,668,267,847,3,4,1795,513,339,880,10,18,1759,121,145,2556,21,4,2857,3,18,670,0,0,689,37,38,469,10,6,559,3,0,35,0,0,41,3,55,23,0,0,77,3,3,22,0,0,33,175,257,3779,29,7,4253,6,9,42,0,0,58,24,28,173,3,3,231,1395,904,5720,52,30,8097
POA2035,2259,813,796,7,3,3880,1324,888,884,9,6,3111,394,419,2265,43,11,3132,43,162,876,0,0,1085,156,114,386,9,9,669,6,11,41,0,0,52,13,13,35,4,0,64,13,3,31,0,0,48,624,725,3629,56,22,5048,37,13,80,0,0,128,131,68,224,3,4,435,4376,2505,5610,73,37,12603
POA2036,2000,414,522,4,5,2935,1438,597,727,8,3,2777,296,313,1371,4,9,1997,83,390,618,0,0,1099,127,77,195,3,0,407,27,16,39,0,0,88,27,29,14,0,0,69,11,9,23,0,0,51,583,841,2259,10,11,3701,25,11,34,0,0,66,99,47,249,0,3,401,4137,1908,3790,13,24,9877
POA2037,100,726,369,9,4,1205,57,681,383,10,3,1131,27,703,1616,43,12,2401,37,665,229,0,4,935,9,258,250,4,10,530,4,28,20,0,0,58,3,9,18,0,4,33,0,14,21,0,0,30,76,1678,2152,48,29,3982,3,25,15,0,0,41,29,102,130,4,25,296,275,3208,3043,72,60,6661
POA2038,53,712,79,7,4,857,65,872,149,10,7,1099,35,528,537,32,3,1135,0,33,34,0,0,65,7,137,99,11,9,262,0,0,43,0,0,43,0,3,8,0,4,16,0,12,16,0,0,24,37,708,728,50,12,1548,3,13,4,0,0,17,3,40,30,9,5,87,163,2353,984,78,28,3602
POA2039,176,420,226,8,8,839,210,670,274,13,8,1173,62,380,588,30,7,1066,0,43,7,0,0,51,14,102,71,13,4,207,0,0,0,0,0,0,3,12,5,0,0,23,0,4,6,0,0,13,79,554,673,42,9,1362,3,3,3,0,0,8,7,35,25,3,0,71,481,1681,1206,65,18,3450
POA2040,879,987,155,9,8,2032,984,1516,273,15,10,2804,433,860,860,35,21,2205,31,141,320,0,3,493,98,181,110,10,7,410,8,10,15,0,0,36,0,16,5,3,0,28,4,8,13,3,0,27,577,1213,1329,50,28,3201,11,15,7,0,0,33,47,70,52,0,0,175,2495,3798,1820,76,52,8242
POA2041,194,1392,259,0,12,1857,173,1294,299,6,6,1771,59,670,963,0,13,1706,0,80,228,0,0,309,12,169,166,9,8,365,0,0,21,0,0,21,3,10,9,0,0,23,3,11,21,0,0,37,76,942,1402,9,22,2455,3,15,12,0,0,27,4,58,58,0,0,119,450,3706,2029,12,36,6232
POA2042,159,901,188,15,7,1271,175,1278,371,12,3,1843,84,1233,1803,131,21,3278,3,104,150,0,0,263,42,352,248,38,7,686,6,31,41,0,0,79,0,12,7,5,0,24,3,14,12,0,0,33,142,1754,2263,174,31,4362,3,19,10,0,0,32,14,102,72,11,10,212,488,4056,2904,215,55,7723
POA2043,37,250,143,4,0,436,42,544,598,0,3,1184,21,409,867,10,5,1309,3,19,86,0,3,113,8,103,116,9,3,241,3,14,26,0,0,38,0,3,9,0,0,12,3,12,3,0,0,15,40,557,1104,15,10,1723,0,4,7,0,0,15,6,31,50,0,3,84,119,1382,1906,17,19,3446
POA2044,457,241,41,4,0,744,462,473,142,5,0,1082,200,248,225,12,11,697,11,8,0,0,0,13,71,69,41,10,3,187,3,0,3,0,0,8,4,0,0,3,0,14,4,0,3,0,0,9,293,330,273,21,10,926,7,6,0,0,0,12,41,29,18,4,3,94,1256,1079,465,41,17,2855
POA2045,963,94,17,4,0,1068,508,102,22,4,0,633,114,40,103,11,5,273,0,27,0,0,0,31,40,21,20,0,0,81,3,0,0,0,0,7,3,0,0,3,0,8,4,0,0,0,0,4,165,84,126,15,14,401,10,0,0,0,0,9,41,8,3,0,3,52,1679,284,166,22,12,2174
POA2046,2297,301,810,3,7,3422,1605,377,1002,12,7,3000,462,234,1574,46,17,2332,52,101,299,0,7,452,165,37,240,25,0,462,11,5,40,0,0,54,8,3,9,0,0,21,9,6,17,0,0,34,704,381,2180,73,19,3360,12,6,30,0,0,48,86,23,92,7,8,212,4711,1088,4113,93,43,10042
POA2047,686,166,657,3,4,1516,525,195,518,11,4,1251,140,106,1023,26,14,1313,3,3,54,0,0,60,38,21,157,11,6,233,4,0,24,0,5,42,0,0,28,3,3,37,6,7,19,0,4,34,202,138,1305,34,32,1716,3,3,19,0,7,33,28,12,67,0,9,116,1440,521,2555,49,60,4628
POA2048,225,373,85,4,0,690,188,446,232,3,0,860,111,274,651,33,9,1083,0,3,32,0,0,42,40,68,96,21,5,230,0,0,0,0,0,7,0,0,7,0,0,11,0,3,0,0,0,6,157,358,791,58,16,1373,0,4,6,0,0,8,9,29,39,4,17,102,581,1206,1145,70,38,3034
POA2049,435,297,126,5,3,863,430,477,330,8,14,1254,148,212,1134,51,15,1562,16,9,78,0,0,97,59,68,181,9,7,322,13,3,52,0,0,67,3,5,17,3,0,26,9,5,7,0,0,20,241,295,1469,68,26,2100,4,8,7,0,0,25,37,18,41,7,5,120,1151,1098,1978,86,42,4364
POA2050,21,211,274,3,0,514,37,291,599,3,3,936,18,272,1421,9,3,1721,0,15,318,0,0,335,5,73,352,3,0,430,0,0,212,0,0,222,0,7,106,0,0,112,0,0,19,0,0,22,20,374,2440,6,6,2845,0,0,28,0,0,31,3,16,67,0,3,88,83,895,3409,11,14,4414
POA2052,0,0,11,0,0,11,0,0,7,0,0,7,0,0,103,0,0,103,0,0,42,0,0,42,0,0,89,0,0,89,0,0,91,0,0,91,0,0,56,0,0,56,0,0,7,0,0,7,0,0,380,0,0,380,0,0,12,0,0,12,0,0,28,0,0,28,0,0,442,0,0,442
POA2060,304,480,736,3,8,1525,160,311,638,3,3,1116,53,301,2336,7,9,2705,3,16,27,0,0,48,30,105,379,0,0,511,0,8,20,0,0,32,7,5,28,0,7,40,3,17,22,0,0,38,97,449,2812,10,13,3373,5,3,69,0,0,76,17,17,99,0,3,137,581,1255,4347,11,28,6230
POA2061,51,75,588,0,0,715,21,36,325,0,0,380,8,24,1180,0,3,1223,0,0,211,0,3,215,3,10,234,0,0,254,0,0,4,0,0,4,0,0,3,0,0,9,0,0,13,0,0,13,11,40,1648,3,9,1717,0,0,21,0,0,21,3,4,69,0,3,80,90,152,2646,9,10,2910
POA2062,320,134,338,0,0,799,277,160,410,0,0,848,74,118,770,4,0,972,0,0,35,0,0,35,34,38,169,4,0,246,3,0,0,0,0,5,3,0,7,3,0,6,3,4,10,0,0,13,114,165,992,13,3,1289,0,3,4,0,0,13,11,9,21,3,3,44,729,469,1770,13,4,2987
POA2063,802,75,75,0,4,961,539,35,48,0,0,622,104,25,124,0,0,265,0,0,0,0,0,3,55,23,27,0,3,106,0,0,0,0,0,0,0,0,3,0,0,9,7,0,0,0,0,10,173,50,157,5,3,392,8,0,0,0,0,13,28,0,0,0,0,32,1554,166,288,5,14,2017
POA2064,406,73,383,0,0,869,290,108,451,0,0,850,60,111,1183,4,3,1363,0,0,184,0,0,181,23,19,155,3,3,202,0,0,11,0,0,12,0,0,4,0,0,6,5,0,11,0,0,16,94,134,1549,5,5,1780,0,0,22,0,0,22,17,0,49,0,0,70,803,314,2462,8,8,3593
POA2065,1127,576,1400,0,4,3108,918,560,1764,3,7,3244,241,413,4087,10,19,4777,0,6,158,0,0,166,110,96,654,0,8,868,3,0,32,0,0,45,6,4,42,0,3,58,10,6,29,0,0,45,381,526,4999,13,26,5951,13,0,57,0,0,65,32,38,139,3,6,223,2467,1701,8362,18,49,12599
POA2066,2337,203,895,7,4,3441,2057,259,1670,0,0,3984,416,132,2526,10,8,3090,17,77,71,0,0,161,126,51,366,0,7,547,7,3,79,0,0,92,8,6,20,0,18,58,14,3,30,0,3,44,592,275,3090,10,35,3997,19,9,104,0,5,131,81,13,124,0,0,223,5081,754,5875,14,39,11766
POA2067,1424,134,1055,0,0,2615,1040,125,1015,0,0,2186,350,97,2876,3,4,3337,0,4,64,0,0,68,158,27,454,0,3,639,7,9,38,0,0,58,19,6,82,0,0,106,18,0,33,0,0,52,547,146,3554,6,9,4257,16,6,54,0,0,72,77,8,153,0,5,244,3099,427,5833,6,17,9379
POA2068,1806,171,190,8,0,2173,1568,212,222,0,3,2013,375,117,454,17,0,967,4,0,51,0,0,50,113,34,72,13,0,237,0,5,4,0,0,8,11,0,3,0,0,14,11,0,8,0,0,16,509,165,590,37,3,1304,20,0,3,0,0,25,63,10,23,0,0,99,3970,555,1030,43,11,5611
POA2069,1763,41,177,0,3,1988,1381,40,213,0,0,1634,262,31,312,5,4,615,3,0,0,0,0,4,108,6,55,0,4,170,8,0,3,0,0,12,7,0,3,0,0,15,13,3,0,0,0,23,398,46,375,3,7,836,15,0,17,0,0,27,48,0,16,0,0,67,3613,123,790,6,16,4554
POA2070,1417,36,381,0,0,1832,1192,13,296,0,0,1500,267,14,404,3,3,690,0,0,0,0,0,4,68,3,101,3,3,178,3,0,34,0,3,41,6,7,39,0,0,56,13,0,8,0,0,15,356,29,587,3,13,983,12,0,87,0,0,100,53,3,27,0,0,79,3029,77,1372,10,13,4499
POA2071,1439,36,363,0,0,1841,1079,12,408,0,0,1507,226,17,485,0,0,733,0,0,0,0,0,0,70,4,75,0,0,150,3,0,4,0,0,9,7,0,9,0,0,22,10,0,9,0,0,16,318,23,584,3,0,921,6,0,44,0,0,55,46,0,25,0,0,73,2894,71,1419,3,6,4396
POA2072,675,39,257,0,0,966,515,28,226,0,0,768,148,23,420,0,0,597,0,0,0,0,0,0,59,4,72,0,0,136,0,0,0,0,0,0,4,0,3,0,0,5,13,0,0,0,0,12,229,29,498,0,3,752,7,0,12,0,0,18,22,0,18,0,0,43,1444,106,999,0,3,2549
POA2073,1926,48,128,0,4,2109,1911,25,169,0,0,2111,328,12,240,3,3,589,5,0,0,0,0,5,104,0,37,0,3,151,0,6,11,0,0,18,7,0,0,0,0,8,4,5,3,0,0,13,451,30,293,3,7,782,21,3,3,0,3,26,57,7,9,0,3,74,4369,109,605,4,17,5103
POA2074,2525,207,504,0,3,3238,2458,69,262,0,0,2784,339,42,394,0,0,769,8,0,3,0,0,14,134,12,63,3,0,210,8,3,49,0,0,61,13,0,3,0,0,21,14,0,7,0,0,18,515,52,517,3,3,1092,58,9,96,0,0,167,86,14,41,0,3,141,5637,349,1433,5,11,7429
POA2075,2199,388,332,0,3,2921,2273,100,435,0,0,2812,346,46,338,0,6,732,0,0,0,0,0,0,119,7,55,0,4,177,4,0,0,0,0,6,7,0,3,0,0,15,14,6,6,0,0,28,493,64,405,0,6,966,9,0,9,0,0,17,57,16,18,0,0,100,5026,574,1196,0,16,6815
POA2076,2540,243,321,0,3,3113,2780,162,247,0,3,3194,462,86,233,0,7,788,9,39,52,0,0,100,144,33,57,3,0,233,14,7,62,0,0,84,32,9,10,0,0,50,13,3,10,0,3,31,670,179,425,3,14,1285,15,13,68,0,0,101,81,18,21,3,5,134,6086,613,1090,6,28,7823
POA2077,2381,256,884,3,3,3525,2707,253,1727,0,6,4695,613,174,2892,19,13,3700,34,68,245,0,0,346,232,54,462,4,10,767,8,3,99,0,0,111,20,6,35,0,0,55,21,3,26,0,3,57,927,302,3759,22,22,5037,16,13,35,0,0,64,96,30,130,0,7,264,6129,856,6535,27,35,13583
POA2079,793,26,3,0,0,824,1061,34,0,0,0,1098,179,14,0,3,3,207,7,0,0,0,0,7,72,7,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,266,28,0,3,3,301,3,0,0,0,0,3,27,3,0,0,3,33,2149,88,7,0,10,2257
POA2080,198,3,0,0,0,204,250,11,0,0,0,260,31,6,0,0,0,46,0,5,0,0,0,9,26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,17,0,0,4,80,0,0,0,0,0,3,8,0,0,0,3,12,518,32,0,0,8,555
POA2081,593,33,0,0,0,626,805,35,0,0,0,841,114,18,0,0,0,134,3,0,0,0,0,3,51,3,0,0,0,53,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,174,24,0,0,0,197,5,0,0,0,0,12,29,0,0,0,0,29,1608,95,0,0,4,1698
POA2082,668,18,0,0,3,688,797,25,7,0,3,833,120,11,4,0,3,134,0,0,0,0,0,0,53,0,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,12,3,0,4,202,3,0,0,0,0,3,27,0,0,0,0,23,1672,59,14,0,8,1751
POA2083,209,0,5,0,11,223,215,0,0,0,4,221,57,0,3,0,0,62,0,0,0,0,0,3,45,0,3,0,3,50,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,104,0,10,4,3,119,0,0,0,0,0,0,19,0,3,0,13,31,545,0,20,9,25,590
POA2084,420,14,3,13,0,454,414,5,12,0,0,434,60,3,0,0,0,62,0,0,0,0,0,0,46,3,3,0,4,62,0,0,0,0,0,0,10,0,0,11,3,18,3,0,0,0,0,8,122,13,4,11,5,149,5,0,5,0,0,9,11,0,0,0,0,15,972,26,25,24,10,1060
POA2085,1361,339,6,0,0,1714,1410,88,12,3,0,1512,187,28,4,0,3,221,0,0,0,0,0,0,55,8,4,3,0,70,0,0,0,0,0,5,4,0,0,0,0,7,13,0,0,0,0,13,257,42,11,4,3,307,7,92,0,0,0,98,56,64,0,0,0,118,3090,616,35,3,4,3750
POA2086,1545,51,17,0,3,1618,1804,58,15,0,0,1879,280,27,21,0,0,333,7,0,0,0,0,9,117,17,6,0,3,149,3,15,0,0,0,25,7,7,0,0,0,13,12,0,0,0,0,12,427,70,33,0,3,533,14,0,0,0,0,14,67,5,4,0,3,82,3859,194,61,0,12,4122
POA2087,1564,86,80,0,3,1737,1494,53,31,0,0,1581,300,36,44,0,4,388,4,46,16,0,0,68,118,19,18,0,3,157,0,3,44,0,0,50,0,3,0,0,0,4,11,3,0,0,0,19,431,106,131,0,7,676,11,0,57,0,0,66,48,6,16,0,3,80,3550,254,321,4,13,4140
