POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2018,2558,2507,3371,2385,1976,1486,1214,807,262,16562,3,0,0,3,3,3,0,0,0,13,33,56,74,34,44,35,20,26,3,312,3,0,0,7,0,0,0,0,0,14,0,0,3,0,4,4,0,0,0,12,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,59,81,43,54,40,23,26,3,355,38,59,77,47,56,39,21,27,3,372,2592,2565,3448,2425,2032,1523,1242,838,266,16933
POA2019,2193,1197,1542,1800,1509,1009,671,403,181,10501,0,3,0,4,0,0,0,0,0,11,21,27,27,26,18,29,24,9,0,183,0,0,0,0,0,7,0,0,0,11,0,3,6,3,0,4,4,0,0,20,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,38,37,24,42,32,7,0,228,21,31,41,38,20,39,34,8,0,242,2219,1230,1580,1839,1530,1046,707,418,182,10740
POA2020,1930,2307,3898,2250,1483,1160,671,457,136,14282,7,4,6,3,0,0,0,0,0,20,47,64,187,133,183,152,119,30,5,932,4,9,47,42,67,37,12,0,0,226,0,17,37,49,43,25,16,0,0,181,0,7,10,11,29,9,4,0,0,65,3,6,16,40,32,19,3,0,0,117,3,0,7,8,15,10,3,0,0,44,0,0,5,3,3,0,3,0,0,15,0,13,12,16,14,11,17,0,0,93,0,0,0,0,0,0,0,0,0,0,59,121,311,301,392,267,179,32,5,1680,67,124,324,306,395,266,179,32,5,1705,1990,2436,4222,2561,1881,1425,847,486,137,15985
POA2021,1955,1333,3589,2558,1886,1345,1153,520,190,14533,4,0,0,3,0,0,0,0,0,8,24,57,92,39,56,53,36,7,3,367,0,3,7,3,0,0,10,0,0,21,0,0,3,0,4,4,4,0,0,24,7,3,0,4,0,0,3,0,0,18,0,0,0,0,4,0,6,0,3,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,29,62,110,47,65,64,55,22,9,467,34,66,114,49,65,63,62,22,9,480,1988,1402,3699,2611,1953,1405,1215,539,201,15013
POA2022,1810,1176,2716,2017,1402,1080,897,618,285,12008,0,0,4,0,0,3,0,0,0,11,32,51,131,48,63,52,34,22,3,437,4,4,6,24,6,8,0,0,0,56,7,11,14,15,11,7,6,0,0,78,0,4,3,4,0,0,8,0,0,14,0,3,8,0,4,9,3,0,0,28,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,3,11,9,0,0,9,0,39,0,0,0,0,0,0,0,0,0,0,53,72,172,102,91,71,59,33,3,654,53,73,176,104,93,77,59,39,3,664,1863,1246,2891,2121,1497,1154,954,655,287,12674
POA2023,1890,1198,1639,1493,1375,1106,954,402,178,10231,0,3,0,0,0,0,0,0,0,3,62,97,54,37,33,23,14,7,3,327,0,3,0,0,0,3,3,3,0,12,3,0,0,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,62,106,54,39,34,27,23,10,3,368,62,112,54,39,35,27,23,13,7,369,1951,1308,1695,1525,1413,1134,970,417,187,10599
POA2024,1965,907,1731,1798,1530,967,731,493,429,10551,0,3,0,0,0,3,0,0,0,4,24,31,46,57,38,29,39,32,43,333,0,0,3,0,0,0,4,3,0,19,0,0,0,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,25,34,52,62,46,39,48,43,42,397,25,42,54,62,49,41,48,44,42,403,1991,946,1782,1868,1577,1003,783,534,473,10953
POA2025,1049,565,1225,1016,874,743,784,467,267,6989,0,0,0,0,0,0,0,0,0,0,27,23,49,30,22,27,29,26,17,244,0,3,3,0,0,0,0,0,0,15,0,0,5,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,27,28,58,39,27,34,37,29,17,287,27,28,58,39,27,34,37,29,17,287,1081,593,1282,1053,899,777,819,500,276,7278
POA2026,4525,2667,9203,5782,3500,2230,1680,956,458,31018,3,0,8,3,5,3,0,0,3,23,67,146,231,115,92,84,64,26,12,844,3,9,44,30,19,7,9,5,0,133,0,3,25,9,16,7,9,3,4,76,0,0,5,7,3,6,3,4,0,29,3,4,13,9,3,4,0,0,0,40,0,0,0,0,0,5,5,0,0,12,0,0,3,0,0,0,0,0,0,3,0,3,0,3,9,4,0,3,0,24,0,0,0,0,0,0,0,0,0,0,75,168,325,178,138,125,100,38,21,1158,78,164,333,182,147,126,96,39,18,1184,4606,2833,9543,5961,3646,2356,1779,993,478,32200
POA2027,884,575,1427,1023,897,961,1055,593,388,7809,0,0,0,3,0,0,0,3,0,6,64,72,40,40,36,37,31,20,3,341,0,0,11,0,3,4,0,0,0,21,0,3,0,9,4,3,3,3,0,21,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,71,59,46,47,49,43,22,3,405,64,71,57,50,47,49,40,23,3,415,945,647,1484,1074,947,1012,1102,614,397,8221
POA2028,512,365,1012,623,439,476,494,307,151,4384,0,0,0,0,0,0,0,0,0,0,6,13,43,17,19,17,13,21,7,168,0,0,4,4,7,3,0,0,0,13,0,0,5,9,14,18,4,3,0,48,0,0,0,3,0,3,0,0,0,10,0,0,0,3,4,3,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,10,14,52,39,45,42,22,20,10,267,10,14,52,37,47,42,22,20,10,264,516,381,1062,663,485,525,520,327,160,4651
POA2029,1758,937,1499,1621,1182,883,893,499,290,9563,0,3,0,0,0,0,0,0,0,5,33,33,40,33,23,18,28,14,6,231,0,0,3,0,0,0,8,0,0,9,0,0,0,5,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,41,36,29,23,40,13,5,262,37,36,41,36,31,23,40,13,5,265,1795,972,1539,1653,1210,912,932,517,298,9829
POA2030,2925,1753,1189,1816,2107,1640,1188,605,366,13576,3,5,5,0,0,0,3,0,0,17,37,45,59,27,27,30,29,16,6,278,3,4,0,0,10,0,13,0,0,29,0,5,0,3,3,0,7,0,0,14,3,3,0,3,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,45,60,62,34,40,34,43,16,7,354,44,68,72,34,40,34,45,16,7,366,2964,1818,1259,1846,2148,1670,1234,623,374,13947
POA2031,5366,3793,7327,5753,4075,2995,2039,1168,815,33337,13,3,10,3,4,3,4,0,3,37,160,181,266,233,150,183,127,112,113,1524,7,3,20,9,13,15,5,3,0,74,5,19,15,17,11,23,10,3,0,100,3,3,7,3,3,3,6,0,0,24,0,0,7,3,4,12,4,3,0,30,0,4,0,4,0,3,4,0,0,18,0,0,0,0,0,4,0,0,0,4,0,9,13,5,5,4,3,0,0,40,0,0,0,0,0,0,0,0,0,0,173,221,317,272,188,244,160,118,113,1813,185,221,326,276,193,254,161,119,120,1846,5548,4022,7651,6028,4266,3249,2197,1288,933,35183
POA2032,1851,4670,3124,1740,1568,1244,958,689,299,16141,0,8,4,0,0,3,0,0,0,16,31,113,97,51,33,28,14,10,4,382,0,7,0,0,0,0,0,4,0,7,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,124,97,53,40,29,21,13,4,413,34,134,101,57,36,35,21,14,4,432,1889,4808,3225,1794,1604,1272,976,699,305,16576
POA2033,1436,2395,2516,1512,1143,792,649,460,233,11133,0,0,0,0,0,0,0,0,0,5,7,45,50,26,10,19,18,6,3,183,0,0,0,0,3,0,0,0,0,9,0,5,3,0,0,4,0,0,0,10,0,0,0,0,0,0,5,0,0,9,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,57,54,33,15,23,20,9,3,222,7,60,51,33,15,23,23,7,3,231,1444,2455,2572,1547,1156,818,678,467,236,11358
POA2034,3188,1948,4401,3501,2579,1865,1302,702,322,19808,0,3,0,0,0,3,4,0,0,12,36,86,168,90,80,80,39,30,17,629,0,8,25,3,49,16,10,4,0,118,0,7,12,16,20,13,14,0,0,83,0,0,4,3,12,9,0,0,0,26,0,0,5,3,3,6,11,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,6,6,3,3,11,0,0,0,32,0,0,0,0,0,0,0,0,0,0,38,113,216,125,169,137,78,31,18,927,36,110,217,130,173,136,82,31,20,943,3226,2062,4623,3627,2747,2000,1384,735,341,20752
POA2035,5563,4532,5122,4889,4250,3474,2681,1833,902,33246,4,4,7,7,0,3,3,4,0,31,89,111,127,76,79,59,44,23,20,638,0,3,5,7,3,0,0,3,0,22,0,0,4,3,0,11,3,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,95,117,141,87,82,75,55,30,22,711,97,126,153,95,80,76,59,35,27,747,5659,4660,5271,4982,4336,3551,2738,1869,929,33992
POA2036,4997,3673,3981,4305,4274,3401,2699,1448,671,29452,13,5,4,6,0,0,10,4,0,49,81,83,145,90,76,73,54,26,24,649,0,0,0,0,0,0,3,0,0,11,0,0,7,0,5,9,5,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88,156,94,80,83,63,31,25,701,97,96,162,101,82,85,75,31,24,752,5093,3766,4141,4410,4360,3484,2776,1481,699,30204
