region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
111,154,9866,574,10594,890,19324,853,21067,360,10621,511,11492,235,11171,639,12045,394,19704,1026,21124,612,20419,984,22015,981,20888,1057,22926,1467,18305,866,20638,1443,12223,606,14272,1594,6612,505,8711,1249,1554,239,3042,9379,150687,7860,167926,77,9429,544,10050,385,18580,833,19798,167,10287,406,10860,174,11296,492,11962,338,19951,816,21105,585,21446,795,22826,1009,21896,900,23805,1354,19509,734,21597,1371,13519,607,15497,2643,8211,638,11492,3197,2098,392,5687,11300,156222,7157,174679,231,19295,1118,20644,1275,37904,1686,40865,527,20908,917,22352,409,22467,1131,24007,732,39655,1842,42229,1197,41865,1779,44841,1990,42784,1957,46731,2821,37814,1600,42235,2814,25742,1213,29769,4237,14823,1143,20203,4446,3652,631,8729,20679,306909,15017,342605
112,103,6335,458,6896,608,13410,754,14772,240,6831,369,7440,156,4830,368,5354,271,9100,587,9958,422,12232,720,13374,720,14862,855,16437,1096,14470,759,16325,980,9231,498,10709,1204,5357,370,6931,981,1220,196,2397,6781,97878,5934,110593,55,5980,363,6398,290,13287,712,14289,131,6470,341,6942,88,4789,240,5117,221,10107,489,10817,350,14186,650,15186,657,16500,733,17890,873,14895,652,16420,830,10049,497,11376,1670,6288,523,8481,2174,1634,303,4111,7339,104185,5503,117027,158,12315,821,13294,898,26697,1466,29061,371,13301,710,14382,244,9619,608,10471,492,19207,1076,20775,772,26418,1370,28560,1377,31362,1588,34327,1969,29365,1411,32745,1810,19280,995,22085,2874,11645,893,15412,3155,2854,499,6508,14120,202063,11437,227620
113,60,4870,369,5299,376,10131,534,11041,145,5154,271,5570,80,4461,409,4950,146,7574,740,8460,215,8401,709,9325,304,9365,618,10287,570,8081,450,9101,504,5372,321,6197,623,2762,222,3607,396,566,70,1032,3419,66737,4713,74869,44,4797,368,5209,170,9682,536,10388,76,4898,252,5226,66,4457,244,4767,125,8044,380,8549,229,8926,347,9502,372,9358,380,10110,462,7951,333,8746,443,5577,266,6286,867,3248,257,4372,1056,872,166,2094,3910,67810,3529,75249,104,9667,737,10508,546,19813,1070,21429,221,10052,523,10796,146,8918,653,9717,271,15618,1120,17009,444,17327,1056,18827,676,18723,998,20397,1032,16032,783,17847,947,10949,587,12483,1490,6010,479,7979,1452,1438,236,3126,7329,134547,8242,150118
114,77,3582,260,3919,363,7910,459,8732,156,4033,247,4436,98,2797,304,3199,145,4808,508,5461,222,6743,515,7480,480,8242,585,9307,676,8474,468,9618,692,7345,406,8443,745,3841,293,4879,556,730,117,1403,4210,58505,4162,66877,37,3537,264,3838,166,7841,458,8465,76,3960,197,4233,54,2693,158,2905,132,5215,308,5655,216,7623,361,8200,408,9072,435,9915,583,9453,414,10450,623,7730,346,8699,1048,4042,344,5434,1212,913,210,2335,4555,62079,3495,70129,114,7119,524,7757,529,15751,917,17197,232,7993,444,8669,152,5490,462,6104,277,10023,816,11116,438,14366,876,15680,888,17314,1020,19222,1259,17927,882,20068,1315,15075,752,17142,1793,7883,637,10313,1768,1643,327,3738,8765,120584,7657,137006
115,67,6499,291,6857,387,15325,469,16181,135,8018,246,8399,119,6587,252,6958,170,9468,399,10037,159,14026,537,14722,208,15056,572,15836,309,12342,468,13119,423,6977,279,7679,455,2591,139,3185,412,562,70,1044,2844,97451,3722,104017,37,6094,256,6387,177,14455,475,15107,83,7450,230,7763,72,6350,220,6642,132,10092,368,10592,143,15970,568,16681,253,15829,500,16582,312,12613,433,13358,420,6731,250,7401,861,2717,159,3737,1230,809,106,2145,3720,99110,3565,106395,104,12593,547,13244,564,29780,944,31288,218,15468,476,16162,191,12937,472,13600,302,19560,767,20629,302,29996,1105,31403,461,30885,1072,32418,621,24955,901,26477,843,13708,529,15080,1316,5308,298,6922,1642,1371,176,3189,6564,196561,7287,210412
116,174,12113,925,13212,909,22012,1175,24096,280,10346,579,11205,184,9690,670,10544,320,21084,1368,22772,416,20808,1225,22449,635,17841,932,19408,1050,12910,696,14656,1030,6539,398,7967,858,2500,216,3574,434,363,62,859,6290,136206,8246,150742,110,11477,826,12413,394,20776,1131,22301,185,10044,498,10727,129,9586,453,10168,305,22909,998,24212,456,21746,882,23084,840,18050,832,19722,1211,13430,607,15248,1110,6731,389,8230,1627,2857,264,4748,1256,543,136,1935,7623,138149,7016,152788,284,23590,1751,25625,1303,42788,2306,46397,465,20390,1077,21932,313,19276,1123,20712,625,43993,2366,46984,872,42554,2107,45533,1475,35891,1764,39130,2261,26340,1303,29904,2140,13270,787,16197,2485,5357,480,8322,1690,906,198,2794,13913,274355,15262,303530
117,44,5652,706,6402,183,6673,757,7613,69,4208,660,4937,85,11327,2083,13495,178,32834,4885,37897,346,22286,2770,25402,517,14738,1870,17125,646,10086,1349,12081,683,5614,805,7102,860,2519,470,3849,401,434,120,955,4012,116371,16475,136858,20,5297,614,5931,74,6491,669,7234,51,4620,534,5205,57,12754,1792,14603,191,31705,3946,35842,261,18712,1941,20914,453,12114,1326,13893,641,9478,1053,11172,764,5403,634,6801,1237,2591,435,4263,930,622,277,1829,4679,109787,13221,127687,64,10949,1320,12333,257,13164,1426,14847,120,8828,1194,10142,142,24081,3875,28098,369,64539,8831,73739,607,40998,4711,46316,970,26852,3196,31018,1287,19564,2402,23253,1447,11017,1439,13903,2097,5110,905,8112,1331,1056,397,2784,8691,226158,29696,264545
118,65,7012,741,7818,198,10420,969,11587,84,5489,555,6128,76,8710,1272,10058,84,21254,3288,24626,167,17466,2273,19906,230,13139,1568,14937,357,10429,1128,11914,434,6662,791,7887,683,3636,466,4785,700,1014,241,1955,3078,105231,13292,121601,30,6725,682,7437,116,10133,821,11070,48,5328,445,5821,51,9399,1001,10451,113,23220,2554,25887,168,18425,1789,20382,282,13909,1240,15431,411,11282,946,12639,528,7542,723,8793,1276,4422,557,6255,1779,1608,391,3778,4802,111993,11149,127944,95,13737,1423,15255,314,20553,1790,22657,132,10817,1000,11949,127,18109,2273,20509,197,44474,5842,50513,335,35891,4062,40288,512,27048,2808,30368,768,21711,2074,24553,962,14204,1514,16680,1959,8058,1023,11040,2479,2622,632,5733,7880,217224,24441,249545
119,215,17163,1711,19089,926,30689,2197,33812,316,15428,999,16743,231,16829,1252,18312,493,36383,2779,39655,699,33128,2176,36003,1149,31062,2008,34219,1835,23440,1579,26854,2085,14768,1035,17888,2643,8372,738,11753,1687,1971,336,3994,12279,229233,16810,258322,123,16286,1576,17985,413,29219,1883,31515,186,14490,802,15478,167,16661,1062,17890,407,37647,2505,40559,704,35298,2078,38080,1427,32072,1826,35325,1986,24306,1393,27685,2343,15539,980,18862,4051,9471,923,14445,3961,2905,598,7464,15768,233894,15626,265288,338,33449,3287,37074,1339,59908,4080,65327,502,29918,1801,32221,398,33490,2314,36202,900,74030,5284,80214,1403,68426,4254,74083,2576,63134,3834,69544,3821,47746,2972,54539,4428,30307,2015,36750,6694,17843,1661,26198,5648,4876,934,11458,28047,463127,32436,523610
120,57,8061,723,8841,247,12003,817,13067,84,6005,391,6480,80,8646,826,9552,162,21897,1988,24047,226,18981,1455,20662,401,15626,1105,17132,580,11781,740,13101,708,6862,533,8103,1237,3635,394,5266,799,758,142,1699,4581,114255,9114,127950,51,7755,605,8411,137,11614,655,12406,54,5962,323,6339,49,8776,626,9451,136,22887,1667,24690,225,20858,1335,22418,379,17228,967,18574,592,13086,755,14433,926,7469,473,8868,2021,4077,428,6526,2061,1155,280,3496,6631,120867,8114,135612,108,15816,1328,17252,384,23617,1472,25473,138,11967,714,12819,129,17422,1452,19003,298,44784,3655,48737,451,39839,2790,43080,780,32854,2072,35706,1172,24867,1495,27534,1634,14331,1006,16971,3258,7712,822,11792,2860,1913,422,5195,11212,235122,17228,263562
121,106,11227,610,11943,419,22114,900,23433,146,10405,502,11053,106,9947,681,10734,158,23578,1840,25576,210,26063,1586,27859,233,24081,1285,25599,365,18778,995,20138,485,12202,645,13332,898,6160,413,7471,993,1777,213,2983,4119,166332,9670,180121,60,10798,531,11389,202,21167,869,22238,89,10366,425,10880,80,10344,565,10989,161,25896,1684,27741,211,29119,1508,30838,329,26392,1166,27887,481,20849,939,22269,655,13200,619,14474,1583,7547,559,9689,2896,2757,496,6149,6747,178435,9361,194543,166,22025,1141,23332,621,43281,1769,45671,235,20771,927,21933,186,20291,1246,21723,319,49474,3524,53317,421,55182,3094,58697,562,50473,2451,53486,846,39627,1934,42407,1140,25402,1264,27806,2481,13707,972,17160,3889,4534,709,9132,10866,344767,19031,374664
122,70,8233,411,8714,313,14712,578,15603,90,6496,244,6830,73,5797,364,6234,133,13476,912,14521,162,17567,929,18658,215,15693,770,16678,300,11960,615,12875,385,8255,415,9055,676,4167,237,5080,787,1243,146,2176,3204,107599,5621,116424,40,7845,420,8305,148,14005,471,14624,51,6005,202,6258,60,5507,274,5841,116,14178,759,15053,174,18945,809,19928,242,16329,610,17181,296,12668,535,13499,439,8922,405,9766,1141,5183,359,6683,1971,1806,300,4077,4678,111393,5144,121215,110,16078,831,17019,461,28717,1049,30227,141,12501,446,13088,133,11304,638,12075,249,27654,1671,29574,336,36512,1738,38586,457,32022,1380,33859,596,24628,1150,26374,824,17177,820,18821,1817,9350,596,11763,2758,3049,446,6253,7882,218992,10765,237639
123,155,8420,598,9173,894,16281,939,18114,297,8607,493,9397,192,7610,425,8227,290,14271,738,15299,336,14932,722,15990,451,14566,723,15740,824,11971,555,13350,769,5656,305,6730,630,2018,174,2822,363,383,62,808,5201,104715,5734,115650,91,8098,595,8784,398,16041,929,17368,174,8283,419,8876,124,7692,407,8223,253,15497,716,16466,400,16332,727,17459,658,15630,688,16976,980,12228,530,13738,770,5789,291,6850,1089,2413,215,3717,1029,562,106,1697,5966,108565,5623,120154,246,16518,1193,17957,1292,32322,1868,35482,471,16890,912,18273,316,15302,832,16450,543,29768,1454,31765,736,31264,1449,33449,1109,30196,1411,32716,1804,24199,1085,27088,1539,11445,596,13580,1719,4431,389,6539,1392,945,168,2505,11167,213280,11357,235804
124,171,9762,671,10604,894,18678,1010,20582,275,9762,461,10498,196,9112,715,10023,326,17223,1020,18569,438,18106,994,19538,546,17848,1022,19416,894,15626,870,17390,824,7910,522,9256,757,3181,275,4213,522,598,134,1254,5843,127806,7694,141343,107,9486,627,10220,374,18277,900,19551,162,9517,436,10115,128,9122,473,9723,273,18149,944,19366,368,19478,931,20777,672,19567,925,21164,937,16164,727,17828,872,8497,452,9821,1357,3791,385,5533,1522,993,236,2751,6772,133041,7036,146849,278,19248,1298,20824,1268,36955,1910,40133,437,19279,897,20613,324,18234,1188,19746,599,35372,1964,37935,806,37584,1925,40315,1218,37415,1947,40580,1831,31790,1597,35218,1696,16407,974,19077,2114,6972,660,9746,2044,1591,370,4005,12615,260847,14730,288192
