region_id,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW_,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW_,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW_,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW_,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW_,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW_,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW_,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW_,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW_,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW_,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW_,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW_,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW_,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW_,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW_,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW_,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW_,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW_,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW_,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW_,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW_,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW_,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW_,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW_,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW_,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW_,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW_,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW_,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
111,4594,784,86,46,4836,1148,11494,4955,1831,261,133,4094,773,12047,7761,6069,1225,493,4300,1277,21125,6605,7661,1932,807,3730,1280,22015,6782,7625,1922,769,4425,1401,22924,5058,6314,2067,1090,4832,1277,20638,2026,3558,2156,1546,3656,1330,14272,900,1548,1064,980,2843,1374,8709,310,362,189,213,1389,579,3042,38991,35752,10902,6077,34105,10439,136266,5028,1214,190,74,3468,884,10858,4632,3159,693,501,2375,601,11961,4206,6980,3345,3740,1905,928,21104,2244,7237,5469,5270,1634,971,22825,2405,8418,5726,3845,2280,1132,23806,1999,6368,4984,4199,2888,1158,21596,901,2920,3245,3709,3170,1554,15499,891,1790,1479,1767,3653,1913,11493,502,606,379,319,2866,1016,5688,22808,38692,25510,23424,24239,10157,144830,9622,1998,276,120,8304,2032,22352,9587,4990,954,634,6469,1374,24008,11967,13049,4570,4233,6205,2205,42229,8849,14898,7401,6077,5364,2251,44840,9187,16043,7648,4614,6705,2533,46730,7057,12682,7051,5289,7720,2435,42234,2927,6478,5401,5255,6826,2884,29771,1791,3338,2543,2747,6496,3287,20202,812,968,568,532
112,3055,600,80,34,2730,943,7442,2047,903,143,80,1717,463,5353,3306,2974,661,397,1893,726,9957,3753,4440,1417,734,2121,906,13371,4271,5614,1728,810,2900,1114,16437,3640,5163,1929,1109,3382,1101,16324,1537,2532,1636,1199,2745,1059,10708,754,1225,879,750,2163,1162,6933,243,270,133,162,1084,506,2398,22606,23721,8606,5275,20735,7980,88923,3191,854,117,65,2022,692,6941,1660,1422,416,428,895,297,5118,1730,3247,1825,2584,849,582,10817,1479,4701,3540,3731,981,756,15188,1958,6396,4377,2876,1405,880,17892,1590,4992,3845,3112,1945,935,16419,637,2136,2438,2788,2211,1164,11374,557,1256,1125,1381,2603,1557,8479,333,421,255,220,2046,836,4111,13135,25425,17938,17185,14957,7699,96339,6246,1454,197,99,4752,1635,14383,3707,2325,559,508,2612,760,10471,5036,6221,2486,2981,2742,1308,20774,5232,9141,4957,4465,3102,1662,28559,6229,12010,6105,3686,4305,1994,34329,5230,10155,5774,4221,5327,2036,32743,2174,4668,4074,3987,4956,2223,22082,1311,2481,2004,2131,4766,2719,15412,576,691,388,382
113,2020,440,56,29,2267,758,5570,1760,910,133,92,1547,510,4952,2720,2353,524,234,1740,888,8459,2681,2892,831,375,1644,901,9324,2913,3191,793,387,2162,842,10288,2248,2447,785,465,2404,752,9101,984,1323,701,577,1862,750,6197,396,597,390,404,1209,611,3607,101,137,74,52,465,204,1033,15823,14290,4287,2615,15300,6216,58531,2171,759,138,79,1438,641,5226,1348,1566,389,370,789,303,4765,1162,2492,1546,2116,765,467,8548,671,2712,2393,2530,743,453,9502,807,3367,2607,1831,958,540,10110,678,2408,1939,1929,1209,584,8747,327,1063,1227,1582,1374,714,6287,300,625,578,757,1314,799,4373,168,194,143,114,1045,428,2092,7632,15186,10960,11308,9635,4929,59650,4191,1199,194,108,3705,1399,10796,3108,2476,522,462,2336,813,9717,3882,4845,2070,2350,2505,1355,17007,3352,5604,3224,2905,2387,1354,18826,3720,6558,3400,2218,3120,1382,20398,2926,4855,2724,2394,3613,1336,17848,1311,2386,1928,2159,3236,1464,12484,696,1222,968,1161,2523,1410,7980,269,331,217,166
114,1736,349,38,21,1687,601,4432,1168,535,76,51,1038,331,3199,1716,1576,367,181,1031,591,5462,2063,2559,708,380,1158,613,7481,2351,3198,959,447,1623,730,9308,2006,2978,1142,718,2093,681,9618,1121,1993,1386,1066,2051,827,8444,475,903,670,652,1398,783,4881,138,174,84,105,601,299,1401,12774,14265,5430,3621,12680,5456,54226,1915,465,84,38,1265,467,4234,900,787,238,256,511,213,2905,725,1617,1000,1552,432,329,5655,639,2373,2000,2188,577,422,8199,928,3437,2434,1789,789,537,9914,833,3023,2481,2230,1270,612,10449,436,1576,1917,2277,1673,821,8700,364,789,761,992,1545,982,5433,198,228,130,115,1153,512,2336,6938,14295,11045,11437,9215,4895,57825,3651,814,122,59,2952,1068,8666,2068,1322,314,307,1549,544,6104,2441,3193,1367,1733,1463,920,11117,2702,4932,2708,2568,1735,1035,15680,3279,6635,3393,2236,2412,1267,19222,2839,6001,3623,2948,3363,1293,20067,1557,3569,3303,3343,3724,1648,17144,839,1692,1431,1644,2943,1765,10314,336,402,214,220
115,3685,511,51,12,3479,661,8399,2926,732,80,38,2883,300,6959,3816,2548,474,171,2576,453,10038,4905,5178,1232,429,2332,644,14720,4970,5787,1290,487,2633,667,15834,3523,4455,1428,596,2530,589,13121,1370,2227,1111,722,1726,525,7681,431,705,463,354,875,356,3184,110,146,79,65,469,176,1045,25736,22289,6208,2874,19503,4371,80981,3806,759,71,16,2542,571,7765,3067,1211,183,117,1800,265,6643,2383,3089,1549,1976,1206,389,10592,1352,4925,4142,4553,1102,608,16682,1418,5640,4500,3241,1210,573,16582,1089,4191,3436,2791,1277,573,13357,477,1653,1822,1875,1065,508,7400,353,705,601,612,981,487,3739,262,219,139,107,1025,391,2143,14207,22392,16443,15288,12208,4365,84903,7491,1270,122,28,6021,1232,16164,5993,1943,263,155,4683,565,13602,6199,5637,2023,2147,3782,842,20630,6257,10103,5374,4982,3434,1252,31402,6388,11427,5790,3728,3843,1240,32416,4612,8646,4864,3387,3807,1162,26478,1847,3880,2933,2597,2791,1033,15081,784,1410,1064,966,1856,843,6923,372,365,218,172
116,3725,989,128,67,4871,1426,11206,3460,1341,193,122,4448,980,10544,7287,5489,1158,474,6554,1810,22772,6222,6678,1614,771,5562,1603,22450,4956,5607,1424,730,5289,1402,19408,3451,3773,1107,665,4527,1132,14655,1240,1625,806,637,2745,913,7966,420,551,310,288,1397,607,3573,75,68,48,42,461,165,859,30836,26121,6788,3796,35854,10038,113433,3980,1422,199,122,3815,1188,10726,3261,2221,616,574,2803,694,10169,3748,6561,3624,4844,4114,1319,24210,2087,6353,4563,5266,3559,1254,23082,1936,5706,3987,3430,3453,1209,19721,1416,3861,2740,2905,3214,1113,15249,719,1459,1338,1536,2225,953,8230,466,701,505,519,1781,777,4749,154,147,86,75,1147,325,1934,17767,28431,17658,19271,26111,8832,118070,7705,2411,327,189,8686,2614,21932,6721,3562,809,696,7251,1674,20713,11035,12050,4782,5318,10668,3129,46982,8309,13031,6177,6037,9121,2857,45532,6892,11313,5411,4160,8742,2611,39129,4867,7634,3847,3570,7741,2245,29904,1959,3084,2144,2173,4970,1866,16196,886,1252,815,807,3178,1384,8322,229,215,134,117
117,1594,331,36,22,2071,885,4939,4490,1756,191,87,4734,2235,13493,14773,7876,948,346,8917,5037,37897,8957,7063,1260,420,4781,2918,25399,5095,4920,1031,381,3665,2033,17125,2990,3128,764,311,3258,1630,12081,1265,1499,523,245,2365,1205,7102,507,604,272,192,1498,776,3849,108,93,46,25,455,228,955,39779,27270,5071,2029,31744,16947,122840,1924,528,80,20,1919,731,5202,5347,2793,356,173,4034,1901,14604,12330,9866,2064,1746,5817,4018,35841,4691,6563,2746,2451,2400,2066,20917,2575,4569,2115,1222,1955,1458,13894,1730,3482,1630,1117,1900,1313,11172,727,1560,1047,793,1693,980,6800,447,726,475,375,1427,811,4261,174,212,74,52,902,415,1829,29945,30299,10587,7949,22047,13693,114520,3518,859,116,42,3990,1616,10141,9837,4549,547,260,8768,4136,28097,27103,17742,3012,2092,14734,9055,73738,13648,13626,4006,2871,7181,4984,46316,7670,9489,3146,1603,5620,3491,31019,4720,6610,2394,1428,5158,2943,23253,1992,3059,1570,1038,4058,2185,13902,954,1330,747,567,2925,1587,8110,282,305,120,77
118,2152,299,24,17,2749,887,6128,3598,1097,134,51,3812,1366,10058,10617,4592,518,172,5293,3434,24626,7496,5510,969,350,3214,2368,19907,4911,4432,924,344,2641,1682,14934,3498,3236,781,331,2725,1343,11914,1724,1877,615,332,2220,1119,7887,773,981,408,252,1532,837,4783,242,246,121,83,841,422,1955,35011,22270,4494,1932,25027,13458,102192,2337,469,41,17,2222,736,5822,4332,1881,224,101,2847,1066,10451,9774,7035,1663,1575,3235,2606,25888,4060,6183,3407,3408,1498,1825,20381,2368,5345,3050,1944,1375,1351,15433,1895,4161,2377,1428,1604,1174,12639,920,2282,1690,1173,1578,1148,8791,664,1195,824,694,1729,1151,6257,416,496,222,143,1725,776,3778,26766,29047,13498,10483,17813,11833,109440,4489,768,65,34,4971,1623,11950,7930,2978,358,152,6659,2432,20509,20391,11627,2181,1747,8528,6040,50514,11556,11693,4376,3758,4712,4193,40288,7279,9777,3974,2288,4016,3033,30367,5393,7397,3158,1759,4329,2517,24553,2644,4159,2305,1505,3798,2267,16678,1437,2176,1232,946,3261,1988,11040,658,742,343,226
119,5189,974,113,53,8169,2246,16744,5449,1923,269,146,8727,1796,18310,12229,7571,1400,599,14344,3514,39657,10425,9158,2137,983,10451,2848,36002,9071,8824,2054,981,10542,2744,34216,6321,6767,1946,983,8549,2287,26853,2994,3932,1861,1215,5989,1898,17889,1443,2046,1210,987,4380,1688,11754,415,504,259,269,1817,732,3996,53536,41699,11249,6216,72968,19753,205421,5445,1761,231,114,6123,1805,15479,5642,3291,847,707,5963,1442,17892,7582,9856,4631,6159,9200,3130,40558,4167,9665,6769,7974,6741,2764,38080,3840,9905,6783,5698,6642,2458,35326,2926,7260,5220,4598,5612,2070,27686,1553,3761,3444,3511,4618,1976,18863,1321,2326,1871,1901,4820,2205,14444,726,802,492,396,3678,1367,7461,33202,48627,30288,31058,53397,19217,215789,10634,2735,344,167,14292,4051,32223,11091,5214,1116,853,14690,3238,36202,19811,17427,6031,6758,23544,6644,80215,14592,18823,8906,8957,17192,5612,74082,12911,18729,8837,6679,17184,5202,69542,9247,14027,7166,5581,14161,4357,54539,4547,7693,5305,4726,10607,3874,36752,2764,4372,3081,2888,9200,3893,26198,1141,1306,751,665
120,2521,354,28,25,2733,819,6480,3391,1144,137,43,3853,984,9552,8835,5395,796,280,6521,2218,24045,6965,6411,1384,479,3832,1590,20661,5125,5327,1271,432,3664,1313,17132,3506,3991,1067,393,3192,952,13101,1533,1979,827,501,2388,874,8102,764,1008,544,334,1860,759,5269,190,206,90,70,793,350,1699,32830,25815,6144,2557,28836,9859,106041,2710,544,54,21,2365,645,6339,3576,1836,294,133,2872,741,9452,7156,7148,2256,2240,4103,1788,24691,3673,6834,4162,4130,2212,1407,22418,2702,6247,3792,2484,2171,1178,18574,1863,4895,2777,1913,2005,980,14433,841,2175,1734,1436,1816,867,8869,625,1209,872,749,2062,1006,6523,313,375,199,143,1760,708,3498,23459,31263,16140,13249,21366,9320,114797,5231,898,82,46,5098,1464,12819,6967,2980,431,176,6725,1725,19004,15991,12543,3052,2520,10624,4006,48736,10638,13245,5546,4609,6044,2997,43079,7827,11574,5063,2916,5835,2491,35706,5369,8886,3844,2306,5197,1932,27534,2374,4154,2561,1937,4204,1741,16971,1389,2217,1416,1083,3922,1765,11792,503,581,289,213
121,4876,535,41,18,4560,1023,11053,4804,1199,120,42,3794,776,10735,11102,6171,855,260,5300,1890,25578,9896,9559,1949,610,4197,1649,27860,8615,9184,2031,646,3728,1397,25601,6087,7012,1780,684,3420,1154,20137,3035,4314,1759,718,2581,926,13333,1165,1958,1022,649,1911,767,7472,378,529,278,216,1096,483,2980,49958,40461,9835,3843,30587,10065,144749,5329,766,51,27,3843,864,10880,5204,2084,261,113,2683,644,10989,8588,8466,2677,2800,3511,1698,27740,4384,9049,6270,7383,2231,1520,30837,3262,9494,6964,4929,2020,1217,27886,2664,7919,5413,3244,1915,1115,22270,1243,3897,3669,2773,1926,966,14474,894,1980,1816,1626,2167,1205,9688,600,818,467,408,2750,1109,6152,32168,44473,27588,23303,23046,10338,160916,10205,1301,92,45,8403,1887,21933,10008,3283,381,155,6477,1420,21724,19690,14637,3532,3060,8811,3588,53318,14280,18608,8219,7993,6428,3169,58697,11877,18678,8995,5575,5748,2614,53487,8751,14931,7193,3928,5335,2269,42407,4278,8211,5428,3491,4507,1892,27807,2059,3938,2838,2275,4078,1972,17160,978,1347,745,624
122,2984,279,25,7,2826,709,6830,2695,636,66,30,2370,439,6236,6310,3412,477,150,3170,1002,14521,7008,6352,1305,399,2559,1037,18660,5650,5906,1312,418,2439,953,16678,3908,4338,1106,419,2351,753,12875,1875,2837,1175,598,1929,642,9056,709,1192,695,442,1446,595,5079,220,367,173,155,926,334,2175,31359,25319,6334,2618,20016,6464,92110,3092,453,44,16,2103,550,6258,2806,1095,165,74,1384,315,5839,4502,4709,1627,1760,1622,834,15054,2555,6081,4496,4790,1114,892,19928,2021,6467,4275,2620,1090,707,17180,1662,4849,3161,1869,1277,682,13500,695,2514,2443,1912,1478,723,9765,577,1257,1093,1070,1752,934,6683,416,518,259,217,1893,774,4077,18326,27943,17563,14328,13713,6411,98284,6076,732,69,23,4929,1259,13088,5501,1731,231,104,3754,754,12075,10812,8121,2104,1910,4792,1836,29575,9563,12433,5801,5189,3673,1929,38588,7671,12373,5587,3038,3529,1660,33858,5570,9187,4267,2288,3628,1435,26375,2570,5351,3618,2510,3407,1365,18821,1286,2449,1788,1512,3198,1529,11762,636,885,432,372
123,3347,692,91,56,4062,1147,9395,2886,985,175,79,3468,636,8229,5286,3925,805,368,3962,952,15298,4837,5109,1205,543,3297,999,15990,4432,4936,1290,550,3437,1092,15737,3193,4004,1172,698,3355,929,13351,1040,1589,835,634,1963,667,6728,341,476,273,291,984,457,2822,83,73,41,40,381,191,809,25445,21789,5887,3259,24909,7070,88359,3571,1118,171,112,2915,992,8879,2843,1841,570,482,1927,558,8221,2635,4761,2686,3315,2154,915,16466,1520,5001,3793,4282,1916,946,17458,1603,5499,3852,2960,2052,1013,16979,1245,3743,2913,2784,2169,883,13737,462,1285,1325,1510,1554,714,6850,354,560,396,483,1209,715,3717,158,151,83,62,825,417,1696,14391,23959,15789,15990,16721,7153,94003,6918,1810,262,168,6977,2139,18274,5729,2826,745,561,5395,1194,16450,7921,8686,3491,3683,6116,1867,31764,6357,10110,4998,4825,5213,1945,33448,6035,10435,5142,3510,5489,2105,32716,4438,7747,4085,3482,5524,1812,27088,1502,2874,2160,2144,3517,1381,13578,695,1036,669,774,2193,1172,6539,241,224,124,102
124,4293,756,73,47,4214,1117,10500,3706,1374,193,102,3770,877,10022,6466,5184,1104,448,4124,1242,18568,5769,6680,1650,710,3472,1257,19538,5399,6705,1723,650,3627,1312,19416,4145,5542,1756,845,3893,1211,17392,1412,2281,1277,976,2357,951,9254,492,780,457,459,1349,675,4212,133,154,74,80,532,279,1252,31815,29456,8307,4317,27338,8921,110154,4483,1203,171,97,3140,1020,10114,3408,2425,655,577,2074,584,9723,3178,5889,3133,4227,1895,1045,19367,1843,6291,4819,5078,1625,1122,20778,1966,7256,5129,3717,1920,1176,21164,1582,5344,4022,3556,2264,1058,17826,634,1969,1997,2294,1963,965,9822,464,871,731,806,1690,972,5534,277,271,174,135,1313,584,2754,17835,31519,20831,20487,17884,8526,117082,8776,1959,244,144,7354,2137,20614,7114,3799,848,679,5844,1461,19745,9644,11073,4237,4675,6019,2287,37935,7612,12971,6469,5788,5097,2379,40316,7365,13961,6852,4367,5547,2488,40580,5727,10886,5778,4401,6157,2269,35218,2046,4250,3274,3270,4320,1916,19076,956,1651,1188,1265,3039,1647,9746,410,425,248,215
125,3913,894,102,58,6068,1754,12789,4510,1715,260,126,6889,1916,15416,10408,7595,1412,560,12529,4102,36606,7772,7246,1735,795,8257,2712,28517,6341,6276,1660,746,7484,2268,24775,4378,4991,1445,775,5756,1597,18942,1944,2692,1368,881,3793,1249,11927,813,1125,728,601,2554,1074,6895,238,232,112,110,987,413,2092,40317,32766,8822,4652,54317,17085,157959,4139,1361,198,90,4449,1326,11563,4429,2733,807,614,4569,1297,14449,6020,8567,4242,5658,7992,2760,35239,3032,7005,4770,5947,5113,2048,27915,2633,6718,4703,4081,4801,1779,24715,1954,4999,3777,3407,3824,1367,19328,948,2379,2296,2371,2972,1287,12253,786,1283,1064,1054,2975,1405,8567,377,415,232,202,2173,988,4387,24318,35460,22089,23424,38868,14257,158416,8052,2255,300,148,10517,3080,24352,8939,4448,1067,740,11458,3213,29865,16428,16162,5654,6218,20521,6862,71845,10804,14251,6505,6742,13370,4760,56432,8974,12994,6363,4827,12285,4047,49490,6332,9990,5222,4182,9580,2964,38270,2892,5071,3664,3252,6765,2536,24180,1599,2408,1792,1655,5529,2479,15462,615,647,344,312
126,2286,279,27,18,2361,440,5411,2335,708,79,34,2814,455,6425,4278,2762,454,144,3170,667,11475,3543,3813,829,285,2021,523,11014,3364,3948,948,315,2031,502,11108,2539,2941,888,339,1761,441,8909,982,1566,714,376,1333,364,5335,495,851,485,335,1111,397,3674,168,197,110,103,583,219,1380,19990,17065,4534,1949,17185,4008,64731,2302,417,45,9,1727,339,4839,2517,1105,177,103,2356,428,6686,2950,3415,1289,1332,2110,550,11646,1560,3551,2574,2789,1175,442,12091,1203,3956,2980,2062,1201,465,11867,1065,2984,2270,1500,1134,408,9361,467,1450,1464,1241,1139,394,6155,429,832,795,749,1403,584,4792,289,330,204,165,1410,410,2808,12782,18040,11798,9950,13655,4020,70245,4588,696,72,27,4088,779,10250,4852,1813,256,137,5170,883,13111,7228,6177,1743,1476,5280,1217,23121,5103,7364,3403,3074,3196,965,23105,4567,7904,3928,2377,3232,967,22975,3604,5925,3158,1839,2895,849,18270,1449,3016,2178,1617,2472,758,11490,924,1683,1280,1084,2514,981,8466,457,527,314,268
127,4142,1015,133,97,7001,1907,14295,3710,1370,223,126,6334,1125,12888,6949,4452,832,468,9553,2095,24349,6129,5575,1379,805,8849,1977,24714,6119,5706,1491,790,8986,2121,25213,4146,4018,1202,723,6828,1710,18627,1678,1998,919,705,4121,1297,10718,703,812,422,407,2296,941,5581,148,126,56,63,697,265,1355,33724,25072,6657,4184,54665,13438,137740,4510,1663,274,140,5099,1579,13265,3921,2449,699,602,4096,967,12734,4204,6013,3007,4160,6517,2003,25904,2428,6052,4511,5506,6225,2033,26755,2556,6295,4595,4586,5666,1904,25602,1908,4199,3213,3325,4873,1658,19176,910,1858,1539,1866,3408,1379,10960,715,941,687,718,2755,1133,6949,206,226,97,107,1339,460,2435,21358,29696,18622,21010,39978,13116,143780,8652,2678,407,237,12100,3486,27560,7631,3819,922,728,10430,2092,25622,11153,10465,3839,4628,16070,4098,50253,8557,11627,5890,6311,15074,4010,51469,8675,12001,6086,5376,14652,4025,50815,6054,8217,4415,4048,11701,3368,37803,2588,3856,2458,2571,7529,2676,21678,1418,1753,1109,1125,5051,2074,12530,354,352,153,170
128,2760,281,29,17,3175,584,6846,2786,638,73,33,2890,357,6777,5250,3303,537,182,2720,758,12750,5091,5151,1191,419,2062,756,14670,4753,5144,1252,410,2270,739,14568,3524,4270,1206,460,2498,673,12631,1348,2206,1163,708,1765,560,7750,572,1008,632,547,1253,582,4594,171,244,107,112,614,310,1558,26255,22245,6190,2888,19247,5319,82144,3135,497,64,14,2353,501,6564,3020,1226,196,116,1732,298,6588,3415,4180,1727,1989,1258,606,13175,1564,4979,3815,3919,902,536,15715,1505,5683,4035,2572,1064,598,15457,1284,4278,3167,2322,1291,546,12888,555,1816,2031,1974,1385,614,8375,503,1008,997,1019,1628,922,6077,312,364,200,159,1451,552,3038,15293,24031,16232,14084,13064,5173,87877,5895,778,93,31,5528,1085,13410,5806,1864,269,149,4622,655,13365,8665,7483,2264,2171,3978,1364,25925,6655,10130,5006,4338,2964,1292,30385,6258,10827,5287,2982,3334,1337,30025,4808,8548,4373,2782,3789,1219,25519,1903,4022,3194,2682,3150,1174,16125,1075,2016,1629,1566,2881,1504,10671,483,608,307,271
197,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,3,0,5,0,8,0,3,0,0,3,3,9,0,0,0,0,6,5,11,0,0,0,0,8,3,11,0,0,0,0,0,0,0,3,3,3,0,33,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,3,3,0,0,11,0,17,3,0,3,3,10,0,19,0,0,3,0,10,3,16,0,0,0,0,0,0,0,6,3,6,3,38,3,59,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,8,0,8,0,0,3,0,9,0,12,3,6,0,0,14,3,26,3,0,3,3,16,5,30,0,0,3,0,18,6,27,0,0,0,0
199,108,35,11,4,150,79,387,200,78,11,10,259,142,700,347,208,48,29,478,389,1499,273,153,44,34,420,447,1371,193,138,40,32,347,469,1219,134,152,48,43,288,296,961,70,100,43,38,216,157,624,13,13,6,7,63,44,146,3,0,0,0,28,19,50,1341,877,251,197,2249,2042,6957,126,47,10,6,109,75,373,177,99,34,27,190,85,612,307,231,88,90,250,193,1159,121,146,65,83,152,164,731,131,170,65,53,131,122,672,107,173,85,77,174,105,721,43,66,38,35,95,69,346,5,6,7,6,31,40,95,3,3,0,0,38,29,73,1020,941,392,377,1170,882,4782,234,82,21,10,259,154,760,377,177,45,37,449,227,1312,654,439,136,119,728,582,2658,394,299,109,117,572,611,2102,324,308,105,85,478,591,1891,241,325,133,120,462,401,1682,113,166,81,73,311,226,970,18,19,13,13,94,84,241,6,3,0,0
