region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
111,1927,1800,1478,680,224,49,7739,36,577,882,984,958,317,90,9,3853,2341,9592,7703,5660,4568,2033,795,216,32908,1390,3706,4794,4783,3849,1968,971,261,21722,409,572,873,1066,1154,670,339,86,5169,5573,9915,10062,10686,8055,4947,2695,782,52715,940,852,686,638,436,194,54,18,3818,6922,11339,11621,12390,9645,5811,3088,886,61702,230,353,453,747,777,533,283,119,3495,3260,2452,2814,3411,3400,3756,3954,2306,25353,14254,29525,30194,29775,24675,15098,9405,3846,156772
112,700,884,955,387,127,17,3405,27,278,584,785,830,220,57,11,2792,638,3412,4831,4190,3778,1564,575,179,19167,527,1659,2942,3456,3050,1591,730,193,14148,225,429,562,730,761,353,167,57,3284,2643,5207,6348,7775,5835,3209,1748,512,33277,637,561,452,487,395,129,42,13,2716,3505,6197,7362,8992,6991,3691,1957,582,39277,117,233,367,684,721,430,277,90,2919,2161,1481,1956,2611,2787,2755,3024,1665,18440,6997,13573,18742,21602,19112,10638,6747,2737,100148
113,455,427,342,133,45,4,1709,11,193,301,345,283,93,26,0,1252,656,2728,2536,1699,1368,573,221,65,9846,331,1096,1512,1660,1254,607,255,85,6800,208,289,376,436,389,183,69,24,1974,2787,4449,4274,4474,2995,1412,593,150,21134,490,439,353,349,172,63,20,6,1892,3485,5177,5003,5259,3556,1658,682,180,25000,82,156,235,343,359,184,123,43,1525,1895,1426,1580,1780,1769,1784,1578,738,12550,6484,11055,11622,11513,8931,5032,2930,1115,58682
114,437,566,620,400,149,18,2375,27,166,268,416,503,180,60,8,1628,293,1320,2115,2107,2169,1367,547,136,10054,294,830,1718,2086,2004,1407,610,132,9081,166,196,333,496,547,395,161,34,2328,1845,3303,3893,4564,3680,2821,1435,354,21895,335,276,325,327,219,124,34,11,1651,2346,3775,4551,5387,4446,3340,1630,399,25874,79,134,188,404,429,399,201,51,1885,1516,978,1294,1703,1762,2086,2099,1112,12550,4568,7375,10571,12669,11933,9179,5296,1856,63447
115,2602,2695,1680,595,154,25,9316,49,396,779,847,723,205,48,17,3064,2490,6241,7976,6965,4925,1743,547,183,31070,1189,2418,4334,4309,3206,1573,513,187,17729,230,333,661,812,818,441,160,31,3486,2485,3517,5307,5201,3708,2234,838,240,23530,292,283,394,378,297,124,28,7,1803,3007,4133,6362,6391,4823,2799,1026,278,28819,204,359,636,892,878,569,241,98,3877,1614,859,1375,1491,1503,1281,1003,861,9987,8671,15853,24064,23590,17738,8765,3532,1649,103862
116,2354,1524,812,229,44,8,8110,60,622,685,479,260,60,19,3,2188,2228,9401,7894,5471,3312,964,254,54,29578,1882,4864,4802,3380,1973,709,235,61,17906,373,705,926,783,601,235,74,16,3713,3832,7673,7562,6393,4201,1923,806,152,32542,676,862,720,524,300,82,25,6,3195,4881,9240,9208,7700,5102,2240,905,174,39450,391,880,1027,1024,884,380,176,54,4816,3682,3101,3047,2800,2610,2092,1556,636,19524,13309,31062,29017,22378,14953,6674,3189,990,121572
117,5975,3332,2176,763,163,35,22235,121,1699,1470,1039,682,163,38,0,5212,6299,27247,12993,6271,3649,1374,492,113,58438,2577,6920,5137,3019,1903,860,345,72,20833,209,603,637,537,391,173,66,17,2633,2194,5196,4077,2978,1953,1101,516,128,18143,319,514,386,265,162,53,15,4,1718,2722,6313,5100,3780,2506,1327,597,149,22494,377,995,767,707,536,389,177,61,4009,5621,9072,5052,3729,3145,2350,1748,861,31578,18329,61425,36494,21877,14597,7226,3560,1291,164799
118,5402,3721,2428,1129,346,97,19442,68,1236,1277,945,716,258,98,30,4628,4665,19918,13284,7946,5234,2323,1064,408,54842,1289,4680,4588,3369,2477,1367,719,282,18771,183,471,546,560,481,315,138,67,2761,1518,3966,3269,2843,2208,1487,889,375,16555,199,317,263,227,148,76,29,14,1273,1900,4754,4078,3630,2837,1878,1056,456,20589,277,689,637,767,750,613,392,213,4338,3894,6041,4311,3267,2842,2509,2082,1372,26318,12448,43282,33577,23645,17284,10077,5757,2858,148928
119,5023,2934,1558,474,151,33,18782,127,1030,1123,910,694,229,62,11,4186,5659,20552,13838,9747,5387,2065,868,217,58333,4100,9416,9027,6854,4051,1737,880,258,36323,510,946,1528,1657,1154,563,311,134,6803,4808,9448,10168,9253,6389,4223,2649,959,47897,704,1019,986,875,479,167,58,26,4314,6022,11413,12682,11785,8022,4953,3018,1119,59014,745,1428,1707,1949,1432,938,667,273,9139,6414,6364,5736,5672,5054,4360,4295,2583,40478,23571,58308,49136,39851,26198,14756,9941,4494,226255
120,5464,3937,2583,841,218,38,20281,92,1215,1573,1156,909,248,57,8,5258,4078,17715,13168,8204,5139,1831,676,194,51005,2106,5102,5195,4041,2638,1127,481,173,20863,199,464,746,751,596,285,126,69,3236,1762,3993,4029,3843,2623,1564,916,265,18995,275,416,385,344,171,95,23,14,1723,2236,4873,5160,4938,3390,1944,1065,348,23954,296,718,823,949,792,436,314,138,4466,2949,3998,3080,2714,2233,1990,2080,1452,20496,12156,40422,34463,25939,17684,8417,4891,2351,146323
121,9319,7899,5310,2517,830,214,33634,88,1672,2315,2090,1660,722,240,49,8836,5300,22523,21927,17370,11272,5763,2752,955,87862,1701,5190,6899,6672,5534,3683,1960,710,32349,257,468,836,1056,1134,816,415,226,5208,1918,3917,4168,4127,3070,2108,1157,500,20965,288,310,409,432,373,220,104,38,2174,2463,4695,5413,5615,4577,3144,1676,764,28347,230,695,911,1096,1266,1118,761,388,6465,3054,3647,3295,2976,2698,2300,2288,1916,22174,13182,45621,50079,43718,32317,19247,10507,4996,219667
122,3412,2587,1525,804,244,63,10707,32,641,1185,1000,800,292,95,31,4076,1955,9394,11368,7692,4783,2418,1001,322,38933,1224,3844,5693,4776,3562,2277,1070,365,22811,210,414,757,926,873,601,269,113,4163,2004,4736,5351,5047,3474,2474,1320,479,24885,254,327,432,404,285,168,61,21,1952,2468,5477,6540,6377,4632,3243,1650,613,31000,118,405,567,699,626,502,333,113,3363,1796,2036,2254,2198,2117,2023,2024,1877,16325,7696,23766,31019,25329,18045,11559,6417,3384,127215
123,1063,957,624,177,36,9,3968,48,337,439,433,348,98,18,6,1727,1388,4748,4148,2900,2078,681,201,37,16181,1226,3149,3395,3031,2053,708,247,54,13863,330,556,724,777,692,249,62,16,3406,4089,7204,7323,6736,5034,2136,732,179,33433,647,677,526,458,327,91,23,3,2752,5066,8437,8573,7971,6053,2476,817,198,39591,292,530,685,795,748,353,150,64,3617,2950,1946,2260,2375,2222,1667,1283,690,15393,11097,20122,20563,18462,14126,6160,2752,1058,94340
124,1354,1498,1306,476,129,24,5974,51,459,655,850,832,248,50,11,3156,1600,5664,5491,4653,3611,1393,497,131,23040,1390,3553,4308,3878,3139,1409,565,153,18395,401,608,864,995,912,413,171,44,4408,5301,9412,8648,8354,6008,2760,1061,303,41847,807,834,652,580,402,130,27,10,3442,6509,10854,10164,9929,7322,3303,1259,357,49697,312,595,720,998,1056,654,304,140,4779,3300,2382,2563,2868,2752,2211,1788,1003,18867,13316,24540,25255,24674,20018,9694,4592,1819,123908
125,4643,2757,1433,470,121,19,18595,107,1097,980,724,530,169,54,6,3667,4476,18776,11425,7197,4277,1751,668,125,48695,3255,7589,6405,4647,3021,1435,587,171,27110,402,789,973,1010,809,426,167,60,4636,3834,7351,6835,6144,4524,2827,1519,447,33481,590,776,705,594,335,129,58,15,3202,4826,8916,8513,7748,5668,3382,1744,522,41319,520,1331,1175,1255,1095,675,395,146,6592,5649,6607,4866,4302,3379,2827,2778,1616,32024,19351,52950,38007,28630,19403,10709,6347,2605,178002
126,3467,2896,1809,681,237,44,13189,49,542,748,808,644,222,65,20,3098,2911,8835,7586,6009,3865,1770,800,262,32038,1317,2264,2910,2802,2128,1149,693,271,13534,106,209,378,505,489,336,181,74,2278,1022,1906,2266,2499,1808,1152,819,289,11761,167,183,200,239,165,69,45,13,1081,1295,2298,2844,3243,2462,1557,1045,376,15120,149,314,429,577,536,378,302,157,2842,1535,1208,989,1088,1069,994,1210,1124,9217,7497,19275,18973,17423,12513,6751,4352,2254,89038
127,1180,875,528,139,28,7,4403,77,398,353,326,219,44,9,0,1426,2918,8387,5919,4088,2495,706,208,47,24768,2526,5349,5200,3729,1967,685,229,39,19724,446,833,1067,981,556,203,77,19,4182,4227,7783,7912,7331,4813,2378,981,187,35612,683,963,826,637,329,81,12,8,3539,5356,9579,9805,8949,5698,2662,1070,214,43333,480,936,1080,1209,874,442,189,45,5255,4912,4040,4245,4479,3764,3029,2199,852,27520,16483,30121,27782,23655,15545,7707,3932,1204,126429
128,1626,1417,1076,426,117,21,5924,45,485,681,773,672,176,57,9,2898,2058,6418,6185,4761,3435,1182,523,127,24689,1403,3474,4584,4084,2960,1424,601,193,18723,262,464,755,990,978,536,238,72,4295,3010,5689,6302,6096,4477,2945,1659,474,30652,335,373,429,432,358,149,56,17,2149,3607,6526,7486,7518,5813,3630,1953,563,37096,217,437,605,909,983,675,496,161,4483,1541,1432,1426,1528,1516,1370,1675,1049,11537,8965,19919,22593,20990,16455,8883,5422,2123,105350
197,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,3,0,22,0,0,0,0,6,0,0,0,6,3,3,3,3,10,3,3,0,28,0,0,0,0,0,3,0,0,3,0,0,0,3,0,5,10,0,18,3,3,6,9,13,17,13,0,64
199,78,31,39,15,3,0,344,3,36,17,31,20,6,0,0,113,181,540,225,133,140,52,12,0,1283,70,154,131,111,120,50,10,0,646,26,41,32,38,35,19,0,3,194,171,342,270,270,211,160,19,6,1449,64,36,24,18,13,7,0,0,162,261,419,326,326,259,186,19,9,1805,14,45,27,28,32,12,4,6,168,365,583,613,608,407,241,89,59,2965,910,1939,1417,1268,1017,562,137,74,7324
