region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
111,6524,8991,15651,17246,17896,10178,1315,146,11,77958,3986,2539,4715,4872,5112,10687,13402,10352,4913,60578,349,432,735,709,797,732,783,994,761,6292,10859,11962,21101,22827,23805,21597,15500,11492,5685,144828,2744,9198,21989,22066,23695,13296,1385,86,8,94467,7003,6467,8000,10517,9763,7385,1921,264,12,51332,493,701,1607,1393,1337,1101,197,30,4,6863,351,407,568,616,586,331,98,25,12,2994,10591,16773,32164,34592,35381,22113,3601,405,36,155656,824,999,1175,952,811,444,23,3,0,5231,1220,724,567,556,449,304,47,6,3,3876,2044,1723,1742,1508,1260,748,70,9,3,9107,12635,18496,33906,36100,36641,22861,3671,414,39,164763,8896,4507,6612,7107,8308,17807,24581,18106,7555,103479,822,1006,1709,1633,1781,1567,1520,1682,1133,12853,22353,24009,42227,44840,46730,42235,29772,20202,8727,281095
112,3626,3568,7165,10880,13358,8272,1210,164,22,48265,3028,1329,3194,3710,3891,7479,9570,7517,3528,43246,289,221,456,595,643,670,593,800,560,4827,6943,5118,10815,15185,17892,16421,11373,8481,4110,96338,1254,3471,8113,11710,14606,8970,1210,179,16,49529,4076,2664,4725,7549,8600,6847,1607,268,23,36359,284,253,689,750,864,853,158,37,14,3902,208,196,327,430,484,290,102,46,13,2096,5822,6584,13854,20439,24554,16960,3077,530,66,91886,578,699,937,896,985,610,28,3,0,4736,720,372,496,550,553,454,48,6,0,3199,1298,1071,1433,1446,1538,1064,76,9,0,7935,7120,7655,15287,21885,26092,18024,3153,539,66,99821,6632,2249,4447,5399,6747,13306,17774,13512,5566,75632,631,567,1041,1275,1489,1413,1155,1362,877,9810,14383,10471,20775,28559,34328,32743,22082,15413,6509,185263
113,2709,3229,5967,7152,7872,4830,968,150,24,32901,2303,1306,2247,2015,1860,3572,4955,3807,1792,23857,213,230,334,337,377,347,363,413,277,2891,5225,4765,8548,9504,10109,8749,6286,4370,2093,59649,1885,4426,8467,9676,11143,6955,1276,218,24,44070,2609,1722,3029,4001,4000,3068,1142,210,35,19816,210,226,575,479,521,565,168,34,13,2791,177,187,286,320,332,228,94,30,9,1663,4881,6561,12357,14476,15996,10816,2680,492,81,68340,330,446,490,391,320,203,15,3,0,2198,383,204,226,178,149,133,20,3,0,1296,713,650,716,569,469,336,35,6,0,3494,5594,7211,13073,15045,16465,11152,2715,498,81,71834,4762,2024,3173,3009,3048,5940,9038,6763,2657,40414,439,483,761,773,884,756,730,718,387,5931,10795,9718,17007,18827,20397,17848,12483,7979,3125,118179
114,2108,2044,3695,5890,7357,4760,844,94,19,26811,1944,712,1706,1980,2155,5258,7412,4818,1961,27946,181,149,253,329,403,431,443,523,356,3068,4233,2905,5654,8199,9915,10449,8699,5435,2336,57825,951,2495,4833,6944,8744,5259,853,79,8,30166,2167,1347,2149,3815,4503,3889,1290,173,15,19348,174,143,424,417,526,499,116,22,4,2325,143,138,172,239,221,193,68,17,19,1210,3435,4123,7578,11415,13994,9840,2327,291,46,53049,344,346,409,443,469,269,17,0,0,2297,341,138,174,215,221,202,46,8,0,1345,685,484,583,658,690,471,63,8,0,3642,4120,4607,8161,12073,14684,10311,2390,299,46,56691,4135,1130,2384,2870,3617,8868,13838,9068,3149,49059,412,367,572,737,922,887,914,949,543,6303,8667,6104,11117,15680,19223,20066,17142,10316,3738,112053
115,3704,5479,8178,12699,13403,8188,1364,114,7,53136,3877,973,2112,3522,2745,4739,5734,3361,1834,28897,184,189,303,463,436,431,302,262,300,2870,7765,6641,10593,16684,16584,13358,7400,3737,2141,84903,1512,5713,12178,17549,19634,11617,1792,99,6,70100,4407,4116,3359,6897,6449,5330,1927,233,17,32735,328,331,744,726,677,640,189,33,3,3671,206,274,339,412,447,293,80,23,0,2074,6453,10434,16620,25584,27207,17880,3988,388,26,108580,199,387,423,452,531,351,28,0,0,2371,759,400,219,332,252,212,50,7,0,2231,958,787,642,784,783,563,78,7,0,4602,7411,11221,17262,26368,27990,18443,4066,395,26,113182,8364,1974,2723,4114,3508,7189,10398,6072,2751,47093,387,405,645,921,920,845,618,457,411,5609,16162,13600,20630,31403,32418,26477,15082,6924,3188,165884
116,4399,7114,16288,16034,13957,7474,748,47,4,66065,5887,2586,6991,6231,4977,7080,6933,4251,1709,46645,442,467,932,818,785,695,550,450,222,5361,10728,10167,24211,23083,19719,15249,8231,4748,1935,118071,1991,8024,24152,24032,21356,11562,1249,37,3,92406,4321,4451,6973,7657,5873,3991,861,64,0,34191,244,409,1506,988,760,623,110,17,0,4657,346,523,949,740,668,368,78,10,4,3686,6902,13407,33580,33417,28657,16544,2298,128,7,134940,788,1174,1605,1289,1044,583,31,4,5,6523,1044,638,732,670,438,290,49,3,0,3864,1832,1812,2337,1959,1482,873,80,7,5,10387,8734,15219,35917,35376,30139,17417,2378,135,12,145327,12215,4500,9121,8351,7371,11121,12738,7395,2452,75264,984,995,1943,1806,1619,1365,1079,791,330,10912,21933,20714,46981,45533,39129,29903,16195,8321,2794,231503
117,2004,9146,27290,15752,9971,5875,1059,112,16,71225,2693,3782,4878,3335,2650,4233,5033,3596,1484,31684,506,1676,3674,1829,1273,1063,710,554,328,11613,5203,14604,35842,20916,13894,11171,6802,4262,1828,114522,615,7986,41783,26472,16386,8382,1292,99,13,103028,1991,6559,10634,6914,4532,3481,1184,172,19,35486,147,495,1786,1267,643,443,97,16,4,4898,109,364,715,480,337,181,76,20,0,2282,2862,15404,54918,35133,21898,12487,2649,307,36,145694,175,663,1529,1090,790,471,26,5,0,4749,570,1269,1004,464,327,282,48,3,0,3967,745,1932,2533,1554,1117,753,74,8,0,8716,3607,17336,57451,36687,23015,13240,2723,315,36,154410,5397,7070,7984,5170,4905,7563,9561,6684,2257,56591,1137,3690,8304,4458,3101,2451,1618,1112,490,26361,10141,28096,73739,46315,31021,23254,13902,8111,2783,237362
118,1888,6710,20381,14963,11429,7341,1850,251,34,64847,3507,2819,3109,3766,2822,4335,6114,5281,3212,34965,425,922,2399,1652,1179,964,827,726,532,9626,5820,10451,25889,20381,15430,12640,8791,6258,3778,109438,542,5694,30216,21863,15969,9304,1961,197,24,85770,2144,4897,6519,7082,5704,4864,2273,462,82,34027,172,377,1384,1176,627,576,227,45,14,4598,104,278,584,413,392,256,93,45,18,2183,2962,11246,38703,30534,22692,15000,4554,749,138,126578,108,443,889,687,619,345,29,3,0,3123,591,922,513,409,303,266,65,10,0,3079,699,1365,1402,1096,922,611,94,13,0,6202,3661,12611,40105,31630,23614,15611,4648,762,138,132780,7378,5897,5207,5190,4288,6977,10382,9010,4767,59096,909,2002,5202,3467,2465,1965,1647,1270,829,19756,11948,20510,50514,40287,30367,24553,16677,11042,5734,211632
119,5206,11815,26352,24788,23846,12633,1879,168,40,106727,9539,5093,11825,11259,9677,13582,15752,12950,6432,96109,732,983,2381,2033,1800,1471,1231,1329,990,12950,15477,17891,40558,38080,35323,27686,18862,14447,7462,215786,1991,11131,38623,35656,33886,18228,2493,137,20,142165,5629,9056,12990,13448,12341,8235,2428,275,40,64442,441,722,2213,1676,1342,1005,273,41,4,7717,424,977,1609,1460,1301,705,173,44,11,6704,8485,21886,55435,52240,48870,28173,5367,497,75,221028,658,1551,2667,1895,1764,1037,33,0,3,9608,1413,1328,1229,1149,928,629,93,19,6,6794,2071,2879,3896,3044,2692,1666,126,19,9,16402,10556,24765,59331,55284,51562,29839,5493,516,84,237430,20022,9199,15826,14665,14205,21633,28840,23309,9888,157587,1642,2237,5058,4135,3771,3068,2419,2375,1487,26192,32220,36201,80215,74084,69538,54540,36752,26200,11459,421209
120,2304,6562,19045,16921,14353,8389,1394,121,23,69112,3744,2299,4103,4293,3296,5293,6896,5738,2887,38549,291,593,1541,1204,925,750,580,666,590,7140,6339,9454,24689,22418,18574,14432,8870,6525,3500,114801,661,5586,27716,23850,19840,10915,1661,110,12,90351,2685,5488,7694,7935,6564,5000,1661,230,20,37277,169,357,1430,1326,708,662,153,26,3,4834,136,348,666,527,514,299,75,24,13,2602,3651,11779,37506,33638,27626,16876,3550,390,48,135064,122,599,1250,876,811,474,21,0,0,4153,603,777,632,460,376,306,59,10,3,3226,725,1376,1882,1336,1187,780,80,10,3,7379,4376,13155,39388,34974,28813,17656,3630,400,51,142443,7790,4471,5927,5572,4893,8378,12176,10176,4307,63690,653,1378,3422,2534,1999,1500,1165,1216,840,14707,12819,19004,48737,43080,35705,27534,16971,11792,5198,220840
121,4125,8523,22063,22491,21331,13569,3262,373,51,95788,6386,1955,4154,7042,5539,7817,10559,8635,5393,57480,368,511,1525,1305,1016,883,653,680,706,7647,10879,10989,27742,30838,27886,22269,14474,9688,6150,160915,890,7390,33713,33061,30462,17453,3358,268,27,126622,5122,7153,7063,10873,10486,9150,4335,765,93,55040,379,494,1771,1649,1028,966,386,77,14,6764,178,342,536,555,580,342,118,50,19,2720,6569,15379,43083,46138,42556,27911,8197,1160,153,191146,156,518,1064,1043,1102,634,67,5,3,4592,1005,763,481,616,495,372,127,14,3,3876,1161,1281,1545,1659,1597,1006,194,19,6,8468,7730,16660,44628,47797,44153,28917,8391,1179,159,199614,13396,3936,5488,8199,7177,11677,18136,14830,7993,90832,807,1128,3203,2702,2157,1812,1281,1150,977,15217,21933,21724,53319,58698,53487,42406,27808,17159,9129,305663
122,3098,4785,12167,15213,13995,8439,1927,191,22,59837,2981,812,2196,3987,2626,4542,7401,5993,3560,34098,179,243,691,727,559,521,435,499,495,4349,6258,5840,15054,19927,17180,13502,9763,6683,4077,98284,1014,5170,18128,21134,19023,10439,1789,127,17,76841,3920,3621,4886,8723,7849,6196,2685,383,33,38296,291,286,1029,1107,765,664,231,34,6,4413,177,240,402,426,434,263,92,32,14,2080,5402,9317,24445,31390,28071,17562,4797,576,70,121630,161,306,452,484,579,306,27,3,0,2318,531,255,258,424,291,261,70,9,0,2099,692,561,710,908,870,567,97,12,0,4417,6094,9878,25155,32298,28941,18129,4894,588,70,126047,6588,1617,2894,4733,3635,7153,13065,10368,5494,55547,405,580,1526,1556,1282,1094,861,806,689,8799,13087,12075,29575,38587,33858,26376,18820,11762,6253,190393
